SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	-0.178	-0.181	-0.179	-0.144	-0.109	-0.145	-0.180	-0.141	-0.178	-0.146	-0.180	-0.145	-0.147	-0.179	-0.156	-0.130	-0.081	-0.195	-0.196	-0.195	-0.130	-0.180	-0.130	-0.200	-0.138	-0.194	-0.181	-0.182	-0.130	-0.200	-0.130	-0.130	-0.054	-0.054	-0.055	-0.055	-0.059	-0.057	-0.054	-0.091	-0.054	-0.055	-0.055	-0.055	-0.056	-0.092	-0.060	-0.051	-0.055	-0.054	-0.054	-0.057	-0.051	-0.056	-0.051	-0.051	-0.055	-0.054	-0.051	-0.049	-0.051	-0.051	0.019	-0.051	0.437	0.436	0.437	0.449	0.463	0.449	0.436	0.456	0.437	0.449	0.437	0.449	0.449	0.442	0.446	0.454	0.473	0.431	0.430	0.430	0.455	0.436	0.454	0.428	0.451	0.431	0.435	0.435	0.454	0.429	0.444	0.455	-0.160	-0.054	0.444	2016_7_16_10_52_20
FLNS32DNGRX5____	0.278	0.238	0.238	0.239	0.277	0.278	0.240	0.280	0.276	0.277	0.278	0.277	0.284	0.275	0.282	0.274	0.282	0.281	0.278	0.286	0.282	0.277	0.342	0.318	0.281	0.282	0.284	0.281	0.283	0.282	0.274	0.276	-0.332	-0.335	-0.336	-0.337	-0.277	-0.334	-0.332	-0.332	-0.336	-0.336	-0.336	-0.336	-0.331	-0.337	-0.334	-0.280	-0.291	-0.334	-0.297	-0.334	-0.295	-0.277	-0.282	-0.297	-0.290	-0.294	-0.291	-0.292	-0.293	-0.293	-0.286	-0.284	0.177	0.164	0.163	0.164	0.168	0.177	0.163	0.177	0.178	0.178	0.178	0.177	0.179	0.176	0.178	0.167	0.171	0.178	0.171	0.179	0.172	0.168	0.192	0.185	0.171	0.171	0.172	0.170	0.172	0.172	0.168	0.167	0.277	-0.312	0.173	2016_7_16_10_52_23
FLNS32G4GRX5____	0.207	0.206	0.207	0.204	0.206	0.241	0.170	0.242	0.241	0.205	0.205	0.207	0.170	0.207	0.242	0.206	0.245	0.244	0.242	0.240	0.244	0.204	0.246	0.207	0.242	0.245	0.247	0.246	0.248	0.247	0.241	0.242	-0.129	-0.130	-0.128	-0.129	-0.130	-0.132	-0.127	-0.134	-0.095	-0.131	-0.131	-0.130	-0.127	-0.128	-0.134	-0.127	-0.137	-0.132	-0.131	-0.132	-0.136	-0.130	-0.136	-0.128	-0.137	-0.137	-0.138	-0.135	-0.135	-0.134	-0.134	-0.134	0.666	0.667	0.666	0.666	0.666	0.679	0.653	0.680	0.675	0.666	0.666	0.666	0.653	0.666	0.680	0.665	0.681	0.681	0.680	0.679	0.681	0.666	0.682	0.666	0.680	0.682	0.682	0.682	0.682	0.681	0.680	0.681	0.225	-0.131	0.673	2016_7_16_10_52_25
FLQS30BYGRX8____	-0.239	-0.237	-0.234	-0.236	-0.240	-0.239	-0.202	-0.202	-0.239	-0.239	-0.242	-0.204	-0.241	-0.204	-0.242	-0.244	-0.207	-0.245	-0.240	-0.209	-0.208	-0.239	-0.247	-0.208	-0.245	-0.248	-0.246	-0.210	-0.210	-0.248	-0.244	-0.246	-0.140	-0.141	-0.142	-0.142	-0.139	-0.141	-0.142	-0.141	-0.139	-0.141	-0.142	-0.145	-0.139	-0.143	-0.144	-0.143	-0.156	-0.149	-0.147	-0.146	-0.152	-0.142	-0.149	-0.155	-0.147	-0.150	-0.144	-0.152	-0.154	-0.147	-0.148	-0.146	0.019	0.020	0.020	0.021	0.019	0.019	0.033	0.033	0.019	0.020	0.018	0.032	0.018	0.033	0.018	0.017	0.033	0.017	0.018	0.030	0.032	0.019	0.016	0.033	0.017	0.017	0.016	0.031	0.031	0.016	0.018	0.017	-0.231	-0.145	0.022	2016_7_16_10_52_28
FLQS30DLGRXL____	-0.025	-0.063	-0.028	-0.065	-0.066	-0.064	-0.063	-0.065	-0.064	-0.063	-0.064	-0.061	-0.069	-0.065	-0.066	-0.069	-0.069	-0.066	-0.066	-0.066	-0.068	-0.064	-0.072	-0.069	-0.065	-0.065	-0.064	-0.031	-0.033	-0.072	-0.066	-0.066	-0.075	-0.073	-0.073	-0.073	-0.074	-0.071	-0.069	-0.069	-0.075	-0.071	-0.069	-0.070	-0.073	-0.071	-0.076	-0.039	-0.029	-0.078	-0.039	-0.070	-0.072	-0.070	-0.040	-0.070	-0.073	-0.073	-0.072	-0.043	-0.045	-0.040	-0.073	-0.070	0.113	0.098	0.111	0.097	0.097	0.098	0.097	0.097	0.098	0.098	0.097	0.098	0.096	0.097	0.097	0.091	0.089	0.097	0.092	0.096	0.096	0.097	0.089	0.096	0.097	0.097	0.097	0.105	0.104	0.090	0.097	0.097	-0.061	-0.065	0.097	2016_7_16_10_52_31
FLQS30GVGRX8____	0.643	0.644	0.643	0.643	0.645	0.645	0.645	0.646	0.646	0.643	0.647	0.645	0.649	0.646	0.679	0.648	0.650	0.645	0.646	0.646	0.649	0.646	0.645	0.647	0.648	0.645	0.647	0.648	0.649	0.646	0.645	0.648	-0.182	-0.213	-0.216	-0.215	-0.182	-0.216	-0.213	-0.213	-0.215	-0.214	-0.216	-0.181	-0.216	-0.218	-0.182	-0.215	-0.210	-0.181	-0.210	-0.217	-0.207	-0.215	-0.176	-0.209	-0.211	-0.175	-0.209	-0.211	-0.208	-0.175	-0.175	-0.210	0.359	0.364	0.365	0.364	0.359	0.364	0.364	0.365	0.365	0.364	0.365	0.359	0.365	0.365	0.373	0.365	0.366	0.359	0.365	0.364	0.364	0.365	0.359	0.363	0.365	0.358	0.364	0.365	0.364	0.358	0.358	0.365	0.647	-0.203	0.363	2016_7_16_10_52_33
FLQS30KBGRX8____	0.072	0.072	0.035	0.034	0.070	0.070	0.073	0.069	0.072	0.034	0.073	0.073	0.070	0.073	0.070	0.072	0.038	0.035	0.073	0.073	0.037	0.069	0.076	0.074	0.036	-0.007	0.074	0.077	0.105	0.076	0.076	0.075	-0.011	-0.048	-0.047	-0.044	-0.014	-0.011	-0.044	-0.012	-0.013	-0.046	-0.014	-0.048	-0.016	-0.013	-0.015	-0.050	-0.041	-0.048	-0.052	-0.049	-0.043	-0.014	-0.052	-0.044	-0.045	-0.042	-0.053	-0.049	0.014	-0.049	-0.047	-0.049	-0.025	-0.019	-0.033	-0.034	-0.025	-0.025	-0.020	-0.026	-0.025	-0.034	-0.024	-0.019	-0.025	-0.024	-0.026	-0.019	-0.033	-0.033	-0.019	-0.019	-0.033	-0.026	-0.018	-0.020	-0.034	-0.050	-0.018	-0.018	-0.016	-0.018	-0.018	-0.018	0.063	-0.035	-0.025	2016_7_16_10_52_36
FLQS30LUGRXL	-0.345	-0.308	-0.346	-0.309	-0.347	-0.345	-0.348	-0.346	-0.347	-0.346	-0.380	-0.346	-0.310	-0.346	-0.341	-0.308	-0.347	-0.346	-0.345	-0.346	-0.345	-0.347	-0.342	-0.342	-0.348	-0.346	-0.343	-0.343	-0.345	-0.341	-0.345	-0.345	-0.117	-0.084	-0.086	-0.083	-0.117	-0.118	-0.082	-0.083	-0.085	-0.086	-0.119	-0.084	-0.050	-0.085	-0.115	-0.082	-0.080	-0.083	-0.085	-0.080	-0.116	-0.084	-0.114	-0.113	-0.084	-0.080	-0.114	-0.113	-0.082	-0.116	-0.082	-0.083	-0.052	-0.044	-0.057	-0.044	-0.053	-0.052	-0.059	-0.057	-0.057	-0.057	-0.065	-0.058	-0.050	-0.058	-0.051	-0.044	-0.060	-0.058	-0.058	-0.058	-0.052	-0.058	-0.051	-0.052	-0.058	-0.059	-0.053	-0.052	-0.058	-0.052	-0.058	-0.058	-0.342	-0.093	-0.055	2016_7_16_10_52_39
FLQS31B0GRX2____	0.345	0.345	0.346	0.346	0.308	0.344	0.347	0.345	0.343	0.345	0.341	0.344	0.345	0.345	0.346	0.345	0.347	0.348	0.307	0.347	0.349	0.344	0.350	0.312	0.347	0.348	0.348	0.350	0.348	0.349	0.346	0.349	-0.128	-0.129	-0.127	-0.128	-0.161	-0.131	-0.130	-0.132	-0.129	-0.130	-0.130	-0.129	-0.127	-0.160	-0.129	-0.131	-0.126	-0.129	-0.132	-0.129	-0.167	-0.131	-0.128	-0.127	-0.128	-0.130	-0.130	-0.128	-0.131	-0.131	-0.128	-0.131	0.001	0.001	0.001	0.001	-0.008	0.001	0.002	0.001	0.001	0.000	-0.001	0.001	0.001	0.006	0.002	0.001	0.001	0.002	-0.012	0.001	0.008	0.000	0.002	-0.012	0.001	0.001	0.002	0.002	0.002	0.003	0.001	0.003	0.343	-0.132	0.000	2016_7_16_10_52_42
FLQS31B2GRWM____	0.795	0.796	0.758	0.797	0.795	0.757	0.796	0.759	0.800	0.796	0.790	0.761	0.761	0.762	0.760	0.760	0.761	0.760	0.760	0.760	0.761	0.720	0.757	0.762	0.758	0.758	0.760	0.762	0.758	0.763	0.761	0.761	-0.495	-0.498	-0.495	-0.500	-0.496	-0.498	-0.464	-0.494	-0.497	-0.464	-0.467	-0.497	-0.528	-0.497	-0.494	-0.498	-0.493	-0.499	-0.495	-0.496	-0.493	-0.498	-0.457	-0.494	-0.464	-0.459	-0.460	-0.495	-0.461	-0.494	-0.495	-0.497	0.480	0.481	0.466	0.482	0.480	0.466	0.475	0.466	0.482	0.475	0.473	0.467	0.471	0.468	0.466	0.467	0.465	0.467	0.467	0.466	0.466	0.453	0.459	0.466	0.460	0.459	0.460	0.466	0.459	0.466	0.466	0.466	0.768	-0.489	0.468	2016_7_16_10_52_44
