SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	0.012	0.012	0.018	-0.038	0.018	0.012	0.102	-0.054	0.027	0.144	0.149	-0.114	-0.105	-0.039	0.012	0.032	0.065	0.021	0.012	0.012	0.077	-0.115	0.128	0.13	0.124	0.017	0.156	-0.034	0.078	0.012	-0.04	-0.057	-0.006	-0.054	0.066	-0.054	-0.2	-0.145	-0.123	-0.193	-0.054	-0.063	0.004	-0.123	-0.063	-0.054	-0.063	-0.054	-0.064	0.062	-0.123	-0.008	0.07	-0.064	-0.064	-0.064	-0.063	-0.064	-0.064	-0.064	-0.064	-0.123	-0.126	-0.184	0.097	0.109	-0.002	0.03	0.092	0.096	-0.067	0.043	-0.01	-0.065	-0.063	0.093	0.076	0.03	-0.09	-0.018	0.002	-0.003	0.123	0.098	-0.03	0.089	-0.043	-0.058	-0.038	0.011	-0.095	0.028	-0.033	0.009	0.034	0.045	0.024	-0.068	0.015	2016_7_13_11_34_16
FLQS2C6NGRX5____	0.122	-0.01	0.057	0.132	0.139	0.082	0.078	0.07	0.131	0.057	0.135	0.136	0.122	0.189	0.078	-0.053	0.129	0.078	0.063	0.122	0.127	0.185	0.069	0.068	0.002	-0.048	0.109	0.063	0.077	0.07	0.07	-0.017	0.003	0.003	-0.003	0.003	0.065	0.003	0.003	-0.062	-0.003	-0.067	0.003	0.137	0.003	0.003	-0.011	0.003	-0.062	0.003	-0.065	0.003	0.003	0.13	0.065	-0.066	0.003	-0.011	0.003	-0.011	0.003	0.003	0.003	-0.003	-0.04	0.037	-0.007	-0.052	-0.056	-0.037	-0.03	0.124	-0.044	-0.007	-0.06	-0.052	-0.03	-0.08	0.068	0.05	-0.041	-0.129	-0.009	-0.033	-0.051	-0.075	-0.017	-0.011	0.025	0.043	-0.019	-0.011	-0.033	-0.022	0.08	0.049	0.082	0.003	-0.015	2016_7_13_11_34_23
FLQS2C9EGRX5____	0.005	0.004	-0.083	0.12	0.113	0.065	0.06	0.059	-0.01	-0.004	0.005	0.108	0.054	-0.007	-0.073	0.005	-0.066	0.114	0.107	-0.066	0.054	-0.064	0.105	-0.01	-0.057	0.005	-0.078	-0.054	0.005	-0.006	-0.005	-0.059	0.021	0.021	0.011	0.127	0.142	0.011	0.132	0.137	0.065	0.127	0.021	-0.052	0.143	0.065	-0.057	0.021	0.065	0.021	0.021	0.065	0.07	0.124	0.011	0.021	0.065	0.021	0	0.065	0.186	-0.055	-0.051	0.177	-0.273	-0.17	-0.104	-0.215	-0.212	-0.185	-0.187	-0.186	-0.142	-0.155	-0.231	-0.203	-0.273	-0.144	-0.115	-0.228	-0.124	-0.221	-0.198	-0.117	-0.182	-0.127	-0.188	-0.139	-0.134	-0.162	-0.115	-0.136	-0.162	-0.148	-0.148	-0.131	0.011	0.055	-0.17	2016_7_13_11_34_28
FLQS2CKUGRX5	-0.012	-0.139	-0.012	0.037	-0.129	-0.026	-0.141	-0.077	-0.023	0.043	-0.136	-0.026	-0.007	-0.026	0.039	-0.023	-0.026	-0.017	0.038	-0.026	-0.019	0.053	-0.116	-0.074	-0.026	0.043	-0.026	-0.005	-0.078	-0.019	-0.132	-0.024	0.011	-0.077	-0.077	-0.077	0.01	-0.054	-0.054	0.016	-0.054	-0.077	-0.054	-0.077	-0.054	-0.06	-0.054	-0.054	-0.077	-0.054	0.021	-0.077	0.088	0.019	-0.077	-0.077	-0.06	-0.177	0.074	-0.054	-0.06	-0.054	-0.077	-0.077	-0.184	-0.13	-0.306	-0.188	-0.128	-0.249	-0.119	-0.153	-0.169	-0.198	-0.129	-0.166	-0.191	-0.171	-0.199	-0.171	-0.252	-0.171	-0.208	-0.154	-0.272	-0.216	-0.145	-0.14	-0.291	-0.204	-0.095	-0.193	-0.14	-0.169	-0.113	-0.166	-0.035	-0.047	-0.181	2016_7_13_11_34_33
FLQS2F0LGRX5____	-0.1	-0.072	-0.116	-0.184	-0.235	-0.137	-0.118	-0.143	-0.137	-0.143	-0.188	-0.061	-0.235	-0.12	-0.143	-0.106	-0.131	-0.248	-0.006	-0.184	-0.116	-0.057	-0.137	-0.242	-0.067	-0.184	-0.131	-0.007	-0.05	-0.188	-0.131	-0.131	0.064	0.111	0.064	0.111	0.124	0.064	0.061	0.111	0.061	0.064	0.061	0.064	0.061	0.185	0.064	0.064	0.111	0.064	0.111	0.154	0.064	0.111	0.061	0.064	0.202	0.061	0.111	0.012	0.111	-0.008	0.064	0.111	0.032	0.043	0.034	0.095	0.112	0.183	0.058	0.179	0.079	0.094	0.094	0.04	0.102	0.054	0.193	0.04	-0.015	0.139	0.011	0.079	0.057	0.021	0.157	0.126	0.028	0.094	0.138	0.007	0.019	0.094	0.071	-0.041	-0.133	0.086	0.076	2016_7_13_11_34_38
FLQS30AEGRWV____	0.237	0.18	0.187	0.095	0.183	0.045	0.101	0.061	0.095	-0.007	0.073	0.104	0.197	-0.005	0.104	0.124	0.159	0.01	0.095	0.073	0.101	0.062	0.174	0.176	0.171	0.103	0.052	0.044	0.063	0.112	0.095	-0.019	-0.177	-0.177	-0.177	-0.174	-0.064	-0.267	-0.191	-0.174	-0.267	-0.174	-0.191	-0.14	-0.191	-0.174	-0.174	-0.133	-0.174	-0.174	-0.174	-0.191	-0.177	-0.174	-0.118	-0.174	-0.191	-0.14	-0.14	-0.177	-0.061	-0.174	-0.191	-0.14	-0.149	-0.126	-0.145	0.008	-0.132	-0.058	-0.001	-0.078	-0.06	-0.045	-0.098	-0.174	-0.161	-0.036	-0.077	-0.101	-0.106	-0.072	-0.203	0.031	-0.071	-0.076	-0.126	-0.132	-0.109	-0.079	-0.066	-0.048	-0.074	-0.088	0.021	-0.042	0.101	-0.169	-0.084	2016_7_13_11_34_44
FLQS30BJGRWV____	0.026	0.13	0.128	0.001	0.116	0.026	-0.055	-0.05	-0.059	0.122	0.026	0.003	0.129	0.065	-0.003	-0.064	0.115	-0.05	0.026	0.026	-0.067	0.008	0.008	0.026	-0.113	0.063	0.002	-0.114	0.003	-0.055	0.008	0.007	0.022	0.015	0.022	-0.043	-0.11	0.084	-0.043	0.003	0.004	-0.103	-0.043	-0.031	-0.115	-0.043	-0.11	-0.031	0.015	0.008	0.022	0.003	-0.11	-0.031	0.003	-0.031	-0.043	-0.043	0.015	-0.127	0.008	0.003	0.004	-0.124	-0.286	-0.243	-0.248	-0.168	-0.222	-0.267	-0.148	-0.155	-0.151	-0.225	-0.178	-0.178	-0.228	-0.208	-0.163	-0.132	-0.211	-0.145	-0.304	-0.154	-0.133	-0.183	-0.183	-0.274	-0.106	-0.192	-0.171	-0.11	-0.153	-0.143	-0.086	-0.168	0.014	-0.03	-0.185	2016_7_13_11_34_51
FLQS30BWGRWY____	-0.048	-0.124	-0.167	-0.051	0.071	-0.11	-0.04	0.004	-0.04	-0.056	0.004	0.012	-0.058	0.006	-0.054	-0.159	0	-0.04	-0.052	0.004	-0.04	-0.153	0	-0.049	-0.175	0.074	0	-0.115	-0.051	-0.052	0.058	0	0.062	0.008	-0.065	0.065	0.062	0.013	0.012	-0.035	0.013	0.006	0.062	0.062	0.002	0.008	0.004	0.013	0.013	0.062	0.005	0.013	0.013	0.013	0.013	0.125	0.013	0.013	0.062	0	0.062	-0.059	0.013	-0.053	-0.042	0.01	0.021	-0.041	-0.106	-0.024	-0.134	-0.076	-0.169	-0.035	-0.061	-0.076	-0.034	-0.066	-0.036	0.008	-0.066	-0.18	-0.038	-0.052	-0.061	0.004	-0.056	-0.044	0.037	-0.113	-0.066	-0.007	-0.049	-0.035	-0.091	-0.163	-0.044	0.019	-0.057	2016_7_13_11_34_59
FLQS30CMGRWQ____	0.078	-0.048	-0.168	-0.052	-0.051	-0.164	-0.048	-0.112	-0.055	-0.048	-0.048	-0.116	-0.112	-0.055	-0.039	-0.055	-0.055	-0.034	0.076	-0.168	-0.038	0.018	0.017	-0.052	-0.005	-0.044	0.067	-0.036	-0.042	-0.001	-0.042	0.044	0.077	-0.026	0.015	-0.11	-0.108	-0.058	0.015	0.015	0.084	0.081	0.015	0.074	0.074	0.074	0.015	0.015	0.128	0.015	0.015	0.074	0.074	0.074	0.074	-0.113	0.015	0.081	0.015	0.074	-0.026	-0.043	0.074	0.015	-0.246	-0.082	-0.133	-0.176	-0.176	-0.124	-0.183	-0.146	-0.31	-0.183	-0.042	-0.134	-0.139	-0.17	-0.194	-0.041	-0.062	-0.214	-0.243	-0.139	-0.197	-0.228	-0.226	-0.176	-0.187	-0.187	-0.246	-0.201	-0.288	-0.203	-0.188	-0.197	-0.043	0.025	-0.177	2016_7_13_11_35_05
FLQS30D5GRWQ____	0.083	0.072	0.137	0.083	0.013	0.072	0.152	0.014	0.072	0.072	0.076	0.021	0.072	0.072	0.072	0.127	-0.029	0.014	0.22	0.22	-0.053	0.076	0.072	0.008	0.076	0.029	0.219	0.216	0.086	0.192	0.072	0.145	0.129	0.008	-0.051	0.024	0.024	0.064	0.064	0.008	0.024	0.092	0.015	0.064	0.064	0.127	0.008	0.015	0.008	-0.05	0.064	0.064	0.064	0.117	0.024	0.024	0.147	0.024	0.064	0.155	0.015	0.024	-0.05	0.069	-0.234	-0.118	-0.253	-0.147	-0.189	-0.083	-0.276	-0.196	-0.212	-0.222	-0.231	-0.196	-0.341	-0.148	-0.112	-0.237	-0.195	-0.177	-0.303	-0.304	-0.16	-0.149	-0.131	-0.187	-0.232	-0.213	-0.303	-0.3	-0.231	-0.283	-0.222	-0.262	0.087	0.045	-0.214	2016_7_13_11_35_10
