SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.038	0.183	0.064	0.081	0.011	0.064	0.064	0.009	0.064	0.064	-0.049	0.064	0.161	0.014	0.146	0.01	0.023	0.064	0.009	-0.037	0.023	0.104	0.13	0.064	0.023	0.023	0.064	0.023	0.015	0.023	0.169	0.017	0.005	-0.056	-0.002	0.001	0.06	0.053	0.01	-0.052	0.114	0.118	0.008	-0.004	0.002	-0.059	-0.001	0.004	0.004	-0.018	0.057	0.005	0.062	0.06	-0.001	-0.006	0.058	0.014	0.058	0.117	0.003	0.058	0.057	0.056	0.026	-0.065	-0.097	-0.026	-0.001	-0.141	0.097	0.005	0.042	-0.126	0.031	-0.087	-0.061	0.009	-0.054	0.005	-0.001	0.099	0	0.026	0.126	-0.041	-0.048	-0.106	0.049	-0.003	-0.024	0.122	0.002	0.069	-0.069	-0.003	0.052	0.024	-0.008	2016_7_13_13_04_36
FLQS2C6NGRX5____	0.011	0.187	0.073	0.073	0.073	0.12	0.073	0.16	0.114	0.073	0.073	-0.015	0.073	0.073	0.034	0.073	0.073	0.073	0.003	0.114	0.073	0.114	-0.049	0.123	0	0.114	0.063	0.114	-0.036	0.073	0.009	0.065	-0.014	-0.001	-0.07	-0.014	-0.014	-0.014	-0.032	-0.014	-0.065	-0.068	-0.064	-0.002	-0.123	-0.007	-0.014	-0.014	-0.014	-0.007	0.058	0.061	-0.053	-0.131	-0.007	-0.131	-0.032	0.011	-0.001	0.011	-0.032	0.009	-0.014	-0.002	0.037	-0.062	-0.077	-0.121	-0.142	-0.063	0.052	-0.063	-0.025	-0.007	-0.078	-0.007	-0.071	0.061	0.031	-0.138	0.053	-0.082	0.012	-0.025	0.089	-0.025	0.023	-0.024	0.047	-0.025	-0.009	-0.025	0.053	-0.024	-0.002	-0.01	0.069	-0.025	-0.02	2016_7_13_13_04_41
FLQS2C9EGRX5____	-0.067	-0.021	-0.067	-0.067	-0.021	0.056	-0.005	-0.067	-0.067	-0.006	-0.021	-0.014	-0.008	0.04	0.05	0.059	-0.067	-0.14	-0.021	-0.131	-0.067	-0.003	-0.003	-0.137	-0.021	-0.129	-0.137	-0.129	-0.067	-0.172	-0.07	-0.123	-0.05	0.004	-0.055	0.005	-0.057	-0.116	-0.056	-0.001	-0.109	0.005	-0.057	-0.057	-0.055	-0.123	-0.055	0.009	-0.059	-0.114	-0.002	-0.055	-0.05	-0.136	0.066	0.006	0.001	-0.053	0.005	-0.053	-0.048	-0.059	0.006	-0.114	-0.009	-0.236	-0.194	-0.125	-0.138	-0.167	-0.146	-0.251	-0.03	-0.151	-0.138	-0.141	-0.144	-0.159	-0.169	-0.18	-0.225	-0.082	-0.146	-0.091	-0.033	-0.138	-0.157	-0.094	-0.125	-0.092	-0.094	-0.092	-0.01	-0.052	-0.123	-0.089	-0.051	-0.045	-0.126	2016_7_13_13_04_45
FLQS2CKUGRX5	0.039	-0.009	-0.01	-0.006	-0.006	-0.01	-0.016	-0.015	-0.006	0.1	-0.016	0.045	-0.006	-0.016	-0.007	-0.073	0.046	-0.077	-0.01	0.03	-0.01	-0.116	0.038	-0.124	-0.016	-0.126	0.109	-0.126	0.048	-0.016	-0.064	-0.058	0.01	0.015	0.009	0.006	0.01	0.066	0.071	-0.045	0.012	0.011	-0.041	0.011	0.018	0.023	0.011	0.014	0.067	0.017	-0.041	0.002	0.014	0.013	0.009	0.011	0.004	0.076	-0.049	0.076	0.008	-0.039	-0.043	0.071	-0.207	-0.187	-0.265	-0.268	-0.271	-0.293	-0.188	-0.179	-0.188	-0.234	-0.065	-0.21	-0.092	-0.089	-0.187	-0.158	-0.215	-0.157	-0.088	-0.203	-0.186	-0.139	-0.206	-0.136	-0.286	-0.141	-0.232	-0.141	-0.211	-0.082	-0.157	-0.17	-0.015	0.012	-0.182	2016_7_13_13_04_50
FLQS2F0LGRX5____	-0.173	-0.183	-0.183	-0.301	-0.173	-0.122	-0.173	-0.183	-0.183	-0.173	-0.047	-0.076	-0.173	-0.055	-0.238	-0.252	-0.183	-0.07	-0.173	-0.183	-0.183	-0.173	-0.173	-0.246	-0.065	-0.066	-0.259	-0.066	-0.252	-0.24	-0.183	-0.063	0.057	-0.056	0.058	-0.004	-0.007	0.001	0.004	0.001	-0.001	-0.063	-0.004	-0.029	-0.092	0.002	-0.057	-0.002	-0.008	-0.004	0.035	0.064	-0.005	0.059	-0.055	0.058	-0.003	0.06	-0.001	0.06	0	-0.002	-0.114	-0.007	0.162	0.087	0.189	0.135	0.078	0.057	0.169	0.191	0.083	0.011	0.025	0.04	0.087	0.027	0.113	0.113	-0.019	0.035	0.141	0.078	0.083	-0.004	0.174	0.106	0.032	0.027	0.117	0.027	0.114	0.108	0.183	0.032	-0.165	-0.002	0.088	2016_7_13_13_04_56
FLQS30AEGRWV____	0.173	0.173	0.183	0.125	0.116	0.125	0.001	0.125	0.125	0.173	0.185	0.173	0.18	0.015	0.115	0.173	0.173	0.173	0.221	0.113	0.125	0.125	-0.01	0.18	0.232	0.173	-0.002	0.173	0.177	0.004	-0.008	-0.009	0	-0.065	0.003	-0.001	0.001	-0.002	-0.054	0.013	0.001	0.002	0.004	0.01	0.004	-0.049	0.004	-0.058	0.009	-0.039	0.001	0.001	0.057	0.004	0.001	0.108	0.11	-0.069	0.056	-0.069	-0.001	0.005	-0.049	0.017	-0.203	-0.122	-0.127	-0.175	-0.097	-0.174	-0.042	-0.102	-0.196	-0.122	-0.128	-0.002	-0.126	-0.048	-0.097	-0.008	-0.122	-0.22	-0.143	-0.095	-0.197	-0.102	-0.042	-0.234	-0.158	-0.201	-0.05	-0.201	-0.123	-0.049	-0.038	-0.044	0.125	-0.001	-0.118	2016_7_13_13_05_01
FLQS30BJGRWV____	-0.104	-0.072	-0.008	0.056	-0.008	-0.005	-0.005	0.056	0.109	0.11	-0.061	0.056	-0.005	-0.025	-0.027	-0.008	-0.059	-0.008	0.119	-0.008	-0.005	-0.005	-0.108	0.107	-0.102	-0.053	-0.025	-0.053	0.108	0.094	-0.053	0.062	0.016	0.053	0.019	0.011	0.015	-0.046	0.017	0.014	-0.038	0.017	0.016	0.013	0.01	0.018	0.013	0.132	0.017	0.017	0.01	-0.045	0.009	-0.116	0.017	0.014	0.013	-0.042	-0.037	-0.042	0.018	0.07	0.016	0.075	-0.125	-0.143	-0.095	-0.315	-0.245	-0.163	-0.1	-0.321	-0.214	-0.219	-0.144	-0.194	-0.294	-0.16	-0.158	-0.178	-0.145	-0.097	-0.222	-0.242	-0.311	-0.28	-0.123	-0.217	-0.125	-0.142	-0.09	-0.142	-0.218	-0.216	-0.148	-0.203	0.002	0.009	-0.187	2016_7_13_13_05_06
FLQS30BWGRWY____	-0.095	-0.058	-0.104	0.059	-0.057	-0.05	-0.116	-0.095	-0.109	-0.161	-0.095	-0.104	-0.054	-0.017	-0.058	-0.058	-0.175	-0.011	-0.007	-0.095	-0.009	0.049	0.049	-0.095	-0.095	0.06	-0.058	0.06	-0.111	-0.104	-0.095	-0.057	0.06	0.003	0.006	0.002	0.001	0.003	0.004	-0.124	0.004	0	0	0.007	0.002	-0.003	0.009	0.065	0.007	0.002	-0.004	0.009	0.003	-0.003	-0.059	-0.047	0.005	-0.003	0.055	-0.003	0.003	-0.056	0.006	0.003	0.081	-0.037	0.11	-0.089	-0.038	-0.041	-0.012	-0.022	-0.015	0.008	-0.122	-0.017	-0.04	-0.055	0.035	0.033	0.014	-0.058	-0.059	-0.022	-0.058	-0.083	-0.079	0.063	0.064	-0.089	0.028	-0.089	-0.014	-0.012	0.082	-0.038	-0.058	-0.001	-0.018	2016_7_13_13_05_12
FLQS30CMGRWQ____	0.013	0.013	0.069	-0.051	-0.05	-0.053	0.07	0.075	-0.053	-0.053	-0.05	-0.184	-0.05	0.04	0.04	-0.182	-0.05	-0.05	0.075	-0.159	-0.05	-0.053	-0.05	-0.11	-0.05	0.081	-0.174	-0.05	-0.156	-0.05	-0.051	-0.182	0.012	0.104	-0.107	0.007	0.007	-0.049	-0.052	0.009	-0.045	-0.104	-0.058	0.02	0.008	-0.047	-0.056	-0.045	-0.015	-0.015	0.013	-0.041	-0.12	-0.047	0.015	-0.048	0.008	0.01	-0.042	-0.134	-0.105	0.02	-0.044	0.079	-0.213	-0.185	-0.226	-0.292	-0.324	-0.177	-0.231	-0.239	-0.084	-0.097	-0.325	-0.127	-0.323	-0.219	-0.217	-0.122	-0.185	-0.185	-0.24	-0.132	-0.213	-0.185	-0.185	-0.153	-0.185	-0.242	-0.125	-0.185	-0.127	-0.185	-0.179	-0.133	-0.046	-0.027	-0.195	2016_7_13_13_05_18
FLQS30D5GRWQ____	0.068	0.072	0.019	0.202	0.072	0.068	0.199	0.072	0.122	0.026	0.072	0.089	0.012	0.072	0.026	0.141	0.026	0.018	0.089	0.068	0.089	0.026	0.089	-0.042	0.068	0.021	0.089	0.202	0.142	0.026	0.208	0.072	0.011	-0.091	-0.052	-0.056	0.064	0.04	0.107	0.01	0.071	0.013	0.005	-0.06	0.01	0.076	-0.065	-0.056	0.019	0.113	0.012	0.008	0.068	0.021	0.019	-0.055	0.073	0.021	-0.054	0.021	-0.057	0.01	0.011	0.013	-0.116	-0.11	-0.192	-0.272	-0.224	-0.111	-0.286	-0.147	-0.25	-0.093	-0.309	-0.305	-0.196	-0.228	-0.214	-0.246	-0.202	-0.207	-0.139	-0.221	-0.299	-0.089	-0.328	-0.166	-0.1	-0.214	-0.224	-0.293	-0.246	-0.202	-0.281	-0.159	0.079	0.009	-0.209	2016_7_13_13_05_24
