SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.033	-0.032	-0.029	0.009	0.011	-0.002	0.002	0.006	0.004	-0.034	0.003	-0.029	0.007	-0.032	0.004	-0.033	0.004	0.004	0.009	-0.031	-0.037	-0.029	0.003	-0.03	-0.033	-0.033	-0.035	0.003	0.012	-0.028	-0.033	-0.028	0.012	0.016	0.012	0.012	0.011	0.044	0.038	0.007	0.042	0.043	0.036	0.048	0.042	0.044	0.042	0.042	0.042	0.042	0.04	0.02	0.038	0.045	0.036	0.014	0.043	0.046	0.054	0.036	0.016	0.016	0.052	0.016	0.019	0.018	0.018	0.005	0.005	0.004	0.004	0.007	0.003	0.016	0.004	0.013	0.001	0.015	0.003	0.016	0.003	0.003	0.001	0.017	0.017	0.014	0.004	0.019	0.015	0.015	0.014	0.004	0.003	0.018	0.014	0.018	-0.014	0.033	0.01	2016_7_13_13_33_38
FLQS2C6NGRX5____	0.005	0.003	0.005	0.005	-0.001	-0.001	0.009	0.008	0.005	0.006	0.004	0.003	0.003	0.006	0.005	0.003	0.005	0.005	0.003	0.004	0.011	0.002	0.004	0.002	0.007	0.002	0.004	0.004	0.01	-0.005	0.003	-0.005	-0.023	0.01	0.011	0.016	0.048	0.045	0.014	0.013	0.014	0.013	0.01	0.008	0.012	0.013	0.014	0.011	0.014	0.014	0.012	0.012	0.014	0.013	0.01	0.011	0.013	0.012	0.013	0.01	0.016	0.041	0.046	0.041	0.02	0.016	0.015	0.015	0.012	0.013	0.014	0.014	0.015	0.015	0.015	0.017	0.016	0.015	0.015	0.016	0.015	0.015	0.016	0.016	0.013	0.016	0.015	0.017	0.015	0.016	0.016	0.015	0.013	0.014	0.011	0.014	0.004	0.016	0.015	2016_7_13_13_33_42
FLQS2C9EGRX5____	-0.009	-0.005	-0.003	-0.006	-0.004	-0.005	-0.002	-0.005	-0.005	-0.008	-0.006	-0.008	-0.007	-0.004	-0.005	-0.009	-0.005	-0.005	-0.007	-0.009	-0.003	-0.008	-0.006	-0.005	-0.006	-0.009	-0.004	-0.006	-0.02	-0.009	0.003	-0.009	-0.013	-0.008	-0.042	-0.01	-0.046	-0.046	-0.04	-0.08	-0.012	-0.013	-0.013	-0.044	-0.012	-0.044	-0.012	-0.016	-0.012	-0.012	-0.013	-0.014	-0.042	-0.045	-0.013	-0.013	-0.014	-0.013	0.037	-0.013	-0.012	-0.008	-0.078	-0.008	-0.148	-0.15	-0.146	-0.149	-0.145	-0.145	-0.147	-0.14	-0.149	-0.148	-0.149	-0.144	-0.149	-0.146	-0.149	-0.148	-0.149	-0.149	-0.149	-0.147	-0.146	-0.143	-0.149	-0.15	-0.148	-0.148	-0.157	-0.149	-0.145	-0.149	-0.143	-0.149	-0.006	-0.023	-0.147	2016_7_13_13_33_47
FLQS2CKUGRX5	-0.004	-0.002	0.002	-0.004	-0.015	-0.001	-0.004	-0.005	-0.004	0.036	-0.045	-0.004	-0.004	-0.002	-0.004	-0.003	-0.004	-0.004	-0.003	0.04	-0.007	-0.043	-0.045	-0.003	-0.005	-0.002	-0.001	-0.045	-0.005	-0.007	-0.008	-0.007	0.008	0.01	-0.022	0.007	0.007	-0.033	0.004	-0.027	0.006	-0.034	0.009	0.007	0.008	-0.031	0.006	0.007	0.006	0.006	0.006	-0.032	0.004	0.009	0.009	0.006	0.048	0.008	0.011	0.009	0.01	0.006	-0.03	0.006	-0.189	-0.19	-0.186	-0.188	-0.185	-0.184	-0.188	-0.184	-0.189	-0.197	-0.175	-0.189	-0.189	-0.184	-0.189	-0.189	-0.189	-0.189	-0.189	-0.199	-0.188	-0.176	-0.175	-0.189	-0.195	-0.19	-0.19	-0.175	-0.188	-0.187	-0.182	-0.187	-0.006	0	-0.187	2016_7_13_13_33_52
FLQS2F0LGRX5____	-0.138	-0.143	-0.181	-0.141	-0.174	-0.152	-0.141	-0.139	-0.177	-0.177	-0.147	-0.137	-0.141	-0.141	-0.177	-0.18	-0.177	-0.177	-0.144	-0.178	-0.224	-0.144	-0.147	-0.142	-0.178	-0.184	-0.146	-0.147	-0.141	-0.138	-0.138	-0.138	-0.054	-0.025	-0.017	-0.024	-0.045	-0.024	-0.054	-0.05	-0.047	-0.049	-0.021	-0.052	-0.025	-0.05	-0.047	-0.021	-0.047	-0.047	0.003	-0.048	-0.01	-0.019	-0.021	-0.05	-0.047	-0.016	-0.022	-0.021	-0.053	-0.057	-0.051	-0.057	0.06	0.058	0.069	0.057	0.071	0.06	0.061	0.059	0.072	0.073	0.058	0.059	0.057	0.06	0.072	0.069	0.072	0.072	0.054	0.073	0.083	0.057	0.058	0.061	0.073	0.071	0.058	0.058	0.061	0.059	0.059	0.059	-0.157	-0.037	0.064	2016_7_13_13_33_57
FLQS30AEGRWV____	0.107	0.11	0.108	0.11	0.109	0.113	0.069	0.108	0.069	0.197	0.065	0.022	0.068	0.071	0.069	0.068	0.069	0.069	0.07	0.069	0.105	0.109	0.065	0.071	0.107	0.107	0.105	0.065	0.074	0.104	0.112	0.104	-0.01	-0.01	-0.012	-0.008	-0.006	-0.04	-0.01	-0.006	-0.007	-0.024	-0.005	0.001	-0.008	-0.008	-0.007	-0.033	-0.007	-0.007	-0.033	-0.008	-0.012	-0.012	-0.005	-0.013	0.02	-0.012	-0.012	-0.005	-0.037	-0.011	-0.009	-0.011	-0.083	-0.084	-0.083	-0.083	-0.084	-0.081	-0.069	-0.083	-0.07	-0.112	-0.068	-0.054	-0.069	-0.069	-0.07	-0.065	-0.07	-0.07	-0.066	-0.069	-0.081	-0.082	-0.068	-0.069	-0.086	-0.082	-0.082	-0.068	-0.067	-0.081	-0.084	-0.081	0.09	-0.012	-0.076	2016_7_13_13_34_03
FLQS30BJGRWV____	0.016	0.022	0.057	0.018	0.055	0.019	0.018	0.012	0.056	0.053	0.056	0.018	0.057	0.018	0.056	0.018	0.056	0.056	0.016	0.019	0.017	0.054	0.056	0.018	0.057	0.017	0.017	0.056	0.017	0.017	0.056	0.017	0.014	-0.021	0.01	0.013	0.011	0.013	0.015	0.013	0.012	0.011	0.014	-0.024	0.008	0.012	0.012	0.017	0.012	0.012	0.015	0.016	0.017	0.014	0.014	-0.017	0.011	-0.023	0.018	0.014	0.013	0.018	0.011	0.018	-0.177	-0.174	-0.19	-0.178	-0.19	-0.178	-0.178	-0.175	-0.191	-0.19	-0.191	-0.172	-0.191	-0.177	-0.191	-0.178	-0.191	-0.191	-0.177	-0.178	-0.177	-0.19	-0.191	-0.173	-0.19	-0.172	-0.177	-0.191	-0.177	-0.178	-0.19	-0.178	0.034	0.009	-0.182	2016_7_13_13_34_13
FLQS30BWGRWY____	-0.098	-0.022	-0.058	-0.063	-0.058	-0.066	-0.074	-0.06	-0.071	-0.098	-0.068	-0.062	-0.102	-0.028	-0.071	-0.059	-0.071	-0.071	-0.062	-0.098	-0.068	-0.066	-0.068	-0.1	-0.103	-0.064	-0.064	-0.068	-0.063	-0.075	-0.102	-0.075	-0.069	-0.015	-0.042	-0.008	-0.043	-0.002	-0.011	-0.042	0.03	-0.04	-0.009	0.035	-0.005	-0.012	0.03	-0.014	0.03	0.03	-0.008	-0.034	-0.011	-0.01	-0.009	-0.041	-0.039	-0.009	0.039	-0.009	0	-0.011	-0.003	-0.011	-0.019	-0.053	-0.037	-0.04	-0.036	-0.039	-0.035	-0.035	-0.042	-0.022	-0.038	-0.046	-0.026	-0.051	-0.042	-0.04	-0.042	-0.042	-0.04	-0.024	-0.037	-0.038	-0.038	-0.022	-0.021	-0.039	-0.045	-0.038	-0.041	-0.034	-0.027	-0.034	-0.071	-0.01	-0.036	2016_7_13_13_34_19
FLQS30CMGRWQ____	0.021	0.019	0.017	0.02	-0.027	0.01	0.02	0.015	0.021	0.023	0.018	0.019	-0.03	0.023	0.021	0.06	0.021	0.021	0.02	0.019	0.027	0.017	0.018	0.018	0.021	0.02	0.022	0.018	0.021	0.027	0.021	0.027	-0.036	-0.04	0.001	-0.039	0.002	-0.001	-0.033	0	-0.037	-0.035	-0.035	-0.039	0.001	-0.037	-0.037	-0.04	-0.037	-0.037	-0.038	0	-0.064	-0.039	-0.035	-0.005	-0.035	-0.038	-0.042	-0.035	0.002	-0.032	-0.035	-0.032	-0.208	-0.206	-0.211	-0.207	-0.196	-0.208	-0.208	-0.21	-0.208	-0.209	-0.207	-0.206	-0.195	-0.208	-0.208	-0.221	-0.208	-0.208	-0.207	-0.212	-0.206	-0.206	-0.207	-0.211	-0.208	-0.207	-0.207	-0.207	-0.212	-0.21	-0.207	-0.21	0.018	-0.028	-0.208	2016_7_13_13_34_25
FLQS30D5GRWQ____	0.032	0.076	0.033	0.079	0.048	0.081	0.078	0.075	0.079	0.044	0.074	0.075	0.036	0.079	0.079	0.035	0.079	0.079	0.036	0.033	0.082	0.075	0.074	0.075	0.041	0.078	0.079	0.074	0.08	0.072	0.036	0.072	0.008	0.008	0.01	-0.021	-0.019	-0.022	-0.021	0.007	-0.02	-0.018	0.008	0.008	-0.02	-0.019	-0.02	-0.022	-0.02	-0.02	-0.021	0.009	-0.022	-0.022	0.008	0.005	-0.019	-0.028	-0.074	0.008	-0.026	0.007	0.008	0.007	-0.201	-0.217	-0.202	-0.214	-0.203	-0.214	-0.214	-0.216	-0.214	-0.202	-0.217	-0.217	-0.199	-0.214	-0.214	-0.199	-0.214	-0.214	-0.199	-0.201	-0.215	-0.213	-0.217	-0.217	-0.201	-0.213	-0.207	-0.217	-0.214	-0.216	-0.203	-0.216	0.065	-0.011	-0.211	2016_7_13_13_34_30
