SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	0.021	0.014	0.015	0.015	0.015	0.015	0.014	0.015	0.016	0.015	0.016	0.015	0.016	0.017	0.016	0.016	0.014	0.014	0.015	0.015	0.014	0.016	0.016	0.016	0.014	0.017	0.021	0.013	0.014	0.016	0.014	0.014	-0.027	0.042	0.007	0.007	0.007	0.008	0.008	0.006	0.006	0.007	0.007	0.007	0.007	0.004	0.008	0.007	0.04	0.045	0.006	0.006	0.007	0.007	0.006	0.007	0.007	0.008	-0.033	0.046	0.007	0.004	0.007	0.043	0.004	0	0.003	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0	0	0.004	0.004	0.004	0.003	0.003	0.003	0.004	0.003	0.005	0	0.004	0.003	0.003	0	0.015	0.01	0.003	2016_7_13_14_34_40
FLQS2C6NGRX5____	0.05	0.017	0.05	0.05	0.05	0.05	0.012	0.052	0.056	0.05	0.012	0.05	0.055	0.017	0.011	0.056	0.051	0.015	-0.07	-0.07	0.053	0.056	0.052	-0.028	0.053	-0.026	-0.022	0.012	0.053	-0.025	0.05	0.016	0.006	0.008	0.04	0.04	0.04	0.041	0.003	0.007	0.004	0.04	0.005	0.04	0.004	0.013	0.005	0.004	0.123	-0.043	0.003	0.003	0.008	0.004	0.004	0.003	0.008	0.003	0.007	0.002	0.008	-0.041	0.041	0.002	-0.001	0.011	-0.004	-0.004	-0.004	-0.005	0.014	-0.002	-0.003	-0.004	0.014	-0.004	-0.003	0.011	0.014	-0.003	-0.014	0.017	0.045	0.045	-0.002	-0.003	-0.002	0.029	-0.002	0.029	0.026	0.014	-0.002	0.032	-0.005	0.013	0.025	0.014	0.008	2016_7_13_14_34_45
FLQS2C9EGRX5____	-0.001	0.035	-0.006	-0.006	-0.006	-0.002	-0.006	-0.004	-0.007	-0.006	-0.044	-0.006	0.034	-0.002	-0.006	-0.005	-0.006	-0.005	-0.005	-0.005	-0.009	-0.005	0.031	-0.004	-0.009	-0.005	0.041	-0.006	-0.009	-0.004	-0.003	-0.005	-0.042	-0.013	-0.015	-0.015	-0.015	-0.007	-0.008	-0.015	-0.008	-0.015	-0.007	-0.015	-0.017	-0.012	-0.043	-0.043	-0.014	-0.009	-0.042	-0.042	-0.016	-0.043	-0.015	-0.011	-0.016	-0.01	-0.016	-0.012	-0.016	-0.009	-0.01	-0.009	-0.148	-0.165	-0.148	-0.148	-0.148	-0.151	-0.149	-0.15	-0.149	-0.148	-0.135	-0.148	-0.164	-0.151	-0.147	-0.146	-0.149	-0.15	-0.147	-0.147	-0.148	-0.146	-0.164	-0.15	-0.148	-0.15	-0.167	-0.149	-0.148	-0.151	-0.151	-0.15	-0.002	-0.018	-0.15	2016_7_13_14_34_51
FLQS2CKUGRX5	-0.042	-0.015	-0.012	-0.012	-0.012	-0.011	-0.012	-0.048	-0.053	-0.012	-0.014	-0.012	-0.014	-0.013	-0.051	-0.053	-0.013	-0.013	-0.013	-0.013	-0.012	-0.053	-0.013	-0.013	-0.012	-0.013	-0.013	-0.015	-0.012	-0.012	-0.013	-0.013	-0.001	-0.003	-0.003	-0.003	-0.003	-0.003	-0.036	-0.034	-0.031	-0.003	-0.033	-0.003	-0.004	-0.035	0.004	-0.031	-0.004	-0.004	-0.034	-0.034	-0.003	-0.031	-0.035	0	-0.003	-0.001	-0.034	-0.031	-0.003	-0.003	-0.001	-0.035	-0.173	-0.184	-0.184	-0.184	-0.184	-0.185	-0.181	-0.167	-0.166	-0.184	-0.18	-0.184	-0.183	-0.181	-0.17	-0.166	-0.184	-0.184	-0.18	-0.18	-0.185	-0.166	-0.181	-0.184	-0.185	-0.184	-0.181	-0.18	-0.185	-0.185	-0.184	-0.18	-0.02	-0.015	-0.18	2016_7_13_14_34_55
FLQS2F0LGRX5____	-0.183	-0.184	-0.152	-0.152	-0.152	-0.186	-0.185	-0.183	-0.186	-0.152	-0.187	-0.152	-0.185	-0.183	-0.185	-0.185	-0.185	-0.184	-0.183	-0.183	-0.185	-0.185	-0.185	-0.185	-0.185	-0.153	-0.183	-0.185	-0.185	-0.154	-0.148	-0.186	-0.011	-0.014	-0.015	-0.015	-0.015	-0.013	-0.013	-0.014	-0.012	-0.015	-0.012	-0.015	-0.012	-0.013	-0.011	-0.011	-0.014	-0.013	-0.011	-0.011	-0.013	-0.011	-0.012	-0.013	-0.013	-0.015	-0.014	-0.012	-0.013	-0.013	-0.017	-0.047	0.075	0.075	0.064	0.064	0.064	0.076	0.076	0.075	0.077	0.064	0.076	0.064	0.075	0.076	0.075	0.076	0.076	0.076	0.075	0.075	0.076	0.076	0.075	0.076	0.076	0.064	0.075	0.076	0.076	0.064	0.062	0.08	-0.177	-0.014	0.073	2016_7_13_14_35_05
FLQS30AEGRWV____	0.087	0.117	0.118	0.118	0.118	0.118	0.12	0.118	0.119	0.118	0.117	0.118	0.117	0.118	0.119	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.119	0.117	0.118	0.118	0.116	0.12	0.118	0.118	0.116	0.119	-0.037	-0.005	-0.005	-0.005	-0.005	-0.006	-0.006	-0.042	-0.008	-0.005	-0.006	-0.005	-0.041	-0.038	-0.041	-0.041	-0.006	-0.04	-0.04	-0.04	-0.006	-0.041	-0.038	-0.004	-0.006	-0.005	-0.04	-0.008	-0.006	-0.004	-0.008	-0.006	-0.075	-0.09	-0.09	-0.09	-0.09	-0.091	-0.092	-0.087	-0.091	-0.09	-0.09	-0.09	-0.087	-0.088	-0.088	-0.087	-0.091	-0.087	-0.087	-0.087	-0.091	-0.087	-0.088	-0.091	-0.091	-0.09	-0.087	-0.092	-0.091	-0.091	-0.09	-0.091	0.117	-0.018	-0.089	2016_7_13_14_35_12
FLQS30BJGRWV____	0.042	0.015	0.046	0.046	0.046	0.045	0.045	0.048	0.05	0.046	0.049	0.046	0.048	0.047	0.047	0.05	0.047	0.046	0.047	0.047	0.014	0.05	0.048	0.014	0.014	0.048	0.049	0.047	0.014	0.046	0.046	0.014	0.006	0.007	0.006	0.006	0.006	0.006	0.002	0.005	0.004	0.006	0.007	0.006	0	0.003	0.002	0.005	0	0.007	0.003	0.003	-0.021	0.005	0.006	-0.022	-0.021	0.006	0.005	0.007	-0.021	0.007	0.003	0.006	-0.187	-0.176	-0.187	-0.187	-0.187	-0.188	-0.187	-0.188	-0.189	-0.187	-0.189	-0.187	-0.188	-0.188	-0.187	-0.189	-0.187	-0.188	-0.188	-0.188	-0.172	-0.189	-0.188	-0.172	-0.172	-0.188	-0.188	-0.188	-0.172	-0.187	-0.188	-0.175	0.041	0.002	-0.185	2016_7_13_14_35_18
FLQS30BWGRWY____	-0.064	-0.096	-0.06	-0.06	-0.06	-0.059	-0.058	-0.058	-0.057	-0.06	-0.059	-0.06	-0.057	-0.058	-0.058	-0.058	-0.058	-0.061	-0.058	-0.058	-0.023	-0.058	-0.057	-0.059	-0.023	-0.059	-0.02	-0.058	-0.023	-0.023	-0.06	-0.097	-0.004	-0.006	-0.007	-0.007	-0.007	-0.007	-0.005	-0.006	-0.006	-0.007	-0.005	-0.007	-0.005	-0.008	-0.005	-0.005	-0.006	-0.007	-0.006	-0.006	-0.005	-0.005	-0.006	-0.006	-0.005	-0.005	-0.007	-0.005	-0.005	-0.004	-0.005	-0.005	-0.037	-0.025	-0.039	-0.039	-0.039	-0.039	-0.039	-0.04	-0.04	-0.039	-0.04	-0.039	-0.04	-0.04	-0.04	-0.04	-0.039	-0.039	-0.04	-0.04	-0.053	-0.04	-0.039	-0.039	-0.053	-0.04	-0.055	-0.039	-0.053	-0.053	-0.039	-0.025	-0.056	-0.006	-0.041	2016_7_13_14_35_23
FLQS30CMGRWQ____	0.007	0.007	0.009	0.009	0.009	0.009	0.009	0.01	0.011	0.009	0.007	0.009	0.009	-0.029	0.01	0.009	-0.058	0.009	0.011	0.011	-0.03	0.009	0.01	-0.032	-0.03	0.007	0.01	0.009	-0.03	0.008	0.008	0.006	-0.005	-0.001	-0.003	-0.003	-0.003	-0.004	-0.01	0	-0.009	-0.003	-0.009	-0.003	-0.007	-0.038	-0.003	-0.007	-0.074	-0.004	-0.003	-0.003	-0.031	-0.007	-0.007	-0.037	-0.031	-0.006	0.001	-0.009	-0.031	-0.004	-0.008	-0.007	-0.207	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.207	-0.208	-0.208	-0.19	-0.209	-0.208	-0.176	-0.209	-0.209	-0.209	-0.19	-0.208	-0.208	-0.19	-0.19	-0.207	-0.209	-0.208	-0.19	-0.208	-0.207	-0.207	0.001	-0.012	-0.204	2016_7_13_14_35_29
FLQS30D5GRWQ____	0.038	0.073	0.034	0.034	0.034	0.073	0.073	-0.002	0.074	0.034	0.035	0.034	0.074	0.076	-0.006	0.073	0.073	0.074	0.074	0.074	0.073	0.073	0.111	0.073	0.073	0.072	-0.001	-0.007	0.073	0.073	0.074	0.036	0	0.003	-0.003	-0.003	-0.003	-0.001	-0.001	-0.031	-0.036	-0.003	-0.003	-0.003	-0.037	-0.004	-0.029	-0.036	-0.002	-0.036	-0.034	-0.034	-0.002	-0.036	-0.005	-0.003	-0.002	-0.002	0.005	-0.03	-0.002	-0.004	-0.002	-0.034	-0.204	-0.217	-0.202	-0.202	-0.202	-0.217	-0.217	-0.185	-0.214	-0.202	-0.202	-0.202	-0.214	-0.217	-0.184	-0.214	-0.217	-0.214	-0.215	-0.215	-0.217	-0.214	-0.231	-0.217	-0.217	-0.217	-0.19	-0.184	-0.217	-0.217	-0.218	-0.2	0.055	-0.013	-0.209	2016_7_13_14_35_34
