SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	0.017	-0.003	-0.019	0.027	-0.021	-0.006	0.018	0.066	-0.018	-0.038	0.012	-0.038	0.031	0.01	0.044	0.037	-0.04	0.018	0.018	0.018	0.08	-0.017	-0.019	-0.038	0.019	-0.001	0.012	0.015	0.015	0.046	0.01	0.012	0.049	0.003	0.044	0.057	0.044	0.003	0	0.039	0.008	0.004	0.007	0.003	0.007	0.006	0.006	0.041	0.003	0	0	0	0.064	0.006	0.007	0.002	0.053	0.041	0.008	0.006	0.007	0.005	0.005	0.006	-0.002	0.011	0.013	-0.007	0.014	0.012	0.002	-0.021	0.017	0.026	0.004	0.025	-0.003	0.004	-0.009	-0.009	0.026	0.003	0.002	0.003	-0.03	0.016	0.017	0.025	-0.003	0.007	0.004	0.002	0.003	-0.009	0.005	0.005	0.008	0.017	0.005	2016_7_13_10_27_32
FLQS2C6NGRX5____	0.056	0.058	0.057	0.057	0.027	0.022	0.028	0.026	0.088	0.025	0.058	0.057	0.059	0.024	0.058	0.026	0.025	0.029	0.026	0.061	0.025	0.028	0.058	0.058	0.053	0.057	0.055	0.056	0.052	0.021	0.025	0.023	0.013	0.012	0.012	0.011	0.012	0.012	0.011	0.013	0.011	0.012	0.012	0.012	0.012	0.011	0.012	0.012	0.013	0.012	0.012	0.013	0.011	0.011	0.012	0.011	0.013	0.013	0.012	0.038	0.011	0.011	0.013	0.01	-0.005	-0.006	-0.006	-0.006	0.007	0.008	0.006	0.007	-0.019	0.008	-0.007	-0.006	-0.007	0.008	-0.006	0.007	0.007	0.006	0.007	-0.007	0.008	0.006	-0.007	-0.006	-0.005	-0.006	-0.005	-0.008	-0.004	0.009	0.007	0.008	0.043	0.013	0	2016_7_13_10_27_38
FLQS2C9EGRX5____	-0.006	-0.004	-0.004	-0.008	-0.008	-0.004	-0.008	-0.006	-0.005	-0.006	-0.008	-0.007	-0.009	-0.009	-0.007	-0.008	-0.009	-0.008	-0.008	-0.006	-0.006	-0.007	-0.006	-0.005	-0.007	-0.008	-0.005	-0.006	-0.004	-0.006	-0.008	-0.007	-0.009	-0.04	-0.011	-0.011	-0.009	-0.039	-0.009	-0.009	-0.04	-0.009	-0.012	-0.009	-0.009	-0.011	-0.037	-0.009	-0.01	-0.009	-0.01	-0.037	-0.041	-0.01	-0.009	-0.04	-0.04	-0.01	-0.039	-0.01	-0.012	-0.039	-0.01	-0.01	-0.149	-0.148	-0.15	-0.148	-0.148	-0.148	-0.149	-0.149	-0.147	-0.149	-0.148	-0.149	-0.148	-0.148	-0.147	-0.149	-0.148	-0.149	-0.149	-0.147	-0.146	-0.149	-0.15	-0.147	-0.146	-0.148	-0.147	-0.149	-0.15	-0.146	-0.149	-0.149	-0.007	-0.019	-0.148	2016_7_13_10_27_43
FLQS2CKUGRX5	-0.023	-0.017	-0.02	-0.049	-0.019	-0.048	-0.018	-0.019	-0.018	-0.017	-0.019	-0.05	-0.019	-0.052	-0.051	-0.02	-0.019	-0.019	-0.052	-0.018	-0.054	-0.019	-0.019	-0.018	-0.051	-0.017	-0.018	-0.021	-0.02	-0.051	-0.049	-0.054	0.002	0.001	0.002	-0.026	0.001	0.003	0	0.003	0.002	0.001	0	0.001	0	0.001	0.001	0.002	0.002	0	0.001	0.001	0.002	0.001	0.001	0	-0.026	0.001	0.001	-0.026	0.003	0.004	0.002	0.001	-0.18	-0.182	-0.181	-0.166	-0.182	-0.169	-0.181	-0.181	-0.182	-0.182	-0.181	-0.168	-0.181	-0.167	-0.168	-0.181	-0.181	-0.181	-0.167	-0.182	-0.167	-0.182	-0.181	-0.182	-0.166	-0.182	-0.182	-0.178	-0.181	-0.168	-0.169	-0.167	-0.03	-0.001	-0.177	2016_7_13_10_27_48
FLQS2F0LGRX5____	-0.149	-0.179	-0.177	-0.177	-0.18	-0.179	-0.181	-0.179	-0.18	-0.179	-0.18	-0.179	-0.181	-0.182	-0.179	-0.179	-0.177	-0.179	-0.178	-0.18	-0.179	-0.179	-0.179	-0.179	-0.146	-0.178	-0.149	-0.18	-0.181	-0.182	-0.179	-0.181	-0.006	-0.01	-0.009	-0.009	-0.01	-0.042	-0.009	-0.01	-0.041	-0.041	-0.011	-0.009	-0.007	-0.042	-0.01	-0.011	-0.01	-0.009	-0.01	-0.008	-0.008	-0.009	-0.008	-0.008	-0.009	-0.01	-0.008	-0.009	-0.042	-0.042	-0.01	-0.04	0.066	0.078	0.077	0.078	0.079	0.082	0.08	0.079	0.082	0.081	0.079	0.079	0.079	0.083	0.078	0.079	0.078	0.078	0.078	0.079	0.078	0.079	0.078	0.079	0.065	0.078	0.066	0.079	0.083	0.083	0.078	0.082	-0.176	-0.016	0.078	2016_7_13_10_27_53
FLQS30AEGRWV____	0.119	0.115	0.085	0.117	0.113	0.115	0.113	0.116	0.114	0.115	0.114	0.112	0.114	0.118	0.116	0.112	0.115	0.083	0.083	0.115	0.119	0.114	0.115	0.082	0.117	0.114	0.119	0.12	0.118	0.117	0.082	0.117	-0.039	-0.006	-0.006	-0.005	-0.004	-0.004	-0.004	-0.003	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.005	-0.006	-0.004	-0.004	-0.004	-0.003	-0.002	-0.004	-0.004	-0.005	-0.004	-0.003	-0.005	-0.04	-0.004	-0.004	-0.004	-0.004	-0.092	-0.093	-0.081	-0.094	-0.092	-0.094	-0.093	-0.094	-0.093	-0.093	-0.093	-0.092	-0.093	-0.095	-0.093	-0.092	-0.093	-0.08	-0.08	-0.094	-0.095	-0.093	-0.094	-0.08	-0.094	-0.093	-0.094	-0.092	-0.095	-0.094	-0.079	-0.094	0.111	-0.006	-0.091	2016_7_13_10_27_59
FLQS30BJGRWV____	0.011	0.011	0.011	0.036	0.011	0.012	0.012	0.009	0.01	0.01	0.013	0.011	0.011	0.011	0.012	0.009	0.014	0.013	0.01	0.012	0.04	0.01	0.011	0.011	0.041	0.013	0.009	0.04	0.043	0.01	0.013	0.01	0.007	0.004	0.005	0.006	0.005	0.006	0.004	0.005	0.005	-0.023	-0.022	0.004	0.006	0.005	0.006	0.004	-0.023	0.004	0.006	0.003	0.005	0.004	0.004	0.003	0.005	-0.022	0.006	0.006	0.005	0.007	0.005	0.006	-0.175	-0.174	-0.174	-0.185	-0.174	-0.175	-0.175	-0.173	-0.174	-0.172	-0.172	-0.175	-0.175	-0.174	-0.175	-0.173	-0.173	-0.175	-0.174	-0.174	-0.186	-0.174	-0.175	-0.174	-0.187	-0.173	-0.174	-0.187	-0.188	-0.174	-0.175	-0.174	0.016	0.002	-0.176	2016_7_13_10_28_05
FLQS30BWGRWY____	-0.057	-0.059	-0.029	-0.06	-0.057	-0.06	-0.057	-0.09	-0.058	-0.059	-0.058	-0.06	-0.091	-0.058	-0.064	-0.061	-0.058	-0.057	-0.059	-0.06	-0.06	-0.059	-0.088	-0.027	-0.056	-0.058	-0.056	-0.057	-0.057	-0.092	-0.059	-0.064	-0.005	-0.005	-0.005	-0.005	-0.005	-0.036	-0.007	-0.036	-0.036	-0.036	-0.007	-0.006	-0.006	-0.035	-0.035	-0.034	-0.006	-0.006	-0.007	-0.035	-0.005	-0.007	-0.006	-0.033	-0.005	-0.007	-0.035	-0.004	-0.008	-0.035	-0.006	-0.035	-0.039	-0.038	-0.05	-0.037	-0.038	-0.034	-0.038	-0.022	-0.035	-0.035	-0.038	-0.037	-0.024	-0.035	-0.033	-0.034	-0.038	-0.038	-0.038	-0.035	-0.037	-0.037	-0.025	-0.049	-0.039	-0.038	-0.036	-0.038	-0.038	-0.021	-0.037	-0.033	-0.061	-0.017	-0.036	2016_7_13_10_28_09
FLQS30CMGRWQ____	0.008	0.01	0.011	-0.018	0.01	0.008	-0.02	-0.022	-0.022	-0.02	-0.018	-0.021	0.006	-0.022	-0.021	0.011	-0.022	0.007	-0.022	0.009	0.007	0.008	-0.02	0.008	-0.021	0.009	0.012	0.007	0.01	0.009	-0.022	-0.021	-0.002	-0.036	-0.036	-0.004	-0.038	-0.038	-0.038	-0.039	-0.038	-0.038	-0.038	-0.038	-0.039	-0.038	-0.036	-0.037	-0.038	-0.038	-0.039	-0.038	-0.002	-0.039	-0.038	-0.038	-0.003	-0.038	-0.039	-0.004	-0.04	-0.037	-0.038	-0.038	-0.208	-0.206	-0.207	-0.197	-0.205	-0.205	-0.193	-0.192	-0.193	-0.193	-0.194	-0.192	-0.204	-0.192	-0.193	-0.206	-0.193	-0.205	-0.192	-0.206	-0.208	-0.205	-0.193	-0.205	-0.197	-0.205	-0.206	-0.207	-0.205	-0.206	-0.193	-0.193	-0.005	-0.032	-0.2	2016_7_13_10_28_14
FLQS30D5GRWQ____	0.032	0.035	0.069	0.07	0.067	0.035	0.066	0.036	0.034	0.032	0.033	0.033	0.034	0.067	0.033	0.035	0.034	0.068	0.036	0.069	0.07	0.036	0.066	0.034	0.066	0.032	0.065	0.039	0.065	0.033	0.068	0.037	-0.036	-0.004	-0.004	-0.005	-0.003	-0.003	-0.005	-0.006	-0.003	-0.004	-0.004	-0.004	-0.005	-0.005	-0.004	-0.006	-0.005	-0.006	-0.005	-0.006	-0.035	-0.005	-0.005	-0.004	-0.031	-0.005	-0.003	-0.033	-0.035	-0.004	-0.005	-0.004	-0.199	-0.203	-0.217	-0.218	-0.217	-0.204	-0.216	-0.204	-0.203	-0.203	-0.202	-0.203	-0.203	-0.216	-0.203	-0.203	-0.203	-0.217	-0.204	-0.217	-0.215	-0.204	-0.216	-0.203	-0.214	-0.202	-0.216	-0.202	-0.213	-0.203	-0.217	-0.205	0.048	-0.009	-0.208	2016_7_13_10_28_21
