SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.054	0.09	-0.054	-0.018	-0.139	-0.069	0.066	0	-0.054	-0.123	0.067	0.004	0.007	0.075	0.012	-0.018	-0.065	-0.054	-0.057	-0.057	0.08	-0.057	-0.057	-0.132	0.077	-0.054	-0.014	-0.131	-0.065	-0.054	0.005	-0.018	0.061	-0.063	-0.056	-0.056	-0.056	0.066	0.003	0.003	0.003	-0.056	0.06	-0.056	0.003	0.003	-0.063	-0.056	0.06	0.003	-0.056	0.003	-0.063	-0.063	0.003	0.003	-0.063	0.003	-0.056	0.003	-0.056	-0.056	0.053	-0.063	-0.133	0.072	-0.114	-0.063	-0.079	-0.037	0.025	-0.006	0.104	-0.05	0.03	0.015	0.013	0.055	0.009	-0.012	-0.012	-0.118	-0.025	0.121	0.09	-0.112	-0.025	-0.078	0.068	-0.027	-0.031	-0.053	-0.012	-0.012	0	-0.056	-0.027	-0.019	-0.014	2016_7_13_17_11_21
FLQS2C6NGRX5____	-0.131	-0.121	-0.121	-0.121	-0.208	-0.131	-0.147	-0.073	-0.202	-0.008	-0.192	-0.143	-0.143	-0.053	-0.243	-0.121	-0.147	-0.013	-0.147	-0.147	-0.146	-0.258	-0.147	0.002	-0.192	-0.131	-0.027	-0.023	-0.144	-0.215	-0.075	-0.03	-0.008	0.008	0	0.008	-0.008	-0.008	-0.008	-0.057	-0.053	-0.008	0	-0.06	0.072	-0.008	-0.053	0.067	-0.127	0.008	-0.058	-0.127	-0.008	0.008	0.072	-0.008	0.003	0.008	-0.008	0.008	0	-0.008	-0.008	0.008	-0.123	0.055	0.011	-0.025	-0.091	-0.039	-0.08	-0.033	-0.095	0.005	-0.08	-0.188	-0.072	0.02	-0.062	-0.163	-0.08	-0.034	-0.072	-0.072	-0.08	-0.125	-0.08	0.016	-0.093	-0.187	-0.065	-0.032	-0.069	-0.113	-0.036	-0.045	-0.125	-0.011	-0.067	2016_7_13_17_11_43
FLQS2C9EGRX5____	-0.007	-0.008	-0.008	0.065	0.009	0.139	0.017	-0.008	-0.008	-0.068	-0.059	-0.003	-0.067	0.127	-0.008	-0.008	0.124	-0.008	0.054	-0.066	-0.008	0.127	-0.059	-0.008	0.012	-0.007	-0.003	0.009	-0.008	-0.003	0.01	-0.008	-0.07	-0.07	-0.06	-0.07	0.001	-0.197	-0.125	-0.07	-0.125	-0.07	-0.07	-0.07	0.001	0.001	0.001	-0.131	-0.06	0.001	0.001	-0.06	-0.07	-0.07	-0.06	0.001	-0.19	-0.07	-0.06	-0.07	0.001	-0.141	0.001	0.001	-0.589	-0.82	-0.786	-0.629	-0.768	-0.597	-0.646	-0.756	-0.762	-0.72	-0.69	-0.751	-0.671	-0.612	-0.6	-0.69	-0.63	-0.701	-0.683	-0.712	-0.786	-0.61	-0.699	-0.788	-0.66	-0.69	-0.695	-0.654	-0.683	-0.57	-0.645	-0.609	0.008	-0.061	-0.684	2016_7_13_17_11_49
FLQS2CKUGRX5	-0.127	-0.012	0.004	0.026	-0.005	-0.058	0.002	-0.068	-0.064	0.06	-0.002	-0.065	-0.065	0.084	0.075	0.004	-0.004	0.002	0.072	0.122	0.072	0.004	0.001	0.063	0.145	0.065	0.119	-0.078	-0.049	0.002	-0.004	0.077	0.061	0.073	0.073	0.004	0.073	0.061	0.073	0.061	0.13	0.004	0.061	0.073	-0.066	0.061	0.061	-0.004	0.061	0.073	-0.067	0.061	-0.006	0.061	0.061	0.073	-0.056	0.061	0.127	0.061	-0.006	0.061	0.061	0.061	-0.055	-0.037	0.024	0.053	-0.028	-0.016	-0.12	-0.049	-0.037	0.029	-0.01	-0.035	-0.027	0.08	0.052	-0.067	-0.085	0.116	0.037	0.036	0.035	0.124	-0.009	0.005	0.072	0.021	0.052	-0.056	0.021	-0.012	0.005	0.069	0.012	0.047	0.006	2016_7_13_17_11_54
FLQS2F0LGRX5____	0.066	0.056	0.146	0.056	0.056	0	0.065	0.064	0.056	-0.003	-0.038	0.056	0.002	0.064	0.056	0.056	0.009	0.141	0.007	0.056	0.131	0.009	-0.061	0.008	0.056	0.002	0.056	0.013	0.004	-0.071	-0.062	0.056	0.197	0.197	0.057	0.055	0.197	0.197	0.197	0.197	0.197	0.197	0.055	0.197	0.055	0.197	0.262	0.197	0.197	0.057	0.197	0.057	0.055	0.057	0.199	0.057	0.197	0.199	0.057	0.197	0.197	0.197	0.197	0.197	0.032	-0.103	0.089	0.023	0.071	-0.023	0.034	0.032	0.032	-0.011	0.014	-0.055	0.033	0.009	0.112	0.084	0.007	0.089	-0.012	0.023	0.06	0.011	-0.039	0.023	0.011	-0.009	0.089	0.038	0.011	-0.05	-0.052	0.066	0.035	0.155	0.02	2016_7_13_17_11_59
FLQS30AEGRWV____	-0.072	-0.046	0.06	-0.046	-0.056	-0.069	-0.003	-0.164	-0.056	-0.056	-0.056	-0.127	-0.132	-0.069	-0.067	-0.072	0.056	-0.188	-0.056	-0.067	-0.198	-0.129	0.008	-0.001	-0.072	-0.072	-0.056	-0.149	-0.005	-0.026	-0.072	-0.003	-0.134	-0.134	-0.134	-0.134	-0.083	-0.2	-0.134	-0.2	-0.134	-0.134	-0.134	-0.134	-0.2	-0.134	-0.134	-0.2	-0.134	-0.2	-0.064	-0.268	-0.2	-0.2	-0.2	-0.2	-0.078	-0.134	-0.2	-0.134	-0.134	-0.2	-0.134	-0.125	-0.039	0.077	0.017	0.025	-0.019	-0.019	-0.001	-0.135	0.007	0.032	0.053	-0.043	-0.039	-0.051	-0.137	-0.17	0.027	-0.06	-0.124	-0.019	-0.077	-0.041	0.054	0.008	-0.155	-0.176	-0.097	-0.083	0.004	0.01	-0.053	0.005	-0.064	-0.155	-0.038	2016_7_13_17_12_04
FLQS30BJGRWV____	0.259	0.263	0.126	0.139	0.075	0.262	0.191	0.262	0.126	0.136	-0.01	0.066	0.136	0.075	-0.001	0.126	0.126	0.258	0.075	0.069	0.066	0.188	0.202	0.126	0.137	0.126	0.004	0.071	0.126	0.075	0.075	0.208	0.127	0.237	0.127	0.127	0.127	0.053	0.127	0.269	0.068	0.127	0.127	0.127	0.127	0.127	0.127	0.184	0.127	0.127	0.127	0.061	0.267	0.127	0.127	0.127	0.184	0.127	0.127	0.127	0.061	0.127	0.127	0.127	0.106	0.116	-0.036	0.074	0.03	0.124	0.096	0.114	-0.063	0.075	-0.033	0.03	0.069	0.054	0.01	0.032	0.043	0.09	0.032	0.03	0.019	0.072	0.091	-0.047	0.057	-0.047	0.008	0.047	0.162	-0.081	0.043	0.119	0.13	0.134	0.045	2016_7_13_17_12_09
FLQS30BWGRWY____	0.061	0.158	0.069	-0.004	-0.064	0.061	0.141	-0.03	-0.013	0.061	0.143	0.015	-0.077	0	0.13	-0.004	0.005	-0.06	-0.106	0.015	-0.009	0.005	0.133	-0.009	-0.009	0.068	0.02	0.075	-0.03	-0.007	-0.077	0	0.062	-0.003	-0.003	0.06	0.065	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	0.027	0.086	0.056	-0.005	-0.034	0.019	0.09	-0.005	-0.025	0.017	0.104	0.044	-0.065	-0.001	0.046	-0.001	-0.076	-0.003	-0.084	-0.081	-0.024	0.024	0.078	-0.132	-0.023	0.055	0.057	0.055	0.014	-0.026	-0.049	0.023	0.021	0.003	0.005	2016_7_13_17_12_15
FLQS30CMGRWQ____	-0.066	-0.015	0.003	-0.017	0.012	0.012	-0.009	0.012	0.06	0.052	0.012	-0.129	-0.13	-0.126	0.077	0.012	0.012	0.003	-0.003	-0.001	0.052	0.076	0.081	-0.066	0.077	0.052	0.012	0.131	-0.01	0.072	0.002	0.012	0.017	0.017	-0.054	0.017	-0.049	-0.136	0.017	0.017	0.011	0.011	0.017	0.011	-0.122	-0.049	0.011	0.017	0.011	0.011	-0.049	0.011	0.011	0.011	0.017	0.011	0.011	0.011	0.011	0.011	0.017	0.011	0.011	-0.049	0.477	0.522	0.513	0.46	0.431	0.642	0.485	0.559	0.515	0.659	0.399	0.457	0.453	0.458	0.574	0.591	0.574	0.424	0.51	0.509	0.65	0.568	0.596	0.467	0.567	0.492	0.637	0.572	0.459	0.556	0.519	0.542	0.008	-0.005	0.526	2016_7_13_17_12_21
FLQS30D5GRWQ____	-0.136	-0.069	-0.132	-0.076	0.022	-0.074	-0.069	-0.069	-0.069	-0.002	0.065	-0.151	-0.075	-0.074	0.058	-0.076	-0.009	-0.069	-0.149	0.002	-0.076	-0.006	-0.132	-0.076	0.053	-0.076	0.066	-0.01	-0.069	0.046	-0.012	-0.076	0.001	0.001	0.001	0.001	0.062	0.001	0.001	0.071	0.062	0.001	0.001	0.062	0.001	-0.065	0.001	-0.066	0.137	-0.065	0.071	0.062	0.001	0.001	0.064	0.062	0.001	0.127	0.001	0.001	0.001	0.064	0.001	0.128	-0.056	-0.084	-0.049	-0.056	0.002	-0.015	-0.112	-0.103	-0.099	0.008	0.048	-0.111	-0.049	-0.033	0.028	-0.128	-0.011	-0.126	-0.119	0.036	-0.12	-0.025	-0.056	0.083	0.016	-0.049	0.051	-0.02	-0.024	-0.022	-0.03	-0.169	-0.047	0.025	-0.044	2016_7_13_17_12_27
