SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.003	-0.043	-0.047	-0.047	-0.043	-0.038	-0.041	-0.041	-0.04	-0.008	-0.041	-0.047	-0.042	-0.042	-0.005	-0.047	-0.043	-0.041	-0.047	-0.048	-0.047	-0.006	-0.041	-0.042	-0.008	-0.038	-0.004	-0.007	-0.042	-0.043	-0.043	-0.004	-0.001	-0.002	0.038	0.038	0.003	-0.043	-0.002	-0.002	-0.001	-0.001	-0.001	0.038	-0.003	-0.001	-0.003	0.038	-0.002	-0.002	0.038	-0.002	-0.002	-0.002	-0.001	-0.001	-0.001	-0.043	-0.004	-0.003	0	0.003	-0.001	-0.004	0.025	0.01	0.005	0.005	0.009	0.015	0.011	0.011	0.011	0.024	0.011	0.005	0.01	0.01	0.025	0.005	0.01	0.011	0.005	0.008	0.008	0.024	0.01	0.01	0.023	0.015	0.025	0.024	0.01	0.009	0.01	0.025	-0.034	0.002	0.013	2016_7_13_17_40_04
FLQS2C6NGRX5____	-0.093	-0.136	-0.129	-0.129	-0.125	-0.092	-0.126	-0.126	-0.13	-0.128	-0.128	-0.129	-0.128	-0.166	-0.17	-0.129	-0.135	-0.089	-0.129	-0.164	-0.131	-0.127	-0.091	-0.127	-0.129	-0.092	-0.128	-0.128	-0.13	-0.125	-0.095	-0.128	0.001	0.002	0.005	0.005	0.005	0.004	0.004	0.004	0.005	0.005	0.005	0.005	0.005	0.003	0.004	0.005	0.045	0.004	0.005	0.005	0.007	0.005	0.002	0.004	0.004	0.004	0.003	0.005	0.004	0.005	0.005	0.003	-0.036	-0.053	-0.05	-0.05	-0.048	-0.035	-0.049	-0.049	-0.051	-0.05	-0.05	-0.05	-0.05	-0.065	-0.065	-0.05	-0.057	-0.035	-0.05	-0.063	-0.051	-0.05	-0.035	-0.049	-0.05	-0.035	-0.05	-0.05	-0.051	-0.048	-0.037	-0.05	-0.125	0.006	-0.049	2016_7_13_17_40_10
FLQS2C9EGRX5____	0.022	-0.01	0.018	0.018	0.067	0.024	0.016	0.016	0.066	0.014	0.063	0.018	0.065	0.017	0.061	0.018	-0.015	0.054	0.018	0.016	0.06	0.027	0.058	0.026	0.016	0.024	0.063	0.058	0.018	0.067	0.067	0.063	-0.059	-0.056	-0.019	-0.019	-0.017	-0.059	-0.017	-0.017	-0.016	-0.019	-0.059	-0.019	-0.018	-0.018	-0.058	-0.019	-0.06	-0.017	-0.019	-0.018	-0.06	-0.058	-0.019	-0.06	-0.018	-0.059	-0.06	-0.02	-0.016	-0.017	-0.015	-0.06	0.014	0.002	0.008	0.008	0.027	0.015	0.008	0.008	0.027	0.007	0.03	0.008	0.027	0.009	0.029	0.008	0	0.023	0.008	0.009	0.029	0.016	0.024	0.016	0.008	0.015	0.03	0.024	0.008	0.027	0.027	0.03	0.035	-0.033	0.017	2016_7_13_17_40_15
FLQS2CKUGRX5	-0.016	-0.017	-0.012	-0.012	-0.016	-0.013	-0.045	-0.045	-0.013	-0.018	-0.011	-0.012	-0.009	-0.014	-0.044	-0.012	-0.055	-0.01	-0.012	-0.052	-0.016	-0.016	-0.014	-0.012	-0.017	-0.013	-0.01	-0.01	-0.015	-0.016	-0.05	-0.01	0.06	0.058	0.06	0.06	0.057	0.059	0.059	0.059	0.059	0.058	0.06	0.06	0.059	0.059	0.022	0.06	0.062	0.06	0.06	0.061	0.059	0.06	0.059	0.06	0.058	0.059	0.059	0.058	0.059	0.057	0.061	0.059	-0.012	-0.012	-0.011	-0.011	-0.013	-0.012	-0.024	-0.024	-0.011	-0.013	-0.01	-0.011	-0.009	-0.011	-0.019	-0.011	-0.027	-0.01	-0.011	-0.026	-0.012	-0.012	-0.011	-0.011	-0.013	-0.012	-0.009	-0.01	-0.011	-0.013	-0.025	-0.009	-0.02	0.058	-0.014	2016_7_13_17_40_20
FLQS2F0LGRX5____	0.068	0.058	0.025	0.025	0.076	0.075	0.065	0.065	0.026	0.061	0.076	0.025	0.062	0.06	0.067	0.025	0.075	0.063	0.025	0.079	0.081	0.063	0.066	0.055	0.063	0.075	0.103	0.066	0.058	0.076	0.064	0.103	-0.008	-0.01	-0.005	-0.005	-0.05	-0.048	-0.007	-0.007	-0.006	-0.008	-0.051	-0.005	-0.011	-0.008	-0.05	-0.005	-0.049	-0.009	-0.005	-0.049	-0.05	-0.009	-0.008	-0.007	-0.009	-0.048	-0.011	-0.008	-0.008	-0.05	-0.009	-0.011	0.027	0.024	0.01	0.01	0.034	0.034	0.026	0.026	0.011	0.025	0.034	0.01	0.025	0.024	0.031	0.01	0.034	0.025	0.01	0.036	0.036	0.025	0.026	0.022	0.025	0.034	0.04	0.026	0.023	0.034	0.025	0.04	0.062	-0.02	0.026	2016_7_13_17_40_25
FLQS30AEGRWV____	-0.052	-0.055	-0.03	-0.03	-0.054	0.013	-0.05	-0.05	-0.085	-0.047	-0.128	-0.03	-0.045	-0.048	-0.046	-0.03	-0.093	-0.047	-0.03	-0.051	-0.086	-0.047	-0.005	-0.051	-0.047	0.013	-0.048	-0.091	-0.05	-0.054	-0.047	-0.048	0.002	0.001	-0.046	-0.046	0	-0.087	0.003	0.003	0.006	0.003	-0.038	-0.046	0.003	0.003	-0.04	-0.046	0.003	0.003	-0.046	0.001	-0.039	-0.04	0.003	0.003	0.003	-0.087	-0.038	0.003	0.003	0	0.002	-0.038	0.532	0.531	0.546	0.546	0.532	0.566	0.533	0.533	0.519	0.534	0.507	0.546	0.536	0.534	0.539	0.546	0.517	0.534	0.546	0.533	0.524	0.538	0.55	0.532	0.535	0.566	0.538	0.517	0.533	0.532	0.534	0.538	-0.048	-0.018	0.536	2016_7_13_17_40_30
FLQS30BJGRWV____	-0.029	-0.032	0.008	0.008	0.018	0.009	0.051	0.051	0.053	0.046	0.057	0.008	0.004	0.057	0.049	0.008	0.006	0.05	0.008	0.013	0.02	0.052	0.007	0.052	0.054	0.009	0.051	-0.027	0.007	0.018	0.003	0.051	-0.031	-0.034	0.007	0.007	-0.033	0.005	0.003	0.003	0.004	0.006	-0.038	0.007	0.005	-0.032	0.004	0.007	0.005	0.004	0.007	-0.036	-0.034	-0.039	0.006	0.006	-0.037	0.005	-0.034	-0.034	0.006	-0.033	0.004	-0.034	-0.116	-0.118	-0.106	-0.106	-0.098	-0.105	-0.089	-0.089	-0.089	-0.091	-0.082	-0.106	-0.108	-0.084	-0.09	-0.106	-0.107	-0.09	-0.106	-0.099	-0.097	-0.084	-0.106	-0.089	-0.084	-0.105	-0.085	-0.116	-0.107	-0.098	-0.108	-0.085	0.023	-0.011	-0.098	2016_7_13_17_40_36
FLQS30BWGRWY____	-0.053	-0.051	-0.067	-0.067	-0.006	-0.094	-0.054	-0.054	-0.054	-0.054	-0.037	-0.067	-0.07	-0.049	-0.051	-0.067	-0.017	-0.054	-0.067	-0.068	-0.049	-0.039	-0.056	-0.138	-0.048	-0.094	-0.051	-0.018	-0.053	-0.006	-0.055	-0.051	-0.05	-0.008	-0.062	-0.062	-0.049	-0.05	-0.007	-0.007	-0.052	-0.007	-0.018	-0.062	-0.06	-0.052	-0.05	-0.062	-0.008	-0.05	-0.062	-0.058	-0.048	-0.015	-0.053	-0.061	-0.051	-0.05	-0.051	-0.011	-0.008	-0.049	-0.007	-0.051	-0.015	-0.019	-0.019	-0.019	0.002	-0.031	-0.02	-0.02	-0.015	-0.02	-0.013	-0.019	-0.02	-0.013	-0.014	-0.019	-0.006	-0.016	-0.019	-0.021	-0.014	-0.014	-0.016	-0.047	-0.013	-0.031	-0.015	-0.006	-0.019	0.002	-0.02	-0.015	-0.055	-0.04	-0.017	2016_7_13_17_40_41
FLQS30CMGRWQ____	0.084	0.056	0.07	0.07	0.096	0.089	0.075	0.075	0.071	0.031	0.094	0.07	0.074	0.071	0.08	0.07	0.059	0.072	0.07	0.087	0.07	0.07	0.065	0.075	0.072	0.089	0.073	0.071	0.029	0.096	0.072	0.073	0.029	-0.119	0.021	0.021	0.031	0.034	-0.04	-0.04	-0.043	-0.042	0.031	0.021	-0.042	-0.04	0.029	0.021	-0.118	-0.042	0.021	0.032	0.021	0.021	-0.043	-0.041	-0.04	0.034	-0.043	-0.04	-0.043	0.031	-0.044	-0.043	-0.16	-0.156	-0.165	-0.165	-0.156	-0.159	-0.157	-0.157	-0.158	-0.174	-0.157	-0.165	-0.157	-0.158	-0.162	-0.165	-0.155	-0.158	-0.165	-0.16	-0.165	-0.165	-0.16	-0.156	-0.158	-0.159	-0.158	-0.158	-0.174	-0.156	-0.158	-0.158	0.072	-0.015	-0.16	2016_7_13_17_40_45
FLQS30D5GRWQ____	-0.115	-0.122	-0.124	-0.124	-0.147	-0.072	-0.059	-0.059	-0.127	-0.072	-0.128	-0.124	-0.121	-0.093	-0.117	-0.124	-0.116	-0.074	-0.124	-0.077	-0.124	-0.088	-0.087	-0.052	-0.091	-0.072	-0.113	-0.122	-0.13	-0.147	-0.128	-0.113	-0.053	-0.054	-0.01	-0.01	-0.077	-0.054	0.064	0.064	-0.011	-0.057	-0.011	-0.01	-0.056	-0.014	-0.053	-0.01	-0.052	-0.058	-0.01	-0.056	-0.011	-0.012	-0.012	-0.012	-0.014	-0.054	-0.054	-0.011	0.066	-0.077	-0.014	-0.054	-0.69	-0.692	-0.698	-0.698	-0.7	-0.673	-0.681	-0.681	-0.699	-0.673	-0.699	-0.698	-0.692	-0.685	-0.69	-0.698	-0.69	-0.674	-0.698	-0.676	-0.697	-0.684	-0.683	-0.67	-0.685	-0.673	-0.689	-0.696	-0.707	-0.7	-0.699	-0.689	-0.106	-0.025	-0.689	2016_7_13_17_40_50
