SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	0.035	0.007	0.035	0.036	0.035	0.006	0.036	0.036	0.037	0.005	0.005	0.035	0.035	0.006	0.037	0.008	0.037	0.036	0.037	0.006	0.008	0.036	0.036	0.006	0.007	0.008	0.035	0.008	0.005	0.007	0.006	0.035	0.053	-0.002	0.002	-0.003	-0.002	-0.002	-0.003	0	-0.001	-0.001	-0.001	-0.026	-0.002	-0.003	-0.002	-0.028	0	0	0.001	-0.001	-0.026	-0.001	-0.001	-0.003	-0.003	-0.028	-0.001	-0.026	-0.002	-0.001	-0.002	-0.001	0.012	0.003	0.014	0.015	0.014	0.003	0.015	0.014	0.015	0.002	0.002	0.015	0.014	0.003	0.015	0.004	0.015	0.014	0.015	0.002	0.004	0.015	0.015	0.003	0.003	0.004	0.014	0.004	0.003	0.003	0.003	0.014	0.022	-0.004	0.009	2016_7_13_17_50_05
FLQS2C6NGRX5____	-0.099	-0.127	-0.127	-0.098	-0.127	-0.161	-0.098	-0.127	-0.128	-0.099	-0.099	-0.128	-0.127	-0.099	-0.128	-0.127	-0.128	-0.127	-0.127	-0.099	-0.098	-0.126	-0.126	-0.099	-0.099	-0.127	-0.1	-0.098	-0.127	-0.128	-0.128	-0.1	0.035	0.004	0	0.006	0.006	-0.027	0.006	-0.025	0.032	0.036	0.036	0.004	0.006	0.063	0.006	-0.026	0.003	-0.025	0.005	0.03	0.004	0.003	0.003	0.063	0.004	-0.026	0.032	0.004	0.006	0.004	0.006	0.032	-0.042	-0.052	-0.051	-0.04	-0.052	-0.064	-0.04	-0.051	-0.053	-0.041	-0.041	-0.052	-0.052	-0.043	-0.052	-0.05	-0.051	-0.051	-0.052	-0.041	-0.04	-0.051	-0.051	-0.043	-0.04	-0.05	-0.041	-0.04	-0.052	-0.052	-0.052	-0.041	-0.117	0.01	-0.048	2016_7_13_17_50_10
FLQS2C9EGRX5____	0.018	0.017	0.046	0.047	0.018	0.019	0.047	0.047	0.017	0.018	0.018	0.018	0.018	0.045	0.018	0.047	0.047	0.047	0.017	0.046	0.018	0.046	0.046	0.045	0.018	0.047	0.046	0.018	0.018	0.016	0.047	0.046	0.049	0.048	0.053	0.05	0.046	0.047	0.05	0.047	0.047	0.023	0.023	0.019	0.046	0.05	0.047	0.07	0.048	0.047	-0.01	0.047	0.046	0.05	0.05	0.05	0.049	0.07	0.024	0.046	-0.003	0.047	0.022	0.024	-0.669	-0.669	-0.657	-0.657	-0.668	-0.668	-0.657	-0.657	-0.669	-0.668	-0.668	-0.668	-0.668	-0.658	-0.668	-0.658	-0.657	-0.657	-0.667	-0.657	-0.668	-0.657	-0.657	-0.658	-0.669	-0.658	-0.657	-0.668	-0.666	-0.67	-0.656	-0.657	0.032	0.041	-0.663	2016_7_13_17_50_15
FLQS2CKUGRX5	0	-0.001	0.025	-0.001	0	0	-0.001	-0.001	0.028	0	0	-0.002	0	-0.001	-0.001	-0.001	0.029	-0.001	-0.001	-0.002	0	0	0	-0.001	-0.001	-0.001	-0.001	0	-0.001	0	-0.001	-0.001	0.023	0.024	0.044	0.024	0.025	0.024	0.024	0.023	0.022	0.044	0.044	0.025	0.025	0.023	0.025	0.043	0.045	0.023	0.023	0.025	0.022	0.045	0.045	0.023	0.025	0.043	0.044	0.022	0.024	0.023	0.027	0.044	-0.001	-0.001	0.009	-0.001	-0.001	-0.002	-0.001	-0.002	0.011	-0.001	-0.001	-0.002	-0.001	-0.001	-0.002	-0.002	0.01	-0.002	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	-0.002	-0.001	-0.001	-0.002	-0.002	-0.002	0.002	0.03	0	2016_7_13_17_50_20
FLQS2F0LGRX5____	0.134	0.073	0.069	0.068	0.042	0.07	0.068	0.097	0.072	0.098	0.098	0.043	0.042	0.074	0.07	0.069	0.098	0.097	0.07	0.069	0.073	0.069	0.069	0.074	0.041	0.069	0.098	0.073	0.042	0.042	0.069	0.098	0.03	-0.057	0.001	0	-0.058	0.029	0	0.001	-0.002	0.032	0.032	-0.001	-0.058	-0.033	-0.001	0.001	0.032	0.001	-0.028	0	0	0	0	-0.033	0.001	0.001	0	0	-0.002	-0.001	-0.002	0	0.053	0.032	0.028	0.028	0.019	0.027	0.028	0.039	0.029	0.038	0.038	0.017	0.019	0.03	0.028	0.028	0.038	0.039	0.029	0.027	0.03	0.028	0.028	0.03	0.017	0.028	0.04	0.03	0.017	0.017	0.028	0.04	0.073	-0.004	0.03	2016_7_13_17_50_24
FLQS30AEGRWV____	-0.035	-0.062	-0.062	-0.063	-0.063	-0.034	-0.063	-0.091	-0.063	-0.064	-0.064	-0.037	-0.063	-0.064	-0.035	-0.063	-0.063	-0.091	-0.064	-0.062	-0.063	-0.064	-0.064	-0.064	-0.063	-0.063	-0.062	-0.063	-0.063	-0.064	-0.035	-0.062	-0.01	-0.008	-0.009	-0.006	-0.046	0.056	-0.006	-0.104	-0.01	-0.008	-0.008	-0.009	-0.046	-0.009	-0.006	-0.033	-0.008	-0.104	-0.009	-0.011	-0.009	-0.033	-0.033	-0.009	-0.01	-0.033	-0.032	-0.009	-0.009	-0.009	-0.01	-0.032	-0.014	-0.024	-0.025	-0.025	-0.024	-0.016	-0.025	-0.033	-0.025	-0.025	-0.025	-0.014	-0.024	-0.025	-0.013	-0.024	-0.026	-0.033	-0.025	-0.025	-0.025	-0.024	-0.024	-0.025	-0.024	-0.024	-0.024	-0.025	-0.025	-0.026	-0.014	-0.024	-0.06	-0.02	-0.024	2016_7_13_17_50_29
FLQS30BJGRWV____	0.061	0.061	0.029	0.061	0.061	0.061	0.061	0.061	0.061	0.06	0.06	0.03	0.061	0.06	0.06	0.06	0.061	0.061	0.06	0.061	0.027	0.089	0.089	0.06	0.061	0.06	0.061	0.027	0.061	0.03	0.061	0.061	-0.012	-0.012	-0.045	-0.012	-0.012	-0.012	-0.012	-0.013	-0.013	-0.011	-0.011	-0.011	-0.012	-0.048	-0.014	-0.011	-0.046	-0.013	-0.012	-0.013	-0.011	-0.015	-0.015	-0.048	-0.004	-0.011	-0.039	-0.011	-0.012	-0.012	-0.014	-0.039	0.025	0.025	0.014	0.025	0.025	0.025	0.025	0.025	0.025	0.024	0.024	0.012	0.025	0.026	0.025	0.025	0.027	0.025	0.025	0.026	0.012	0.037	0.037	0.026	0.024	0.025	0.027	0.012	0.025	0.012	0.025	0.027	0.057	-0.018	0.024	2016_7_13_17_50_33
FLQS30BWGRWY____	-0.048	-0.048	-0.084	-0.049	-0.048	-0.049	-0.049	-0.048	-0.048	-0.047	-0.047	-0.05	-0.048	-0.048	-0.048	-0.048	-0.048	-0.048	-0.048	0.023	-0.017	-0.048	-0.048	-0.048	-0.05	-0.048	-0.051	-0.017	-0.048	-0.019	-0.02	-0.051	-0.011	-0.038	-0.038	-0.065	-0.037	-0.039	-0.065	-0.011	-0.012	-0.039	-0.039	-0.038	-0.037	-0.013	-0.012	0.018	-0.039	-0.011	-0.039	-0.01	-0.036	-0.012	-0.012	-0.013	-0.009	0.018	-0.008	-0.036	-0.008	-0.01	-0.013	-0.008	-0.018	-0.018	-0.032	-0.017	-0.018	-0.018	-0.017	-0.019	-0.019	-0.018	-0.018	-0.018	-0.018	-0.019	-0.019	-0.02	-0.018	-0.019	-0.018	0.01	-0.005	-0.018	-0.018	-0.019	-0.02	-0.02	-0.02	-0.005	-0.019	-0.007	-0.007	-0.02	-0.043	-0.023	-0.017	2016_7_13_17_50_44
FLQS30CMGRWQ____	0.021	0.047	0.077	0.02	0.021	0.047	0.02	0.048	0.02	0.049	0.049	0.021	0.021	0.05	0.02	0.02	0.049	0.048	0.048	0.047	0.049	0.021	0.021	0.05	0.02	0.02	0.078	0.049	0.02	0.021	0.021	0.078	-0.012	-0.015	0.02	-0.065	-0.039	-0.041	-0.065	-0.012	-0.012	-0.01	-0.01	-0.04	-0.039	-0.041	-0.067	-0.04	-0.009	-0.012	-0.011	-0.015	-0.01	-0.041	-0.041	-0.041	0.018	-0.04	-0.011	-0.01	-0.066	-0.041	-0.065	-0.011	0.518	0.529	0.54	0.52	0.519	0.53	0.52	0.529	0.518	0.53	0.53	0.52	0.519	0.531	0.52	0.519	0.53	0.529	0.529	0.529	0.529	0.519	0.519	0.531	0.517	0.519	0.541	0.529	0.52	0.52	0.52	0.541	0.037	-0.028	0.525	2016_7_13_17_50_49
FLQS30D5GRWQ____	-0.086	-0.087	-0.087	-0.117	-0.088	-0.087	-0.117	-0.114	-0.087	-0.116	-0.116	-0.087	-0.088	-0.114	-0.087	-0.087	-0.084	-0.114	-0.087	-0.088	-0.115	-0.088	-0.088	-0.114	-0.088	-0.087	-0.088	-0.115	-0.057	-0.115	-0.087	-0.088	0.015	0.04	0.011	0.012	0.038	0.016	0.012	0.013	0.015	0.04	0.04	0.015	0.038	0.013	0.017	0.04	0.041	0.013	0.015	0.014	0.015	0.016	0.016	0.013	0.067	0.04	0.037	0.015	0.04	0.04	-0.008	0.037	-0.035	-0.037	-0.035	-0.048	-0.036	-0.036	-0.048	-0.046	-0.035	-0.048	-0.048	-0.036	-0.036	-0.046	-0.036	-0.037	-0.036	-0.046	-0.036	-0.036	-0.047	-0.036	-0.036	-0.046	-0.039	-0.037	-0.037	-0.047	-0.025	-0.048	-0.035	-0.037	-0.096	0.025	-0.04	2016_7_13_17_50_54
