SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.124	-0.094	-0.103	-0.125	-0.123	-0.124	-0.125	-0.125	-0.124	-0.124	-0.125	-0.125	-0.124	-0.124	-0.125	-0.125	-0.124	-0.124	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-0.124	-0.124	-0.126	-0.092	-0.092	-0.092	-0.124	0.002	0.002	0.037	0.002	0.002	0.002	0.002	0.002	0.001	0	0.002	0.002	0	0	0.003	0.003	0.002	0.002	0	0.002	0.002	0.002	0.002	0.002	0.002	0.003	0	0.002	0.002	0.003	0.002	0	-0.058	-0.046	-0.052	-0.059	-0.058	-0.058	-0.058	-0.058	-0.058	-0.058	-0.058	-0.059	-0.058	-0.059	-0.059	-0.059	-0.058	-0.058	-0.059	-0.058	-0.059	-0.059	-0.059	-0.059	-0.059	-0.059	-0.058	-0.059	-0.045	-0.045	-0.045	-0.058	-0.12	0.003	-0.057	2016_7_13_15_22_08
FLQS2C6NGRX5____	-0.056	-0.057	-0.054	-0.059	-0.058	-0.057	-0.056	-0.057	-0.028	-0.059	-0.026	-0.026	-0.058	-0.06	-0.058	-0.058	-0.031	-0.03	-0.058	-0.058	-0.026	-0.058	-0.026	-0.055	-0.056	-0.058	-0.06	-0.058	-0.028	-0.058	-0.058	-0.059	0.003	0.004	0.002	0.002	0.007	0.006	0.005	0.006	0.006	0.006	0.004	0.005	0.007	0.006	0.005	0.005	0.002	0.004	0.006	0.005	0.005	0.006	0.005	0.002	0.003	0.005	0.006	0.002	0.004	0.005	0.006	0.006	-0.018	-0.019	-0.018	-0.019	-0.019	-0.019	-0.019	-0.019	-0.007	-0.02	-0.007	-0.006	-0.019	-0.021	-0.02	-0.02	-0.008	-0.008	-0.02	-0.019	-0.006	-0.02	-0.006	-0.018	-0.019	-0.019	-0.02	-0.02	-0.007	-0.02	-0.019	-0.02	-0.05	0.005	-0.016	2016_7_13_15_22_12
FLQS2C9EGRX5____	0.013	0.046	0.013	0.048	0.018	0.015	0.048	0.016	0.05	0.049	0.048	0.016	-0.016	0.048	0.047	0.047	0.02	0.02	0.015	0.047	0.016	-0.015	0.016	0.044	0.043	0.049	0.049	0.011	0.016	0.017	0.016	0.048	-0.019	-0.052	-0.021	-0.058	-0.049	-0.03	-0.051	-0.049	-0.051	-0.05	-0.051	-0.049	-0.034	-0.05	-0.051	-0.051	-0.058	-0.048	-0.053	-0.051	-0.049	-0.05	-0.049	-0.056	-0.057	-0.051	-0.052	-0.018	-0.051	-0.05	-0.05	-0.051	0.006	0.022	0.007	0.023	0.011	0.008	0.023	0.01	0.024	0.023	0.023	0.01	-0.004	0.023	0.023	0.023	0.012	0.011	0.01	0.022	0.01	-0.002	0.01	0.022	0.021	0.023	0.023	0.006	0.01	0.011	0.01	0.023	0.029	-0.047	0.015	2016_7_13_15_22_17
FLQS2CKUGRX5	-0.007	-0.042	-0.016	-0.017	-0.011	-0.013	-0.012	-0.038	-0.013	-0.013	-0.015	-0.016	-0.013	-0.013	-0.012	-0.012	-0.012	-0.013	-0.041	-0.011	-0.016	-0.012	-0.016	-0.011	-0.013	-0.016	-0.014	-0.018	-0.039	-0.014	-0.012	-0.013	-0.124	-0.09	-0.085	-0.085	-0.117	-0.116	-0.116	-0.113	-0.116	-0.115	-0.116	-0.089	-0.114	-0.115	-0.065	-0.065	-0.12	-0.088	-0.115	-0.116	-0.089	-0.116	-0.089	-0.121	-0.122	-0.088	-0.115	-0.084	-0.116	-0.116	-0.118	-0.116	0.005	-0.011	-0.001	-0.001	0.003	0.003	0.003	-0.008	0.003	0.003	0.002	0	0.003	0.003	-0.001	-0.001	0.004	0.001	-0.009	0.003	0	0.003	0	0.004	0.004	-0.001	0.002	-0.001	-0.007	0.003	0.004	0.003	-0.017	-0.105	0	2016_7_13_15_22_21
FLQS2F0LGRX5____	0.145	0.175	0.145	0.111	0.147	0.149	0.175	0.174	0.177	0.177	0.144	0.144	0.146	0.178	0.147	0.147	0.149	0.148	0.145	0.147	0.144	0.177	0.144	0.146	0.168	0.145	0.144	0.145	0.175	0.174	0.146	0.144	-0.003	-0.006	-0.004	-0.003	-0.03	-0.027	-0.007	-0.007	-0.005	-0.005	-0.005	-0.007	-0.003	-0.004	-0.03	-0.03	-0.041	-0.026	-0.005	-0.027	-0.007	-0.028	-0.007	-0.005	-0.005	-0.006	-0.033	-0.004	-0.006	-0.006	-0.006	-0.002	0.062	0.075	0.063	0.05	0.066	0.066	0.075	0.075	0.076	0.075	0.063	0.063	0.063	0.076	0.065	0.065	0.067	0.065	0.062	0.065	0.063	0.077	0.063	0.063	0.072	0.063	0.064	0.062	0.075	0.075	0.063	0.062	0.154	-0.012	0.067	2016_7_13_15_22_26
FLQS30AEGRWV____	-0.019	-0.021	-0.021	-0.02	-0.02	-0.021	-0.017	-0.049	-0.017	-0.018	-0.02	-0.018	-0.018	-0.016	-0.018	-0.018	-0.021	-0.018	-0.051	-0.018	-0.018	-0.018	-0.018	-0.02	-0.022	-0.021	-0.018	-0.019	-0.046	-0.047	-0.047	-0.019	-0.01	-0.01	-0.01	-0.01	-0.009	-0.014	-0.038	-0.013	-0.036	-0.037	-0.038	-0.035	-0.038	-0.037	-0.014	-0.014	-0.009	-0.014	-0.01	-0.014	-0.035	-0.014	-0.035	-0.046	-0.044	-0.014	-0.006	-0.009	-0.014	-0.038	-0.014	-0.008	-0.007	-0.008	-0.008	-0.008	-0.007	-0.007	-0.004	-0.018	-0.005	-0.005	-0.005	-0.005	-0.005	-0.004	-0.006	-0.006	-0.008	-0.007	-0.02	-0.006	-0.005	-0.006	-0.005	-0.005	-0.005	-0.008	-0.007	-0.007	-0.018	-0.016	-0.018	-0.007	-0.024	-0.021	-0.008	2016_7_13_15_22_30
FLQS30BJGRWV____	-0.047	-0.048	-0.012	-0.011	-0.047	-0.017	-0.018	-0.016	-0.017	-0.019	-0.016	-0.016	-0.048	-0.019	-0.051	-0.051	-0.049	-0.016	-0.05	-0.053	-0.016	-0.052	-0.016	-0.022	-0.051	-0.051	-0.016	-0.015	0.02	-0.05	-0.015	-0.049	-0.006	-0.009	-0.046	-0.045	-0.039	-0.031	-0.011	-0.008	-0.007	-0.038	-0.033	-0.031	-0.038	-0.038	-0.028	-0.028	-0.006	-0.01	-0.009	-0.01	-0.031	-0.01	-0.031	-0.045	-0.045	-0.031	-0.039	-0.046	-0.01	-0.031	-0.011	-0.01	-0.023	-0.023	-0.006	-0.006	-0.02	-0.008	-0.01	-0.01	-0.011	-0.009	-0.009	-0.008	-0.02	-0.009	-0.023	-0.023	-0.024	-0.01	-0.024	-0.025	-0.008	-0.024	-0.008	-0.01	-0.022	-0.022	-0.008	-0.006	0.005	-0.023	-0.009	-0.023	-0.03	-0.025	-0.014	2016_7_13_15_22_36
FLQS30BWGRWY____	0.042	0.02	0.041	0.025	0.047	0.02	0.049	0.022	0.048	0.019	0.02	0.049	0.048	0.019	-0.011	-0.011	0.048	0.048	0.047	0.02	0.049	0.048	0.049	0.048	0.043	-0.01	0.017	0.052	0.02	0.019	0.02	-0.012	-0.01	-0.014	-0.012	-0.048	-0.044	-0.038	-0.039	-0.037	-0.015	-0.043	-0.038	-0.036	-0.042	-0.042	-0.037	-0.037	-0.046	-0.037	-0.011	-0.036	-0.036	-0.036	-0.036	-0.046	-0.046	-0.035	-0.046	-0.049	-0.036	-0.037	-0.037	-0.044	0.022	0.013	0.022	0.018	0.026	0.014	0.027	0.016	0.025	0.015	0.015	0.027	0.027	0.015	0.003	0.003	0.026	0.027	0.025	0.015	0.027	0.026	0.027	0.026	0.025	0.003	0.015	0.029	0.015	0.014	0.014	0.002	0.03	-0.036	0.019	2016_7_13_15_22_41
FLQS30CMGRWQ____	0.048	0.053	0.057	0.057	0.053	0.053	0.053	0.021	0.055	0.055	0.057	0.022	0.054	0.055	0.054	0.054	0.054	0.024	0.054	0.093	0.022	0.055	0.022	0.026	0.055	0.056	0.056	0.058	0.021	0.021	0.022	0.055	0.119	0.113	0.08	0.081	0.083	0.09	0.089	0.09	0.087	0.084	0.09	0.09	0.114	0.086	0.087	0.087	0.082	0.09	0.084	0.089	0.09	0.089	0.09	0.082	0.082	0.089	0.086	0.08	0.089	0.09	0.088	0.084	0.011	0.014	0.017	0.017	0.015	0.015	0.015	0.003	0.017	0.016	0.017	0.002	0.014	0.017	0.016	0.016	0.016	0.004	0.016	0.032	0.002	0.016	0.002	0.005	0.016	0.016	0.017	0.017	0.002	0.003	0.003	0.016	0.047	0.089	0.013	2016_7_13_15_22_45
FLQS30D5GRWQ____	-0.111	-0.113	-0.142	-0.081	-0.112	-0.113	-0.113	-0.114	-0.115	-0.114	-0.085	-0.117	-0.085	-0.115	-0.118	-0.118	-0.083	-0.086	-0.084	-0.054	-0.117	-0.084	-0.117	-0.087	-0.121	-0.085	-0.084	-0.08	-0.117	-0.118	-0.082	-0.083	0.014	0.02	0.018	0.013	0.019	0.02	0.02	0.02	0.02	0.019	0.02	0.046	0.02	0.02	0.019	0.019	0.016	0.021	0.019	0.02	0.046	0.021	0.046	0.015	0.016	0.019	0.02	0.014	0.02	0.02	0.019	0.019	-0.045	-0.047	-0.058	-0.034	-0.046	-0.046	-0.046	-0.047	-0.047	-0.047	-0.035	-0.05	-0.035	-0.048	-0.049	-0.049	-0.034	-0.036	-0.035	-0.023	-0.05	-0.035	-0.05	-0.036	-0.05	-0.036	-0.035	-0.034	-0.049	-0.049	-0.034	-0.034	-0.101	0.021	-0.042	2016_7_13_15_22_50
