SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-25.479	-25.474	-25.521	-25.136	-25.448	-25.329	-25.314	-25.337	-25.674	-25.469	-25.518	-25.495	-25.749	-25.300	-25.373	-25.292	-25.683	-25.370	-25.776	-25.079	-25.691	-25.505	-25.087	-25.169	-25.376	-25.127	-25.493	-25.127	-25.694	-25.435	-25.608	-25.218	125.683	125.606	125.540	125.470	125.544	125.393	125.523	125.531	125.199	125.266	125.615	125.476	125.476	125.385	125.326	125.395	125.529	125.394	125.608	125.471	125.537	125.526	125.601	125.287	125.064	125.458	125.266	125.458	125.216	125.803	125.262	125.393	101.447	101.452	101.478	101.316	101.446	101.408	101.389	101.399	101.576	101.480	101.471	101.473	101.584	101.395	101.433	101.391	101.550	101.425	101.584	101.291	101.553	101.473	101.283	101.346	101.457	101.313	101.491	101.313	101.583	101.418	101.541	101.359	2016_7_15_14_05_09
F2LS3A8AGRXL____	-25.514	-25.680	-25.673	-25.276	-25.228	-25.353	-25.509	-25.011	-25.602	-25.327	-25.288	-25.355	-25.920	-25.517	-25.501	-25.254	-25.663	-25.581	-25.643	-25.274	-25.160	-25.632	-25.232	-25.198	-25.036	-25.510	-25.817	-25.510	-25.233	-25.895	-25.479	-25.353	125.732	125.657	125.535	125.587	125.583	125.436	125.445	125.387	125.308	125.381	125.650	125.513	125.578	125.373	125.376	125.500	125.516	125.383	125.644	125.577	125.510	125.448	125.586	125.456	125.231	125.450	125.381	125.450	125.305	125.725	125.308	125.423	101.686	101.765	101.773	101.594	101.573	101.641	101.709	101.495	101.762	101.635	101.594	101.635	101.877	101.719	101.711	101.592	101.770	101.746	101.750	101.594	101.550	101.763	101.575	101.571	101.520	101.709	101.850	101.709	101.600	101.853	101.708	101.642	2016_7_15_14_05_13
F2LS3BDVGRXL____	-25.537	-25.527	-25.659	-25.202	-25.619	-25.643	-25.496	-25.179	-25.689	-25.477	-25.831	-25.500	-25.548	-25.576	-25.404	-25.364	-25.639	-25.368	-25.774	-25.359	-26.100	-25.385	-24.901	-25.179	-25.558	-25.481	-25.682	-25.481	-25.698	-25.726	-25.562	-25.394	125.172	125.084	125.036	124.964	125.028	124.883	124.951	124.958	124.704	124.779	125.083	124.961	125.004	124.908	124.701	124.885	124.959	124.807	125.141	124.975	125.129	124.936	125.016	124.959	124.622	124.954	124.762	124.954	124.696	125.103	124.694	124.871	101.608	101.612	101.674	101.479	101.657	101.681	101.610	101.470	101.717	101.617	101.745	101.611	101.628	101.649	101.591	101.557	101.672	101.566	101.715	101.547	101.859	101.562	101.342	101.469	101.667	101.603	101.709	101.603	101.722	101.697	101.662	101.572	2016_7_15_14_05_22
F2LS3EKPHFM2____	-25.561	-25.802	-25.662	-25.209	-25.747	-25.708	-25.746	-25.646	-25.701	-25.612	-25.146	-25.694	-25.880	-25.678	-25.548	-25.313	-25.762	-25.446	-25.834	-25.587	-25.843	-25.593	-25.233	-25.320	-25.587	-25.429	-25.630	-25.429	-25.708	-25.787	-25.540	-25.641	125.340	125.264	125.162	125.028	125.327	124.964	125.154	125.066	124.811	124.989	125.524	125.260	125.258	125.201	124.816	125.048	125.256	125.041	125.532	125.219	125.466	125.190	125.256	125.007	124.784	125.097	124.987	125.097	124.816	125.330	124.859	125.138	101.362	101.474	101.422	101.235	101.444	101.460	101.460	101.424	101.471	101.415	101.163	101.427	101.509	101.425	101.403	101.279	101.458	101.338	101.464	101.384	101.474	101.389	101.225	101.286	101.423	101.326	101.424	101.326	101.473	101.462	101.396	101.415	2016_7_15_14_05_26
F2LS3HFBHFM5____	-25.640	-25.883	-25.797	-25.163	-25.748	-25.674	-25.640	-25.715	-25.619	-25.331	-25.618	-25.665	-25.918	-25.632	-25.565	-25.637	-25.739	-25.643	-26.274	-25.458	-26.177	-25.539	-25.368	-25.436	-25.546	-25.510	-25.771	-25.510	-25.538	-25.881	-25.602	-25.509	125.614	125.667	125.418	125.403	125.534	125.324	125.393	125.397	125.195	125.266	125.599	125.465	125.463	125.322	125.316	125.324	125.464	125.326	125.537	125.413	125.465	125.387	125.531	125.340	125.118	125.394	125.262	125.394	125.212	125.609	125.191	125.323	101.473	101.575	101.560	101.283	101.528	101.514	101.493	101.526	101.502	101.369	101.465	101.498	101.609	101.496	101.467	101.498	101.530	101.501	101.758	101.412	101.722	101.449	101.361	101.408	101.477	101.436	101.563	101.436	101.465	101.579	101.495	101.442	2016_7_15_14_05_30
F2LS3HFRHFM5____	-25.575	-25.469	-25.473	-25.455	-25.214	-25.178	-25.446	-25.541	-25.242	-25.198	-25.351	-25.488	-25.649	-25.432	-25.271	-25.366	-25.326	-25.454	-25.945	-25.413	-25.837	-25.212	-26.049	-25.182	-25.583	-25.191	-25.641	-25.191	-25.217	-25.509	-25.262	-25.302	126.251	126.329	126.174	126.110	126.125	126.049	126.082	126.037	125.839	125.904	126.261	125.994	125.999	126.046	125.889	126.016	126.055	126.018	126.000	126.079	126.060	125.924	126.237	125.978	125.883	126.085	125.901	126.085	125.894	126.138	125.896	125.972	101.519	101.466	101.481	101.479	101.372	101.363	101.478	101.523	101.410	101.385	101.420	101.503	101.573	101.475	101.418	101.448	101.427	101.487	101.703	101.463	101.650	101.389	101.727	101.371	101.555	101.366	101.579	101.366	101.394	101.500	101.414	101.424	2016_7_15_14_05_34
F2LS3HQHHFM5____	-25.559	-25.730	-25.771	-25.382	-25.502	-25.535	-25.448	-25.664	-25.522	-25.259	-25.379	-25.520	-25.878	-25.478	-25.330	-25.481	-25.527	-25.449	-26.034	-25.340	-25.725	-25.644	-24.772	-25.183	-25.513	-25.679	-25.940	-25.679	-25.534	-26.105	-25.501	-25.622	124.925	124.979	124.781	124.717	124.878	124.634	124.713	124.638	124.560	124.511	124.945	124.711	124.844	124.723	124.582	124.640	124.715	124.640	124.823	124.752	125.135	124.550	124.874	124.592	124.485	124.657	124.571	124.657	124.561	124.892	124.563	124.678	101.437	101.508	101.544	101.378	101.417	101.453	101.408	101.509	101.454	101.342	101.356	101.440	101.585	101.420	101.367	101.429	101.442	101.415	101.655	101.356	101.492	101.509	101.095	101.302	101.457	101.515	101.638	101.515	101.459	101.681	101.444	101.487	2016_7_15_14_05_37
F2LS3HZVHFM5____	-26.161	-25.902	-25.998	-25.679	-25.506	-25.827	-25.975	-25.701	-25.931	-25.791	-26.470	-26.047	-25.850	-25.813	-25.691	-25.861	-26.087	-25.862	-26.126	-25.484	-26.199	-25.860	-25.720	-25.475	-25.919	-25.720	-25.973	-25.720	-26.053	-25.651	-25.740	-25.398	126.035	125.891	125.893	125.767	125.915	125.773	125.845	125.817	125.666	125.680	126.000	125.851	125.850	125.795	125.615	125.711	125.857	125.712	125.919	125.863	125.856	125.777	125.914	125.695	125.536	125.777	125.617	125.777	125.608	125.990	125.671	125.717	101.785	101.685	101.727	101.599	101.510	101.663	101.721	101.604	101.718	101.655	101.923	101.752	101.666	101.655	101.618	101.684	101.769	101.684	101.780	101.505	101.818	101.677	101.603	101.516	101.724	101.616	101.741	101.616	101.777	101.567	101.634	101.480	2016_7_15_14_05_41
F2LS3JESHFM5____	-25.652	-25.532	-25.568	-25.185	-25.556	-25.693	-25.407	-24.985	-25.549	-25.410	-25.568	-25.546	-25.676	-25.330	-25.260	-25.042	-25.508	-25.412	-25.659	-25.116	-25.160	-25.666	-24.797	-25.045	-25.607	-25.464	-25.483	-25.464	-25.622	-25.631	-25.474	-25.559	125.676	125.540	125.477	125.293	125.541	125.398	125.394	125.394	125.254	125.267	125.611	125.472	125.468	125.324	125.138	125.448	125.465	125.328	125.542	125.463	125.519	125.402	125.526	125.398	125.178	125.401	125.264	125.401	125.253	125.610	125.256	125.340	101.491	101.450	101.472	101.320	101.461	101.533	101.408	101.223	101.483	101.421	101.460	101.462	101.520	101.381	101.366	101.244	101.446	101.417	101.506	101.274	101.289	101.521	101.129	101.249	101.515	101.433	101.453	101.433	101.515	101.487	101.450	101.480	2016_7_15_14_05_44
F2LS3KLTHFM5____	-25.707	-25.882	-25.910	-25.360	-25.683	-25.555	-25.472	-25.722	-25.787	-25.928	-25.852	-25.679	-25.852	-25.734	-25.664	-25.519	-25.796	-25.537	-25.956	-25.473	-25.967	-25.827	-25.126	-25.801	-25.724	-25.523	-25.775	-25.523	-25.742	-25.765	-25.772	-25.522	125.772	125.754	125.690	125.559	125.683	125.414	125.481	125.496	125.466	125.478	125.755	125.615	125.613	125.478	125.413	125.475	125.500	125.475	125.623	125.503	125.609	125.486	125.678	125.444	125.333	125.543	125.363	125.543	125.407	125.756	125.407	125.466	101.380	101.458	101.476	101.247	101.377	101.345	101.303	101.411	101.442	101.503	101.445	101.381	101.457	101.418	101.393	101.324	101.443	101.332	101.502	101.301	101.508	101.458	101.134	101.450	101.427	101.319	101.446	101.319	101.428	101.407	101.441	101.326	2016_7_15_14_05_47
