SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-62.910	-63.048	-63.122	-62.944	-62.947	-62.987	-62.877	-62.911	-62.776	-62.781	-62.745	-62.804	-62.599	-62.634	-62.740	-62.665	-62.634	-62.667	-62.632	-62.702	-62.664	-62.703	-62.733	-62.604	-62.632	-62.773	-62.664	-62.592	-62.766	-62.634	-62.664	-62.668	143.309	143.527	143.633	143.628	143.556	143.629	143.698	143.735	143.665	143.596	143.634	143.451	143.478	143.447	143.595	143.378	143.443	143.586	143.585	143.666	143.666	143.628	143.485	143.629	143.630	143.628	143.701	143.664	143.384	143.662	143.486	143.665	113.688	113.702	113.712	113.652	113.664	113.667	113.620	113.626	113.591	113.603	113.585	113.632	113.559	113.575	113.589	113.596	113.576	113.566	113.554	113.566	113.553	113.572	113.603	113.539	113.548	113.596	113.548	113.530	113.629	113.544	113.580	113.555	2016_7_15_14_23_45
F2LS3A8AGRXL____	-62.856	-62.995	-63.032	-62.890	-62.889	-62.923	-62.819	-62.854	-62.718	-62.719	-62.687	-62.749	-62.575	-62.610	-62.679	-62.609	-62.608	-62.612	-62.573	-62.644	-62.609	-62.646	-62.678	-62.579	-62.574	-62.715	-62.609	-62.573	-62.715	-62.575	-62.645	-62.609	143.273	143.485	143.554	143.591	143.520	143.555	143.626	143.661	143.627	143.522	143.593	143.416	143.447	143.412	143.520	143.342	143.411	143.549	143.549	143.590	143.627	143.553	143.451	143.591	143.554	143.555	143.662	143.625	143.346	143.588	143.448	143.589	113.902	113.918	113.920	113.867	113.877	113.884	113.838	113.845	113.804	113.820	113.799	113.846	113.783	113.800	113.807	113.810	113.799	113.780	113.767	113.785	113.768	113.791	113.816	113.763	113.767	113.814	113.762	113.756	113.844	113.762	113.806	113.773	2016_7_15_14_23_49
F2LS3BDVGRXL____	-63.001	-63.139	-63.206	-63.034	-63.038	-63.072	-62.963	-62.996	-62.861	-62.860	-62.825	-62.896	-62.674	-62.716	-62.823	-62.757	-62.772	-62.746	-62.707	-62.786	-62.755	-62.788	-62.825	-62.720	-62.718	-62.859	-62.755	-62.716	-62.861	-62.719	-62.790	-62.752	143.280	143.496	143.565	143.597	143.525	143.561	143.630	143.666	143.630	143.527	143.594	143.421	143.407	143.376	143.526	143.346	143.377	143.516	143.513	143.598	143.631	143.561	143.454	143.597	143.561	143.561	143.666	143.631	143.352	143.594	143.454	143.597	113.812	113.827	113.839	113.777	113.789	113.795	113.748	113.754	113.714	113.729	113.707	113.756	113.684	113.703	113.716	113.721	113.721	113.692	113.680	113.694	113.678	113.700	113.728	113.671	113.676	113.723	113.673	113.665	113.755	113.672	113.716	113.682	2016_7_15_14_23_52
F2LS3EKPHFM2____	-63.018	-63.195	-63.235	-63.055	-63.054	-63.096	-62.979	-63.015	-62.874	-62.875	-62.841	-62.914	-62.730	-62.776	-62.842	-62.806	-62.765	-62.805	-62.763	-62.833	-62.800	-62.807	-62.843	-62.732	-62.737	-62.874	-62.800	-62.734	-62.908	-62.736	-62.807	-62.771	143.170	143.431	143.491	143.489	143.418	143.492	143.526	143.561	143.525	143.420	143.490	143.314	143.342	143.309	143.422	143.243	143.306	143.448	143.446	143.493	143.529	143.456	143.350	143.490	143.455	143.457	143.564	143.525	143.247	143.488	143.350	143.491	113.592	113.613	113.618	113.558	113.568	113.571	113.527	113.534	113.492	113.508	113.486	113.536	113.470	113.491	113.496	113.511	113.488	113.480	113.466	113.483	113.467	113.479	113.507	113.450	113.456	113.502	113.461	113.445	113.544	113.451	113.495	113.463	2016_7_15_14_23_57
F2LS3HFBHFM5____	-63.070	-63.204	-63.273	-63.102	-63.103	-63.139	-63.030	-63.066	-62.930	-62.931	-62.902	-62.964	-62.790	-62.822	-62.890	-62.859	-62.822	-62.856	-62.820	-62.855	-62.823	-62.856	-62.894	-62.792	-62.784	-62.924	-62.823	-62.784	-62.929	-62.786	-62.857	-62.820	143.224	143.442	143.510	143.541	143.471	143.507	143.577	143.611	143.575	143.471	143.540	143.365	143.394	143.363	143.476	143.293	143.357	143.501	143.498	143.546	143.576	143.509	143.399	143.541	143.510	143.509	143.611	143.578	143.296	143.541	143.401	143.545	113.704	113.716	113.729	113.668	113.678	113.685	113.638	113.645	113.605	113.621	113.601	113.647	113.585	113.600	113.606	113.623	113.601	113.591	113.580	113.584	113.569	113.590	113.619	113.564	113.566	113.613	113.564	113.556	113.646	113.562	113.606	113.573	2016_7_15_14_24_01
F2LS3HFRHFM5____	-63.221	-63.357	-63.427	-63.253	-63.255	-63.293	-63.179	-63.214	-63.078	-63.081	-63.047	-63.114	-62.896	-62.977	-63.041	-62.977	-62.973	-63.010	-62.971	-63.004	-62.973	-63.006	-63.044	-62.938	-62.937	-63.074	-62.973	-62.934	-63.078	-62.937	-63.007	-62.970	143.289	143.464	143.572	143.605	143.534	143.569	143.640	143.675	143.638	143.534	143.600	143.428	143.413	143.426	143.537	143.354	143.420	143.564	143.560	143.606	143.639	143.570	143.462	143.603	143.569	143.572	143.674	143.640	143.360	143.603	143.464	143.607	113.875	113.895	113.902	113.839	113.850	113.858	113.809	113.816	113.776	113.792	113.771	113.819	113.748	113.773	113.778	113.784	113.773	113.764	113.752	113.756	113.741	113.762	113.790	113.734	113.739	113.784	113.735	113.727	113.817	113.734	113.778	113.744	2016_7_15_14_24_05
F2LS3HQHHFM5____	-63.157	-63.327	-63.396	-63.223	-63.194	-63.259	-63.152	-63.185	-63.052	-63.052	-63.018	-63.081	-62.866	-62.914	-63.014	-62.912	-62.901	-62.944	-62.942	-62.976	-62.913	-62.947	-63.012	-62.883	-62.907	-63.047	-62.942	-62.904	-63.018	-62.907	-62.947	-62.942	143.288	143.506	143.574	143.608	143.534	143.572	143.641	143.678	143.642	143.538	143.607	143.433	143.423	143.426	143.537	143.356	143.388	143.566	143.567	143.608	143.641	143.568	143.467	143.606	143.571	143.571	143.678	143.643	143.360	143.606	143.463	143.607	113.661	113.686	113.699	113.636	113.637	113.653	113.607	113.613	113.574	113.589	113.567	113.614	113.544	113.559	113.577	113.569	113.560	113.549	113.548	113.553	113.528	113.549	113.586	113.522	113.536	113.582	113.532	113.524	113.604	113.531	113.565	113.542	2016_7_15_14_24_09
F2LS3HZVHFM5____	-63.086	-63.163	-63.234	-63.057	-63.061	-63.128	-62.987	-63.022	-62.877	-62.877	-62.842	-62.921	-62.727	-62.738	-62.846	-62.801	-62.758	-62.802	-62.731	-62.812	-62.777	-62.814	-62.852	-62.738	-62.743	-62.883	-62.777	-62.743	-62.887	-62.744	-62.815	-62.777	143.286	143.571	143.634	143.669	143.598	143.638	143.704	143.738	143.698	143.595	143.662	143.492	143.480	143.446	143.601	143.382	143.443	143.589	143.619	143.670	143.699	143.636	143.526	143.666	143.633	143.635	143.734	143.702	143.422	143.667	143.528	143.670	113.822	113.805	113.820	113.756	113.767	113.784	113.727	113.734	113.691	113.706	113.685	113.736	113.673	113.681	113.695	113.712	113.688	113.682	113.654	113.673	113.657	113.679	113.708	113.649	113.656	113.702	113.652	113.646	113.735	113.651	113.695	113.662	2016_7_15_14_24_14
F2LS3JESHFM5____	-63.003	-63.136	-63.168	-63.035	-63.036	-63.069	-62.961	-62.996	-62.860	-62.860	-62.829	-62.893	-62.724	-62.758	-62.821	-62.756	-62.757	-62.789	-62.719	-62.785	-62.753	-62.786	-62.824	-62.721	-62.716	-62.856	-62.753	-62.713	-62.859	-62.716	-62.787	-62.750	143.293	143.511	143.577	143.611	143.540	143.576	143.646	143.681	143.646	143.541	143.608	143.434	143.463	143.432	143.545	143.361	143.426	143.571	143.565	143.613	143.647	143.577	143.469	143.612	143.578	143.577	143.682	143.648	143.366	143.610	143.471	143.614	113.688	113.701	113.702	113.652	113.663	113.669	113.623	113.629	113.589	113.604	113.584	113.631	113.570	113.586	113.590	113.596	113.586	113.576	113.553	113.568	113.552	113.574	113.602	113.547	113.550	113.597	113.547	113.539	113.629	113.546	113.590	113.557	2016_7_15_14_24_17
F2LS3KLTHFM5____	-63.179	-63.323	-63.391	-63.212	-63.214	-63.287	-63.138	-63.174	-63.040	-63.041	-63.009	-63.079	-62.864	-62.932	-62.999	-62.899	-62.897	-62.932	-62.928	-62.964	-62.932	-62.965	-63.002	-62.872	-62.896	-63.034	-62.931	-62.895	-63.008	-62.895	-62.936	-62.929	143.243	143.499	143.565	143.561	143.491	143.525	143.597	143.633	143.597	143.491	143.563	143.424	143.412	143.383	143.494	143.309	143.376	143.519	143.520	143.562	143.598	143.527	143.419	143.560	143.527	143.526	143.633	143.596	143.313	143.560	143.418	143.562	113.628	113.639	113.652	113.592	113.603	113.623	113.563	113.569	113.530	113.546	113.524	113.568	113.498	113.525	113.531	113.525	113.514	113.505	113.503	113.509	113.493	113.515	113.543	113.479	113.492	113.538	113.488	113.481	113.561	113.487	113.521	113.498	2016_7_15_14_24_20
