SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-29.293	-29.266	-29.273	-29.379	-29.308	-29.308	-29.344	-29.310	-29.275	-29.311	-29.414	-29.449	-29.237	-29.204	-29.099	-29.206	-29.240	-29.308	-29.239	-29.166	-29.228	-29.202	-29.203	-29.273	-29.240	-29.166	-29.206	-29.205	-29.240	-29.170	-29.342	-29.238	139.034	138.882	139.230	139.192	139.160	139.127	139.265	139.161	139.165	139.197	139.187	139.334	139.128	139.191	138.910	139.093	139.121	139.155	139.160	139.165	138.812	139.265	139.279	139.192	139.121	139.224	139.122	139.161	139.121	138.976	139.232	139.282	101.885	101.887	101.861	101.906	101.881	101.883	101.886	101.881	101.867	101.879	101.920	101.922	101.855	101.837	101.819	101.846	101.857	101.881	101.853	101.824	101.878	101.830	101.829	101.864	101.857	101.819	101.843	101.840	101.857	101.841	101.888	101.843	2016_7_15_14_27_27
F2LS3A8AGRXL____	-29.507	-29.447	-29.484	-29.592	-29.520	-29.521	-29.555	-29.519	-29.486	-29.520	-29.624	-29.659	-29.486	-29.414	-29.313	-29.416	-29.450	-29.520	-29.450	-29.379	-29.443	-29.415	-29.413	-29.484	-29.450	-29.378	-29.417	-29.416	-29.450	-29.418	-29.555	-29.449	139.018	139.038	139.269	139.228	139.193	139.086	139.263	139.193	139.160	139.233	139.229	139.340	139.153	139.185	138.937	139.122	139.219	139.190	139.152	139.119	138.718	139.221	139.190	139.255	139.219	139.151	139.150	139.153	139.219	139.052	139.223	139.221	102.198	102.173	102.168	102.214	102.189	102.198	102.196	102.188	102.178	102.185	102.226	102.231	102.178	102.148	102.128	102.153	102.159	102.189	102.164	102.139	102.198	102.145	102.147	102.169	102.159	102.136	102.151	102.151	102.159	102.160	102.200	102.158	2016_7_15_14_27_30
F2LS3BDVGRXL____	-29.448	-29.379	-29.427	-29.534	-29.464	-29.465	-29.498	-29.461	-29.429	-29.465	-29.566	-29.603	-29.402	-29.357	-29.297	-29.362	-29.437	-29.462	-29.394	-29.297	-29.381	-29.359	-29.360	-29.428	-29.437	-29.297	-29.360	-29.360	-29.437	-29.325	-29.497	-29.395	138.988	138.857	139.179	139.114	139.115	139.044	139.144	139.078	139.080	139.143	139.147	139.294	138.979	139.136	138.804	139.077	139.049	139.109	139.009	138.909	138.742	139.182	139.191	139.111	139.049	138.979	139.010	139.075	139.049	139.005	139.117	139.145	102.040	102.023	102.015	102.063	102.035	102.042	102.046	102.037	102.024	102.033	102.073	102.075	102.022	101.991	101.995	101.998	102.030	102.035	102.016	101.987	102.034	101.988	101.988	102.021	102.030	101.981	102.003	101.998	102.030	101.990	102.048	102.005	2016_7_15_14_27_33
F2LS3EKPHFM2____	-29.503	-29.434	-29.474	-29.588	-29.517	-29.520	-29.551	-29.516	-29.483	-29.518	-29.622	-29.657	-29.474	-29.413	-29.299	-29.404	-29.448	-29.509	-29.449	-29.380	-29.433	-29.413	-29.413	-29.481	-29.448	-29.378	-29.404	-29.404	-29.448	-29.380	-29.553	-29.449	138.913	138.854	139.067	139.110	139.044	138.972	139.144	139.108	139.111	139.114	139.142	139.254	138.927	139.101	138.752	138.927	139.104	138.962	139.075	138.997	138.773	139.176	139.108	139.141	139.104	139.099	138.927	138.962	139.104	139.008	139.107	139.105	101.826	101.803	101.801	101.843	101.821	101.828	101.825	101.815	101.801	101.815	101.853	101.858	101.813	101.774	101.759	101.785	101.788	101.824	101.791	101.770	101.810	101.768	101.774	101.798	101.788	101.761	101.785	101.783	101.788	101.769	101.829	101.788	2016_7_15_14_27_37
F2LS3HFBHFM5____	-29.637	-29.563	-29.614	-29.721	-29.684	-29.651	-29.683	-29.649	-29.618	-29.650	-29.755	-29.789	-29.651	-29.582	-29.440	-29.546	-29.579	-29.648	-29.615	-29.508	-29.565	-29.544	-29.546	-29.615	-29.579	-29.509	-29.545	-29.547	-29.579	-29.509	-29.687	-29.580	138.917	138.821	139.119	139.110	139.085	138.939	139.116	139.083	139.016	139.151	139.146	139.224	139.049	139.049	138.829	139.049	139.082	139.047	138.977	139.008	138.746	139.120	139.119	139.083	139.082	139.039	138.982	139.082	139.082	138.980	139.115	139.116	101.980	101.959	101.954	101.997	101.984	101.984	101.981	101.971	101.964	101.965	102.007	102.014	101.974	101.947	101.910	101.933	101.943	101.974	101.966	101.922	101.966	101.926	101.927	101.957	101.943	101.919	101.938	101.930	101.943	101.924	101.983	101.941	2016_7_15_14_27_41
F2LS3HFRHFM5____	-29.438	-29.371	-29.420	-29.520	-29.450	-29.450	-29.452	-29.451	-29.415	-29.450	-29.560	-29.590	-29.415	-29.415	-29.251	-29.345	-29.384	-29.450	-29.386	-29.310	-29.380	-29.350	-29.351	-29.417	-29.384	-29.314	-29.351	-29.345	-29.384	-29.316	-29.489	-29.380	139.132	138.995	139.358	139.120	139.085	139.085	139.284	139.246	139.120	139.225	139.280	139.330	139.120	139.120	138.952	139.120	139.240	139.085	139.209	139.120	138.700	139.352	139.280	139.278	139.240	139.239	139.172	139.155	139.240	139.174	139.242	139.120	102.014	101.999	101.988	102.047	102.023	102.023	102.007	102.010	102.006	102.011	102.049	102.057	102.006	102.006	101.955	101.978	101.984	102.023	101.987	101.965	102.027	101.961	101.967	101.993	101.984	101.956	101.976	101.976	101.984	101.962	102.025	101.992	2016_7_15_14_27_46
F2LS3HQHHFM5____	-29.561	-29.493	-29.540	-29.648	-29.576	-29.577	-29.611	-29.576	-29.543	-29.579	-29.682	-29.716	-29.541	-29.473	-29.369	-29.474	-29.470	-29.577	-29.508	-29.438	-29.494	-29.472	-29.474	-29.541	-29.470	-29.437	-29.475	-29.476	-29.470	-29.436	-29.614	-29.508	138.968	138.828	139.132	139.166	139.103	138.957	139.163	139.217	139.171	139.135	139.127	139.270	139.061	139.128	138.848	139.028	139.125	139.096	139.053	139.025	138.792	139.200	139.132	139.127	139.125	139.087	139.093	139.092	139.125	138.996	139.129	139.164	101.883	101.868	101.861	101.901	101.878	101.891	101.887	101.868	101.859	101.877	101.918	101.919	101.868	101.835	101.818	101.844	101.834	101.879	101.856	101.830	101.872	101.829	101.835	101.862	101.834	101.825	101.839	101.839	101.834	101.832	101.891	101.846	2016_7_15_14_27_49
F2LS3HZVHFM5____	-29.511	-29.438	-29.530	-29.596	-29.525	-29.527	-29.562	-29.525	-29.493	-29.527	-29.631	-29.665	-29.492	-29.421	-29.316	-29.422	-29.458	-29.528	-29.457	-29.387	-29.439	-29.423	-29.422	-29.491	-29.458	-29.386	-29.423	-29.423	-29.458	-29.387	-29.561	-29.457	138.915	138.852	139.194	139.114	139.085	138.980	139.228	139.150	139.151	139.187	139.184	139.257	139.048	139.109	138.907	139.018	139.148	139.008	138.977	139.016	138.782	139.218	139.150	139.149	139.148	139.137	139.043	139.113	139.148	138.985	139.116	139.149	102.052	102.029	102.036	102.069	102.043	102.053	102.046	102.038	102.026	102.036	102.077	102.084	102.034	102.001	101.976	102.009	102.012	102.051	102.026	101.995	102.035	101.992	101.998	102.025	102.012	101.984	102.007	102.001	102.012	101.997	102.055	102.011	2016_7_15_14_27_53
F2LS3JESHFM5____	-29.239	-29.161	-29.213	-29.320	-29.247	-29.249	-29.282	-29.247	-29.213	-29.248	-29.354	-29.389	-29.212	-29.143	-29.077	-29.144	-29.177	-29.246	-29.178	-29.109	-29.165	-29.144	-29.142	-29.212	-29.177	-29.108	-29.145	-29.144	-29.177	-29.109	-29.284	-29.179	138.938	138.971	139.263	139.152	139.117	139.078	139.218	139.151	139.153	139.188	139.215	139.292	139.082	139.114	138.931	139.084	139.151	139.150	139.081	139.077	138.773	139.255	139.114	139.186	139.151	139.174	139.114	139.116	139.151	139.081	139.149	139.221	101.839	101.805	101.801	101.853	101.827	101.831	101.832	101.824	101.811	101.822	101.861	101.868	101.816	101.786	101.775	101.789	101.796	101.824	101.802	101.776	101.823	101.775	101.786	101.807	101.796	101.767	101.787	101.786	101.796	101.775	101.839	101.792	2016_7_15_14_27_56
F2LS3KLTHFM5____	-29.571	-29.493	-29.545	-29.652	-29.579	-29.581	-29.614	-29.579	-29.545	-29.581	-29.685	-29.719	-29.546	-29.474	-29.371	-29.476	-29.510	-29.578	-29.510	-29.442	-29.495	-29.475	-29.476	-29.545	-29.510	-29.439	-29.477	-29.477	-29.510	-29.440	-29.616	-29.510	138.882	138.902	139.200	139.095	139.128	139.054	139.131	139.120	139.121	139.158	139.159	139.265	139.091	139.115	138.873	138.993	139.091	139.056	139.087	138.989	138.751	139.192	139.156	139.154	139.091	139.084	139.086	139.121	139.091	138.991	139.122	139.156	101.848	101.815	101.811	101.862	101.830	101.838	101.844	101.831	101.818	101.829	101.869	101.874	101.821	101.790	101.770	101.801	101.806	101.836	101.807	101.788	101.829	101.784	101.787	101.815	101.806	101.779	101.794	101.791	101.806	101.787	101.845	101.801	2016_7_15_14_28_00
F2LS3MG9HFM5____	-29.485	-29.375	-29.472	-29.533	-29.497	-29.498	-29.498	-29.497	-29.402	-29.464	-29.568	-29.602	-29.462	-29.402	-29.289	-29.402	-29.394	-29.507	-29.430	-29.323	-29.376	-29.394	-29.392	-29.428	-29.394	-29.356	-29.394	-29.332	-29.394	-29.367	-29.533	-29.394	138.917	138.897	139.055	139.155	139.049	139.008	139.148	139.084	138.985	139.152	139.147	139.257	139.013	139.055	138.866	138.915	139.113	139.020	139.126	139.045	138.819	139.187	139.087	139.117	139.113	139.144	139.013	138.950	139.113	138.880	139.152	139.148	101.987	101.945	101.970	101.986	101.980	101.984	101.972	101.977	101.948	101.959	102.000	102.004	101.970	101.942	101.914	101.954	101.934	101.987	101.947	101.912	101.952	101.928	101.936	101.948	101.934	101.917	101.943	101.923	101.934	101.943	101.986	101.931	2016_7_15_14_28_04
