SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-35.999	-35.904	-35.863	-35.863	-35.863	-35.866	-35.821	-35.906	-35.746	-35.863	-35.911	-35.863	-35.744	-35.938	-35.820	-35.743	-35.811	-35.834	-35.820	-35.820	-35.864	-35.743	-35.891	-35.865	-35.864	-35.863	-35.906	-35.823	-35.864	-35.864	-35.776	-35.937	140.109	140.158	140.163	140.163	140.163	140.232	140.163	140.194	140.162	140.163	140.078	140.163	140.198	140.197	140.201	140.196	140.106	140.195	140.237	140.237	140.124	140.196	140.199	140.088	140.124	140.087	140.158	140.198	140.124	140.127	140.106	140.192	104.397	104.356	104.340	104.340	104.340	104.334	104.324	104.353	104.295	104.340	104.366	104.340	104.291	104.365	104.320	104.291	104.325	104.326	104.316	104.316	104.344	104.291	104.347	104.348	104.344	104.347	104.357	104.321	104.344	104.344	104.312	104.365	2016_7_15_14_31_12
F2LS3A8AGRXL____	-36.208	-36.119	-36.084	-36.084	-36.084	-36.085	-36.043	-36.120	-36.006	-36.084	-36.075	-36.084	-36.008	-36.158	-36.046	-36.008	-36.040	-36.046	-36.045	-36.045	-36.084	-36.008	-36.077	-36.084	-36.084	-36.083	-36.121	-36.045	-36.084	-36.085	-35.995	-36.120	140.107	140.150	140.185	140.185	140.185	140.222	140.147	140.180	140.115	140.185	140.080	140.185	140.189	140.216	140.188	140.182	140.044	140.185	140.217	140.217	140.149	140.182	140.153	140.113	140.149	140.113	140.146	140.183	140.149	140.150	140.119	140.189	104.705	104.666	104.649	104.649	104.649	104.646	104.637	104.664	104.626	104.649	104.656	104.649	104.620	104.675	104.634	104.621	104.647	104.635	104.631	104.631	104.653	104.621	104.650	104.656	104.653	104.656	104.668	104.635	104.653	104.653	104.622	104.663	2016_7_15_14_31_15
F2LS3BDVGRXL____	-36.203	-36.093	-36.061	-36.061	-36.061	-36.063	-35.973	-36.059	-35.979	-36.061	-36.052	-36.061	-35.937	-36.095	-35.972	-35.977	-35.974	-36.030	-36.015	-36.015	-36.063	-35.977	-36.050	-36.060	-36.063	-36.058	-36.059	-36.015	-36.063	-36.061	-35.923	-36.095	140.076	140.118	140.152	140.152	140.152	140.183	140.112	140.142	140.114	140.152	140.086	140.152	140.153	140.179	140.151	140.148	140.041	140.145	140.184	140.184	140.112	140.148	140.156	140.082	140.112	140.082	140.106	140.150	140.112	140.117	140.116	140.160	104.568	104.522	104.506	104.506	104.506	104.504	104.476	104.506	104.478	104.506	104.509	104.506	104.458	104.517	104.472	104.474	104.484	104.495	104.485	104.485	104.511	104.474	104.502	104.513	104.511	104.512	104.510	104.489	104.511	104.510	104.457	104.518	2016_7_15_14_31_22
F2LS3EKPHFM2____	-36.261	-36.118	-36.081	-36.081	-36.081	-36.081	-36.035	-36.124	-36.000	-36.081	-36.112	-36.081	-35.999	-36.204	-36.037	-36.000	-36.022	-36.047	-36.036	-36.036	-36.082	-36.000	-36.116	-36.082	-36.082	-36.082	-36.125	-36.035	-36.082	-36.082	-35.982	-36.117	140.032	140.109	140.140	140.140	140.140	140.175	140.078	140.103	140.109	140.140	140.044	140.140	140.148	140.140	140.146	140.143	139.985	140.141	140.178	140.178	140.070	140.143	140.143	140.033	140.070	140.034	140.102	140.112	140.070	140.069	140.078	140.145	104.353	104.291	104.273	104.273	104.273	104.270	104.262	104.294	104.245	104.273	104.294	104.273	104.241	104.321	104.256	104.242	104.266	104.260	104.252	104.252	104.280	104.242	104.286	104.284	104.280	104.284	104.294	104.259	104.280	104.281	104.242	104.287	2016_7_15_14_31_26
F2LS3HFBHFM5____	-36.354	-36.252	-36.256	-36.256	-36.256	-36.256	-36.210	-36.295	-36.136	-36.256	-36.208	-36.256	-36.135	-36.331	-36.211	-36.136	-36.213	-36.183	-36.175	-36.175	-36.257	-36.136	-36.247	-36.257	-36.257	-36.256	-36.296	-36.212	-36.257	-36.256	-36.126	-36.252	139.974	140.022	140.056	140.056	140.056	140.092	140.018	140.055	139.983	140.056	139.951	140.056	140.055	140.051	140.056	140.052	139.917	140.057	140.056	140.056	139.987	140.052	140.019	139.953	139.987	139.953	140.020	140.053	139.987	140.021	139.991	140.060	104.496	104.452	104.450	104.450	104.450	104.447	104.436	104.465	104.412	104.450	104.442	104.450	104.404	104.479	104.433	104.405	104.448	104.422	104.419	104.419	104.457	104.405	104.451	104.461	104.457	104.460	104.469	104.434	104.457	104.454	104.407	104.448	2016_7_15_14_31_29
F2LS3HFRHFM5____	-36.252	-36.119	-36.082	-36.082	-36.082	-36.123	-36.035	-36.122	-35.998	-36.082	-36.070	-36.082	-35.997	-36.158	-36.037	-35.998	-36.033	-36.044	-36.079	-36.079	-36.124	-35.998	-36.072	-36.078	-36.124	-36.083	-36.124	-36.100	-36.124	-36.123	-35.976	-36.119	140.153	140.230	140.220	140.220	140.220	140.260	140.233	140.219	140.232	140.220	140.163	140.220	140.230	140.254	140.272	140.267	140.128	140.263	140.308	140.308	140.190	140.267	140.227	140.164	140.190	140.192	140.189	140.275	140.190	140.187	140.200	140.224	104.569	104.511	104.498	104.498	104.498	104.510	104.478	104.513	104.464	104.498	104.499	104.498	104.464	104.524	104.475	104.461	104.488	104.479	104.488	104.488	104.517	104.461	104.493	104.502	104.517	104.501	104.517	104.499	104.517	104.517	104.459	104.512	2016_7_15_14_31_33
F2LS3HQHHFM5____	-36.279	-36.219	-36.145	-36.145	-36.145	-36.145	-36.101	-36.187	-36.066	-36.145	-36.139	-36.145	-36.065	-36.221	-36.101	-36.066	-36.104	-36.112	-36.101	-36.101	-36.186	-36.066	-36.138	-36.144	-36.186	-36.184	-36.187	-36.102	-36.186	-36.185	-36.059	-36.218	139.995	140.039	140.077	140.077	140.077	140.111	140.039	140.074	140.040	140.077	140.010	140.077	140.077	140.117	140.075	140.076	139.969	140.073	140.112	140.112	140.036	140.076	140.075	140.006	140.036	140.005	140.038	140.074	140.036	140.042	140.048	140.076	104.403	104.376	104.343	104.343	104.343	104.340	104.330	104.360	104.317	104.343	104.348	104.343	104.313	104.368	104.327	104.313	104.338	104.331	104.323	104.323	104.363	104.313	104.341	104.350	104.363	104.366	104.363	104.327	104.363	104.362	104.313	104.371	2016_7_15_14_31_37
F2LS3HZVHFM5____	-36.282	-36.188	-36.151	-36.151	-36.151	-36.152	-36.102	-36.189	-36.025	-36.151	-36.138	-36.151	-36.025	-36.225	-36.101	-36.066	-36.103	-36.118	-36.102	-36.102	-36.150	-36.066	-36.139	-36.150	-36.150	-36.148	-36.189	-36.104	-36.150	-36.152	-36.055	-36.186	140.038	140.084	140.124	140.124	140.124	140.157	140.090	140.118	140.085	140.124	140.053	140.124	140.123	140.153	140.124	140.119	140.020	140.120	140.157	140.157	140.051	140.119	140.122	140.015	140.051	140.017	140.082	140.122	140.051	140.084	140.060	140.126	104.584	104.543	104.525	104.525	104.525	104.522	104.510	104.540	104.481	104.525	104.527	104.525	104.477	104.551	104.506	104.493	104.517	104.513	104.503	104.503	104.532	104.493	104.520	104.535	104.532	104.535	104.544	104.507	104.532	104.529	104.495	104.538	2016_7_15_14_31_41
F2LS3JESHFM5____	-36.012	-35.904	-35.867	-35.867	-35.867	-35.867	-35.819	-35.911	-35.784	-35.867	-35.860	-35.867	-35.783	-35.948	-35.819	-35.784	-35.823	-35.833	-35.821	-35.821	-35.911	-35.784	-35.856	-35.868	-35.911	-35.869	-35.911	-35.822	-35.911	-35.868	-35.772	-35.903	140.045	140.090	140.092	140.092	140.092	140.127	140.056	140.123	140.088	140.092	140.024	140.092	140.128	140.157	140.093	140.122	139.988	140.093	140.161	140.161	140.060	140.122	140.096	140.020	140.060	140.020	140.088	140.125	140.060	140.058	140.063	140.128	104.375	104.329	104.315	104.315	104.315	104.312	104.300	104.329	104.283	104.315	104.319	104.315	104.279	104.340	104.296	104.280	104.308	104.302	104.290	104.290	104.335	104.280	104.310	104.322	104.335	104.323	104.332	104.294	104.335	104.319	104.281	104.325	2016_7_15_14_31_45
F2LS3KLTHFM5____	-36.314	-36.181	-36.145	-36.145	-36.145	-36.145	-36.099	-36.186	-36.062	-36.145	-36.134	-36.145	-36.063	-36.222	-36.100	-36.063	-36.100	-36.150	-36.139	-36.139	-36.142	-36.063	-36.175	-36.141	-36.142	-36.145	-36.186	-36.101	-36.142	-36.147	-36.056	-36.219	140.047	140.053	140.087	140.087	140.087	140.123	140.092	140.089	140.092	140.087	140.058	140.087	140.131	140.125	140.127	140.128	140.022	140.091	140.163	140.163	140.058	140.128	140.129	140.022	140.058	140.014	140.053	140.128	140.058	140.053	140.061	140.095	104.365	104.313	104.296	104.296	104.296	104.292	104.278	104.311	104.264	104.296	104.294	104.296	104.260	104.321	104.274	104.260	104.285	104.297	104.286	104.286	104.297	104.260	104.303	104.301	104.297	104.303	104.315	104.275	104.297	104.300	104.264	104.323	2016_7_15_14_31_48
