SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-22.722	-22.648	-22.651	-22.579	-22.579	-22.507	-22.504	-22.466	-22.466	-22.468	-22.467	-22.467	-22.543	-22.501	-22.500	-22.501	-22.466	-22.501	-22.542	-22.431	-22.468	-22.509	-22.501	-22.535	-22.462	-22.467	-22.473	-22.582	-22.507	-22.538	-22.536	-22.543	139.081	139.082	139.079	139.116	139.116	139.124	139.158	139.050	139.087	139.123	139.118	139.118	139.114	139.122	139.116	139.122	139.087	139.081	139.149	139.117	139.123	139.116	139.055	139.046	139.020	139.118	139.045	139.112	139.014	139.055	139.054	139.114	99.266	99.236	99.238	99.206	99.206	99.177	99.174	99.166	99.163	99.161	99.161	99.161	99.192	99.175	99.175	99.175	99.163	99.177	99.189	99.147	99.161	99.178	99.179	99.193	99.166	99.161	99.168	99.208	99.184	99.194	99.193	99.192	2016_7_15_14_35_44
F2LS3A8AGRXL____	-22.971	-22.896	-22.898	-22.825	-22.825	-22.756	-22.828	-22.723	-22.724	-22.724	-22.723	-22.723	-22.828	-22.760	-22.759	-22.760	-22.724	-22.758	-22.791	-22.687	-22.724	-22.757	-22.760	-22.794	-22.759	-22.723	-22.720	-22.834	-22.755	-22.826	-22.793	-22.828	139.002	139.036	139.038	139.070	139.070	139.079	139.074	139.005	139.001	139.077	139.072	139.072	139.034	139.075	139.072	139.075	139.001	139.036	139.070	139.072	139.077	139.035	138.933	139.005	138.936	139.072	139.003	139.035	138.968	138.971	138.970	139.034	99.598	99.566	99.567	99.535	99.535	99.507	99.536	99.499	99.499	99.494	99.494	99.494	99.539	99.509	99.509	99.509	99.499	99.511	99.521	99.480	99.494	99.510	99.518	99.527	99.518	99.494	99.498	99.541	99.514	99.542	99.529	99.539	2016_7_15_14_35_47
F2LS3BDVGRXL____	-22.981	-22.950	-22.989	-22.880	-22.880	-22.811	-22.844	-22.773	-22.772	-22.738	-22.772	-22.772	-22.843	-22.808	-22.807	-22.808	-22.772	-22.772	-22.842	-22.737	-22.738	-22.808	-22.808	-22.842	-22.805	-22.772	-22.774	-22.921	-22.808	-22.881	-22.806	-22.843	138.923	138.916	138.915	138.952	138.952	138.959	138.988	138.884	138.923	138.961	138.953	138.953	138.952	138.958	138.949	138.958	138.923	138.920	138.988	138.952	138.961	138.951	138.851	138.929	138.852	138.953	138.882	138.916	138.849	138.859	138.858	138.952	99.470	99.458	99.474	99.427	99.427	99.399	99.411	99.389	99.386	99.370	99.384	99.384	99.413	99.398	99.398	99.398	99.386	99.386	99.410	99.370	99.370	99.399	99.405	99.414	99.404	99.384	99.389	99.446	99.406	99.434	99.404	99.413	2016_7_15_14_35_51
F2LS3EKPHFM2____	-23.050	-23.021	-23.018	-22.951	-22.951	-22.883	-22.916	-22.808	-22.809	-22.846	-22.804	-22.804	-22.913	-22.881	-22.840	-22.881	-22.809	-22.837	-22.878	-22.770	-22.846	-22.845	-22.842	-22.875	-22.838	-22.804	-22.843	-22.916	-22.843	-22.951	-22.876	-22.913	138.865	138.788	138.862	138.856	138.856	138.869	138.895	138.796	138.833	138.869	138.899	138.899	138.894	138.869	138.900	138.869	138.833	138.914	138.897	138.901	138.869	138.859	138.800	138.831	138.804	138.899	138.825	138.897	138.796	138.803	138.798	138.894	99.260	99.253	99.247	99.221	99.221	99.193	99.204	99.167	99.165	99.177	99.159	99.159	99.203	99.192	99.173	99.192	99.165	99.171	99.189	99.145	99.177	99.178	99.181	99.192	99.178	99.159	99.179	99.204	99.181	99.224	99.194	99.203	2016_7_15_14_35_55
F2LS3HFBHFM5____	-23.159	-23.087	-23.089	-23.016	-23.016	-22.947	-22.981	-22.909	-22.909	-22.911	-22.906	-22.906	-22.981	-22.944	-22.941	-22.944	-22.909	-22.939	-22.982	-22.872	-22.911	-22.948	-22.943	-22.975	-22.941	-22.906	-22.910	-23.020	-22.945	-23.016	-22.976	-22.981	138.962	138.959	138.959	138.995	138.995	138.951	139.030	138.888	138.921	138.960	138.992	138.992	138.993	138.961	138.991	138.961	138.921	138.959	138.994	138.990	138.960	138.958	138.852	138.925	138.854	138.992	138.920	138.992	138.922	138.881	138.850	138.993	99.398	99.370	99.371	99.339	99.339	99.314	99.323	99.303	99.301	99.299	99.295	99.295	99.325	99.313	99.309	99.313	99.301	99.311	99.326	99.281	99.299	99.314	99.319	99.327	99.318	99.295	99.301	99.341	99.315	99.347	99.333	99.325	2016_7_15_14_35_58
F2LS3HFRHFM5____	-22.911	-22.838	-22.838	-22.767	-22.767	-22.731	-22.732	-22.660	-22.660	-22.661	-22.658	-22.658	-22.732	-22.696	-22.694	-22.696	-22.660	-22.693	-22.731	-22.624	-22.661	-22.733	-22.695	-22.728	-22.692	-22.658	-22.663	-22.772	-22.697	-22.766	-22.728	-22.732	139.023	139.020	139.052	139.054	139.054	139.052	139.093	139.017	139.051	139.087	139.055	139.055	139.055	139.089	139.055	139.089	139.051	139.021	139.089	139.052	139.087	139.048	138.984	139.019	138.950	139.055	138.986	139.053	138.950	138.987	138.953	139.055	99.425	99.397	99.394	99.366	99.366	99.352	99.349	99.325	99.323	99.321	99.322	99.322	99.352	99.335	99.336	99.335	99.323	99.338	99.349	99.308	99.321	99.352	99.341	99.352	99.342	99.322	99.328	99.368	99.345	99.370	99.357	99.352	2016_7_15_14_36_03
F2LS3HQHHFM5____	-23.171	-22.888	-22.885	-22.813	-22.813	-22.746	-22.778	-22.709	-22.675	-22.710	-22.707	-22.707	-22.781	-22.744	-22.780	-22.744	-22.675	-22.742	-22.780	-22.673	-22.710	-22.745	-22.744	-22.778	-22.740	-22.707	-22.709	-22.820	-22.745	-22.818	-22.778	-22.781	138.896	138.893	138.930	139.014	139.014	138.973	139.047	138.900	138.945	138.972	138.964	138.964	138.964	138.969	138.925	138.969	138.945	138.926	139.001	138.966	138.972	138.963	138.862	138.893	138.865	138.964	138.893	138.964	138.859	138.821	138.859	138.964	99.346	99.232	99.229	99.194	99.194	99.170	99.178	99.160	99.143	99.155	99.155	99.155	99.184	99.169	99.186	99.169	99.143	99.171	99.182	99.141	99.155	99.170	99.176	99.188	99.175	99.155	99.160	99.200	99.177	99.209	99.190	99.184	2016_7_15_14_36_08
F2LS3HZVHFM5____	-23.035	-22.965	-22.966	-22.895	-22.895	-22.828	-22.861	-22.793	-22.791	-22.792	-22.790	-22.790	-22.860	-22.828	-22.825	-22.828	-22.791	-22.825	-22.861	-22.756	-22.792	-22.824	-22.792	-22.827	-22.824	-22.790	-22.789	-22.899	-22.829	-22.896	-22.827	-22.860	138.971	138.916	138.916	139.001	139.001	138.961	139.037	138.847	138.924	138.957	138.949	138.949	138.950	138.955	139.000	138.955	138.924	138.964	138.945	138.950	138.957	138.950	138.856	138.887	138.813	138.949	138.935	138.950	138.811	138.889	138.854	138.950	99.470	99.446	99.446	99.412	99.412	99.388	99.396	99.381	99.375	99.373	99.373	99.373	99.401	99.388	99.384	99.388	99.375	99.386	99.402	99.359	99.373	99.387	99.380	99.392	99.396	99.373	99.374	99.417	99.398	99.420	99.394	99.401	2016_7_15_14_36_12
F2LS3JESHFM5____	-22.892	-22.764	-22.764	-22.653	-22.653	-22.586	-22.619	-22.547	-22.547	-22.549	-22.546	-22.546	-22.623	-22.582	-22.578	-22.582	-22.547	-22.574	-22.621	-22.506	-22.549	-22.585	-22.581	-22.608	-22.682	-22.546	-22.547	-22.695	-22.592	-22.655	-22.615	-22.623	138.884	138.984	138.986	139.024	139.024	138.966	139.057	138.890	138.921	138.962	138.948	138.948	138.980	138.959	138.950	138.959	138.921	138.981	139.010	139.010	138.962	139.026	138.858	138.998	138.744	138.948	138.946	138.969	138.805	138.898	138.858	138.980	99.314	99.256	99.256	99.209	99.209	99.186	99.193	99.175	99.173	99.171	99.171	99.171	99.200	99.185	99.184	99.185	99.173	99.180	99.197	99.151	99.171	99.182	99.191	99.192	99.239	99.171	99.171	99.229	99.199	99.218	99.204	99.200	2016_7_15_14_36_15
F2LS3KLTHFM5____	-23.026	-23.001	-23.000	-22.886	-22.886	-22.768	-22.852	-22.778	-22.784	-22.784	-22.777	-22.777	-22.851	-22.814	-22.812	-22.814	-22.784	-22.812	-22.846	-22.742	-22.784	-22.816	-22.818	-22.894	-22.812	-22.777	-22.778	-22.895	-22.815	-22.883	-22.852	-22.851	138.946	138.876	138.865	138.976	138.976	139.047	139.012	138.962	138.914	138.951	139.025	139.025	138.976	139.101	139.025	139.101	138.914	138.990	139.064	139.028	138.951	138.977	138.838	138.836	138.879	139.025	138.955	138.910	138.873	138.958	138.843	138.976	99.237	99.232	99.232	99.179	99.179	99.127	99.163	99.137	99.142	99.140	99.132	99.132	99.165	99.142	99.146	99.142	99.142	99.149	99.157	99.118	99.140	99.151	99.161	99.191	99.156	99.132	99.137	99.187	99.158	99.179	99.174	99.165	2016_7_15_14_36_18
