SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-25.694	-25.659	-25.660	-25.593	-25.727	-25.520	-25.660	-25.658	-25.556	-25.659	-25.661	-25.555	-25.625	-25.661	-25.626	-25.624	-25.797	-25.691	-25.593	-25.625	-25.660	-25.661	-25.727	-25.628	-25.692	-25.731	-25.799	-25.660	-25.623	-25.559	-25.799	-25.696	139.223	139.224	139.225	139.151	139.225	139.155	139.230	139.153	139.193	139.296	139.226	139.187	139.187	139.226	139.261	139.187	139.264	139.222	139.085	139.115	139.155	139.154	139.189	139.156	139.223	139.187	139.332	139.259	139.154	139.299	139.048	139.261	100.444	100.430	100.430	100.409	100.457	100.380	100.430	100.435	100.391	100.425	100.431	100.391	100.419	100.431	100.414	100.419	100.482	100.443	100.414	100.425	100.435	100.436	100.459	100.423	100.443	100.461	100.478	100.428	100.421	100.385	100.499	100.442	2016_7_15_14_40_00
F2LS3A8AGRXL____	-25.912	-25.879	-25.878	-25.808	-25.946	-25.742	-25.875	-25.876	-25.772	-25.877	-25.878	-25.774	-25.849	-25.878	-25.845	-25.842	-26.019	-25.911	-25.815	-25.843	-25.879	-25.879	-25.950	-25.847	-25.915	-25.950	-26.019	-25.882	-25.843	-25.774	-26.020	-25.915	139.193	139.168	139.192	139.093	139.195	139.062	139.170	139.120	139.133	139.239	139.165	139.156	139.126	139.165	139.202	139.129	139.203	139.191	139.051	139.053	139.121	139.122	139.130	139.094	139.165	139.129	139.273	139.228	139.095	139.268	138.987	139.231	100.760	100.749	100.747	100.726	100.773	100.702	100.747	100.751	100.709	100.743	100.749	100.708	100.740	100.749	100.733	100.737	100.802	100.760	100.732	100.743	100.752	100.752	100.780	100.742	100.763	100.780	100.797	100.745	100.740	100.700	100.819	100.759	2016_7_15_14_41_19
F2LS3EKPHFM2____	-26.016	-25.943	-25.981	-25.939	-26.013	-25.806	-25.944	-25.987	-25.840	-25.943	-25.941	-25.904	-25.913	-25.941	-25.907	-25.908	-26.086	-25.979	-25.879	-25.974	-25.947	-25.944	-26.011	-25.915	-26.015	-26.013	-26.051	-25.945	-25.943	-25.845	-26.089	-25.981	139.001	139.032	139.002	138.962	139.067	138.963	139.029	138.966	138.996	139.099	139.038	138.927	139.022	139.038	139.101	138.999	139.106	139.004	138.884	138.857	138.992	138.969	139.029	138.954	139.004	139.002	139.138	139.062	138.929	139.100	138.891	139.099	100.436	100.405	100.422	100.408	100.430	100.356	100.405	100.427	100.366	100.400	100.404	100.397	100.394	100.404	100.386	100.393	100.456	100.421	100.391	100.430	100.409	100.410	100.432	100.399	100.436	100.435	100.440	100.403	100.413	100.361	100.474	100.415	2016_7_15_14_41_23
F2LS3HFBHFM5____	-26.108	-26.033	-26.066	-26.003	-26.141	-25.933	-26.028	-26.073	-25.960	-26.067	-26.033	-25.962	-25.999	-26.033	-26.034	-25.993	-26.206	-26.065	-25.961	-26.038	-26.073	-26.033	-26.138	-25.993	-26.102	-26.139	-26.204	-26.111	-26.034	-26.006	-26.213	-26.105	139.025	139.107	139.053	138.885	139.053	138.885	139.109	138.885	139.072	139.181	139.060	139.015	139.021	139.060	139.143	139.022	139.144	139.050	138.970	138.920	138.885	138.992	139.018	139.041	139.052	139.020	139.169	139.146	138.990	139.183	138.780	139.145	100.573	100.537	100.554	100.542	100.584	100.514	100.535	100.569	100.510	100.545	100.540	100.515	100.529	100.540	100.534	100.527	100.603	100.554	100.518	100.553	100.569	100.545	100.585	100.526	100.568	100.585	100.600	100.565	100.546	100.520	100.633	100.563	2016_7_15_14_41_31
F2LS3HFRHFM5____	-25.849	-25.816	-25.812	-25.810	-25.882	-25.670	-25.811	-25.880	-25.708	-25.811	-25.814	-25.709	-25.781	-25.814	-25.780	-25.775	-25.993	-25.847	-25.747	-25.773	-25.815	-25.810	-25.882	-25.783	-25.846	-25.950	-25.956	-25.814	-25.845	-25.710	-25.959	-25.850	139.224	139.220	139.222	139.085	139.226	139.121	139.224	139.085	139.187	139.291	139.193	139.184	139.183	139.193	139.253	139.120	139.259	139.221	139.078	139.103	139.148	139.085	139.190	139.150	139.221	139.120	139.325	139.252	139.085	139.293	139.043	139.289	100.585	100.573	100.571	100.580	100.598	100.522	100.570	100.608	100.532	100.565	100.574	100.533	100.561	100.574	100.556	100.564	100.640	100.585	100.556	100.564	100.578	100.580	100.601	100.564	100.585	100.633	100.620	100.569	100.594	100.525	100.642	100.581	2016_7_15_14_41_43
F2LS3HQHHFM5____	-25.954	-25.921	-25.922	-25.850	-25.989	-25.785	-25.894	-25.889	-25.786	-25.920	-25.918	-25.781	-25.889	-25.918	-25.922	-25.886	-26.063	-25.956	-25.855	-25.886	-25.892	-25.921	-25.991	-25.893	-25.958	-25.992	-26.064	-25.925	-25.886	-25.821	-26.030	-25.958	139.088	139.060	139.087	139.019	139.088	138.957	139.084	139.053	139.051	139.128	139.066	139.080	139.049	139.066	139.093	139.026	139.124	139.087	138.945	138.989	139.018	138.997	139.055	139.016	139.087	139.056	139.190	139.121	138.990	139.155	138.918	139.120	100.444	100.433	100.432	100.408	100.459	100.387	100.421	100.421	100.380	100.428	100.432	100.376	100.421	100.432	100.431	100.422	100.485	100.445	100.416	100.425	100.425	100.438	100.462	100.425	100.446	100.462	100.481	100.430	100.425	100.387	100.487	100.444	2016_7_15_14_41_47
F2LS3HZVHFM5____	-25.977	-25.907	-25.944	-25.868	-26.012	-25.798	-25.940	-25.939	-25.802	-25.939	-25.906	-25.799	-25.874	-25.906	-25.876	-25.944	-26.084	-25.976	-25.906	-25.871	-25.942	-25.908	-26.009	-25.875	-25.974	-26.009	-26.086	-25.946	-25.903	-25.875	-26.082	-25.979	139.074	139.069	139.073	139.007	139.074	138.979	139.070	138.983	139.038	139.114	139.081	139.038	139.033	139.081	139.105	139.011	139.107	139.071	138.899	138.976	139.000	139.009	139.036	139.033	139.071	139.042	139.173	139.102	138.976	139.111	138.897	139.141	100.639	100.611	100.626	100.600	100.653	100.575	100.624	100.630	100.572	100.621	100.610	100.571	100.601	100.610	100.596	100.630	100.679	100.639	100.624	100.604	100.630	100.616	100.654	100.601	100.638	100.654	100.675	100.624	100.616	100.595	100.694	100.635	2016_7_15_14_41_50
F2LS3JESHFM5____	-25.832	-25.794	-25.790	-25.688	-25.867	-25.649	-25.789	-25.867	-25.642	-25.794	-25.795	-25.622	-25.762	-25.795	-25.757	-25.762	-25.928	-25.832	-25.688	-25.787	-25.867	-25.797	-25.860	-25.759	-25.825	-25.937	-25.925	-25.792	-25.832	-25.682	-25.936	-25.830	139.024	139.131	139.066	139.032	139.024	138.952	139.128	138.884	139.142	139.206	139.120	138.989	138.989	139.120	139.167	138.989	139.167	139.024	139.039	138.939	138.954	138.954	139.027	139.055	139.059	138.989	139.232	139.175	138.954	139.204	138.949	139.160	100.480	100.457	100.460	100.422	100.494	100.413	100.455	100.505	100.396	100.452	100.458	100.399	100.455	100.458	100.440	100.455	100.508	100.480	100.422	100.469	100.499	100.472	100.491	100.449	100.475	100.525	100.502	100.453	100.485	100.407	100.527	100.469	2016_7_15_14_41_55
F2LS3KLTHFM5____	-25.962	-25.896	-25.926	-25.823	-25.999	-25.787	-25.894	-25.892	-25.786	-25.928	-25.894	-25.784	-25.893	-25.894	-25.929	-25.891	-26.072	-25.962	-25.861	-25.889	-25.894	-25.929	-25.999	-25.898	-25.961	-25.998	-26.074	-25.933	-25.892	-25.830	-26.072	-25.967	139.148	139.110	139.147	139.049	139.148	139.046	139.139	139.082	139.076	139.176	139.126	139.109	139.104	139.126	139.143	139.080	139.184	139.146	138.956	139.047	139.073	139.052	139.114	139.027	139.147	139.090	139.249	139.138	139.039	139.176	138.967	139.178	100.397	100.373	100.382	100.348	100.411	100.334	100.370	100.374	100.332	100.381	100.371	100.328	100.372	100.371	100.384	100.373	100.438	100.397	100.371	100.375	100.375	100.391	100.414	100.380	100.396	100.415	100.433	100.386	100.377	100.342	100.454	100.396	2016_7_15_14_41_58
F2LS3MG9HFM5____	-26.042	-25.936	-25.937	-25.828	-26.005	-25.793	-25.934	-25.867	-25.790	-25.935	-25.933	-25.902	-25.903	-25.933	-25.903	-25.902	-26.077	-25.969	-25.869	-25.866	-25.903	-25.937	-26.009	-25.873	-25.970	-26.077	-26.147	-25.942	-25.972	-25.833	-26.077	-25.972	139.020	139.102	139.129	139.030	139.134	139.029	139.101	138.950	139.066	139.173	139.107	138.985	139.089	139.107	139.163	139.055	139.125	139.131	138.957	139.003	139.057	139.020	139.099	139.024	139.129	139.055	139.195	139.168	139.020	139.203	138.845	139.137	100.613	100.565	100.563	100.527	100.590	100.514	100.564	100.549	100.510	100.560	100.564	100.560	100.553	100.564	100.548	100.555	100.620	100.576	100.549	100.545	100.556	100.572	100.594	100.546	100.577	100.625	100.642	100.563	100.586	100.517	100.640	100.577	2016_7_15_14_42_01
