SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-50.458	-50.456	-50.531	-50.493	-50.494	-50.560	-50.344	-50.385	-50.316	-50.561	-50.489	-50.491	-50.243	-50.525	-50.459	-50.308	-50.422	-50.352	-50.391	-50.496	-50.317	-50.420	-50.457	-50.421	-50.284	-50.458	-50.204	-50.486	-50.458	-50.464	-50.385	-50.388	130.111	130.040	130.039	130.005	130.037	130.146	130.116	130.181	130.110	130.074	130.109	130.073	130.109	130.040	130.040	130.107	130.145	130.215	130.178	130.143	130.145	130.251	130.074	130.181	130.077	130.249	130.282	130.216	130.247	129.969	130.179	130.257	111.184	111.194	111.223	111.213	111.209	111.218	111.140	111.146	111.130	111.229	111.196	111.202	111.102	111.221	111.195	111.127	111.165	111.128	111.149	111.194	111.125	111.149	111.189	111.159	111.122	111.164	111.062	111.180	111.164	111.208	111.146	111.136	2016_7_15_14_46_28
F2LS3HFBHFM5____	-50.490	-50.492	-50.591	-50.559	-50.557	-50.588	-50.378	-50.455	-50.385	-50.623	-50.592	-50.526	-50.340	-50.590	-50.522	-50.374	-50.455	-50.422	-50.451	-50.558	-50.387	-50.455	-50.526	-50.454	-50.342	-50.522	-50.275	-50.589	-50.489	-50.522	-50.455	-50.456	130.036	129.966	129.968	129.932	129.967	130.071	130.079	130.107	130.037	130.001	130.037	129.999	130.050	129.967	129.969	130.044	130.075	130.143	130.108	130.073	130.072	130.177	130.001	130.107	130.016	130.178	130.210	130.144	130.178	129.863	130.108	130.218	111.157	111.168	111.206	111.199	111.193	111.189	111.108	111.133	111.116	111.213	111.196	111.176	111.097	111.205	111.179	111.111	111.138	111.115	111.131	111.177	111.112	111.122	111.176	111.133	111.103	111.148	111.049	111.179	111.135	111.195	111.133	111.117	2016_7_15_14_46_34
F2LS3JESHFM5____	-50.532	-50.530	-50.602	-50.568	-50.567	-50.673	-50.437	-50.472	-50.402	-50.678	-50.602	-50.565	-50.351	-50.601	-50.542	-50.384	-50.507	-50.430	-50.472	-50.569	-50.390	-50.501	-50.531	-50.497	-50.367	-50.537	-50.281	-50.612	-50.530	-50.539	-50.472	-50.461	130.109	130.038	130.037	130.001	130.035	130.145	130.099	130.169	130.099	130.073	130.107	130.073	130.113	130.036	130.029	130.109	130.134	130.211	130.169	130.142	130.143	130.244	130.074	130.178	130.064	130.243	130.281	130.204	130.248	129.967	130.169	130.258	111.179	111.189	111.217	111.209	111.204	111.228	111.145	111.148	111.131	111.241	111.206	111.197	111.110	111.217	111.195	111.123	111.166	111.126	111.148	111.189	111.120	111.148	111.184	111.156	111.123	111.161	111.058	111.196	111.158	111.203	111.148	111.130	2016_7_15_14_46_37
F2LS3TKDHFM5____	-50.974	-50.974	-51.038	-51.009	-50.997	-51.079	-50.799	-50.904	-50.834	-51.079	-51.044	-50.994	-50.799	-51.044	-50.974	-50.834	-50.939	-50.869	-50.904	-51.009	-50.834	-50.939	-50.974	-50.939	-50.799	-50.904	-50.659	-51.044	-50.974	-50.974	-50.904	-50.885	129.952	129.882	129.887	129.847	129.890	129.987	129.952	130.022	129.952	129.917	129.952	129.926	129.952	129.882	129.882	129.952	129.987	130.057	130.022	129.987	129.987	130.092	129.917	130.022	129.917	130.092	130.127	130.057	130.092	129.812	130.022	130.110	111.460	111.471	111.495	111.489	111.478	111.495	111.393	111.423	111.407	111.506	111.487	111.472	111.393	111.498	111.471	111.407	111.442	111.404	111.423	111.468	111.402	111.426	111.466	111.436	111.399	111.413	111.314	111.471	111.439	111.481	111.423	111.403	2016_7_15_14_46_40
F2LS38VQGRXL____	-50.566	-50.603	-50.671	-50.637	-50.639	-50.664	-50.487	-50.526	-50.457	-50.703	-50.667	-50.637	-50.382	-50.634	-50.605	-50.410	-50.530	-50.494	-50.492	-50.640	-50.430	-50.529	-50.600	-50.530	-50.386	-50.601	-50.317	-50.633	-50.600	-50.570	-50.528	-50.528	130.074	130.003	130.004	129.968	130.001	130.112	130.088	130.147	130.075	130.039	130.076	130.039	130.083	130.003	130.006	130.081	130.111	130.182	130.118	130.109	130.111	130.215	130.040	130.145	130.051	130.215	130.248	130.182	130.217	129.938	130.147	130.224	111.418	111.442	111.469	111.461	111.457	111.450	111.386	111.392	111.376	111.475	111.456	111.450	111.346	111.454	111.443	111.357	111.399	111.374	111.383	111.441	111.360	111.383	111.436	111.393	111.352	111.410	111.297	111.427	111.409	111.440	111.392	111.381	2016_7_15_14_46_44
F2LS3A8AGRXL____	-50.482	-50.482	-50.552	-50.517	-50.517	-50.517	-50.356	-50.412	-50.342	-50.517	-50.552	-50.517	-50.277	-50.552	-50.482	-50.313	-50.447	-50.377	-50.412	-50.540	-50.342	-50.377	-50.475	-50.447	-50.283	-50.482	-50.167	-50.552	-50.482	-50.482	-50.412	-50.386	129.938	129.868	129.868	129.833	129.868	130.043	129.954	130.008	129.938	129.973	129.938	129.903	129.956	129.868	129.868	129.953	129.973	130.043	130.008	129.995	129.973	130.078	129.909	130.008	129.923	130.078	130.113	130.043	130.078	129.798	130.008	130.114	111.446	111.456	111.483	111.475	111.470	111.444	111.396	111.409	111.392	111.454	111.473	111.465	111.365	111.483	111.456	111.379	111.427	111.390	111.409	111.460	111.387	111.385	111.448	111.422	111.372	111.425	111.299	111.457	111.425	111.467	111.409	111.383	2016_7_15_14_46_47
F2LS3HFRHFM5____	-50.683	-50.684	-50.750	-50.718	-50.717	-50.785	-50.534	-50.610	-50.540	-50.783	-50.751	-50.717	-50.462	-50.751	-50.686	-50.529	-50.647	-50.575	-50.613	-50.720	-50.539	-50.609	-50.680	-50.644	-50.463	-50.681	-50.431	-50.751	-50.682	-50.683	-50.611	-50.611	130.150	130.081	130.081	130.044	130.079	130.186	130.160	130.222	130.152	130.115	130.150	130.115	130.161	130.079	130.082	130.161	130.187	130.256	130.223	130.185	130.186	130.290	130.116	130.221	130.128	130.291	130.324	130.257	130.290	130.012	130.221	130.301	111.344	111.355	111.380	111.373	111.368	111.378	111.286	111.305	111.289	111.388	111.370	111.362	111.258	111.381	111.356	111.284	111.325	111.287	111.307	111.353	111.284	111.295	111.348	111.319	111.263	111.322	111.222	111.354	111.323	111.365	111.306	111.294	2016_7_15_14_46_50
F2LS3KLTHFM5____	-50.685	-50.718	-50.752	-50.720	-50.756	-50.820	-50.607	-50.647	-50.543	-50.818	-50.785	-50.752	-50.536	-50.787	-50.722	-50.531	-50.682	-50.616	-50.651	-50.756	-50.582	-50.649	-50.685	-50.683	-50.506	-50.717	-50.435	-50.750	-50.717	-50.725	-50.646	-50.613	130.042	129.973	129.972	129.935	129.971	130.080	130.054	130.114	130.043	130.009	130.045	130.007	130.050	129.973	129.973	130.045	130.080	130.149	130.115	130.080	130.078	130.182	130.008	130.115	130.017	130.186	130.215	130.150	130.184	129.903	130.115	130.189	111.122	111.144	111.158	111.151	111.160	111.167	111.090	111.096	111.067	111.177	111.160	111.153	111.064	111.171	111.146	111.062	111.115	111.079	111.098	111.143	111.077	111.087	111.127	111.110	111.057	111.113	111.000	111.130	111.113	111.158	111.096	111.072	2016_7_15_14_46_53
F2LS30UNGRX8____	-50.686	-50.684	-50.754	-50.756	-50.721	-50.782	-50.573	-50.616	-50.547	-50.784	-50.752	-50.722	-50.505	-50.752	-50.686	-50.535	-50.649	-50.586	-50.612	-50.723	-50.550	-50.653	-50.686	-50.654	-50.508	-50.682	-50.470	-50.749	-50.682	-50.693	-50.613	-50.619	129.997	129.925	129.927	129.890	129.951	130.033	130.001	130.065	130.024	129.961	129.996	129.990	129.998	129.925	129.955	129.994	130.033	130.127	130.069	130.058	130.058	130.163	129.959	130.092	129.996	130.136	130.169	130.104	130.135	129.886	130.066	130.171	111.208	111.218	111.245	111.251	111.229	111.240	111.165	111.171	111.151	111.251	111.234	111.223	111.139	111.244	111.214	111.151	111.189	111.151	111.169	111.213	111.147	111.171	111.214	111.182	111.140	111.186	111.100	111.216	111.186	111.227	111.170	111.157	2016_7_15_14_46_56
F2LS39Q6GRXL____	-50.248	-50.211	-50.317	-50.284	-50.283	-50.349	-50.132	-50.172	-50.102	-50.349	-50.280	-50.281	-50.063	-50.317	-50.248	-50.095	-50.176	-50.143	-50.175	-50.286	-50.104	-50.177	-50.244	-50.211	-50.065	-50.246	-49.995	-50.314	-50.246	-50.212	-50.172	-50.180	130.197	130.126	130.126	130.092	130.126	130.233	130.207	130.267	130.196	130.165	130.197	130.159	130.203	130.128	130.128	130.198	130.233	130.300	130.268	130.233	130.231	130.333	130.162	130.264	130.173	130.338	130.368	130.303	130.337	130.054	130.269	130.373	110.939	110.935	110.976	110.968	110.963	110.972	110.893	110.899	110.883	110.983	110.951	110.957	110.867	110.976	110.949	110.880	110.906	110.884	110.901	110.948	110.879	110.892	110.943	110.915	110.872	110.917	110.817	110.949	110.918	110.946	110.899	110.887	2016_7_15_14_46_59
F2LS3BDVGRXL____	-50.603	-50.603	-50.676	-50.640	-50.641	-50.706	-50.507	-50.542	-50.472	-50.709	-50.672	-50.638	-50.437	-50.674	-50.607	-50.458	-50.568	-50.507	-50.542	-50.639	-50.472	-50.567	-50.603	-50.568	-50.437	-50.637	-50.367	-50.682	-50.600	-50.611	-50.542	-50.530	129.962	129.888	129.890	129.855	129.886	129.998	129.949	130.019	129.949	129.926	129.962	129.924	129.949	129.890	129.890	129.953	129.999	130.054	130.019	129.995	129.984	130.102	129.926	130.032	129.914	130.101	130.124	130.054	130.096	129.827	130.019	130.107	111.351	111.362	111.390	111.381	111.377	111.385	111.316	111.319	111.303	111.397	111.378	111.370	111.290	111.389	111.363	111.297	111.332	111.301	111.319	111.360	111.298	111.317	111.357	111.327	111.295	111.344	111.237	111.368	111.330	111.375	111.319	111.302	2016_7_15_14_47_04
F2LS3HQHHFM5____	-50.675	-50.634	-50.747	-50.710	-50.712	-50.779	-50.563	-50.599	-50.530	-50.775	-50.741	-50.711	-50.495	-50.743	-50.675	-50.522	-50.599	-50.567	-50.605	-50.716	-50.531	-50.637	-50.672	-50.635	-50.494	-50.678	-50.422	-50.743	-50.672	-50.678	-50.599	-50.603	130.095	129.994	130.025	129.989	130.025	130.103	130.074	130.139	130.094	130.032	130.069	130.059	130.102	129.998	129.997	130.070	130.101	130.173	130.138	130.129	130.104	130.207	130.030	130.138	130.071	130.240	130.266	130.201	130.205	129.958	130.138	130.243	111.157	111.156	111.195	111.186	111.181	111.195	111.117	111.121	111.101	111.204	111.186	111.176	111.087	111.197	111.171	111.102	111.127	111.104	111.123	111.167	111.100	111.125	111.165	111.135	111.091	111.136	111.034	111.167	111.139	111.178	111.121	111.107	2016_7_15_14_47_07
F2LS3MG9HFM5____	-50.601	-50.599	-50.672	-50.636	-50.636	-50.741	-50.489	-50.527	-50.472	-50.717	-50.682	-50.636	-50.421	-50.673	-50.603	-50.453	-50.566	-50.507	-50.535	-50.640	-50.472	-50.577	-50.599	-50.563	-50.421	-50.601	-50.297	-50.682	-50.599	-50.605	-50.537	-50.527	129.912	129.840	129.839	129.806	129.838	129.987	129.909	129.981	129.885	129.920	129.955	129.873	129.902	129.841	129.842	129.899	129.947	129.990	129.982	129.944	129.920	130.095	129.875	129.982	129.876	130.052	130.060	129.990	130.045	129.777	129.961	130.058	111.284	111.294	111.322	111.314	111.309	111.327	111.242	111.246	111.239	111.328	111.309	111.304	111.217	111.323	111.296	111.230	111.266	111.237	111.249	111.295	111.234	111.248	111.289	111.260	111.221	111.264	111.146	111.304	111.264	111.306	111.253	111.234	2016_7_15_14_47_13
F2LS35BZHFM1____	-50.551	-50.621	-50.621	-50.586	-50.588	-50.726	-50.446	-50.551	-50.481	-50.726	-50.621	-50.585	-50.376	-50.621	-50.551	-50.411	-50.515	-50.446	-50.551	-50.591	-50.411	-50.516	-50.590	-50.586	-50.376	-50.551	-50.306	-50.621	-50.550	-50.551	-50.551	-50.516	130.039	129.969	129.969	129.934	129.975	130.074	130.039	130.109	130.039	130.004	130.039	130.013	130.039	129.969	129.969	130.039	130.036	130.144	130.109	130.084	130.074	130.189	130.015	130.109	130.004	130.109	130.214	130.144	130.182	129.899	130.109	130.192	111.048	111.086	111.086	111.077	111.072	111.110	111.008	111.038	111.022	111.120	111.075	111.066	110.981	111.086	111.059	110.995	111.035	110.993	111.038	111.057	110.990	111.013	111.067	111.051	110.986	111.038	110.929	111.059	111.027	111.069	111.038	111.012	2016_7_15_14_47_17
F2LS339XHFM1____	-50.779	-50.711	-50.773	-50.814	-50.776	-50.841	-50.628	-50.670	-50.599	-50.845	-50.808	-50.744	-50.525	-50.773	-50.742	-50.589	-50.704	-50.637	-50.670	-50.743	-50.603	-50.671	-50.744	-50.706	-50.528	-50.739	-50.492	-50.810	-50.709	-50.713	-50.672	-50.669	129.979	129.942	129.944	129.908	129.940	130.049	130.028	130.083	130.015	129.976	130.010	129.977	130.025	129.939	129.944	130.023	130.049	130.118	130.088	130.047	130.049	130.152	129.978	130.083	129.990	130.151	130.190	130.119	130.155	129.876	130.082	130.166	111.489	111.469	111.492	111.513	111.494	111.503	111.424	111.432	111.415	111.515	111.496	111.476	111.385	111.493	111.480	111.410	111.450	111.414	111.431	111.465	111.411	111.422	111.476	111.446	111.391	111.448	111.348	111.480	111.436	111.479	111.433	111.419	2016_7_15_14_47_21
F2LS3EKPHFM2____	-50.598	-50.597	-50.671	-50.636	-50.636	-50.703	-50.487	-50.525	-50.455	-50.699	-50.632	-50.633	-50.380	-50.669	-50.602	-50.408	-50.563	-50.493	-50.529	-50.639	-50.457	-50.527	-50.597	-50.563	-50.417	-50.602	-50.311	-50.669	-50.597	-50.601	-50.524	-50.529	130.040	129.968	129.969	129.935	129.970	130.076	130.052	130.113	130.040	130.005	130.038	130.004	130.049	129.967	129.972	130.047	130.075	130.148	130.115	130.075	130.078	130.177	130.003	130.110	130.020	130.181	130.215	130.147	130.181	129.899	130.111	130.225	111.096	111.106	111.134	111.126	111.121	111.131	111.052	111.057	111.041	111.140	111.109	111.115	111.011	111.134	111.108	111.022	111.077	111.040	111.059	111.106	111.037	111.048	111.101	111.072	111.030	111.077	110.960	111.107	111.075	111.118	111.057	111.042	2016_7_15_14_47_24
F2LS3HZVHFM5____	-50.613	-50.614	-50.683	-50.651	-50.651	-50.716	-50.497	-50.538	-50.469	-50.715	-50.681	-50.646	-50.396	-50.683	-50.614	-50.461	-50.579	-50.508	-50.544	-50.650	-50.471	-50.574	-50.609	-50.575	-50.428	-50.612	-50.325	-50.679	-50.612	-50.621	-50.539	-50.545	130.091	130.022	130.022	129.984	130.019	130.128	130.100	130.164	130.094	130.057	130.092	130.057	130.092	130.020	130.021	130.094	130.126	130.198	130.160	130.126	130.129	130.232	130.060	130.163	130.066	130.233	130.265	130.200	130.230	129.952	130.162	130.240	111.318	111.328	111.355	111.348	111.343	111.351	111.272	111.278	111.262	111.362	111.344	111.335	111.235	111.355	111.328	111.259	111.300	111.261	111.281	111.327	111.257	111.282	111.321	111.292	111.251	111.296	111.182	111.327	111.297	111.341	111.279	111.269	2016_7_15_14_47_27
