SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-30.512	-30.453	-30.449	-30.219	-30.452	-30.452	-30.525	-30.421	-30.525	-30.487	-30.453	-30.453	-30.350	-30.520	-30.625	-30.594	-30.454	-30.487	-30.559	-30.558	-30.197	-30.489	-30.559	-30.486	-30.431	-30.454	-30.475	-30.196	-30.441	-30.488	-30.555	-30.590	131.313	131.532	131.392	131.343	131.392	131.322	131.567	131.603	131.357	131.392	131.462	131.603	131.497	131.426	131.568	131.393	131.462	131.497	131.602	131.531	131.559	131.533	131.498	131.427	131.446	131.535	131.626	131.521	131.658	131.533	131.427	131.566	103.069	103.023	103.035	102.945	103.036	103.043	103.050	103.003	103.070	103.051	103.030	103.016	102.984	103.061	103.091	103.095	103.031	103.041	103.060	103.067	102.915	103.038	103.070	103.047	103.022	103.023	103.023	102.918	103.006	103.037	103.075	103.077	2016_7_15_14_49_35
F2LS3HFBHFM5____	-30.805	-30.747	-30.747	-30.548	-30.777	-30.776	-30.847	-30.745	-30.849	-30.809	-30.777	-30.751	-30.644	-30.845	-30.948	-30.889	-30.776	-30.812	-30.882	-30.850	-30.522	-30.784	-30.883	-30.779	-30.719	-30.750	-30.768	-30.493	-30.764	-30.812	-30.850	-30.884	131.241	131.457	131.318	131.267	131.317	131.213	131.493	131.530	131.249	131.319	131.388	131.528	131.423	131.351	131.494	131.319	131.387	131.424	131.528	131.456	131.446	131.457	131.422	131.351	131.373	131.457	131.517	131.447	131.588	131.460	131.353	131.490	103.146	103.102	103.115	103.037	103.127	103.137	103.139	103.093	103.164	103.140	103.120	103.096	103.062	103.152	103.181	103.173	103.120	103.131	103.150	103.144	103.009	103.116	103.161	103.125	103.098	103.103	103.104	102.997	103.096	103.128	103.154	103.155	2016_7_15_14_49_38
F2LS3JESHFM5____	-30.592	-30.492	-30.527	-30.347	-30.526	-30.592	-30.595	-30.492	-30.592	-30.561	-30.522	-30.528	-30.417	-30.662	-30.696	-30.666	-30.592	-30.562	-30.627	-30.630	-30.312	-30.562	-30.633	-30.557	-30.522	-30.530	-30.557	-30.270	-30.557	-30.561	-30.697	-30.732	131.079	131.339	131.201	131.114	131.202	131.114	131.377	131.415	131.149	131.203	131.254	131.454	131.289	131.219	131.417	131.204	131.254	131.308	131.453	131.341	131.289	131.341	131.306	131.219	131.219	131.343	131.429	131.364	131.464	131.344	131.219	131.359	103.091	103.025	103.052	102.986	103.052	103.088	103.064	103.017	103.084	103.066	103.045	103.029	102.998	103.107	103.102	103.110	103.074	103.057	103.070	103.082	102.955	103.053	103.086	103.063	103.049	103.040	103.043	102.930	103.039	103.053	103.121	103.122	2016_7_15_14_49_43
F2LS3TKDHFM5____	-30.940	-30.846	-30.874	-30.640	-30.871	-30.873	-30.943	-30.842	-30.946	-30.910	-30.871	-30.872	-30.773	-30.942	-31.053	-31.015	-30.869	-30.906	-30.980	-30.984	-30.624	-30.906	-30.983	-30.907	-30.825	-30.868	-30.864	-30.597	-30.862	-30.909	-30.979	-31.016	131.302	131.531	131.390	131.334	131.390	131.322	131.567	131.598	131.356	131.393	131.495	131.603	131.495	131.424	131.564	131.391	131.492	131.529	131.600	131.530	131.549	131.534	131.495	131.429	131.472	131.533	131.625	131.549	131.658	131.527	131.424	131.565	103.302	103.241	103.266	103.175	103.265	103.272	103.277	103.233	103.299	103.281	103.255	103.245	103.214	103.291	103.323	103.324	103.254	103.266	103.289	103.298	103.147	103.265	103.301	103.276	103.238	103.250	103.239	103.136	103.235	103.267	103.306	103.308	2016_7_15_14_49_46
F2LS38VQGRXL____	-30.735	-30.672	-30.669	-30.445	-30.672	-30.672	-30.743	-30.642	-30.744	-30.708	-30.672	-30.672	-30.569	-30.741	-30.844	-30.814	-30.671	-30.707	-30.777	-30.779	-30.420	-30.709	-30.779	-30.707	-30.623	-30.673	-30.696	-30.420	-30.661	-30.706	-30.777	-30.813	131.299	131.515	131.374	131.325	131.373	131.305	131.551	131.586	131.340	131.375	131.448	131.586	131.479	131.411	131.551	131.376	131.445	131.481	131.585	131.515	131.507	131.515	131.481	131.412	131.431	131.516	131.606	131.507	131.638	131.516	131.410	131.549	103.349	103.302	103.315	103.227	103.316	103.322	103.328	103.283	103.349	103.330	103.309	103.296	103.263	103.341	103.370	103.374	103.309	103.320	103.339	103.346	103.199	103.318	103.350	103.327	103.290	103.303	103.304	103.199	103.286	103.316	103.356	103.357	2016_7_15_14_49_49
F2LS3A8AGRXL____	-30.601	-30.541	-30.536	-30.339	-30.538	-30.570	-30.613	-30.506	-30.611	-30.573	-30.540	-30.540	-30.435	-30.606	-30.712	-30.680	-30.535	-30.573	-30.645	-30.646	-30.348	-30.576	-30.647	-30.572	-30.485	-30.543	-30.562	-30.285	-30.556	-30.573	-30.644	-30.678	131.368	131.583	131.442	131.394	131.442	131.373	131.618	131.651	131.407	131.442	131.512	131.652	131.545	131.478	131.618	131.442	131.512	131.547	131.652	131.582	131.575	131.582	131.548	131.478	131.498	131.583	131.672	131.607	131.706	131.581	131.477	131.616	103.327	103.282	103.294	103.216	103.294	103.314	103.308	103.261	103.328	103.308	103.288	103.275	103.242	103.319	103.349	103.353	103.286	103.299	103.318	103.326	103.203	103.297	103.329	103.305	103.267	103.283	103.282	103.174	103.276	103.295	103.335	103.335	2016_7_15_14_49_52
F2LS3HFRHFM5____	-30.665	-30.602	-30.602	-30.369	-30.598	-30.597	-30.671	-30.565	-30.670	-30.633	-30.601	-30.601	-30.495	-30.669	-30.773	-30.742	-30.600	-30.634	-30.707	-30.706	-30.376	-30.636	-30.708	-30.634	-30.547	-30.603	-30.590	-30.345	-30.592	-30.634	-30.704	-30.741	131.427	131.610	131.469	131.449	131.467	131.399	131.645	131.679	131.434	131.469	131.539	131.679	131.572	131.504	131.645	131.470	131.538	131.573	131.678	131.609	131.633	131.607	131.574	131.503	131.553	131.610	131.700	131.632	131.730	131.609	131.504	131.642	103.201	103.157	103.171	103.076	103.169	103.175	103.182	103.135	103.202	103.183	103.164	103.150	103.117	103.195	103.224	103.228	103.163	103.174	103.194	103.200	103.061	103.172	103.204	103.181	103.140	103.157	103.144	103.049	103.142	103.170	103.209	103.211	2016_7_15_14_49_55
F2LS3KLTHFM5____	-30.792	-30.722	-30.722	-30.475	-30.704	-30.705	-30.792	-30.671	-30.792	-30.739	-30.704	-30.706	-30.617	-30.792	-30.878	-30.932	-30.705	-30.739	-30.812	-30.827	-30.512	-30.757	-30.811	-30.757	-30.648	-30.652	-30.687	-30.418	-30.687	-30.741	-30.811	-30.846	131.157	131.332	131.192	131.204	131.255	131.186	131.367	131.467	131.157	131.256	131.326	131.466	131.297	131.227	131.433	131.192	131.325	131.363	131.466	131.332	131.367	131.332	131.361	131.227	131.309	131.332	131.437	131.381	131.472	131.397	131.291	131.395	103.040	102.994	103.008	102.904	102.994	103.001	103.020	102.960	103.040	103.009	102.987	102.975	102.954	103.033	103.049	103.095	102.988	102.998	103.018	103.038	102.904	103.009	103.028	103.019	102.966	102.965	102.970	102.864	102.966	102.996	103.035	103.039	2016_7_15_14_49_58
F2LS30UNGRX8____	-30.716	-30.653	-30.652	-30.423	-30.649	-30.650	-30.721	-30.620	-30.722	-30.685	-30.653	-30.654	-30.545	-30.720	-30.824	-30.792	-30.649	-30.684	-30.758	-30.755	-30.400	-30.687	-30.758	-30.685	-30.598	-30.655	-30.646	-30.366	-30.642	-30.684	-30.755	-30.792	131.319	131.534	131.394	131.346	131.395	131.327	131.570	131.606	131.362	131.396	131.466	131.606	131.499	131.431	131.569	131.394	131.466	131.500	131.603	131.534	131.561	131.534	131.500	131.431	131.451	131.536	131.625	131.527	131.658	131.535	131.431	131.569	103.072	103.026	103.039	102.949	103.037	103.044	103.050	103.005	103.071	103.052	103.032	103.019	102.984	103.063	103.093	103.096	103.030	103.042	103.062	103.068	102.919	103.040	103.072	103.049	103.011	103.026	103.014	102.908	103.009	103.038	103.078	103.080	2016_7_15_14_50_01
F2LS39Q6GRXL____	-30.161	-30.100	-30.099	-29.868	-30.094	-30.099	-30.166	-30.065	-30.168	-30.132	-30.096	-30.096	-29.993	-30.163	-30.269	-30.238	-30.095	-30.129	-30.201	-30.203	-29.873	-30.131	-30.203	-30.132	-30.047	-30.096	-30.121	-29.841	-30.120	-30.129	-30.200	-30.238	131.454	131.668	131.527	131.476	131.527	131.458	131.701	131.710	131.493	131.529	131.598	131.737	131.632	131.563	131.701	131.527	131.598	131.632	131.707	131.666	131.661	131.667	131.633	131.563	131.581	131.667	131.729	131.663	131.758	131.666	131.561	131.672	102.758	102.712	102.725	102.634	102.723	102.732	102.737	102.694	102.757	102.739	102.717	102.704	102.671	102.748	102.779	102.783	102.717	102.728	102.751	102.755	102.619	102.725	102.758	102.735	102.698	102.711	102.715	102.606	102.712	102.725	102.764	102.769	2016_7_15_14_50_05
