SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-67.353	-67.171	-67.245	-67.171	-67.319	-67.248	-67.244	-67.281	-67.246	-67.282	-67.241	-67.280	-67.246	-67.206	-67.247	-67.211	-67.211	-67.171	-67.248	-67.243	-67.388	-67.171	-67.282	-67.212	-67.279	-67.280	-67.316	-67.241	-67.353	-67.206	-67.286	-67.248	138.785	138.811	138.680	138.811	138.782	138.712	138.866	138.818	138.863	138.783	138.671	138.851	138.820	138.671	138.785	138.786	138.786	138.846	138.849	138.896	138.784	138.811	138.749	138.749	138.865	138.748	138.817	138.776	138.819	138.846	138.814	138.897	115.875	115.810	115.856	115.810	115.864	115.852	115.825	115.846	115.827	115.851	115.856	115.840	115.834	115.844	115.840	115.827	115.827	115.804	115.830	115.821	115.887	115.810	115.857	115.834	115.837	115.857	115.858	115.839	115.869	115.816	115.848	115.822	2016_7_15_14_56_44
F2LS3HFBHFM5____	-67.494	-67.336	-67.412	-67.336	-67.490	-67.415	-67.408	-67.445	-67.414	-67.447	-67.414	-67.418	-67.408	-67.372	-67.411	-67.377	-67.377	-67.340	-67.421	-67.410	-67.559	-67.338	-67.418	-67.381	-67.446	-67.446	-67.452	-67.411	-67.521	-67.374	-67.457	-67.392	138.581	138.600	138.418	138.600	138.573	138.498	138.601	138.650	138.606	138.572	138.464	138.643	138.653	138.536	138.616	138.626	138.626	138.650	138.638	138.638	138.578	138.619	138.589	138.538	138.598	138.537	138.651	138.571	138.617	138.660	138.598	138.636	115.905	115.849	115.904	115.849	115.905	115.892	115.873	115.877	115.874	115.890	115.897	115.869	115.864	115.871	115.871	115.858	115.858	115.842	115.871	115.867	115.927	115.846	115.878	115.874	115.886	115.896	115.879	115.878	115.908	115.852	115.889	115.862	2016_7_15_14_56_47
F2LS3JESHFM5____	-67.420	-67.237	-67.311	-67.237	-67.385	-67.317	-67.312	-67.349	-67.377	-67.350	-67.313	-67.349	-67.309	-67.342	-67.311	-67.277	-67.277	-67.239	-67.313	-67.311	-67.454	-67.237	-67.348	-67.279	-67.348	-67.349	-67.382	-67.308	-67.418	-67.274	-67.351	-67.314	138.708	138.745	138.607	138.745	138.706	138.633	138.746	138.791	138.744	138.708	138.604	138.777	138.799	138.674	138.761	138.712	138.712	138.783	138.778	138.825	138.708	138.797	138.675	138.671	138.740	138.676	138.785	138.765	138.744	138.840	138.743	138.776	115.877	115.810	115.857	115.810	115.865	115.854	115.834	115.839	115.856	115.853	115.858	115.842	115.825	115.856	115.832	115.828	115.828	115.804	115.830	115.821	115.888	115.801	115.858	115.835	115.847	115.858	115.851	115.830	115.870	115.807	115.848	115.830	2016_7_15_14_56_50
F2LS3TKDHFM5____	-67.984	-67.809	-67.879	-67.809	-67.949	-67.879	-67.879	-67.914	-67.879	-67.914	-67.879	-67.914	-67.879	-67.844	-67.879	-67.844	-67.844	-67.809	-67.879	-67.879	-68.019	-67.809	-67.914	-67.844	-67.914	-67.914	-67.949	-67.879	-67.984	-67.844	-67.914	-67.879	138.632	138.667	138.527	138.667	138.632	138.562	138.667	138.597	138.667	138.632	138.527	138.702	138.667	138.597	138.632	138.632	138.632	138.632	138.702	138.702	138.632	138.667	138.597	138.597	138.667	138.597	138.667	138.632	138.667	138.702	138.667	138.702	116.166	116.102	116.148	116.102	116.154	116.142	116.125	116.148	116.125	116.142	116.148	116.131	116.125	116.125	116.131	116.119	116.119	116.107	116.119	116.119	116.177	116.102	116.148	116.125	116.137	116.148	116.148	116.131	116.160	116.107	116.137	116.119	2016_7_15_14_56_53
F2LS38VQGRXL____	-67.462	-67.278	-67.349	-67.278	-67.425	-67.353	-67.345	-67.383	-67.354	-67.385	-67.354	-67.352	-67.344	-67.311	-67.354	-67.314	-67.314	-67.275	-67.361	-67.347	-67.495	-67.272	-67.357	-67.320	-67.386	-67.382	-67.388	-67.351	-67.454	-67.311	-67.399	-67.331	138.696	138.673	138.578	138.673	138.690	138.614	138.715	138.720	138.722	138.686	138.543	138.759	138.718	138.649	138.636	138.695	138.695	138.806	138.713	138.751	138.692	138.733	138.652	138.654	138.672	138.658	138.723	138.640	138.727	138.774	138.678	138.755	116.113	116.055	116.094	116.055	116.101	116.090	116.071	116.082	116.073	116.089	116.102	116.066	116.070	116.070	116.086	116.064	116.064	116.033	116.076	116.065	116.124	116.043	116.085	116.072	116.091	116.092	116.084	116.085	116.105	116.050	116.095	116.060	2016_7_15_14_56_59
F2LS3A8AGRXL____	-67.290	-67.114	-67.208	-67.114	-67.282	-67.213	-67.179	-67.217	-67.216	-67.217	-67.183	-67.215	-67.179	-67.149	-67.182	-67.148	-67.148	-67.177	-67.247	-67.183	-67.354	-67.109	-67.245	-67.181	-67.218	-67.245	-67.252	-67.181	-67.317	-67.146	-67.221	-67.190	138.689	138.735	138.594	138.735	138.699	138.627	138.739	138.732	138.730	138.700	138.597	138.770	138.744	138.665	138.702	138.711	138.711	138.758	138.758	138.769	138.687	138.735	138.660	138.658	138.732	138.709	138.736	138.707	138.721	138.782	138.734	138.765	116.097	116.030	116.085	116.030	116.092	116.081	116.051	116.065	116.065	116.070	116.076	116.059	116.051	116.053	116.059	116.046	116.046	116.048	116.071	116.048	116.118	116.029	116.086	116.065	116.066	116.078	116.076	116.057	116.101	116.034	116.066	116.051	2016_7_15_14_57_02
F2LS3HFRHFM5____	-67.706	-67.530	-67.597	-67.530	-67.671	-67.601	-67.596	-67.633	-67.600	-67.635	-67.600	-67.633	-67.596	-67.563	-67.598	-67.565	-67.565	-67.530	-67.599	-67.600	-67.740	-67.523	-67.632	-67.566	-67.634	-67.634	-67.669	-67.594	-67.704	-67.559	-67.638	-67.600	138.645	138.665	138.586	138.665	138.642	138.576	138.680	138.718	138.676	138.630	138.525	138.712	138.723	138.607	138.687	138.630	138.630	138.700	138.714	138.700	138.643	138.685	138.654	138.610	138.671	138.609	138.678	138.693	138.676	138.730	138.678	138.700	116.095	116.034	116.069	116.034	116.084	116.072	116.053	116.059	116.055	116.074	116.080	116.060	116.046	116.054	116.052	116.051	116.051	116.028	116.049	116.051	116.107	116.028	116.069	116.054	116.067	116.077	116.078	116.050	116.090	116.033	116.067	116.051	2016_7_15_14_57_05
F2LS3KLTHFM5____	-67.655	-67.475	-67.539	-67.475	-67.622	-67.547	-67.544	-67.578	-67.551	-67.579	-67.542	-67.579	-67.541	-67.505	-67.577	-67.511	-67.511	-67.507	-67.557	-67.544	-67.690	-67.467	-67.581	-67.510	-67.579	-67.577	-67.614	-67.543	-67.682	-67.505	-67.589	-67.577	138.701	138.737	138.554	138.737	138.704	138.631	138.736	138.690	138.731	138.655	138.552	138.764	138.738	138.616	138.647	138.704	138.704	138.717	138.766	138.721	138.696	138.688	138.666	138.616	138.687	138.619	138.689	138.699	138.682	138.772	138.732	138.717	115.830	115.764	115.815	115.764	115.818	115.805	115.787	115.806	115.790	115.812	115.817	115.794	115.786	115.794	115.813	115.781	115.781	115.778	115.787	115.789	115.843	115.769	115.811	115.795	115.807	115.817	115.818	115.793	115.842	115.768	115.803	115.801	2016_7_15_14_57_08
F2LS30UNGRX8____	-67.583	-67.431	-67.520	-67.431	-67.590	-67.520	-67.520	-67.555	-67.505	-67.555	-67.520	-67.555	-67.520	-67.469	-67.520	-67.485	-67.485	-67.450	-67.504	-67.520	-67.647	-67.450	-67.555	-67.485	-67.555	-67.555	-67.590	-67.520	-67.625	-67.485	-67.542	-67.505	138.699	138.734	138.537	138.734	138.712	138.642	138.747	138.747	138.733	138.712	138.537	138.782	138.677	138.662	138.642	138.642	138.642	138.712	138.772	138.712	138.698	138.677	138.677	138.677	138.747	138.607	138.677	138.712	138.677	138.782	138.735	138.769	115.886	115.829	115.891	115.829	115.886	115.874	115.857	115.869	115.854	115.874	115.891	115.863	115.868	115.854	115.874	115.862	115.862	115.839	115.847	115.863	115.907	115.845	115.880	115.857	115.869	115.891	115.892	115.863	115.903	115.840	115.866	115.848	2016_7_15_14_57_11
F2LS39Q6GRXL____	-67.155	-67.029	-67.099	-67.029	-67.169	-67.099	-67.099	-67.134	-67.099	-67.134	-67.099	-67.134	-67.099	-67.064	-67.099	-67.064	-67.064	-67.029	-67.099	-67.099	-67.239	-67.029	-67.085	-67.064	-67.134	-67.134	-67.122	-67.099	-67.155	-67.134	-67.134	-67.099	138.927	138.963	138.753	138.963	138.928	138.858	138.893	138.963	138.893	138.928	138.823	138.998	138.963	138.893	138.928	138.858	138.858	138.998	138.998	138.998	138.858	138.963	138.894	138.823	138.963	138.893	138.962	138.858	138.905	138.998	138.963	138.928	115.634	115.586	115.643	115.586	115.638	115.626	115.621	115.621	115.621	115.627	115.632	115.615	115.609	115.609	115.615	115.615	115.615	115.580	115.604	115.604	115.673	115.586	115.616	115.620	115.621	115.632	115.617	115.626	115.637	115.615	115.621	115.615	2016_7_15_14_57_13
