SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-67.304	-67.200	-67.125	-67.236	-67.270	-67.311	-67.200	-67.233	-67.165	-67.268	-67.304	-67.198	-67.091	-67.311	-67.231	-67.305	-67.199	-67.233	-67.195	-67.165	-67.199	-67.236	-67.235	-67.129	-67.203	-67.125	-67.100	-67.096	-67.063	-67.029	-67.130	-67.103	144.170	144.182	144.169	144.248	144.244	144.201	144.243	144.273	144.179	144.210	144.171	144.110	144.246	144.201	144.237	144.171	144.214	144.209	144.236	144.270	144.342	144.208	144.281	144.360	144.494	144.405	144.444	144.400	144.417	144.394	144.356	144.518	115.012	114.977	114.954	114.978	114.990	115.010	114.967	114.973	114.966	114.995	115.012	114.987	114.931	115.010	114.978	115.013	114.971	114.983	114.967	114.952	114.952	114.985	114.973	114.926	114.930	114.918	114.904	114.910	114.896	114.889	114.928	114.894	2016_7_15_15_03_48
F2LS3HFBHFM5____	-67.488	-67.385	-67.277	-67.424	-67.460	-67.492	-67.387	-67.420	-67.349	-67.421	-67.513	-67.408	-67.277	-67.454	-67.379	-67.513	-67.387	-67.383	-67.381	-67.351	-67.386	-67.424	-67.425	-67.314	-67.352	-67.307	-67.303	-67.278	-67.249	-67.178	-67.314	-67.303	144.028	144.030	144.029	144.096	144.096	144.060	144.060	144.124	144.028	144.068	144.030	143.960	144.104	144.067	144.095	144.030	144.066	144.069	144.095	144.094	144.160	144.057	144.129	144.221	144.378	144.270	144.310	144.265	144.286	144.279	144.216	144.380	115.044	115.009	114.975	115.012	115.024	115.040	115.006	115.007	114.998	115.015	115.052	115.028	114.963	115.026	114.998	115.052	115.005	115.003	114.998	114.989	114.990	115.018	115.008	114.957	114.946	114.948	114.940	114.939	114.926	114.904	114.958	114.930	2016_7_15_15_03_52
F2LS3JESHFM5____	-67.247	-67.144	-67.079	-67.215	-67.217	-67.250	-67.180	-67.181	-67.143	-67.214	-67.248	-67.145	-67.040	-67.247	-67.180	-67.248	-67.180	-67.177	-67.147	-67.114	-67.145	-67.182	-67.180	-67.073	-67.145	-67.066	-67.033	-67.036	-67.002	-66.966	-67.106	-67.035	144.203	144.200	144.214	144.234	144.270	144.200	144.191	144.282	144.160	144.203	144.169	144.099	144.280	144.205	144.244	144.173	144.200	144.204	144.232	144.280	144.316	144.232	144.274	144.413	144.546	144.466	144.519	144.456	144.456	144.447	144.383	144.563	114.956	114.922	114.899	114.940	114.935	114.957	114.936	114.922	114.928	114.945	114.961	114.938	114.876	114.955	114.927	114.960	114.934	114.932	114.918	114.900	114.905	114.930	114.923	114.867	114.870	114.857	114.838	114.848	114.837	114.827	114.882	114.832	2016_7_15_15_03_55
F2LS3TKDHFM5____	-67.810	-67.748	-67.675	-67.742	-67.820	-67.852	-67.748	-67.742	-67.710	-67.816	-67.809	-67.750	-67.600	-67.809	-67.741	-67.849	-67.709	-67.780	-67.708	-67.713	-67.708	-67.785	-67.781	-67.677	-67.714	-67.636	-67.607	-67.604	-67.572	-67.534	-67.678	-67.606	144.029	144.023	144.028	144.122	144.090	144.058	144.055	144.133	144.020	144.060	144.029	143.962	144.101	144.066	144.063	144.027	144.095	144.028	144.134	144.086	144.170	144.052	144.126	144.237	144.385	144.285	144.358	144.309	144.323	144.285	144.223	144.438	115.254	115.235	115.210	115.218	115.248	115.263	115.230	115.216	115.223	115.251	115.254	115.245	115.174	115.248	115.226	115.267	115.211	115.244	115.205	115.214	115.199	115.242	115.230	115.179	115.168	115.158	115.138	115.144	115.132	115.125	115.181	115.125	2016_7_15_15_03_58
F2LS38VQGRXL____	-67.387	-67.284	-67.208	-67.320	-67.356	-67.393	-67.288	-67.318	-67.250	-67.354	-67.388	-67.283	-67.173	-67.388	-67.315	-67.390	-67.283	-67.319	-67.279	-67.251	-67.284	-67.323	-67.320	-67.213	-67.289	-67.204	-67.182	-67.179	-67.149	-67.113	-67.214	-67.182	144.139	144.144	144.142	144.211	144.211	144.168	144.171	144.239	144.139	144.176	144.134	144.070	144.211	144.175	144.168	144.141	144.176	144.139	144.202	144.204	144.274	144.172	144.246	144.335	144.481	144.372	144.426	144.376	144.397	144.381	144.325	144.498	115.231	115.197	115.172	115.198	115.210	115.229	115.194	115.193	115.187	115.215	115.232	115.208	115.150	115.226	115.203	115.232	115.192	115.209	115.186	115.177	115.177	115.205	115.193	115.145	115.147	115.136	115.121	115.127	115.114	115.105	115.146	115.110	2016_7_15_15_04_01
F2LS3A8AGRXL____	-67.109	-67.002	-66.934	-67.042	-67.079	-67.111	-67.006	-67.038	-66.968	-67.074	-67.108	-67.007	-66.896	-67.105	-67.037	-67.108	-67.006	-67.037	-67.004	-66.972	-67.002	-67.043	-67.040	-66.930	-67.004	-66.957	-66.896	-66.892	-66.863	-66.825	-66.966	-66.897	144.078	144.078	144.119	144.146	144.147	144.109	144.111	144.186	144.081	144.116	144.082	144.014	144.187	144.118	144.117	144.081	144.117	144.114	144.149	144.153	144.227	144.111	144.186	144.297	144.405	144.334	144.373	144.368	144.341	144.305	144.280	144.434	115.190	115.155	115.126	115.158	115.170	115.186	115.151	115.150	115.143	115.173	115.189	115.166	115.104	115.183	115.160	115.189	115.150	115.161	115.145	115.134	115.132	115.163	115.151	115.098	115.106	115.101	115.076	115.075	115.070	115.063	115.113	115.067	2016_7_15_15_04_06
F2LS3HFRHFM5____	-67.737	-67.636	-67.563	-67.671	-67.775	-67.742	-67.705	-67.670	-67.601	-67.704	-67.737	-67.634	-67.485	-67.740	-67.665	-67.738	-67.636	-67.667	-67.631	-67.605	-67.636	-67.740	-67.673	-67.565	-67.642	-67.556	-67.534	-67.529	-67.500	-67.465	-67.565	-67.600	144.122	144.124	144.131	144.193	144.160	144.155	144.125	144.219	144.121	144.157	144.122	144.062	144.209	144.125	144.152	144.122	144.159	144.128	144.187	144.187	144.260	144.125	144.227	144.314	144.443	144.368	144.413	144.357	144.377	144.352	144.274	144.440	115.241	115.207	115.183	115.209	115.247	115.237	115.230	115.204	115.197	115.225	115.241	115.216	115.145	115.241	115.213	115.241	115.202	115.217	115.196	115.188	115.187	115.241	115.204	115.155	115.161	115.144	115.130	115.137	115.125	115.117	115.161	115.148	2016_7_15_15_04_09
F2LS3KLTHFM5____	-67.576	-67.475	-67.395	-67.509	-67.547	-67.579	-67.477	-67.503	-67.439	-67.542	-67.577	-67.474	-67.358	-67.576	-67.500	-67.576	-67.474	-67.506	-67.464	-67.440	-67.471	-67.513	-67.510	-67.397	-67.474	-67.387	-67.366	-67.360	-67.333	-67.296	-67.399	-67.368	144.085	144.083	144.091	144.152	144.154	144.116	144.113	144.176	144.081	144.120	144.081	144.020	144.164	144.121	144.107	144.085	144.122	144.086	144.148	144.146	144.212	144.115	144.187	144.271	144.408	144.325	144.368	144.317	144.333	144.312	144.273	144.450	114.955	114.922	114.895	114.923	114.935	114.951	114.918	114.917	114.911	114.938	114.955	114.931	114.871	114.949	114.926	114.955	114.916	114.931	114.908	114.901	114.901	114.929	114.917	114.868	114.872	114.856	114.843	114.849	114.837	114.829	114.868	114.831	2016_7_15_15_04_12
F2LS30UNGRX8____	-67.395	-67.294	-67.227	-67.327	-67.364	-67.398	-67.296	-67.331	-67.259	-67.362	-67.394	-67.296	-67.192	-67.398	-67.326	-67.398	-67.294	-67.326	-67.297	-67.258	-67.295	-67.330	-67.328	-67.228	-67.294	-67.224	-67.190	-67.225	-67.156	-67.118	-67.256	-67.220	144.216	144.173	144.217	144.245	144.244	144.206	144.201	144.276	144.168	144.208	144.215	144.102	144.251	144.212	144.244	144.175	144.207	144.212	144.237	144.275	144.308	144.207	144.277	144.375	144.482	144.411	144.450	144.383	144.421	144.383	144.377	144.524	114.955	114.929	114.900	114.929	114.940	114.958	114.925	114.925	114.918	114.946	114.955	114.940	114.883	114.957	114.928	114.962	114.923	114.933	114.920	114.901	114.908	114.935	114.924	114.876	114.882	114.870	114.852	114.874	114.846	114.839	114.885	114.851	2016_7_15_15_04_23
F2LS39Q6GRXL____	-67.086	-66.983	-66.911	-67.018	-67.055	-67.090	-66.986	-66.982	-66.945	-67.052	-67.085	-66.981	-66.840	-67.049	-67.014	-67.084	-66.983	-67.015	-66.980	-66.950	-66.981	-67.019	-67.017	-66.908	-66.983	-66.905	-66.878	-66.874	-66.843	-66.806	-66.912	-66.877	144.287	144.285	144.294	144.359	144.361	144.294	144.316	144.402	144.284	144.324	144.285	144.224	144.378	144.332	144.318	144.290	144.327	144.291	144.361	144.358	144.426	144.322	144.393	144.504	144.609	144.546	144.581	144.544	144.544	144.518	144.502	144.652	114.771	114.738	114.713	114.738	114.750	114.772	114.735	114.720	114.726	114.755	114.772	114.747	114.677	114.753	114.743	114.770	114.732	114.748	114.726	114.716	114.716	114.744	114.733	114.680	114.689	114.673	114.659	114.663	114.653	114.645	114.682	114.648	2016_7_15_15_04_26
