SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-11.772	-11.635	-11.498	-11.464	-11.270	-11.477	-11.288	-11.506	-11.246	-11.517	-11.864	-11.858	-11.738	-11.299	-11.388	-11.368	-11.565	-11.609	-11.565	-11.297	-11.536	-11.694	-11.766	-11.367	-11.471	-11.564	-11.468	-11.359	-11.401	-11.430	-11.547	-11.437	-117.459	-116.907	-117.880	-117.615	-117.775	-117.115	-117.562	-117.298	-117.249	-117.157	-117.756	-117.869	-117.187	-117.565	-118.685	-117.730	-118.200	-117.563	-118.365	-117.821	-117.575	-116.461	-117.509	-117.981	-118.061	-117.995	-117.897	-118.074	-117.992	-118.173	-118.033	-117.279	263.940	263.980	264.092	264.096	264.197	264.066	264.179	264.060	264.184	264.049	263.910	263.918	263.943	264.173	264.182	264.147	264.075	264.024	264.082	264.186	264.059	263.929	263.945	264.160	264.114	264.065	264.107	264.168	264.144	264.138	264.075	264.093	2016_7_15_15_06_51
F2LS3HFBHFM5____	-11.357	-11.359	-11.438	-11.270	-11.297	-11.255	-11.200	-11.584	-11.575	-11.311	-11.548	-11.351	-11.673	-11.290	-11.336	-11.439	-11.438	-11.344	-11.309	-11.340	-11.675	-11.338	-11.297	-11.295	-11.281	-11.581	-11.266	-11.293	-11.469	-11.298	-11.228	-11.415	-118.071	-117.155	-117.489	-116.779	-117.572	-117.963	-118.265	-117.233	-117.701	-117.148	-117.234	-116.813	-117.451	-118.088	-117.072	-117.725	-118.131	-117.828	-117.983	-118.265	-117.115	-117.611	-117.971	-118.050	-117.747	-117.011	-118.309	-117.883	-118.202	-118.046	-117.787	-117.994	264.169	264.125	264.102	264.151	264.174	264.213	264.253	264.020	264.047	264.148	264.037	264.113	263.987	264.202	264.132	264.113	264.133	264.164	264.188	264.186	263.970	264.157	264.193	264.198	264.190	264.011	264.223	264.191	264.121	264.196	264.218	264.137	2016_7_15_15_06_55
F2LS3JESHFM5____	-11.575	-11.773	-11.436	-11.335	-11.492	-11.670	-11.206	-11.582	-11.235	-11.778	-11.861	-11.537	-11.466	-11.303	-11.735	-11.503	-11.790	-11.743	-11.508	-11.747	-11.460	-11.742	-11.637	-11.374	-11.464	-11.720	-11.472	-11.290	-11.668	-11.436	-11.358	-11.424	-117.483	-117.632	-117.633	-116.976	-118.100	-117.373	-118.168	-117.630	-118.171	-117.490	-118.087	-118.145	-117.925	-115.776	-117.946	-118.000	-116.513	-117.899	-117.790	-118.230	-118.043	-117.889	-117.977	-117.919	-118.537	-117.289	-117.974	-118.285	-118.129	-117.984	-117.988	-117.990	264.036	263.948	264.110	264.128	264.105	263.985	264.246	264.040	264.232	263.939	263.927	264.085	264.109	264.087	263.981	264.095	263.885	263.975	264.083	263.989	264.118	263.975	264.029	264.153	264.139	263.957	264.109	264.211	264.022	264.126	264.164	264.133	2016_7_15_15_06_59
F2LS3TKDHFM5____	-11.503	-11.478	-11.424	-11.254	-11.080	-11.254	-11.268	-11.158	-11.230	-11.288	-11.451	-11.651	-11.521	-11.147	-11.458	-11.444	-11.418	-11.523	-11.348	-11.079	-11.533	-11.456	-11.359	-11.297	-11.399	-11.432	-11.398	-11.088	-11.400	-11.285	-11.075	-11.070	-117.480	-118.088	-117.695	-117.827	-118.046	-117.837	-118.026	-117.899	-117.982	-118.534	-118.162	-117.880	-118.240	-118.235	-118.211	-117.283	-118.610	-118.300	-118.643	-118.038	-117.661	-118.346	-117.850	-117.743	-117.814	-118.011	-117.843	-117.896	-117.818	-118.247	-118.123	-118.127	264.071	264.111	264.119	264.207	264.301	264.207	264.210	264.257	264.226	264.223	264.128	264.018	264.098	264.277	264.127	264.090	264.164	264.100	264.199	264.301	264.065	264.134	264.157	264.182	264.137	264.130	264.138	264.290	264.136	264.212	264.307	264.309	2016_7_15_15_07_02
F2LS38VQGRXL____	-11.682	-11.480	-11.502	-11.395	-11.411	-11.456	-11.348	-11.505	-11.584	-11.444	-11.459	-11.553	-11.665	-11.220	-11.593	-11.488	-11.496	-11.631	-11.495	-11.276	-11.525	-11.591	-11.414	-11.092	-11.202	-11.501	-11.556	-11.343	-11.201	-11.300	-11.217	-11.356	-118.118	-118.335	-117.095	-117.168	-118.153	-117.484	-118.021	-117.752	-117.115	-117.209	-118.087	-117.416	-117.903	-117.556	-117.935	-118.535	-118.538	-116.554	-117.766	-118.615	-118.634	-118.009	-118.022	-117.712	-117.866	-117.999	-117.106	-118.269	-117.796	-117.583	-117.978	-117.275	264.014	264.122	264.053	264.108	264.147	264.094	264.171	264.083	264.014	264.086	264.120	264.043	264.013	264.211	264.049	264.127	264.124	263.964	264.088	264.233	264.114	264.053	264.139	264.280	264.234	264.096	264.027	264.185	264.231	264.173	264.232	264.132	2016_7_15_15_07_05
F2LS3A8AGRXL____	-11.714	-11.776	-11.503	-11.741	-11.627	-11.471	-11.426	-11.852	-11.860	-11.638	-11.814	-11.741	-11.678	-11.625	-11.744	-11.714	-11.586	-11.753	-11.721	-11.621	-11.676	-11.684	-11.698	-11.443	-11.683	-11.644	-11.553	-11.376	-11.821	-11.631	-11.358	-11.615	-117.180	-116.688	-117.615	-116.894	-117.886	-117.476	-117.549	-116.694	-116.415	-117.981	-117.159	-117.727	-117.638	-117.749	-117.206	-117.242	-117.263	-117.221	-117.037	-118.149	-117.231	-117.277	-117.746	-117.508	-117.589	-117.453	-117.300	-117.344	-115.687	-117.825	-118.113	-118.240	263.954	263.900	264.077	263.927	264.030	264.086	264.111	263.864	263.846	264.030	263.905	263.968	263.994	264.025	263.941	263.957	264.020	263.937	263.944	264.046	263.975	263.974	263.989	264.101	263.989	264.001	264.038	264.126	263.829	264.025	264.170	264.053	2016_7_15_15_07_08
F2LS3HFRHFM5____	-11.842	-11.636	-11.640	-11.530	-11.635	-11.466	-11.559	-11.792	-11.914	-11.702	-11.995	-11.805	-11.606	-11.430	-11.804	-11.846	-11.784	-11.609	-11.575	-11.355	-11.991	-11.804	-11.839	-11.575	-11.815	-11.914	-11.597	-11.363	-11.874	-11.506	-11.629	-11.639	-117.375	-116.545	-117.405	-117.610	-117.488	-117.076	-117.537	-116.880	-116.956	-117.711	-117.411	-117.858	-117.362	-117.689	-117.917	-117.046	-117.386	-117.282	-117.769	-117.942	-117.415	-117.853	-117.153	-117.631	-116.987	-116.990	-117.820	-117.799	-117.252	-117.437	-117.248	-117.176	264.576	264.635	264.675	264.738	264.681	264.743	264.720	264.576	264.521	264.660	264.504	264.617	264.690	264.790	264.621	264.558	264.605	264.684	264.724	264.838	264.506	264.617	264.567	264.717	264.570	264.522	264.715	264.827	264.554	264.741	264.673	264.665	2016_7_15_15_07_11
F2LS3KLTHFM5____	-11.796	-11.629	-11.227	-11.396	-11.410	-11.241	-11.347	-11.502	-11.505	-11.623	-11.707	-11.335	-11.459	-11.224	-11.589	-11.363	-11.356	-11.612	-11.239	-11.290	-11.257	-11.643	-11.230	-11.295	-11.210	-11.517	-11.323	-11.347	-11.207	-11.169	-11.222	-11.353	-117.833	-117.563	-117.570	-117.303	-117.954	-118.152	-117.817	-117.753	-117.891	-117.859	-117.689	-117.612	-118.165	-117.767	-117.875	-117.917	-117.940	-117.308	-117.659	-117.691	-117.908	-117.873	-117.641	-117.781	-117.285	-117.215	-117.904	-118.281	-117.146	-117.660	-117.792	-117.473	264.620	264.688	264.882	264.788	264.812	264.902	264.836	264.758	264.763	264.705	264.656	264.832	264.798	264.893	264.722	264.833	264.837	264.684	264.880	264.858	264.883	264.696	264.884	264.859	264.878	264.726	264.851	264.857	264.872	264.915	264.895	264.817	2016_7_15_15_07_14
F2LS30UNGRX8____	-11.550	-11.410	-11.500	-11.539	-11.480	-11.394	-11.352	-11.154	-11.648	-11.520	-11.544	-11.556	-11.545	-11.091	-11.475	-11.519	-11.521	-11.541	-11.507	-11.514	-11.540	-11.480	-11.811	-11.160	-11.484	-11.647	-11.481	-11.310	-11.404	-11.433	-11.435	-11.468	-117.040	-117.145	-117.631	-115.992	-118.335	-118.161	-117.620	-117.818	-117.370	-117.219	-117.827	-117.223	-117.394	-115.933	-117.414	-117.134	-117.205	-117.950	-118.170	-116.838	-117.770	-117.422	-118.360	-117.984	-117.742	-117.466	-117.715	-116.887	-117.210	-118.037	-117.653	-118.806	264.701	264.774	264.753	264.656	264.796	264.829	264.824	264.929	264.670	264.724	264.742	264.707	264.720	264.872	264.755	264.721	264.723	264.748	264.775	264.709	264.741	264.753	264.638	264.933	264.766	264.674	264.766	264.810	264.780	264.804	264.786	264.823	2016_7_15_15_07_19
F2LS39Q6GRXL____	-12.120	-11.638	-11.436	-11.732	-11.636	-11.396	-11.349	-11.638	-11.649	-11.436	-12.015	-11.690	-11.824	-11.446	-11.472	-11.773	-11.586	-11.967	-11.595	-11.410	-11.619	-11.760	-11.654	-11.633	-11.770	-11.653	-11.635	-11.712	-11.404	-11.635	-11.427	-11.820	-117.630	-118.179	-118.246	-118.366	-118.258	-118.250	-118.650	-118.442	-118.263	-118.353	-118.178	-117.981	-117.612	-118.193	-118.369	-118.208	-118.164	-117.469	-118.017	-118.475	-118.076	-117.299	-117.264	-118.466	-117.290	-118.096	-116.841	-118.049	-118.161	-118.210	-118.345	-118.465	263.780	264.039	264.139	264.003	264.043	264.158	264.199	264.051	264.038	264.144	263.858	264.004	263.922	264.132	264.127	263.975	264.063	263.846	264.052	264.162	264.043	263.938	263.988	264.055	263.933	264.028	263.976	263.997	264.150	264.042	264.148	263.965	2016_7_15_15_07_22
