SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-41.866	-42.160	-42.045	-42.092	-41.950	-41.857	-41.686	-41.855	-41.805	-42.077	-42.073	-42.010	-41.825	-41.989	-42.034	-42.359	-41.929	-42.120	-42.033	-42.162	-42.273	-41.892	-42.092	-42.181	-42.296	-42.023	-41.946	-42.088	-41.903	-42.033	-42.105	-42.052	-125.789	-125.767	-125.651	-125.667	-125.870	-125.934	-125.933	-125.774	-125.549	-125.778	-125.603	-125.716	-125.565	-125.568	-125.726	-125.622	-125.747	-125.997	-125.857	-126.175	-125.842	-125.951	-125.829	-126.340	-125.970	-125.896	-125.967	-125.691	-125.878	-125.772	-125.850	-125.907	251.481	251.357	251.389	251.371	251.458	251.505	251.574	251.483	251.473	251.393	251.371	251.412	251.467	251.400	251.403	251.256	251.450	251.405	251.422	251.413	251.322	251.492	251.394	251.427	251.330	251.431	251.472	251.376	251.478	251.410	251.391	251.421	2016_7_15_15_10_25
F2LS3HFBHFM5____	-42.031	-42.005	-41.772	-41.965	-41.525	-41.743	-41.623	-41.798	-41.558	-42.115	-41.982	-41.989	-41.641	-41.735	-41.972	-42.177	-41.910	-41.938	-41.957	-41.912	-42.033	-41.982	-41.966	-42.049	-42.144	-41.888	-41.754	-41.971	-41.772	-41.981	-42.097	-42.045	-125.907	-125.808	-125.600	-125.858	-125.733	-126.048	-125.861	-125.505	-125.428	-125.894	-126.090	-125.581	-125.564	-125.815	-125.914	-126.097	-125.567	-125.752	-125.671	-126.090	-125.974	-125.880	-126.173	-126.067	-126.037	-125.654	-126.026	-126.076	-126.230	-126.091	-126.129	-125.899	251.426	251.423	251.490	251.446	251.609	251.563	251.587	251.466	251.555	251.390	251.471	251.398	251.539	251.534	251.451	251.392	251.429	251.443	251.424	251.499	251.434	251.442	251.489	251.440	251.397	251.450	251.555	251.473	251.576	251.471	251.429	251.419	2016_7_15_15_10_30
F2LS3JESHFM5____	-42.071	-42.287	-42.114	-42.160	-41.729	-41.748	-41.742	-42.041	-41.817	-42.321	-42.112	-42.033	-41.776	-42.004	-42.147	-42.291	-41.993	-41.887	-41.978	-42.045	-42.289	-42.139	-42.147	-42.153	-42.315	-42.042	-41.972	-42.045	-41.902	-42.056	-42.299	-42.247	-126.059	-125.917	-125.840	-126.131	-125.861	-125.923	-125.939	-125.774	-125.755	-126.028	-126.092	-125.667	-125.690	-125.961	-125.742	-125.579	-125.699	-125.996	-125.687	-125.928	-125.917	-126.009	-126.127	-126.092	-125.984	-126.057	-126.407	-125.809	-126.092	-125.723	-126.000	-125.983	251.442	251.334	251.394	251.415	251.555	251.556	251.560	251.415	251.505	251.335	251.430	251.404	251.512	251.456	251.367	251.286	251.425	251.509	251.429	251.435	251.333	251.407	251.420	251.413	251.332	251.453	251.530	251.418	251.515	251.402	251.341	251.360	2016_7_15_15_10_33
F2LS3TKDHFM5____	-42.131	-42.170	-42.136	-42.197	-41.856	-41.993	-41.819	-41.986	-41.819	-42.220	-42.241	-41.979	-41.969	-42.058	-42.226	-42.381	-42.070	-42.198	-42.158	-42.122	-42.350	-42.163	-42.201	-42.242	-42.304	-42.155	-41.910	-42.169	-41.978	-42.251	-42.194	-42.014	-125.825	-126.037	-125.731	-125.749	-125.952	-126.022	-126.078	-125.727	-125.469	-125.924	-125.858	-125.693	-125.774	-125.650	-125.860	-125.663	-125.772	-125.954	-125.885	-126.015	-126.000	-126.087	-125.856	-126.162	-126.181	-125.865	-125.987	-125.900	-125.973	-125.866	-125.833	-126.050	251.458	251.471	251.443	251.420	251.588	251.541	251.620	251.504	251.537	251.435	251.418	251.502	251.517	251.464	251.424	251.333	251.475	251.448	251.455	251.488	251.392	251.481	251.434	251.459	251.436	251.453	251.571	251.453	251.541	251.414	251.433	251.537	2016_7_15_15_10_36
F2LS38VQGRXL____	-41.913	-42.040	-41.815	-41.978	-41.512	-41.994	-41.242	-41.666	-41.665	-42.012	-41.808	-41.753	-41.765	-41.545	-41.878	-42.153	-41.726	-41.926	-41.826	-41.963	-42.019	-41.983	-41.981	-41.947	-42.228	-41.894	-41.881	-41.834	-41.889	-41.983	-41.974	-42.051	-125.876	-126.013	-125.843	-125.679	-125.861	-125.991	-125.988	-125.823	-125.685	-125.850	-125.788	-125.720	-125.811	-125.566	-125.806	-125.697	-125.694	-125.940	-125.803	-125.995	-125.965	-125.876	-125.780	-126.147	-125.771	-126.022	-126.028	-125.870	-126.064	-125.841	-125.853	-126.031	251.435	251.402	251.471	251.381	251.598	251.418	251.725	251.529	251.511	251.391	251.466	251.479	251.487	251.544	251.440	251.312	251.487	251.438	251.461	251.431	251.404	251.406	251.394	251.458	251.291	251.463	251.469	251.467	251.470	251.401	251.407	251.400	2016_7_15_15_10_39
F2LS3A8AGRXL____	-41.727	-41.816	-41.742	-41.810	-41.499	-41.535	-41.288	-41.528	-41.280	-41.876	-41.797	-41.499	-41.486	-41.535	-41.711	-41.941	-41.724	-41.540	-41.696	-41.707	-42.093	-41.776	-41.814	-41.852	-41.983	-41.696	-41.798	-41.880	-41.757	-41.905	-41.906	-41.844	-125.727	-125.752	-125.383	-125.783	-125.485	-125.721	-125.664	-125.440	-125.291	-125.515	-125.720	-125.447	-125.507	-125.413	-125.406	-125.359	-125.426	-125.659	-125.656	-125.720	-125.579	-125.675	-125.819	-125.814	-125.963	-125.439	-125.642	-125.487	-125.732	-125.633	-125.542	-125.715	251.617	251.584	251.564	251.591	251.678	251.696	251.789	251.660	251.742	251.527	251.588	251.673	251.687	251.654	251.580	251.479	251.578	251.685	251.620	251.625	251.447	251.590	251.594	251.578	251.545	251.591	251.577	251.522	251.606	251.532	251.519	251.568	2016_7_15_15_10_42
F2LS3HFRHFM5____	-42.492	-42.785	-42.561	-42.771	-42.316	-42.289	-41.916	-42.527	-42.108	-42.702	-42.693	-42.660	-42.255	-42.428	-42.470	-42.710	-42.657	-42.565	-42.392	-42.403	-42.838	-42.438	-42.660	-42.572	-42.750	-42.330	-42.364	-42.589	-42.690	-42.596	-42.595	-42.701	-125.293	-125.212	-125.167	-125.258	-125.328	-125.222	-125.102	-125.097	-124.729	-125.146	-125.164	-125.098	-124.748	-125.333	-124.960	-124.997	-125.132	-125.064	-125.085	-125.165	-125.277	-125.312	-125.548	-125.532	-125.486	-124.947	-125.149	-125.312	-125.450	-125.130	-125.092	-125.503	251.208	251.076	251.162	251.088	251.285	251.281	251.418	251.166	251.287	251.101	251.107	251.112	251.229	251.240	251.170	251.077	251.118	251.146	251.220	251.227	251.064	251.233	251.174	251.208	251.129	251.226	251.240	251.171	251.148	251.142	251.137	251.151	2016_7_15_15_10_45
F2LS3KLTHFM5____	-42.255	-42.339	-42.195	-42.249	-42.296	-42.200	-41.916	-42.129	-42.200	-42.255	-42.239	-42.252	-42.320	-42.317	-42.269	-42.384	-42.424	-42.232	-42.367	-42.317	-42.547	-42.267	-42.250	-42.296	-42.353	-42.145	-42.110	-42.218	-42.187	-42.493	-42.335	-42.089	-125.592	-125.750	-125.906	-125.649	-125.867	-125.676	-125.926	-125.767	-125.422	-125.526	-125.513	-125.462	-125.429	-125.628	-125.472	-125.424	-125.763	-125.669	-125.854	-125.903	-125.781	-125.933	-125.818	-125.825	-125.714	-125.616	-125.772	-125.649	-125.739	-125.960	-125.533	-125.636	251.291	251.279	251.359	251.302	251.313	251.325	251.476	251.367	251.290	251.283	251.287	251.275	251.242	251.271	251.269	251.215	251.246	251.311	251.282	251.309	251.198	251.333	251.325	251.307	251.268	251.340	251.376	251.314	251.340	251.245	251.250	251.366	2016_7_15_15_10_48
F2LS30UNGRX8____	-41.612	-42.204	-41.622	-41.894	-41.687	-42.057	-41.360	-41.661	-41.480	-41.815	-42.001	-41.632	-41.445	-41.612	-41.837	-42.332	-41.777	-41.855	-41.823	-41.716	-42.079	-41.697	-41.899	-41.942	-41.924	-41.697	-41.940	-41.947	-41.692	-41.964	-41.906	-41.731	-125.737	-126.023	-125.476	-125.941	-125.935	-126.068	-126.074	-125.792	-125.503	-125.906	-125.869	-125.853	-125.573	-125.565	-125.681	-125.837	-125.962	-126.075	-125.805	-125.878	-126.044	-126.097	-125.979	-126.098	-126.247	-126.062	-126.181	-126.083	-125.893	-125.968	-126.071	-125.744	251.629	251.425	251.589	251.541	251.625	251.491	251.778	251.616	251.651	251.568	251.487	251.636	251.675	251.605	251.528	251.347	251.591	251.575	251.551	251.605	251.479	251.642	251.544	251.542	251.570	251.638	251.555	251.538	251.617	251.515	251.553	251.581	2016_7_15_15_10_51
F2LS39Q6GRXL____	-42.729	-42.677	-42.517	-42.573	-42.469	-42.687	-42.198	-42.436	-42.678	-42.678	-42.754	-42.644	-42.403	-42.689	-42.731	-42.958	-42.629	-42.792	-42.773	-42.852	-42.792	-42.311	-42.753	-42.647	-42.923	-42.726	-42.790	-42.798	-42.668	-42.888	-42.686	-42.880	-126.268	-126.253	-125.903	-125.820	-126.228	-126.414	-126.238	-125.897	-125.926	-126.205	-125.962	-126.081	-126.051	-125.991	-126.096	-125.925	-126.230	-126.225	-126.225	-126.288	-126.324	-126.351	-126.293	-126.449	-126.345	-126.201	-126.273	-126.181	-126.425	-126.205	-126.157	-126.223	251.260	251.279	251.296	251.261	251.360	251.297	251.472	251.328	251.233	251.272	251.207	251.268	251.363	251.238	251.235	251.119	251.295	251.228	251.236	251.212	251.242	251.441	251.253	251.318	251.191	251.251	251.235	251.220	251.306	251.186	251.262	251.192	2016_7_15_15_10_54
