SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-28.731	-28.731	-28.645	-28.676	-28.680	-28.683	-28.677	-28.680	-28.677	-28.647	-28.654	-28.676	-28.803	-28.683	-28.683	-28.800	-28.762	-28.689	-28.675	-28.727	-28.644	-28.768	-28.724	-28.768	-28.726	-28.726	-28.711	-28.726	-28.684	-28.760	-28.764	-28.765	-141.974	-141.974	-141.971	-142.002	-141.973	-141.942	-141.937	-141.973	-141.937	-141.939	-141.954	-142.002	-141.867	-141.942	-141.942	-142.003	-142.005	-142.024	-141.903	-141.979	-141.973	-141.939	-142.024	-141.939	-141.948	-141.948	-141.912	-141.948	-141.795	-141.939	-141.909	-142.009	258.511	258.511	258.544	258.535	258.531	258.527	258.529	258.531	258.529	258.541	258.539	258.535	258.475	258.527	258.527	258.486	258.501	258.531	258.527	258.513	258.545	258.494	258.518	258.494	258.511	258.511	258.514	258.511	258.515	258.497	258.493	258.501	2016_7_15_15_28_53
F2LS3HFBHFM5____	-28.406	-28.406	-28.416	-28.370	-28.408	-28.409	-28.373	-28.408	-28.373	-28.421	-28.419	-28.370	-28.484	-28.409	-28.409	-28.479	-28.440	-28.450	-28.374	-28.410	-28.339	-28.445	-28.444	-28.445	-28.409	-28.409	-28.409	-28.409	-28.378	-28.445	-28.449	-28.445	-142.132	-142.132	-142.131	-142.127	-142.134	-142.099	-142.090	-142.134	-142.090	-142.096	-142.067	-142.127	-141.990	-142.099	-142.099	-142.161	-142.159	-142.129	-142.054	-142.095	-142.128	-142.024	-142.102	-142.024	-142.072	-142.072	-142.037	-142.072	-141.957	-142.067	-142.035	-142.168	258.410	258.410	258.407	258.424	258.410	258.407	258.420	258.410	258.420	258.402	258.400	258.424	258.369	258.407	258.407	258.384	258.399	258.393	258.417	258.406	258.436	258.387	258.394	258.387	258.405	258.405	258.402	258.405	258.408	258.391	258.386	258.398	2016_7_15_15_28_57
F2LS3JESHFM5____	-28.686	-28.686	-28.644	-28.674	-28.678	-28.679	-28.633	-28.678	-28.633	-28.645	-28.644	-28.674	-28.759	-28.679	-28.679	-28.754	-28.714	-28.674	-28.630	-28.675	-28.602	-28.724	-28.717	-28.724	-28.678	-28.678	-28.669	-28.678	-28.692	-28.718	-28.723	-28.720	-142.048	-142.048	-142.044	-142.122	-142.050	-142.022	-142.056	-142.050	-142.056	-142.018	-141.989	-142.122	-141.951	-142.022	-142.022	-142.116	-142.120	-142.093	-141.988	-142.064	-142.088	-141.980	-142.058	-141.980	-141.990	-141.990	-142.004	-141.990	-141.955	-142.060	-141.994	-142.125	258.422	258.422	258.438	258.432	258.425	258.422	258.443	258.425	258.443	258.435	258.433	258.432	258.386	258.422	258.422	258.401	258.416	258.430	258.438	258.427	258.457	258.402	258.410	258.402	258.420	258.420	258.425	258.420	258.412	258.410	258.403	258.414	2016_7_15_15_29_01
F2LS3TKDHFM5____	-28.738	-28.738	-28.700	-28.731	-28.734	-28.736	-28.687	-28.734	-28.687	-28.703	-28.702	-28.731	-28.813	-28.736	-28.736	-28.808	-28.769	-28.735	-28.684	-28.737	-28.655	-28.777	-28.770	-28.777	-28.735	-28.735	-28.721	-28.735	-28.698	-28.771	-28.776	-28.772	-142.082	-142.082	-142.081	-142.074	-142.084	-142.045	-142.043	-142.084	-142.043	-142.048	-141.982	-142.074	-141.940	-142.045	-142.045	-142.107	-142.110	-142.043	-142.008	-142.007	-142.078	-142.011	-142.091	-142.011	-141.980	-141.980	-141.986	-141.980	-141.904	-142.051	-141.980	-142.119	258.403	258.403	258.418	258.405	258.405	258.401	258.420	258.405	258.420	258.414	258.409	258.405	258.363	258.401	258.401	258.378	258.393	258.401	258.418	258.398	258.435	258.383	258.391	258.383	258.396	258.396	258.402	258.396	258.405	258.388	258.381	258.393	2016_7_15_15_29_04
F2LS38VQGRXL____	-28.467	-28.467	-28.430	-28.461	-28.465	-28.469	-28.427	-28.465	-28.427	-28.433	-28.432	-28.461	-28.544	-28.469	-28.469	-28.540	-28.502	-28.467	-28.427	-28.470	-28.391	-28.507	-28.502	-28.507	-28.470	-28.470	-28.464	-28.470	-28.434	-28.503	-28.509	-28.504	-142.072	-142.072	-142.031	-142.059	-142.072	-141.991	-141.986	-142.072	-141.986	-141.993	-141.962	-142.059	-141.921	-141.991	-141.991	-142.059	-142.057	-142.026	-141.946	-141.986	-142.031	-141.955	-142.033	-141.955	-141.960	-141.960	-141.924	-141.960	-141.846	-141.994	-141.925	-142.067	258.587	258.587	258.598	258.588	258.587	258.580	258.596	258.587	258.596	258.594	258.592	258.588	258.545	258.580	258.580	258.557	258.572	258.583	258.592	258.579	258.613	258.562	258.570	258.562	258.577	258.577	258.576	258.577	258.582	258.567	258.559	258.572	2016_7_15_15_29_07
F2LS3A8AGRXL____	-28.424	-28.424	-28.384	-28.418	-28.421	-28.424	-28.381	-28.421	-28.381	-28.387	-28.385	-28.418	-28.548	-28.424	-28.424	-28.541	-28.501	-28.419	-28.418	-28.424	-28.386	-28.512	-28.502	-28.512	-28.424	-28.424	-28.462	-28.424	-28.431	-28.505	-28.510	-28.503	-141.849	-141.849	-141.849	-141.923	-141.896	-141.856	-141.855	-141.896	-141.855	-141.855	-141.831	-141.923	-141.785	-141.856	-141.856	-141.922	-141.921	-141.889	-141.781	-141.822	-141.893	-141.822	-141.903	-141.822	-141.834	-141.834	-141.801	-141.834	-141.719	-141.862	-141.839	-141.931	258.666	258.666	258.682	258.674	258.671	258.667	258.683	258.671	258.683	258.681	258.680	258.674	258.613	258.667	258.667	258.626	258.642	258.671	258.663	258.664	258.684	258.630	258.640	258.630	258.665	258.665	258.648	258.665	258.653	258.636	258.632	258.642	2016_7_15_15_29_10
F2LS3HFRHFM5____	-28.817	-28.817	-28.746	-28.780	-28.815	-28.783	-28.778	-28.815	-28.778	-28.747	-28.779	-28.780	-28.895	-28.783	-28.783	-28.890	-28.853	-28.781	-28.778	-28.818	-28.743	-28.854	-28.848	-28.854	-28.784	-28.784	-28.815	-28.784	-28.783	-28.849	-28.854	-28.853	-142.072	-142.072	-142.074	-142.107	-142.114	-142.040	-142.036	-142.114	-142.036	-142.039	-141.972	-142.107	-141.933	-142.040	-142.040	-142.104	-142.105	-142.072	-142.003	-142.079	-142.075	-142.000	-142.076	-142.000	-142.009	-142.009	-141.974	-142.009	-141.895	-142.040	-141.975	-142.109	258.299	258.299	258.327	258.317	258.304	258.310	258.312	258.304	258.312	258.324	258.306	258.317	258.258	258.310	258.310	258.274	258.288	258.313	258.309	258.299	258.328	258.279	258.288	258.279	258.307	258.307	258.292	258.307	258.299	258.284	258.277	258.288	2016_7_15_15_29_14
F2LS3KLTHFM5____	-28.579	-28.579	-28.582	-28.613	-28.614	-28.618	-28.525	-28.614	-28.525	-28.584	-28.583	-28.613	-28.696	-28.618	-28.618	-28.691	-28.654	-28.617	-28.524	-28.618	-28.535	-28.656	-28.653	-28.656	-28.617	-28.617	-28.604	-28.617	-28.578	-28.654	-28.661	-28.694	-142.133	-142.133	-142.133	-142.167	-142.134	-142.099	-142.096	-142.134	-142.096	-142.100	-142.070	-142.167	-142.032	-142.099	-142.099	-142.164	-142.165	-142.135	-142.061	-142.102	-142.132	-142.066	-142.139	-142.066	-142.070	-142.070	-142.035	-142.070	-141.952	-142.102	-142.032	-142.169	258.932	258.932	258.931	258.922	258.919	258.914	258.951	258.919	258.951	258.928	258.926	258.922	258.879	258.914	258.914	258.892	258.906	258.918	258.948	258.915	258.949	258.897	258.904	258.897	258.913	258.913	258.915	258.913	258.919	258.901	258.893	258.891	2016_7_15_15_29_18
F2LS30UNGRX8____	-28.583	-28.583	-28.551	-28.584	-28.583	-28.584	-28.552	-28.583	-28.552	-28.551	-28.550	-28.584	-28.652	-28.584	-28.584	-28.649	-28.615	-28.583	-28.551	-28.586	-28.519	-28.615	-28.617	-28.615	-28.582	-28.582	-28.585	-28.582	-28.547	-28.617	-28.616	-28.615	-142.014	-142.014	-141.976	-142.007	-142.014	-141.934	-141.939	-142.014	-141.939	-141.936	-141.902	-142.007	-141.867	-141.934	-141.934	-142.043	-142.007	-142.010	-141.899	-141.932	-142.012	-141.899	-141.977	-141.899	-141.900	-141.900	-141.902	-141.900	-141.830	-141.939	-141.907	-142.049	258.614	258.614	258.623	258.613	258.613	258.607	258.620	258.613	258.620	258.620	258.618	258.613	258.575	258.607	258.607	258.590	258.601	258.613	258.617	258.606	258.638	258.592	258.597	258.592	258.605	258.605	258.604	258.605	258.613	258.595	258.592	258.604	2016_7_15_15_29_20
F2LS39Q6GRXL____	-28.975	-28.975	-28.936	-28.970	-28.973	-28.971	-28.936	-28.973	-28.936	-28.936	-28.936	-28.970	-29.046	-28.971	-28.971	-29.044	-29.008	-28.970	-28.935	-28.971	-28.902	-29.012	-29.007	-29.012	-28.971	-28.971	-28.970	-28.971	-28.939	-29.007	-29.008	-29.011	-141.980	-141.980	-141.982	-142.017	-142.026	-141.955	-141.950	-142.026	-141.950	-142.026	-141.925	-142.017	-141.884	-141.955	-141.955	-142.050	-142.014	-142.025	-141.915	-141.992	-141.981	-141.950	-141.993	-141.950	-141.965	-141.965	-141.927	-141.965	-141.845	-141.958	-141.925	-142.016	258.438	258.438	258.453	258.443	258.443	258.438	258.451	258.443	258.451	258.457	258.449	258.443	258.403	258.438	258.438	258.417	258.428	258.443	258.448	258.440	258.466	258.421	258.426	258.421	258.438	258.438	258.436	258.438	258.441	258.424	258.421	258.427	2016_7_15_15_29_23
