SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-36.148	-36.044	-36.077	-36.077	-36.032	-36.112	-36.112	-36.112	-36.078	-36.149	-36.071	-36.077	-36.079	-36.079	-36.119	-36.077	-36.081	-36.116	-36.077	-36.112	-36.078	-36.144	-36.115	-36.079	-36.078	-36.112	-36.079	-36.115	-36.039	-36.032	-36.041	-36.079	-140.542	-140.543	-140.504	-140.504	-140.470	-140.504	-140.470	-140.470	-140.471	-140.437	-140.433	-140.504	-140.507	-140.473	-140.542	-140.504	-140.507	-140.507	-140.504	-140.471	-140.470	-140.435	-140.508	-140.506	-140.437	-140.504	-140.541	-140.539	-140.471	-140.470	-140.473	-140.541	255.476	255.516	255.499	255.499	255.513	255.486	255.483	255.483	255.496	255.465	255.495	255.499	255.499	255.496	255.487	255.499	255.498	255.485	255.499	255.483	255.496	255.467	255.485	255.499	255.493	255.486	255.502	255.488	255.511	255.513	255.510	255.502	2016_7_15_15_44_58
F2LS3HFBHFM5____	-35.939	-35.779	-35.819	-35.819	-35.773	-35.850	-35.914	-35.914	-35.809	-35.930	-35.808	-35.819	-35.814	-35.851	-35.813	-35.819	-35.861	-35.914	-35.819	-35.894	-35.816	-35.933	-35.852	-35.858	-35.879	-35.850	-35.820	-35.855	-35.773	-35.773	-35.774	-35.820	-140.634	-140.681	-140.598	-140.598	-140.564	-140.599	-140.620	-140.620	-140.620	-140.581	-140.526	-140.598	-140.598	-140.613	-140.635	-140.598	-140.644	-140.655	-140.598	-140.563	-140.563	-140.528	-140.645	-140.599	-140.585	-140.599	-140.634	-140.682	-140.610	-140.564	-140.620	-140.634	255.585	255.651	255.628	255.628	255.642	255.616	255.593	255.593	255.633	255.584	255.625	255.628	255.629	255.617	255.634	255.628	255.616	255.597	255.628	255.595	255.625	255.577	255.619	255.613	255.603	255.616	255.631	255.622	255.646	255.642	255.647	255.631	2016_7_15_15_45_02
F2LS3JESHFM5____	-36.132	-35.974	-36.149	-36.149	-36.044	-36.114	-36.114	-36.114	-36.009	-36.219	-36.009	-36.149	-36.079	-36.079	-36.114	-36.149	-36.149	-36.114	-36.149	-36.114	-36.079	-36.219	-36.044	-36.079	-36.079	-36.114	-36.009	-36.044	-35.974	-36.044	-36.044	-36.009	-140.556	-140.552	-140.517	-140.517	-140.482	-140.517	-140.482	-140.482	-140.482	-140.447	-140.517	-140.517	-140.517	-140.482	-140.552	-140.517	-140.517	-140.517	-140.517	-140.482	-140.482	-140.517	-140.517	-140.517	-140.447	-140.517	-140.552	-140.552	-140.482	-140.482	-140.482	-140.552	255.515	255.575	255.505	255.505	255.541	255.518	255.515	255.515	255.555	255.471	255.558	255.505	255.531	255.528	255.522	255.505	255.505	255.518	255.505	255.515	255.528	255.478	255.545	255.531	255.525	255.518	255.562	255.548	255.568	255.541	255.541	255.562	2016_7_15_15_45_06
F2LS3TKDHFM5____	-36.286	-36.184	-36.221	-36.221	-36.176	-36.257	-36.255	-36.255	-36.221	-36.287	-36.253	-36.221	-36.222	-36.218	-36.257	-36.221	-36.262	-36.258	-36.221	-36.255	-36.218	-36.288	-36.290	-36.220	-36.215	-36.257	-36.220	-36.254	-36.182	-36.176	-36.184	-36.220	-140.622	-140.619	-140.583	-140.583	-140.548	-140.584	-140.551	-140.551	-140.550	-140.518	-140.512	-140.583	-140.586	-140.552	-140.621	-140.583	-140.582	-140.588	-140.583	-140.552	-140.548	-140.516	-140.586	-140.584	-140.516	-140.584	-140.620	-140.621	-140.550	-140.548	-140.550	-140.620	255.510	255.549	255.531	255.531	255.545	255.518	255.515	255.515	255.528	255.499	255.512	255.531	255.531	255.529	255.521	255.531	255.516	255.518	255.531	255.515	255.529	255.499	255.505	255.532	255.527	255.518	255.535	255.522	255.543	255.545	255.542	255.535	2016_7_15_15_45_10
F2LS38VQGRXL____	-36.000	-35.891	-35.927	-35.927	-35.883	-35.964	-35.967	-35.967	-35.888	-35.994	-35.923	-35.927	-35.891	-35.928	-35.969	-35.927	-35.931	-35.966	-35.927	-35.964	-35.889	-35.994	-35.964	-35.930	-35.924	-35.964	-35.927	-35.961	-35.889	-35.883	-35.888	-35.927	-140.557	-140.556	-140.522	-140.522	-140.486	-140.523	-140.490	-140.490	-140.489	-140.454	-140.452	-140.522	-140.524	-140.488	-140.558	-140.522	-140.524	-140.522	-140.522	-140.489	-140.491	-140.453	-140.523	-140.520	-140.453	-140.523	-140.558	-140.557	-140.487	-140.486	-140.489	-140.558	255.634	255.676	255.658	255.658	255.672	255.644	255.640	255.640	255.670	255.626	255.653	255.658	255.672	255.655	255.646	255.658	255.657	255.644	255.658	255.641	255.670	255.626	255.644	255.657	255.653	255.644	255.662	255.649	255.670	255.672	255.670	255.662	2016_7_15_15_45_13
F2LS3A8AGRXL____	-35.901	-35.913	-35.911	-35.911	-35.841	-35.952	-35.947	-35.947	-35.870	-35.974	-35.876	-35.911	-35.871	-35.912	-35.872	-35.911	-35.955	-35.949	-35.911	-35.907	-35.869	-35.981	-35.908	-35.911	-35.910	-35.952	-35.873	-35.913	-35.833	-35.841	-35.834	-35.873	-140.496	-140.536	-140.453	-140.453	-140.421	-140.456	-140.420	-140.420	-140.419	-140.439	-140.456	-140.453	-140.456	-140.422	-140.492	-140.453	-140.500	-140.455	-140.453	-140.423	-140.421	-140.386	-140.458	-140.456	-140.389	-140.456	-140.492	-140.493	-140.419	-140.421	-140.420	-140.492	255.671	255.670	255.662	255.662	255.686	255.647	255.645	255.645	255.675	255.637	255.676	255.662	255.678	255.659	255.681	255.662	255.650	255.648	255.662	255.661	255.675	255.629	255.664	255.663	255.657	255.647	255.681	255.666	255.689	255.686	255.689	255.681	2016_7_15_15_45_18
F2LS3HFRHFM5____	-36.350	-36.173	-36.280	-36.280	-36.175	-36.315	-36.315	-36.315	-36.201	-36.280	-36.198	-36.280	-36.210	-36.140	-36.175	-36.280	-36.210	-36.315	-36.280	-36.245	-36.140	-36.322	-36.245	-36.280	-36.280	-36.315	-36.210	-36.239	-36.175	-36.175	-36.175	-36.210	-140.630	-140.615	-140.665	-140.665	-140.560	-140.665	-140.560	-140.560	-140.543	-140.525	-140.457	-140.665	-140.595	-140.560	-140.630	-140.665	-140.595	-140.595	-140.665	-140.560	-140.560	-140.458	-140.595	-140.665	-140.525	-140.665	-140.630	-140.614	-140.560	-140.560	-140.560	-140.630	255.507	255.573	255.537	255.537	255.567	255.523	255.513	255.513	255.555	255.523	255.547	255.537	255.557	255.580	255.573	255.537	255.557	255.517	255.537	255.540	255.580	255.500	255.543	255.537	255.523	255.523	255.560	255.547	255.567	255.567	255.567	255.560	2016_7_15_15_45_22
F2LS3KLTHFM5____	-36.094	-35.945	-36.070	-36.070	-35.981	-36.098	-36.097	-36.097	-36.061	-36.133	-36.017	-36.070	-36.057	-36.019	-36.063	-36.070	-36.068	-36.098	-36.070	-36.058	-36.024	-36.131	-36.094	-36.061	-36.063	-36.098	-36.056	-36.098	-36.022	-35.981	-36.022	-36.056	-140.626	-140.625	-140.544	-140.544	-140.553	-140.587	-140.556	-140.556	-140.557	-140.522	-140.473	-140.544	-140.592	-140.559	-140.626	-140.544	-140.587	-140.592	-140.544	-140.512	-140.551	-140.520	-140.591	-140.546	-140.521	-140.587	-140.625	-140.625	-140.556	-140.553	-140.557	-140.625	255.655	255.712	255.656	255.656	255.691	255.650	255.647	255.647	255.661	255.630	255.670	255.656	255.666	255.677	255.667	255.656	255.661	255.650	255.656	255.658	255.674	255.630	255.651	255.660	255.657	255.650	255.669	255.654	255.676	255.691	255.676	255.669	2016_7_15_15_45_26
F2LS30UNGRX8____	-36.120	-35.976	-36.012	-36.012	-35.968	-36.053	-36.109	-36.109	-36.012	-36.086	-36.007	-36.012	-36.011	-36.015	-36.047	-36.012	-36.013	-36.091	-36.012	-36.049	-36.009	-36.079	-36.131	-36.016	-36.046	-36.053	-36.011	-36.050	-35.974	-35.968	-35.982	-36.011	-140.544	-140.547	-140.510	-140.510	-140.475	-140.511	-140.432	-140.432	-140.478	-140.444	-140.438	-140.510	-140.509	-140.476	-140.543	-140.510	-140.515	-140.508	-140.510	-140.476	-140.479	-140.440	-140.507	-140.509	-140.483	-140.511	-140.544	-140.549	-140.475	-140.475	-140.433	-140.544	255.543	255.599	255.581	255.581	255.594	255.565	255.536	255.536	255.578	255.546	255.576	255.581	255.581	255.577	255.571	255.581	255.581	255.551	255.581	255.564	255.579	255.548	255.535	255.580	255.565	255.565	255.585	255.570	255.592	255.594	255.585	255.585	2016_7_15_15_45_30
F2LS39Q6GRXL____	-36.506	-36.331	-36.358	-36.358	-36.258	-36.340	-36.401	-36.401	-36.366	-36.506	-36.341	-36.358	-36.296	-36.294	-36.350	-36.358	-36.366	-36.338	-36.358	-36.447	-36.301	-36.411	-36.401	-36.436	-36.436	-36.340	-36.355	-36.401	-36.331	-36.258	-36.331	-36.355	-140.559	-140.559	-140.467	-140.467	-140.435	-140.471	-140.489	-140.489	-140.489	-140.454	-140.439	-140.467	-140.514	-140.480	-140.507	-140.467	-140.524	-140.516	-140.467	-140.433	-140.479	-140.443	-140.524	-140.524	-140.454	-140.471	-140.505	-140.559	-140.489	-140.435	-140.489	-140.505	255.435	255.502	255.482	255.482	255.517	255.490	255.468	255.468	255.482	255.425	255.486	255.482	255.511	255.508	255.489	255.482	255.485	255.495	255.482	255.445	255.505	255.459	255.472	255.458	255.451	255.490	255.487	255.475	255.495	255.517	255.495	255.487	2016_7_15_15_45_34
