SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-52.434	-52.397	-52.397	-52.468	-52.432	-52.470	-52.434	-52.468	-52.434	-52.466	-52.396	-52.435	-52.399	-52.292	-52.329	-52.396	-52.396	-52.363	-52.362	-52.362	-52.327	-52.362	-52.363	-52.363	-52.397	-52.362	-52.365	-52.359	-52.363	-52.396	-52.360	-52.399	-93.949	-93.983	-94.017	-94.086	-94.049	-94.018	-94.052	-94.087	-94.122	-94.049	-94.152	-94.152	-94.121	-94.193	-94.226	-94.152	-94.152	-94.189	-94.120	-94.153	-94.187	-94.153	-94.124	-94.152	-94.153	-94.153	-94.160	-94.163	-94.124	-94.152	-94.120	-94.119	240.834	240.859	240.869	240.854	240.861	240.835	240.860	240.853	240.879	240.845	240.904	240.886	240.894	240.963	240.954	240.904	240.904	240.929	240.912	240.920	240.945	240.920	240.912	240.919	240.903	240.920	240.920	240.924	240.912	240.904	240.913	240.894	2016_7_15_15_49_33
F2LS3HFBHFM5____	-52.148	-52.110	-52.064	-52.188	-52.146	-52.137	-52.101	-52.180	-52.105	-52.187	-52.112	-52.147	-52.079	-52.010	-52.044	-52.112	-52.112	-52.081	-52.079	-52.077	-52.043	-52.077	-52.078	-52.076	-52.066	-52.077	-52.046	-52.075	-52.078	-52.112	-52.073	-52.113	-94.069	-94.106	-94.138	-94.216	-94.178	-94.100	-94.176	-94.213	-94.250	-94.177	-94.284	-94.286	-94.248	-94.317	-94.356	-94.284	-94.284	-94.316	-94.249	-94.281	-94.316	-94.281	-94.252	-94.281	-94.284	-94.281	-94.250	-94.252	-94.252	-94.284	-94.248	-94.250	240.923	240.950	240.980	240.942	240.952	240.936	240.972	240.945	240.990	240.932	240.995	240.979	241.001	241.051	241.045	240.995	240.995	241.017	241.002	241.010	241.035	241.010	241.003	241.011	241.016	241.010	241.017	241.004	241.003	240.995	241.004	240.986	2016_7_15_15_49_38
F2LS3JESHFM5____	-52.558	-52.526	-52.524	-52.594	-52.559	-52.594	-52.558	-52.592	-52.558	-52.593	-52.521	-52.560	-52.523	-52.417	-52.449	-52.521	-52.521	-52.488	-52.489	-52.488	-52.453	-52.488	-52.487	-52.489	-52.524	-52.488	-52.453	-52.487	-52.487	-52.521	-52.486	-52.527	-93.854	-93.890	-93.925	-93.994	-93.958	-93.922	-93.959	-93.992	-94.027	-93.959	-94.061	-94.062	-94.028	-94.094	-94.133	-94.061	-94.061	-94.094	-94.028	-94.059	-94.090	-94.059	-94.028	-94.059	-94.062	-94.059	-94.029	-94.027	-94.028	-94.061	-94.027	-94.029	240.784	240.808	240.818	240.803	240.810	240.784	240.811	240.804	240.828	240.795	240.854	240.837	240.845	240.911	240.907	240.854	240.854	240.879	240.861	240.869	240.894	240.869	240.862	240.869	240.853	240.869	240.878	240.862	240.862	240.854	240.862	240.844	2016_7_15_15_49_43
F2LS3TKDHFM5____	-52.710	-52.637	-52.636	-52.748	-52.672	-52.712	-52.672	-52.706	-52.675	-52.707	-52.676	-52.673	-52.641	-52.572	-52.571	-52.676	-52.676	-52.605	-52.606	-52.605	-52.572	-52.605	-52.606	-52.606	-52.637	-52.605	-52.610	-52.602	-52.606	-52.676	-52.639	-52.679	-94.033	-94.068	-94.102	-94.215	-94.178	-94.141	-94.140	-94.174	-94.251	-94.139	-94.284	-94.282	-94.214	-94.320	-94.351	-94.284	-94.284	-94.314	-94.248	-94.281	-94.316	-94.281	-94.252	-94.277	-94.281	-94.281	-94.250	-94.214	-94.252	-94.284	-94.249	-94.248	240.709	240.752	240.761	240.739	240.765	240.737	240.755	240.748	240.782	240.738	240.790	240.791	240.789	240.848	240.856	240.790	240.790	240.831	240.814	240.823	240.847	240.823	240.814	240.821	240.808	240.823	240.812	240.806	240.814	240.790	240.799	240.780	2016_7_15_15_49_47
F2LS38VQGRXL____	-52.431	-52.395	-52.393	-52.465	-52.429	-52.467	-52.429	-52.463	-52.431	-52.465	-52.393	-52.428	-52.360	-52.328	-52.325	-52.393	-52.393	-52.360	-52.360	-52.359	-52.325	-52.359	-52.359	-52.360	-52.396	-52.359	-52.325	-52.355	-52.359	-52.393	-52.354	-52.394	-93.988	-94.026	-94.063	-94.136	-94.098	-94.067	-94.064	-94.096	-94.174	-94.100	-94.203	-94.206	-94.132	-94.280	-94.275	-94.203	-94.203	-94.199	-94.168	-94.201	-94.234	-94.201	-94.173	-94.199	-94.203	-94.201	-94.168	-94.171	-94.173	-94.203	-94.212	-94.170	240.791	240.818	240.828	240.814	240.820	240.795	240.812	240.804	240.839	240.804	240.865	240.849	240.862	240.915	240.915	240.865	240.865	240.879	240.871	240.880	240.904	240.880	240.872	240.879	240.863	240.880	240.887	240.874	240.872	240.865	240.885	240.856	2016_7_15_15_49_50
F2LS3A8AGRXL____	-52.157	-52.121	-52.120	-52.193	-52.153	-52.236	-52.200	-52.189	-52.202	-52.193	-52.161	-52.154	-52.085	-52.104	-52.140	-52.161	-52.161	-52.131	-52.129	-52.126	-52.052	-52.126	-52.130	-52.127	-52.162	-52.126	-52.048	-52.125	-52.130	-52.161	-52.126	-52.120	-93.973	-93.966	-94.000	-94.073	-94.081	-94.003	-94.083	-94.115	-94.153	-94.079	-94.184	-94.187	-94.111	-94.214	-94.250	-94.184	-94.184	-94.217	-94.147	-94.182	-94.210	-94.182	-94.153	-94.177	-94.184	-94.182	-94.148	-94.191	-94.153	-94.184	-94.146	-94.150	240.836	240.851	240.861	240.845	240.866	240.807	240.845	240.858	240.862	240.847	240.889	240.893	240.905	240.923	240.916	240.889	240.889	240.912	240.894	240.904	240.946	240.904	240.895	240.903	240.888	240.904	240.932	240.908	240.895	240.889	240.895	240.899	2016_7_15_15_49_53
F2LS3HFRHFM5____	-52.660	-52.622	-52.622	-52.694	-52.653	-52.694	-52.612	-52.690	-52.659	-52.692	-52.621	-52.658	-52.588	-52.522	-52.555	-52.621	-52.621	-52.632	-52.629	-52.587	-52.597	-52.587	-52.587	-52.587	-52.621	-52.587	-52.554	-52.587	-52.587	-52.621	-52.586	-52.623	-93.930	-93.968	-94.004	-94.076	-94.041	-94.005	-94.038	-94.077	-94.113	-94.038	-94.146	-94.147	-94.112	-94.184	-94.217	-94.146	-94.146	-94.178	-94.111	-94.145	-94.176	-94.145	-94.117	-94.141	-94.146	-94.145	-94.114	-94.116	-94.117	-94.146	-94.112	-94.113	240.687	240.715	240.724	240.709	240.719	240.691	240.738	240.712	240.735	240.701	240.761	240.744	240.768	240.817	240.810	240.761	240.761	240.765	240.749	240.777	240.780	240.777	240.770	240.776	240.762	240.777	240.784	240.770	240.770	240.761	240.769	240.752	2016_7_15_15_49_56
F2LS3KLTHFM5____	-52.657	-52.619	-52.619	-52.693	-52.657	-52.693	-52.661	-52.689	-52.657	-52.694	-52.620	-52.657	-52.588	-52.517	-52.553	-52.620	-52.620	-52.588	-52.588	-52.587	-52.552	-52.587	-52.589	-52.586	-52.621	-52.587	-52.553	-52.585	-52.589	-52.620	-52.584	-52.623	-94.003	-94.041	-94.078	-94.151	-94.117	-94.083	-94.115	-94.152	-94.190	-94.114	-94.223	-94.264	-94.190	-94.255	-94.291	-94.223	-94.223	-94.253	-94.187	-94.218	-94.252	-94.218	-94.190	-94.216	-94.223	-94.218	-94.189	-94.189	-94.190	-94.223	-94.186	-94.229	240.676	240.703	240.713	240.697	240.705	240.680	240.703	240.699	240.724	240.688	240.750	240.743	240.756	240.806	240.799	240.750	240.750	240.773	240.756	240.764	240.789	240.764	240.756	240.764	240.749	240.764	240.772	240.757	240.756	240.750	240.757	240.750	2016_7_15_15_50_00
F2LS30UNGRX8____	-52.499	-52.505	-52.466	-52.535	-52.501	-52.537	-52.500	-52.537	-52.501	-52.538	-52.463	-52.500	-52.431	-52.359	-52.395	-52.463	-52.463	-52.476	-52.472	-52.429	-52.395	-52.429	-52.427	-52.429	-52.463	-52.429	-52.394	-52.427	-52.427	-52.463	-52.429	-52.467	-94.057	-94.090	-94.123	-94.196	-94.158	-94.122	-94.158	-94.196	-94.229	-94.156	-94.265	-94.267	-94.227	-94.297	-94.300	-94.265	-94.265	-94.296	-94.229	-94.261	-94.262	-94.261	-94.231	-94.263	-94.266	-94.261	-94.230	-94.230	-94.231	-94.265	-94.191	-94.227	240.729	240.735	240.761	240.748	240.754	240.728	240.755	240.747	240.772	240.737	240.799	240.783	240.805	240.856	240.840	240.799	240.799	240.802	240.786	240.814	240.830	240.814	240.808	240.814	240.800	240.814	240.822	240.807	240.808	240.799	240.796	240.788	2016_7_15_15_50_03
F2LS39Q6GRXL____	-52.783	-52.747	-52.746	-52.817	-52.780	-52.819	-52.783	-52.812	-52.780	-52.817	-52.748	-52.783	-52.712	-52.644	-52.678	-52.748	-52.748	-52.713	-52.713	-52.714	-52.679	-52.714	-52.713	-52.714	-52.748	-52.714	-52.679	-52.711	-52.713	-52.748	-52.710	-52.748	-93.882	-93.917	-93.953	-94.026	-94.027	-93.955	-93.990	-94.024	-94.062	-93.989	-94.134	-94.134	-94.061	-94.130	-94.164	-94.134	-94.134	-94.128	-94.098	-94.131	-94.127	-94.131	-94.063	-94.128	-94.131	-94.131	-94.099	-94.063	-94.063	-94.134	-94.059	-94.097	240.639	240.665	240.675	240.661	240.678	240.641	240.667	240.662	240.687	240.651	240.721	240.705	240.718	240.768	240.761	240.721	240.721	240.735	240.727	240.736	240.751	240.736	240.718	240.735	240.720	240.736	240.744	240.719	240.718	240.721	240.719	240.711	2016_7_15_15_50_06
