SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-13.755	-13.763	-13.692	-13.657	-13.692	-13.693	-13.657	-13.691	-13.587	-13.657	-13.657	-13.691	-13.692	-13.656	-13.622	-13.622	-13.552	-13.691	-13.657	-13.692	-13.587	-13.621	-13.621	-13.656	-13.692	-13.622	-13.657	-13.587	-13.657	-13.481	-13.623	-13.657	-140.966	-140.966	-140.973	-140.933	-140.970	-140.969	-140.933	-140.936	-140.967	-140.902	-140.902	-140.974	-140.970	-140.937	-140.895	-140.934	-140.902	-140.936	-140.939	-140.902	-140.937	-140.872	-140.872	-140.937	-140.933	-140.934	-140.902	-140.937	-140.931	-140.933	-140.896	-140.902	264.090	264.087	264.116	264.128	264.115	264.115	264.128	264.114	264.158	264.127	264.127	264.116	264.115	264.128	264.141	264.142	264.169	264.114	264.128	264.113	264.156	264.140	264.140	264.128	264.114	264.142	264.127	264.156	264.128	264.199	264.140	264.127	2016_7_15_16_13_29
F2LS3HFBHFM5____	-13.464	-13.527	-13.459	-13.423	-13.458	-13.458	-13.423	-13.458	-13.354	-13.423	-13.423	-13.459	-13.458	-13.423	-13.358	-13.388	-13.319	-13.458	-13.423	-13.458	-13.353	-13.388	-13.388	-13.423	-13.457	-13.388	-13.423	-13.353	-13.423	-13.248	-13.388	-13.423	-140.913	-140.915	-140.918	-140.907	-140.916	-140.916	-140.907	-140.880	-140.911	-140.846	-140.846	-140.918	-140.916	-140.881	-140.845	-140.905	-140.847	-140.880	-140.879	-140.877	-140.912	-140.814	-140.814	-140.881	-140.908	-140.905	-140.845	-140.912	-140.882	-140.878	-140.845	-140.845	264.205	264.180	264.207	264.221	264.208	264.208	264.221	264.206	264.249	264.219	264.219	264.207	264.208	264.220	264.245	264.235	264.261	264.206	264.220	264.206	264.250	264.232	264.232	264.220	264.207	264.235	264.219	264.250	264.220	264.291	264.233	264.219	2016_7_15_16_13_33
F2LS3JESHFM5____	-13.631	-13.638	-13.568	-13.560	-13.596	-13.568	-13.560	-13.595	-13.492	-13.560	-13.560	-13.594	-13.596	-13.560	-13.496	-13.525	-13.457	-13.595	-13.560	-13.567	-13.490	-13.495	-13.495	-13.560	-13.595	-13.525	-13.532	-13.490	-13.561	-13.386	-13.525	-13.532	-141.071	-141.075	-141.078	-141.066	-141.076	-141.102	-141.066	-141.070	-141.102	-141.035	-141.035	-141.108	-141.076	-141.070	-141.008	-141.065	-141.036	-141.070	-141.071	-141.035	-141.068	-140.978	-140.978	-141.070	-141.065	-141.065	-141.035	-141.068	-141.065	-141.068	-141.035	-141.035	264.144	264.141	264.170	264.172	264.158	264.170	264.172	264.159	264.201	264.171	264.171	264.160	264.158	264.172	264.196	264.186	264.213	264.159	264.172	264.168	264.201	264.195	264.195	264.172	264.158	264.186	264.182	264.201	264.172	264.242	264.185	264.182	2016_7_15_16_13_36
F2LS3TKDHFM5____	-13.419	-13.424	-13.388	-13.351	-13.385	-13.423	-13.351	-13.423	-13.280	-13.350	-13.350	-13.390	-13.385	-13.350	-13.283	-13.314	-13.245	-13.423	-13.353	-13.355	-13.280	-13.315	-13.315	-13.350	-13.385	-13.314	-13.352	-13.280	-13.351	-13.176	-13.315	-13.352	-141.069	-141.073	-141.099	-141.062	-141.100	-141.102	-141.062	-141.065	-141.096	-141.029	-141.029	-141.100	-141.100	-141.063	-141.002	-141.062	-141.030	-141.065	-141.064	-141.028	-141.063	-140.999	-140.999	-141.063	-141.063	-141.062	-141.029	-141.063	-141.063	-141.061	-141.028	-141.029	264.229	264.227	264.243	264.256	264.244	264.229	264.256	264.227	264.286	264.255	264.255	264.242	264.244	264.257	264.281	264.271	264.298	264.227	264.256	264.253	264.285	264.268	264.268	264.257	264.243	264.271	264.254	264.285	264.256	264.327	264.269	264.254	2016_7_15_16_13_40
F2LS38VQGRXL____	-13.579	-13.615	-13.544	-13.508	-13.543	-13.545	-13.508	-13.543	-13.437	-13.507	-13.507	-13.543	-13.543	-13.507	-13.473	-13.473	-13.402	-13.543	-13.508	-13.543	-13.437	-13.472	-13.472	-13.507	-13.544	-13.473	-13.508	-13.437	-13.508	-13.333	-13.474	-13.508	-141.061	-141.061	-141.067	-141.029	-141.064	-141.064	-141.029	-141.031	-141.064	-140.996	-140.996	-141.092	-141.064	-141.031	-140.993	-141.028	-140.997	-141.031	-141.031	-140.997	-141.029	-140.988	-140.988	-141.031	-141.028	-141.028	-140.996	-141.029	-141.027	-141.029	-140.994	-140.996	264.164	264.150	264.179	264.192	264.179	264.178	264.192	264.178	264.222	264.191	264.191	264.180	264.179	264.192	264.204	264.206	264.233	264.178	264.192	264.176	264.220	264.205	264.205	264.192	264.177	264.206	264.190	264.220	264.192	264.262	264.204	264.190	2016_7_15_16_13_44
F2LS3A8AGRXL____	-13.865	-13.867	-13.797	-13.733	-13.768	-13.798	-13.733	-13.796	-13.692	-13.761	-13.761	-13.769	-13.768	-13.760	-13.698	-13.698	-13.658	-13.796	-13.762	-13.797	-13.690	-13.697	-13.697	-13.760	-13.768	-13.698	-13.761	-13.690	-13.762	-13.587	-13.698	-13.761	-140.835	-140.864	-140.842	-140.802	-140.838	-140.868	-140.802	-140.831	-140.865	-140.769	-140.769	-140.841	-140.838	-140.831	-140.769	-140.800	-140.770	-140.831	-140.834	-140.769	-140.830	-140.739	-140.739	-140.831	-140.801	-140.800	-140.797	-140.830	-140.802	-140.804	-140.771	-140.797	264.040	264.041	264.068	264.092	264.079	264.069	264.092	264.068	264.111	264.080	264.080	264.079	264.079	264.082	264.105	264.107	264.121	264.068	264.082	264.065	264.111	264.104	264.104	264.082	264.078	264.107	264.081	264.111	264.081	264.151	264.105	264.081	2016_7_15_16_13_47
F2LS3HFRHFM5____	-13.872	-13.876	-13.806	-13.769	-13.805	-13.805	-13.769	-13.805	-13.701	-13.769	-13.769	-13.807	-13.805	-13.740	-13.735	-13.734	-13.664	-13.805	-13.771	-13.805	-13.732	-13.734	-13.734	-13.740	-13.805	-13.734	-13.770	-13.732	-13.770	-13.595	-13.704	-13.770	-141.033	-141.034	-141.039	-140.999	-141.036	-141.037	-140.999	-141.001	-141.034	-140.966	-140.966	-141.038	-141.036	-141.002	-140.990	-141.000	-140.968	-141.001	-141.004	-140.968	-141.001	-140.966	-140.966	-141.002	-140.999	-141.000	-140.969	-141.001	-140.999	-141.001	-140.943	-140.969	264.720	264.718	264.746	264.760	264.747	264.746	264.760	264.745	264.788	264.758	264.758	264.746	264.747	264.772	264.773	264.774	264.801	264.745	264.759	264.744	264.775	264.772	264.772	264.772	264.745	264.774	264.758	264.775	264.759	264.830	264.784	264.758	2016_7_15_16_13_50
F2LS3KLTHFM5____	-13.420	-13.427	-13.419	-13.350	-13.385	-13.357	-13.350	-13.384	-13.282	-13.350	-13.350	-13.385	-13.385	-13.350	-13.285	-13.315	-13.246	-13.384	-13.350	-13.385	-13.282	-13.315	-13.315	-13.350	-13.386	-13.315	-13.350	-13.282	-13.352	-13.176	-13.286	-13.350	-141.103	-141.106	-141.111	-141.097	-141.108	-141.106	-141.097	-141.074	-141.106	-141.067	-141.067	-141.111	-141.108	-141.075	-141.036	-141.097	-141.067	-141.074	-141.075	-141.070	-141.074	-141.013	-141.013	-141.075	-141.097	-141.097	-141.041	-141.074	-141.072	-141.071	-141.040	-141.041	264.904	264.901	264.905	264.932	264.918	264.929	264.932	264.917	264.960	264.931	264.931	264.919	264.918	264.931	264.956	264.946	264.973	264.917	264.931	264.917	264.959	264.943	264.943	264.931	264.918	264.946	264.930	264.959	264.930	265.001	264.956	264.930	2016_7_15_16_13_53
F2LS30UNGRX8____	-13.571	-13.607	-13.536	-13.500	-13.536	-13.537	-13.500	-13.535	-13.430	-13.500	-13.500	-13.534	-13.536	-13.500	-13.465	-13.465	-13.395	-13.535	-13.501	-13.535	-13.430	-13.464	-13.464	-13.500	-13.536	-13.465	-13.500	-13.430	-13.501	-13.325	-13.466	-13.500	-140.971	-140.970	-140.977	-140.938	-140.973	-140.973	-140.938	-140.939	-140.973	-140.905	-140.905	-140.976	-140.973	-140.939	-140.906	-140.937	-140.906	-140.939	-140.940	-140.876	-140.937	-140.872	-140.872	-140.939	-140.938	-140.937	-140.904	-140.937	-140.938	-140.939	-140.906	-140.904	264.838	264.824	264.853	264.865	264.852	264.852	264.865	264.851	264.895	264.864	264.864	264.853	264.852	264.865	264.878	264.879	264.906	264.851	264.865	264.849	264.894	264.877	264.877	264.865	264.851	264.879	264.864	264.894	264.865	264.936	264.878	264.864	2016_7_15_16_13_57
F2LS39Q6GRXL____	-13.782	-13.819	-13.749	-13.712	-13.748	-13.749	-13.712	-13.779	-13.644	-13.712	-13.712	-13.749	-13.748	-13.713	-13.677	-13.677	-13.609	-13.779	-13.714	-13.748	-13.644	-13.678	-13.678	-13.713	-13.747	-13.677	-13.712	-13.644	-13.714	-13.539	-13.677	-13.712	-141.191	-141.196	-141.197	-141.185	-141.195	-141.195	-141.185	-141.188	-141.193	-141.154	-141.154	-141.197	-141.195	-141.160	-141.122	-141.184	-141.127	-141.188	-141.160	-141.125	-141.161	-141.094	-141.094	-141.160	-141.186	-141.184	-141.154	-141.161	-141.159	-141.159	-141.125	-141.154	264.088	264.073	264.101	264.116	264.102	264.101	264.116	264.089	264.143	264.115	264.115	264.101	264.102	264.114	264.128	264.130	264.155	264.089	264.114	264.099	264.142	264.126	264.126	264.114	264.102	264.130	264.114	264.142	264.114	264.184	264.127	264.114	2016_7_15_16_14_00
