SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-22.275	-22.137	-22.204	-22.233	-22.342	-22.310	-22.274	-22.239	-22.273	-22.239	-22.238	-22.272	-22.204	-22.205	-22.205	-22.205	-22.200	-22.239	-22.205	-22.206	-22.272	-22.240	-22.272	-22.235	-22.201	-22.237	-22.239	-22.235	-22.169	-22.169	-22.169	-22.204	-136.985	-137.076	-137.124	-136.983	-137.162	-137.118	-137.085	-137.085	-137.093	-137.053	-137.017	-136.980	-137.058	-137.054	-136.995	-136.995	-136.983	-137.015	-137.023	-136.979	-136.980	-136.944	-136.980	-136.914	-136.950	-136.981	-137.020	-136.914	-136.978	-137.014	-136.944	-137.020	260.576	260.638	260.614	260.593	260.560	260.570	260.583	260.597	260.584	260.595	260.593	260.577	260.610	260.609	260.605	260.605	260.606	260.593	260.607	260.604	260.577	260.587	260.577	260.588	260.604	260.591	260.593	260.588	260.619	260.621	260.617	260.607	2016_7_15_16_18_08
F2LS3HFBHFM5____	-22.000	-21.892	-21.933	-21.960	-22.095	-22.029	-21.995	-21.961	-21.994	-21.959	-21.996	-22.031	-21.928	-21.924	-21.924	-21.924	-21.928	-21.959	-21.925	-21.926	-22.031	-21.960	-22.031	-21.960	-21.926	-21.962	-21.962	-21.961	-21.892	-21.891	-21.856	-21.924	-137.106	-137.228	-137.248	-137.105	-137.321	-137.248	-137.215	-137.215	-137.256	-137.214	-137.150	-137.115	-137.221	-137.216	-137.148	-137.148	-137.106	-137.148	-137.184	-137.111	-137.115	-137.075	-137.115	-137.074	-137.073	-137.115	-137.186	-137.035	-137.111	-137.147	-137.077	-137.151	260.983	261.035	261.020	261.000	260.959	260.981	260.993	261.007	260.996	261.007	260.988	260.971	261.020	261.022	261.017	261.017	261.013	261.003	261.019	261.014	260.971	260.998	260.971	260.998	261.012	261.000	261.004	260.995	261.028	261.031	261.041	261.017	2016_7_15_16_18_12
F2LS3JESHFM5____	-22.269	-22.160	-22.201	-22.226	-22.341	-22.332	-22.267	-22.231	-22.268	-22.233	-22.235	-22.269	-22.199	-22.198	-22.197	-22.197	-22.198	-22.232	-22.200	-22.199	-22.269	-22.232	-22.269	-22.228	-22.193	-22.234	-22.234	-22.234	-22.163	-22.163	-22.160	-22.199	-137.234	-137.325	-137.375	-137.234	-137.418	-137.368	-137.337	-137.337	-137.352	-137.310	-137.272	-137.235	-137.319	-137.312	-137.271	-137.271	-137.232	-137.270	-137.285	-137.233	-137.235	-137.198	-137.235	-137.164	-137.200	-137.238	-137.281	-137.124	-137.232	-137.269	-137.200	-137.279	260.938	260.988	260.975	260.955	260.921	260.921	260.945	260.960	260.946	260.958	260.954	260.938	260.972	260.972	260.969	260.969	260.967	260.955	260.969	260.966	260.938	260.950	260.938	260.950	260.966	260.952	260.955	260.945	260.981	260.983	260.980	260.969	2016_7_15_16_18_15
F2LS3TKDHFM5____	-22.155	-22.042	-22.087	-22.115	-22.217	-22.180	-22.143	-22.109	-22.146	-22.110	-22.147	-22.151	-22.077	-22.075	-22.078	-22.078	-22.078	-22.113	-22.077	-22.079	-22.151	-22.113	-22.151	-22.114	-22.081	-22.116	-22.114	-22.116	-22.043	-22.043	-22.042	-22.076	-137.183	-137.309	-137.324	-137.183	-137.404	-137.354	-137.322	-137.321	-137.336	-137.294	-137.255	-137.220	-137.302	-137.298	-137.230	-137.230	-137.217	-137.255	-137.269	-137.194	-137.220	-137.182	-137.220	-137.149	-137.185	-137.196	-137.268	-137.112	-137.218	-137.255	-137.185	-137.264	260.941	260.996	260.978	260.958	260.931	260.943	260.956	260.969	260.955	260.967	260.950	260.946	260.981	260.982	260.976	260.976	260.975	260.964	260.979	260.973	260.946	260.959	260.946	260.956	260.972	260.958	260.964	260.953	260.989	260.992	260.988	260.979	2016_7_15_16_18_19
F2LS38VQGRXL____	-22.202	-22.062	-22.132	-22.162	-22.271	-22.237	-22.202	-22.167	-22.201	-22.168	-22.165	-22.200	-22.134	-22.134	-22.135	-22.135	-22.130	-22.169	-22.134	-22.136	-22.200	-22.169	-22.200	-22.162	-22.127	-22.165	-22.167	-22.162	-22.098	-22.099	-22.097	-22.134	-137.096	-137.191	-137.239	-137.096	-137.280	-137.234	-137.202	-137.201	-137.214	-137.175	-137.135	-137.099	-137.178	-137.176	-137.133	-137.133	-137.097	-137.134	-137.144	-137.097	-137.099	-137.061	-137.099	-137.027	-137.063	-137.100	-137.142	-137.026	-137.096	-137.132	-137.062	-137.141	260.960	261.023	260.998	260.977	260.944	260.955	260.967	260.981	260.968	260.979	260.978	260.961	260.994	260.993	260.990	260.990	260.990	260.976	260.991	260.987	260.961	260.971	260.961	260.972	260.989	260.976	260.978	260.972	261.002	261.005	261.001	260.991	2016_7_15_16_18_22
F2LS3A8AGRXL____	-22.084	-21.968	-22.043	-22.072	-22.145	-22.108	-22.072	-22.036	-22.072	-22.037	-22.074	-22.108	-22.031	-22.002	-22.002	-22.002	-22.032	-22.037	-22.002	-22.030	-22.108	-22.068	-22.108	-22.041	-22.005	-22.072	-22.040	-22.042	-21.967	-21.968	-21.966	-22.003	-136.988	-137.081	-137.128	-136.986	-137.168	-137.127	-137.094	-137.096	-137.101	-137.058	-137.030	-137.018	-137.101	-137.060	-137.028	-137.028	-136.987	-137.029	-137.035	-137.016	-137.018	-136.955	-137.018	-136.919	-136.955	-137.022	-137.029	-136.917	-136.990	-137.026	-136.986	-137.027	261.118	261.172	261.144	261.123	261.105	261.117	261.130	261.144	261.130	261.142	261.125	261.110	261.147	261.156	261.154	261.154	261.139	261.140	261.154	261.142	261.110	261.122	261.110	261.131	261.148	261.125	261.139	261.130	261.166	261.168	261.166	261.154	2016_7_15_16_18_25
F2LS3HFRHFM5____	-22.425	-22.298	-22.341	-22.390	-22.486	-22.443	-22.406	-22.371	-22.495	-22.378	-22.379	-22.414	-22.336	-22.355	-22.337	-22.337	-22.334	-22.372	-22.337	-22.345	-22.414	-22.339	-22.414	-22.371	-22.335	-22.379	-22.390	-22.390	-22.270	-22.271	-22.320	-22.350	-137.045	-137.151	-137.207	-137.045	-137.273	-137.169	-137.137	-137.138	-137.220	-137.159	-137.075	-137.039	-137.156	-137.185	-137.071	-137.071	-137.031	-137.072	-137.121	-137.092	-137.039	-136.998	-137.039	-136.963	-136.999	-137.041	-137.150	-136.975	-137.034	-137.070	-137.080	-137.142	260.871	260.929	260.916	260.885	260.861	260.872	260.885	260.899	260.854	260.898	260.891	260.875	260.914	260.909	260.908	260.908	260.907	260.894	260.912	260.906	260.875	260.903	260.875	260.887	260.904	260.889	260.892	260.880	260.933	260.935	260.916	260.908	2016_7_15_16_18_30
F2LS3KLTHFM5____	-22.255	-22.106	-22.176	-22.211	-22.291	-22.313	-22.220	-22.184	-22.220	-22.243	-22.243	-22.278	-22.208	-22.208	-22.208	-22.208	-22.147	-22.243	-22.186	-22.208	-22.278	-22.243	-22.278	-22.211	-22.176	-22.243	-22.243	-22.213	-22.114	-22.113	-22.114	-22.208	-137.140	-137.233	-137.315	-137.141	-137.330	-137.299	-137.247	-137.249	-137.307	-137.299	-137.194	-137.229	-137.299	-137.299	-137.194	-137.194	-137.140	-137.194	-137.236	-137.159	-137.229	-137.124	-137.229	-137.071	-137.107	-137.159	-137.264	-137.070	-137.142	-137.178	-137.109	-137.264	260.734	260.801	260.778	260.752	260.733	260.721	260.756	260.771	260.760	260.750	260.743	260.731	260.764	260.764	260.757	260.757	260.778	260.743	260.769	260.755	260.731	260.738	260.731	260.748	260.765	260.741	260.747	260.747	260.792	260.795	260.790	260.762	2016_7_15_16_18_34
F2LS30UNGRX8____	-22.199	-22.096	-22.130	-22.169	-22.271	-22.238	-22.202	-22.169	-22.200	-22.167	-22.165	-22.200	-22.134	-22.132	-22.130	-22.130	-22.133	-22.165	-22.133	-22.132	-22.200	-22.166	-22.200	-22.164	-22.130	-22.165	-22.164	-22.162	-22.096	-22.095	-22.096	-22.132	-137.042	-137.133	-137.184	-137.003	-137.180	-137.154	-137.119	-137.117	-137.138	-137.100	-137.050	-137.015	-137.102	-137.100	-137.049	-137.049	-137.004	-137.049	-137.067	-137.014	-137.015	-136.979	-137.015	-136.973	-137.008	-137.014	-137.067	-136.973	-137.013	-137.048	-136.980	-137.066	261.062	261.110	261.099	261.071	261.042	261.053	261.066	261.079	261.068	261.079	261.076	261.060	261.092	261.093	261.090	261.090	261.086	261.076	261.090	261.087	261.060	261.071	261.060	261.071	261.088	261.074	261.078	261.072	261.102	261.104	261.100	261.091	2016_7_15_16_18_37
F2LS39Q6GRXL____	-22.574	-22.496	-22.525	-22.566	-22.644	-22.606	-22.570	-22.565	-22.570	-22.567	-22.598	-22.633	-22.502	-22.563	-22.501	-22.501	-22.531	-22.566	-22.534	-22.530	-22.633	-22.534	-22.633	-22.538	-22.525	-22.598	-22.598	-22.567	-22.465	-22.466	-22.463	-22.543	-137.166	-137.287	-137.341	-137.164	-137.352	-137.305	-137.272	-137.273	-137.324	-137.276	-137.279	-137.174	-137.289	-137.314	-137.208	-137.208	-137.165	-137.209	-137.252	-137.199	-137.174	-137.134	-137.174	-137.133	-137.167	-137.244	-137.279	-137.095	-137.168	-137.205	-137.136	-137.258	260.729	260.769	260.761	260.732	260.714	260.726	260.738	260.740	260.742	260.740	260.727	260.706	260.767	260.744	260.762	260.762	260.747	260.736	260.752	260.749	260.706	260.743	260.706	260.742	260.749	260.725	260.727	260.727	260.774	260.776	260.773	260.748	2016_7_15_16_18_41
