SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-63.929	-63.746	-63.925	-64.004	-63.895	-63.851	-63.967	-63.862	-63.887	-63.813	-63.956	-63.750	-63.826	-63.859	-63.900	-63.947	-63.896	-64.001	-63.892	-64.479	-63.919	-63.933	-64.232	-64.234	-63.857	-63.932	-63.899	-63.895	-63.947	-64.161	-63.850	-63.849	-120.489	-120.148	-119.941	-120.010	-119.941	-120.037	-120.044	-119.835	-120.425	-120.450	-120.454	-119.905	-119.907	-120.045	-120.010	-120.553	-119.974	-119.904	-119.940	-120.296	-120.454	-120.011	-120.401	-120.360	-120.083	-120.008	-119.972	-120.012	-119.987	-120.324	-120.386	-120.428	241.714	241.714	241.607	241.591	241.618	241.653	241.611	241.609	241.716	241.749	241.697	241.665	241.637	241.652	241.630	241.719	241.624	241.571	241.619	241.472	241.710	241.618	241.584	241.575	241.660	241.618	241.623	241.632	241.608	241.595	241.722	241.731	2016_7_15_16_29_07
F2LS3HFBHFM5____	-63.805	-63.645	-63.813	-63.865	-63.793	-63.770	-63.840	-63.770	-63.875	-63.700	-63.840	-63.615	-63.735	-63.735	-63.764	-63.819	-63.753	-63.862	-63.755	-64.374	-63.805	-63.829	-64.103	-64.097	-63.770	-63.805	-63.755	-63.805	-63.813	-64.027	-63.770	-63.747	-120.260	-119.929	-119.715	-119.785	-119.715	-119.840	-119.840	-119.630	-120.225	-120.330	-120.330	-119.649	-119.700	-119.840	-119.751	-120.303	-119.750	-119.679	-119.716	-120.068	-120.260	-119.785	-120.142	-120.133	-119.875	-119.805	-119.750	-119.805	-119.764	-120.095	-120.190	-120.207	241.714	241.709	241.603	241.598	241.611	241.644	241.618	241.603	241.681	241.767	241.715	241.664	241.630	241.657	241.629	241.718	241.633	241.578	241.625	241.465	241.714	241.611	241.581	241.581	241.651	241.624	241.632	241.624	241.613	241.599	241.714	241.726	2016_7_15_16_29_10
F2LS3JESHFM5____	-63.668	-63.525	-63.696	-63.742	-63.669	-63.625	-63.703	-63.639	-63.656	-63.552	-63.695	-63.520	-63.603	-63.595	-63.636	-63.691	-63.632	-63.741	-63.631	-64.250	-63.656	-63.707	-64.003	-64.002	-63.636	-63.668	-63.633	-63.670	-63.688	-63.931	-63.620	-63.622	-120.530	-120.225	-120.008	-120.080	-120.008	-120.105	-120.114	-119.905	-120.491	-120.494	-120.525	-119.972	-119.976	-120.115	-120.078	-120.593	-120.043	-119.974	-120.010	-120.364	-120.523	-120.079	-120.469	-120.429	-120.150	-120.076	-120.041	-120.078	-120.057	-120.390	-120.454	-120.496	241.818	241.812	241.705	241.702	241.715	241.751	241.724	241.706	241.815	241.855	241.808	241.764	241.733	241.764	241.741	241.822	241.736	241.682	241.730	241.570	241.822	241.715	241.682	241.674	241.755	241.729	241.735	241.729	241.718	241.693	241.821	241.829	2016_7_15_16_29_14
F2LS3TKDHFM5____	-63.940	-63.790	-63.931	-64.012	-63.903	-63.891	-63.977	-63.868	-63.930	-63.826	-63.964	-63.758	-63.831	-63.871	-63.909	-63.962	-63.872	-64.012	-63.908	-64.493	-63.934	-63.976	-64.281	-64.246	-63.905	-63.968	-63.907	-63.939	-63.949	-64.177	-63.895	-63.862	-120.642	-120.301	-120.092	-120.164	-120.091	-120.222	-120.199	-119.987	-120.605	-120.609	-120.642	-120.058	-120.060	-120.232	-120.162	-120.711	-120.128	-120.055	-120.096	-120.446	-120.614	-120.193	-120.583	-120.509	-120.235	-120.190	-120.127	-120.160	-120.169	-120.475	-120.538	-120.580	241.739	241.728	241.634	241.619	241.645	241.675	241.638	241.637	241.736	241.775	241.731	241.692	241.665	241.684	241.656	241.745	241.664	241.597	241.644	241.496	241.736	241.638	241.602	241.600	241.672	241.640	241.650	241.645	241.643	241.619	241.736	241.756	2016_7_15_16_29_18
F2LS38VQGRXL____	-63.885	-63.733	-63.905	-63.953	-63.875	-63.840	-63.910	-63.840	-63.945	-63.840	-63.980	-63.735	-63.805	-63.875	-63.847	-63.908	-63.850	-63.945	-63.848	-64.464	-63.875	-63.921	-64.221	-64.217	-63.847	-63.879	-63.850	-63.875	-63.929	-64.147	-63.840	-63.836	-120.526	-120.211	-120.003	-120.073	-120.015	-120.103	-120.120	-119.910	-120.505	-120.610	-120.540	-119.980	-119.980	-120.120	-120.071	-120.589	-120.038	-119.980	-120.005	-120.356	-120.540	-120.074	-120.462	-120.420	-120.146	-120.073	-120.036	-120.085	-120.047	-120.382	-120.470	-120.491	241.737	241.732	241.626	241.622	241.640	241.670	241.648	241.632	241.711	241.770	241.705	241.685	241.659	241.661	241.662	241.741	241.654	241.607	241.648	241.489	241.744	241.635	241.600	241.593	241.676	241.650	241.653	241.654	241.626	241.611	241.743	241.748	2016_7_15_16_29_26
F2LS3A8AGRXL____	-63.957	-63.807	-63.976	-64.025	-63.950	-63.910	-64.050	-63.980	-63.944	-63.840	-64.050	-63.805	-63.875	-63.883	-63.950	-63.979	-63.917	-64.085	-63.919	-64.534	-63.945	-63.990	-64.287	-64.288	-63.980	-64.015	-63.919	-63.945	-63.999	-64.216	-63.905	-63.903	-120.274	-119.961	-119.787	-119.857	-119.786	-119.910	-119.910	-119.700	-120.235	-120.330	-120.330	-119.770	-119.770	-119.894	-119.856	-120.338	-119.822	-119.770	-119.790	-120.140	-120.330	-119.857	-120.246	-120.205	-119.945	-119.875	-119.822	-119.875	-119.831	-120.167	-120.198	-120.275	241.661	241.655	241.557	241.553	241.566	241.606	241.554	241.538	241.658	241.715	241.637	241.617	241.591	241.613	241.580	241.665	241.586	241.513	241.579	241.420	241.676	241.566	241.533	241.524	241.587	241.560	241.585	241.586	241.557	241.543	241.665	241.681	2016_7_15_16_29_30
F2LS3HFRHFM5____	-64.075	-63.889	-64.066	-64.144	-64.036	-63.992	-64.107	-64.006	-64.032	-63.924	-64.068	-63.893	-64.010	-64.001	-64.038	-64.064	-64.001	-64.142	-64.001	-64.625	-64.064	-64.081	-64.378	-64.404	-64.036	-64.072	-64.035	-64.041	-64.086	-64.309	-64.019	-63.993	-120.511	-120.170	-119.960	-120.061	-119.956	-120.054	-120.095	-119.853	-120.443	-120.474	-120.477	-119.925	-119.923	-120.096	-120.058	-120.546	-119.993	-119.954	-119.959	-120.347	-120.475	-120.029	-120.420	-120.407	-120.129	-120.057	-120.022	-120.028	-120.037	-120.343	-120.432	-120.449	242.338	242.339	242.232	242.223	242.243	242.278	242.243	242.233	242.340	242.386	242.334	242.290	242.246	242.283	242.262	242.349	242.263	242.203	242.256	242.102	242.335	242.240	242.208	242.195	242.277	242.249	242.256	242.255	242.240	242.218	242.343	242.356	2016_7_15_16_29_33
F2LS3KLTHFM5____	-63.665	-63.461	-63.644	-63.735	-63.595	-63.563	-63.700	-63.630	-63.601	-63.500	-63.700	-63.458	-63.525	-63.595	-63.630	-63.630	-63.560	-63.735	-63.630	-64.234	-63.608	-63.652	-63.952	-63.945	-63.630	-63.665	-63.630	-63.595	-63.662	-63.875	-63.630	-63.598	-120.610	-120.278	-120.034	-120.155	-120.085	-120.163	-120.190	-119.980	-120.551	-120.585	-120.610	-120.031	-120.050	-120.260	-120.225	-120.680	-120.120	-120.050	-120.085	-120.423	-120.558	-120.137	-120.526	-120.483	-120.225	-120.155	-120.190	-120.155	-120.112	-120.447	-120.540	-120.559	242.509	242.520	242.404	242.394	242.432	242.459	242.414	242.398	242.521	242.566	242.496	242.473	242.451	242.467	242.447	242.536	242.452	242.373	242.419	242.261	242.520	242.421	242.387	242.380	242.447	242.420	242.440	242.446	242.412	242.399	242.509	242.524	2016_7_15_16_29_36
F2LS30UNGRX8____	-63.954	-63.797	-63.976	-64.023	-63.949	-63.903	-64.050	-63.915	-63.938	-63.841	-63.980	-63.769	-63.882	-63.875	-63.915	-63.978	-63.913	-64.021	-63.914	-64.534	-63.947	-63.986	-64.284	-64.250	-63.915	-63.950	-63.912	-63.951	-63.992	-64.212	-63.907	-63.896	-120.333	-120.026	-119.810	-119.882	-119.808	-119.905	-119.980	-119.706	-120.295	-120.336	-120.334	-119.777	-119.777	-119.949	-119.879	-120.407	-119.846	-119.775	-119.811	-120.170	-120.339	-119.878	-120.304	-120.232	-119.989	-119.880	-119.843	-119.879	-119.887	-120.194	-120.259	-120.303	242.348	242.345	242.236	242.232	242.245	242.282	242.242	242.238	242.346	242.390	242.338	242.306	242.264	242.301	242.272	242.353	242.266	242.212	242.259	242.100	242.351	242.246	242.219	242.218	242.294	242.259	242.266	242.259	242.245	242.224	242.350	242.363	2016_7_15_16_29_39
F2LS39Q6GRXL____	-63.945	-63.737	-63.920	-63.965	-63.875	-63.843	-63.910	-63.840	-63.945	-63.840	-63.980	-63.736	-63.805	-63.875	-63.852	-63.980	-63.840	-64.015	-63.850	-64.476	-63.945	-63.910	-64.228	-64.225	-63.856	-63.945	-63.850	-63.875	-63.947	-64.153	-63.840	-63.843	-120.540	-120.208	-120.003	-120.074	-120.015	-120.099	-120.120	-119.910	-120.505	-120.540	-120.610	-119.968	-119.980	-120.120	-120.073	-120.610	-120.050	-119.980	-120.006	-120.358	-120.540	-120.085	-120.459	-120.420	-120.144	-120.085	-120.037	-120.085	-120.050	-120.382	-120.470	-120.487	241.718	241.729	241.621	241.618	241.640	241.668	241.648	241.632	241.711	241.757	241.718	241.682	241.659	241.661	241.660	241.718	241.660	241.581	241.647	241.485	241.718	241.641	241.597	241.590	241.672	241.628	241.654	241.654	241.620	241.609	241.743	241.745	2016_7_15_16_29_42
