SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-63.015	-62.984	-62.910	-62.947	-62.957	-62.910	-62.878	-62.947	-62.910	-62.947	-62.957	-62.911	-62.946	-62.868	-62.910	-62.868	-62.911	-62.876	-62.910	-62.959	-62.868	-62.874	-62.910	-62.948	-62.910	-62.910	-62.959	-62.910	-62.957	-62.959	-62.959	-62.876	-94.246	-94.241	-94.209	-94.283	-94.214	-94.247	-94.217	-94.241	-94.247	-94.241	-94.214	-94.243	-94.208	-94.245	-94.283	-94.245	-94.243	-94.251	-94.283	-94.300	-94.245	-94.283	-94.283	-94.247	-94.209	-94.209	-94.300	-94.209	-94.214	-94.300	-94.331	-94.251	236.181	236.192	236.214	236.219	236.196	236.225	236.230	236.208	236.225	236.208	236.196	236.224	236.199	236.242	236.235	236.242	236.224	236.240	236.235	236.219	236.242	236.250	236.235	236.209	236.214	236.214	236.219	236.214	236.196	236.219	236.228	236.240	2016_7_15_15_54_36
F2LS3HFBHFM5____	-62.751	-62.717	-62.635	-62.678	-62.642	-62.645	-62.562	-62.678	-62.645	-62.678	-62.642	-62.638	-62.677	-62.594	-62.595	-62.594	-62.638	-62.654	-62.595	-62.644	-62.594	-62.562	-62.595	-62.679	-62.635	-62.635	-62.644	-62.635	-62.642	-62.644	-62.647	-62.654	-94.372	-94.373	-94.340	-94.408	-94.341	-94.377	-94.342	-94.371	-94.377	-94.371	-94.341	-94.378	-94.338	-94.375	-94.413	-94.375	-94.378	-94.381	-94.413	-94.379	-94.375	-94.415	-94.413	-94.375	-94.340	-94.340	-94.379	-94.340	-94.341	-94.379	-94.413	-94.381	236.277	236.292	236.317	236.318	236.315	236.323	236.349	236.308	236.323	236.308	236.315	236.326	236.299	236.344	236.355	236.344	236.326	236.321	236.355	236.324	236.344	236.369	236.355	236.308	236.317	236.317	236.324	236.317	236.315	236.324	236.332	236.321	2016_7_15_15_54_41
F2LS3JESHFM5____	-63.148	-63.075	-62.996	-63.039	-63.001	-63.002	-62.964	-63.038	-63.002	-63.038	-63.001	-62.997	-63.037	-62.997	-62.998	-62.997	-62.997	-62.964	-62.998	-63.043	-62.997	-62.963	-62.998	-63.040	-62.996	-62.996	-63.043	-62.996	-63.001	-63.043	-63.049	-62.964	-94.218	-94.213	-94.141	-94.253	-94.185	-94.218	-94.189	-94.212	-94.218	-94.212	-94.185	-94.218	-94.177	-94.219	-94.259	-94.219	-94.218	-94.228	-94.259	-94.227	-94.219	-94.262	-94.259	-94.218	-94.141	-94.141	-94.227	-94.141	-94.185	-94.227	-94.300	-94.228	236.086	236.116	236.129	236.142	236.139	236.148	236.155	236.131	236.148	236.131	236.139	236.150	236.121	236.150	236.161	236.150	236.150	236.166	236.161	236.133	236.150	236.176	236.161	236.132	236.129	236.129	236.133	236.129	236.139	236.133	236.151	236.166	2016_7_15_15_54_45
F2LS3TKDHFM5____	-63.367	-63.335	-63.215	-63.296	-63.259	-63.220	-63.181	-63.258	-63.220	-63.258	-63.259	-63.215	-63.256	-63.213	-63.256	-63.213	-63.215	-63.179	-63.256	-63.221	-63.213	-63.178	-63.256	-63.297	-63.215	-63.215	-63.221	-63.215	-63.259	-63.221	-63.222	-63.179	-94.367	-94.334	-94.302	-94.406	-94.337	-94.368	-94.305	-94.331	-94.368	-94.331	-94.337	-94.336	-94.301	-94.369	-94.407	-94.369	-94.336	-94.370	-94.407	-94.370	-94.369	-94.404	-94.407	-94.373	-94.302	-94.302	-94.370	-94.302	-94.337	-94.370	-94.404	-94.370	236.119	236.123	236.164	236.159	236.156	236.180	236.179	236.154	236.180	236.154	236.156	236.174	236.146	236.184	236.176	236.184	236.174	236.198	236.176	236.181	236.184	236.208	236.176	236.150	236.164	236.164	236.181	236.164	236.156	236.181	236.190	236.198	2016_7_15_15_54_48
F2LS38VQGRXL____	-62.954	-62.922	-62.853	-62.885	-62.846	-62.847	-62.819	-62.886	-62.847	-62.886	-62.846	-62.848	-62.883	-62.852	-62.852	-62.852	-62.848	-62.855	-62.852	-62.847	-62.852	-62.854	-62.852	-62.886	-62.853	-62.853	-62.847	-62.853	-62.846	-62.847	-62.849	-62.855	-94.231	-94.190	-94.192	-94.270	-94.198	-94.233	-94.159	-94.228	-94.233	-94.228	-94.198	-94.229	-94.196	-94.231	-94.267	-94.231	-94.229	-94.242	-94.267	-94.238	-94.231	-94.274	-94.267	-94.235	-94.192	-94.192	-94.238	-94.192	-94.198	-94.238	-94.273	-94.242	236.254	236.256	236.286	236.294	236.290	236.299	236.290	236.281	236.299	236.281	236.290	236.298	236.274	236.297	236.307	236.297	236.298	236.298	236.307	236.301	236.297	236.308	236.307	236.284	236.286	236.286	236.301	236.286	236.290	236.301	236.310	236.298	2016_7_15_15_54_51
F2LS3A8AGRXL____	-62.689	-62.658	-62.587	-62.621	-62.625	-62.586	-62.589	-62.620	-62.586	-62.620	-62.625	-62.588	-62.622	-62.626	-62.622	-62.626	-62.588	-62.590	-62.622	-62.627	-62.626	-62.587	-62.622	-62.665	-62.587	-62.587	-62.627	-62.587	-62.625	-62.627	-62.588	-62.590	-94.228	-94.187	-94.194	-94.227	-94.202	-94.229	-94.162	-94.183	-94.229	-94.183	-94.202	-94.229	-94.192	-94.232	-94.230	-94.232	-94.229	-94.238	-94.230	-94.241	-94.232	-94.231	-94.230	-94.240	-94.194	-94.194	-94.241	-94.194	-94.202	-94.241	-94.228	-94.238	236.365	236.366	236.398	236.393	236.385	236.409	236.388	236.381	236.409	236.381	236.385	236.408	236.383	236.393	236.394	236.393	236.408	236.410	236.394	236.395	236.393	236.409	236.394	236.378	236.398	236.398	236.395	236.398	236.385	236.395	236.407	236.410	2016_7_15_15_54_55
F2LS3HFRHFM5____	-63.303	-63.269	-63.196	-63.233	-63.238	-63.196	-63.162	-63.233	-63.196	-63.233	-63.238	-63.198	-63.232	-63.194	-63.196	-63.194	-63.198	-63.160	-63.196	-63.197	-63.194	-63.159	-63.196	-63.232	-63.196	-63.196	-63.197	-63.196	-63.238	-63.197	-63.197	-63.160	-94.325	-94.285	-94.255	-94.325	-94.295	-94.289	-94.262	-94.286	-94.289	-94.286	-94.295	-94.292	-94.254	-94.293	-94.329	-94.293	-94.292	-94.296	-94.329	-94.293	-94.293	-94.329	-94.329	-94.291	-94.255	-94.255	-94.293	-94.255	-94.295	-94.293	-94.329	-94.296	235.935	235.938	235.960	235.964	235.954	235.969	235.976	235.953	235.969	235.953	235.954	235.969	235.945	235.971	235.981	235.971	235.969	235.987	235.981	235.970	235.971	235.996	235.981	235.955	235.960	235.960	235.970	235.960	235.954	235.970	235.980	235.987	2016_7_15_15_54_58
F2LS3KLTHFM5____	-63.246	-63.213	-63.139	-63.176	-63.137	-63.102	-63.102	-63.177	-63.102	-63.177	-63.137	-63.141	-63.177	-63.141	-63.141	-63.141	-63.141	-63.102	-63.141	-63.140	-63.141	-63.067	-63.141	-63.176	-63.139	-63.139	-63.140	-63.139	-63.137	-63.140	-63.142	-63.102	-94.340	-94.303	-94.308	-94.382	-94.273	-94.345	-94.279	-94.341	-94.345	-94.341	-94.273	-94.344	-94.272	-94.345	-94.348	-94.345	-94.344	-94.313	-94.348	-94.310	-94.345	-94.382	-94.348	-94.346	-94.308	-94.308	-94.310	-94.308	-94.273	-94.310	-94.384	-94.313	236.057	236.060	236.093	236.098	236.084	236.118	236.100	236.086	236.118	236.086	236.084	236.102	236.067	236.102	236.103	236.102	236.102	236.110	236.103	236.093	236.102	236.144	236.103	236.088	236.093	236.093	236.093	236.093	236.084	236.093	236.113	236.110	2016_7_15_15_55_02
F2LS30UNGRX8____	-63.120	-63.129	-63.012	-63.090	-63.052	-63.053	-62.975	-63.090	-63.053	-63.090	-63.052	-63.013	-63.090	-63.011	-63.010	-63.011	-63.013	-63.011	-63.010	-63.053	-63.011	-63.011	-63.010	-63.090	-63.012	-63.012	-63.053	-63.012	-63.052	-63.053	-63.052	-63.011	-94.302	-94.304	-94.273	-94.343	-94.277	-94.309	-94.275	-94.305	-94.309	-94.305	-94.277	-94.307	-94.274	-94.307	-94.338	-94.307	-94.307	-94.310	-94.338	-94.313	-94.307	-94.344	-94.338	-94.309	-94.273	-94.273	-94.313	-94.273	-94.277	-94.313	-94.347	-94.310	236.161	236.158	236.199	236.185	236.183	236.191	236.215	236.175	236.191	236.175	236.183	236.208	236.166	236.208	236.218	236.208	236.208	236.209	236.218	236.193	236.208	236.219	236.218	236.176	236.199	236.199	236.193	236.199	236.183	236.193	236.202	236.209	2016_7_15_15_55_05
F2LS39Q6GRXL____	-63.379	-63.347	-63.226	-63.307	-63.272	-63.273	-63.193	-63.268	-63.273	-63.268	-63.272	-63.225	-63.308	-63.224	-63.226	-63.224	-63.225	-63.189	-63.226	-63.272	-63.224	-63.231	-63.226	-63.270	-63.226	-63.226	-63.272	-63.226	-63.272	-63.272	-63.273	-63.189	-94.159	-94.122	-94.135	-94.196	-94.129	-94.161	-94.137	-94.122	-94.161	-94.122	-94.129	-94.127	-94.125	-94.164	-94.203	-94.164	-94.127	-94.132	-94.203	-94.165	-94.164	-94.199	-94.203	-94.127	-94.135	-94.135	-94.165	-94.135	-94.129	-94.165	-94.195	-94.132	236.021	236.024	236.078	236.062	236.058	236.066	236.093	236.057	236.066	236.057	236.058	236.077	236.042	236.088	236.098	236.088	236.077	236.093	236.098	236.068	236.088	236.095	236.098	236.058	236.078	236.078	236.068	236.078	236.058	236.068	236.076	236.093	2016_7_15_15_55_08
