SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-57.884	-57.810	-57.783	-57.811	-57.811	-57.847	-57.811	-57.811	-57.850	-57.818	-57.811	-57.886	-57.780	-57.815	-57.851	-57.781	-57.741	-57.851	-57.810	-57.780	-57.885	-57.883	-57.820	-57.810	-57.740	-57.852	-57.781	-57.846	-57.784	-57.882	-57.882	-57.884	-57.952	-57.878	-57.987	-57.986	-57.914	-57.987	-57.984	-57.950	-58.058	-57.951	-57.914	-57.950	-57.987	-57.915	-58.060	-57.915	-57.986	-57.916	-58.021	-57.879	-58.019	-57.918	-58.024	-57.915	-57.875	-57.918	-57.951	-57.912	-57.953	-57.846	-57.988	-57.952	224.697	224.697	224.764	224.749	224.714	224.732	224.749	224.731	224.766	224.729	224.714	224.695	224.765	224.713	224.766	224.729	224.784	224.695	224.768	224.712	224.729	224.680	224.764	224.715	224.730	224.695	224.747	224.696	224.747	224.645	224.716	224.697	2016_7_15_15_57_56
F2LS3HFBHFM5____	-57.700	-57.628	-57.629	-57.627	-57.627	-57.662	-57.659	-57.626	-57.693	-57.664	-57.627	-57.695	-57.627	-57.665	-57.665	-57.597	-57.588	-57.659	-57.629	-57.598	-57.727	-57.699	-57.696	-57.660	-57.562	-57.700	-57.597	-57.665	-57.659	-57.700	-57.730	-57.700	-57.974	-57.906	-58.010	-58.008	-57.941	-58.009	-58.043	-57.973	-58.078	-57.976	-57.941	-57.971	-58.011	-57.935	-58.082	-57.939	-58.043	-57.939	-58.077	-57.906	-58.075	-57.976	-58.046	-57.976	-57.902	-57.941	-57.976	-57.939	-57.977	-57.906	-58.009	-57.974	224.799	224.801	224.852	224.852	224.818	224.835	224.853	224.835	224.854	224.818	224.818	224.799	224.853	224.797	224.869	224.833	224.888	224.802	224.885	224.815	224.835	224.800	224.836	224.820	224.832	224.782	224.851	224.799	224.821	224.765	224.801	224.799	2016_7_15_15_57_59
F2LS3JESHFM5____	-57.925	-57.817	-57.818	-57.818	-57.819	-57.856	-57.854	-57.819	-57.857	-57.891	-57.819	-57.892	-57.785	-57.818	-57.856	-57.783	-57.744	-57.852	-57.856	-57.783	-57.893	-57.856	-57.854	-57.851	-57.748	-57.891	-57.785	-57.854	-57.816	-57.922	-57.890	-57.925	-57.884	-57.815	-57.919	-57.919	-57.853	-57.920	-57.959	-57.885	-58.034	-57.873	-57.853	-57.885	-57.923	-57.835	-58.030	-57.837	-57.921	-57.837	-57.993	-57.802	-57.953	-57.850	-57.956	-57.890	-57.816	-57.849	-57.874	-57.893	-57.923	-57.778	-57.920	-57.884	224.642	224.662	224.713	224.713	224.680	224.695	224.715	224.696	224.751	224.654	224.680	224.660	224.731	224.672	224.749	224.690	224.751	224.656	224.731	224.673	224.693	224.660	224.713	224.682	224.696	224.642	224.707	224.683	224.716	224.592	224.678	224.642	2016_7_15_15_59_34
F2LS3TKDHFM5____	-58.017	-57.939	-57.942	-57.941	-57.940	-57.978	-57.941	-57.940	-57.986	-57.980	-57.940	-58.023	-57.909	-57.943	-57.982	-57.909	-57.870	-57.951	-57.940	-57.909	-58.021	-58.015	-58.016	-57.941	-57.870	-58.016	-57.910	-57.975	-57.942	-58.014	-58.010	-58.017	-58.118	-58.045	-58.152	-58.149	-58.080	-58.151	-58.152	-58.114	-58.252	-58.118	-58.080	-58.116	-58.152	-58.081	-58.252	-58.080	-58.151	-58.081	-58.214	-58.045	-58.215	-58.113	-58.189	-58.081	-58.044	-58.083	-58.116	-58.082	-58.146	-58.042	-58.180	-58.118	224.713	224.715	224.766	224.766	224.732	224.748	224.767	224.748	224.794	224.731	224.732	224.709	224.783	224.731	224.796	224.748	224.802	224.727	224.798	224.730	224.759	224.711	224.748	224.733	224.749	224.696	224.765	224.715	224.764	224.677	224.747	224.713	2016_7_15_15_58_06
F2LS38VQGRXL____	-57.840	-57.798	-57.768	-57.800	-57.764	-57.836	-57.766	-57.800	-57.803	-57.803	-57.764	-57.871	-57.733	-57.768	-57.804	-57.735	-57.726	-57.803	-57.765	-57.734	-57.871	-57.838	-57.804	-57.798	-57.695	-57.840	-57.736	-57.802	-57.767	-57.838	-57.838	-57.840	-58.009	-57.938	-58.011	-58.041	-57.940	-58.011	-58.042	-58.007	-58.079	-58.008	-57.940	-58.009	-58.012	-57.942	-58.082	-57.942	-58.041	-57.940	-58.043	-57.907	-58.076	-57.974	-58.049	-57.972	-57.903	-57.972	-58.010	-57.941	-57.977	-57.905	-58.044	-58.009	224.747	224.732	224.784	224.782	224.750	224.750	224.799	224.766	224.799	224.764	224.750	224.731	224.801	224.749	224.800	224.765	224.818	224.731	224.801	224.748	224.764	224.730	224.784	224.749	224.766	224.729	224.798	224.732	224.767	224.696	224.765	224.747	2016_7_15_15_58_09
F2LS3A8AGRXL____	-57.897	-57.822	-57.826	-57.821	-57.822	-57.857	-57.822	-57.821	-57.858	-57.826	-57.822	-57.892	-57.759	-57.826	-57.863	-57.792	-57.752	-57.858	-57.821	-57.759	-57.894	-57.926	-57.863	-57.822	-57.754	-57.896	-57.761	-57.857	-57.791	-57.893	-57.893	-57.897	-57.753	-57.715	-57.787	-57.786	-57.716	-57.788	-57.787	-57.750	-57.893	-57.753	-57.716	-57.753	-57.788	-57.757	-57.891	-57.758	-57.787	-57.717	-57.857	-57.681	-57.856	-57.753	-57.856	-57.717	-57.681	-57.718	-57.753	-57.751	-57.753	-57.647	-57.789	-57.753	224.592	224.610	224.644	224.646	224.611	224.628	224.646	224.628	224.680	224.627	224.611	224.594	224.678	224.628	224.677	224.646	224.680	224.593	224.681	224.624	224.644	224.577	224.660	224.611	224.627	224.575	224.659	224.610	224.644	224.541	224.611	224.592	2016_7_15_15_58_13
F2LS3HFRHFM5____	-58.086	-58.046	-58.015	-58.049	-58.049	-58.051	-58.012	-58.049	-58.056	-58.051	-58.049	-58.090	-57.982	-58.017	-58.054	-57.984	-57.941	-58.054	-58.049	-57.983	-58.090	-58.086	-58.053	-58.011	-57.912	-58.086	-57.983	-58.047	-58.015	-58.085	-58.085	-58.086	-57.942	-57.871	-57.942	-57.976	-57.908	-57.976	-57.975	-57.940	-58.052	-57.907	-57.908	-57.909	-57.978	-57.907	-58.049	-57.873	-57.942	-57.875	-58.011	-57.870	-58.011	-57.909	-58.014	-57.906	-57.830	-57.906	-57.908	-57.905	-57.907	-57.835	-57.977	-57.942	225.266	225.251	225.301	225.301	225.267	225.300	225.319	225.283	225.335	225.266	225.267	225.248	225.335	225.283	225.335	225.282	225.337	225.248	225.319	225.281	225.298	225.249	225.318	225.285	225.296	225.248	225.300	225.266	225.283	225.213	225.284	225.266	2016_7_15_15_58_16
F2LS3KLTHFM5____	-57.817	-57.742	-57.747	-57.782	-57.781	-57.819	-57.745	-57.781	-57.789	-57.782	-57.781	-57.822	-57.714	-57.748	-57.786	-57.714	-57.709	-57.787	-57.781	-57.712	-57.859	-57.816	-57.785	-57.779	-57.673	-57.816	-57.715	-57.814	-57.747	-57.815	-57.854	-57.817	-58.090	-58.015	-58.126	-58.122	-58.053	-58.124	-58.124	-58.086	-58.199	-58.089	-58.053	-58.088	-58.126	-58.055	-58.198	-58.056	-58.124	-58.053	-58.159	-58.021	-58.158	-58.056	-58.163	-58.054	-58.016	-58.054	-58.056	-58.052	-58.091	-57.985	-58.124	-58.090	225.472	225.472	225.524	225.505	225.472	225.487	225.524	225.488	225.540	225.489	225.472	225.469	225.541	225.489	225.540	225.506	225.543	225.469	225.524	225.490	225.485	225.456	225.524	225.473	225.507	225.455	225.506	225.455	225.507	225.421	225.471	225.472	2016_7_15_15_58_19
F2LS30UNGRX8____	-58.029	-57.987	-57.959	-57.988	-57.879	-58.026	-57.988	-57.988	-57.997	-58.028	-57.879	-58.030	-57.924	-57.992	-58.030	-57.926	-57.918	-57.994	-57.988	-57.891	-58.032	-58.063	-58.029	-57.986	-57.919	-58.029	-57.925	-58.023	-57.992	-57.995	-58.060	-58.029	-58.028	-57.954	-58.063	-58.060	-57.991	-58.060	-58.057	-58.025	-58.131	-58.023	-57.991	-58.023	-58.063	-57.991	-58.129	-57.994	-58.059	-57.990	-58.096	-57.919	-58.094	-57.990	-58.096	-57.990	-57.949	-57.992	-58.028	-57.991	-58.028	-57.921	-58.060	-58.028	225.336	225.321	225.389	225.373	225.392	225.354	225.371	225.355	225.403	225.335	225.392	225.334	225.406	225.337	225.386	225.371	225.406	225.335	225.390	225.351	225.367	225.301	225.370	225.339	225.352	225.319	225.388	225.321	225.355	225.301	225.337	225.336	2016_7_15_15_58_22
F2LS39Q6GRXL____	-57.827	-57.788	-57.758	-57.789	-57.789	-57.791	-57.755	-57.756	-57.792	-57.792	-57.789	-57.861	-57.723	-57.758	-57.793	-57.724	-57.722	-57.791	-57.788	-57.725	-57.862	-57.827	-57.793	-57.787	-57.719	-57.826	-57.724	-57.822	-57.758	-57.826	-57.825	-57.827	-58.040	-57.968	-58.075	-58.071	-58.002	-58.073	-58.074	-58.036	-58.144	-58.039	-58.002	-58.038	-58.075	-58.003	-58.145	-58.002	-58.109	-58.004	-58.107	-57.968	-58.107	-58.004	-58.110	-58.003	-57.965	-58.005	-58.039	-58.002	-58.040	-57.932	-58.073	-58.040	224.768	224.752	224.819	224.802	224.769	224.803	224.820	224.801	224.837	224.785	224.769	224.751	224.837	224.784	224.837	224.801	224.854	224.768	224.820	224.784	224.784	224.751	224.820	224.770	224.785	224.751	224.819	224.752	224.803	224.716	224.786	224.768	2016_7_15_15_58_25
