SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	15.820	-44.914	-44.947	-44.878	-44.777	-44.812	-44.776	-44.943	-44.707	-45.045	-44.765	-44.870	-44.660	-44.590	-44.240	-44.275	-43.485	-43.925	-43.935	-44.240	-43.872	-44.695	-43.785	-43.792	-43.890	-43.765	-43.735	-43.734	-43.680	-43.834	-43.960	-44.030	15.505	-122.072	-121.998	-122.179	-122.176	-122.320	-122.393	-122.524	-122.036	-122.255	-122.500	-122.535	-122.675	-122.605	-122.745	-122.710	-123.039	-122.850	-122.426	-123.060	-123.097	-122.220	-123.165	-123.138	-123.095	-123.244	-123.270	-123.379	-123.375	-123.099	-122.955	-123.095	44.551	249.927	249.902	249.958	249.999	250.006	250.032	249.983	250.007	249.900	250.053	250.015	250.123	250.141	250.306	250.287	250.662	250.452	250.385	250.353	250.511	250.040	250.557	250.549	250.503	250.576	250.593	250.609	250.631	250.527	250.453	250.445	2016_7_15_16_24_22
F2LS3HFBHFM5____	15.890	-44.835	-44.870	-44.800	-44.695	-44.730	-44.695	-44.800	-44.625	-44.975	-44.625	-44.800	-44.520	-44.464	-44.170	-44.135	-43.411	-43.855	-43.855	-44.110	-43.808	-44.555	-43.715	-43.715	-43.808	-43.750	-43.671	-43.680	-43.610	-43.750	-43.890	-43.960	15.505	-122.080	-122.045	-122.182	-122.220	-122.325	-122.395	-122.500	-122.080	-122.255	-122.500	-122.535	-122.675	-122.564	-122.745	-122.710	-123.032	-122.920	-122.430	-123.061	-123.095	-122.220	-123.165	-123.130	-123.092	-123.235	-123.269	-123.375	-123.375	-123.095	-123.025	-123.095	44.424	249.960	249.940	249.990	250.039	250.040	250.066	250.038	250.047	249.929	250.110	250.043	250.180	250.186	250.335	250.344	250.691	250.491	250.418	250.407	250.536	250.097	250.585	250.580	250.536	250.581	250.618	250.630	250.659	250.560	250.492	250.473	2016_7_15_16_24_27
F2LS3JESHFM5____	15.820	-44.622	-44.656	-44.586	-44.484	-44.517	-44.480	-44.618	-44.413	-44.759	-44.417	-44.519	-44.341	-44.243	-43.891	-43.924	-43.187	-43.574	-43.643	-43.887	-43.538	-44.342	-43.430	-43.455	-43.536	-43.470	-43.394	-43.396	-43.326	-43.539	-43.607	-43.676	15.505	-122.070	-122.028	-122.176	-122.208	-122.315	-122.385	-122.487	-122.068	-122.239	-122.488	-122.524	-122.662	-122.560	-122.697	-122.700	-123.015	-122.839	-122.419	-123.050	-123.048	-122.208	-123.156	-123.122	-123.081	-123.235	-123.255	-123.364	-123.368	-123.088	-122.945	-123.087	44.551	250.047	250.027	250.078	250.125	250.128	250.153	250.111	250.134	250.016	250.195	250.158	250.252	250.278	250.444	250.431	250.782	250.596	250.505	250.498	250.641	250.184	250.702	250.687	250.647	250.697	250.731	250.746	250.776	250.647	250.598	250.590	2016_7_15_16_25_03
F2LS3TKDHFM5____	15.750	-44.973	-45.008	-44.937	-44.835	-44.869	-44.835	-44.940	-44.766	-45.113	-44.768	-44.872	-44.660	-44.593	-44.310	-44.280	-43.546	-43.933	-43.998	-44.245	-43.894	-44.696	-43.785	-43.848	-43.895	-43.820	-43.757	-43.755	-43.687	-43.896	-44.030	-44.033	15.505	-122.072	-122.031	-122.179	-122.210	-122.318	-122.392	-122.496	-122.035	-122.244	-122.490	-122.529	-122.675	-122.560	-122.745	-122.703	-123.026	-122.847	-122.424	-123.058	-123.096	-122.212	-123.165	-123.129	-123.090	-123.235	-123.268	-123.377	-123.380	-123.096	-122.955	-123.096	44.678	249.903	249.882	249.934	249.981	249.983	250.008	249.981	249.983	249.871	250.051	250.014	250.123	250.134	250.278	250.284	250.635	250.449	250.359	250.351	250.502	250.039	250.557	250.526	250.501	250.553	250.584	250.600	250.629	250.501	250.425	250.445	2016_7_15_16_25_10
F2LS38VQGRXL____	15.750	-44.970	-45.006	-44.934	-44.835	-44.870	-44.836	-44.943	-44.763	-45.115	-44.776	-44.909	-44.667	-44.600	-44.310	-44.280	-43.546	-43.995	-43.997	-44.248	-43.894	-44.695	-43.790	-43.852	-43.933	-43.890	-43.756	-43.820	-43.750	-43.895	-44.030	-44.072	15.505	-121.998	-121.920	-122.104	-122.150	-122.209	-122.281	-122.386	-121.956	-122.185	-122.379	-122.452	-122.556	-122.483	-122.675	-122.593	-122.957	-122.780	-122.353	-122.986	-123.023	-122.150	-123.098	-123.057	-123.012	-123.165	-123.194	-123.305	-123.305	-123.023	-122.885	-123.019	44.678	249.893	249.866	249.924	249.972	249.966	249.991	249.963	249.972	249.861	250.031	249.987	250.102	250.119	250.268	250.268	250.625	250.413	250.349	250.340	250.491	250.030	250.545	250.514	250.473	250.514	250.573	250.563	250.592	250.491	250.415	250.417	2016_7_15_16_25_16
F2LS3A8AGRXL____	16.100	-44.707	-44.740	-44.706	-44.567	-44.603	-44.603	-44.711	-44.555	-44.905	-44.503	-44.607	-44.433	-44.365	-43.978	-44.065	-43.314	-43.661	-43.728	-44.100	-43.665	-44.485	-43.575	-43.581	-43.668	-43.598	-43.492	-43.526	-43.455	-43.680	-43.750	-43.802	15.505	-122.025	-121.983	-122.128	-122.160	-122.269	-122.372	-122.442	-122.080	-122.255	-122.443	-122.479	-122.618	-122.547	-122.686	-122.710	-123.006	-122.798	-122.410	-123.060	-123.039	-122.220	-123.165	-123.112	-123.037	-123.180	-123.216	-123.356	-123.357	-123.095	-122.955	-123.077	44.046	250.003	249.983	250.019	250.081	250.083	250.099	250.064	250.074	249.956	250.150	250.113	250.206	250.223	250.404	250.371	250.726	250.552	250.467	250.409	250.585	250.124	250.641	250.631	250.584	250.634	250.683	250.689	250.719	250.587	250.538	250.534	2016_7_15_16_25_21
F2LS3HQHHFM5____	15.890	-44.974	-45.008	-44.935	-44.797	-44.902	-44.835	-44.942	-44.765	-45.144	-44.770	-44.872	-44.666	-44.596	-44.240	-44.312	-43.544	-43.925	-43.995	-44.310	-43.890	-44.696	-43.785	-43.845	-43.891	-43.820	-43.750	-43.750	-43.681	-43.890	-43.962	-44.035	15.505	-122.034	-121.993	-122.170	-122.171	-122.306	-122.380	-122.451	-122.028	-122.233	-122.450	-122.519	-122.627	-122.553	-122.745	-122.690	-123.015	-122.850	-122.418	-123.060	-123.083	-122.168	-123.165	-123.117	-123.081	-123.235	-123.270	-123.365	-123.366	-123.095	-122.946	-123.051	44.424	249.895	249.875	249.932	249.990	249.967	250.005	249.972	249.981	249.855	250.043	250.011	250.112	250.130	250.306	250.268	250.634	250.452	250.358	250.324	250.500	250.031	250.556	250.524	250.500	250.552	250.586	250.600	250.628	250.502	250.451	250.436	2016_7_15_16_25_52
F2LS3KLTHFM5____	15.680	-44.787	-44.823	-44.720	-44.617	-44.652	-44.617	-44.756	-44.555	-44.893	-44.555	-44.656	-44.476	-44.377	-44.030	-44.135	-43.400	-43.714	-43.785	-44.028	-43.680	-44.476	-43.575	-43.597	-43.750	-43.680	-43.541	-43.547	-43.471	-43.680	-43.750	-43.820	15.505	-122.137	-122.096	-122.243	-122.275	-122.349	-122.453	-122.556	-122.150	-122.308	-122.570	-122.593	-122.728	-122.626	-122.815	-122.780	-123.095	-122.906	-122.500	-123.121	-123.165	-122.274	-123.235	-123.189	-123.165	-123.305	-123.325	-123.397	-123.438	-123.165	-123.025	-123.165	44.806	249.990	249.969	250.034	250.081	250.078	250.108	250.066	250.088	249.972	250.151	250.113	250.208	250.233	250.405	250.356	250.707	250.549	250.460	250.451	250.601	250.140	250.655	250.639	250.572	250.622	250.682	250.690	250.727	250.601	250.552	250.543	2016_7_15_16_25_34
F2LS30UNGRX8____	15.890	-44.780	-44.848	-44.779	-44.642	-44.709	-44.673	-44.747	-44.605	-44.918	-44.610	-44.712	-44.469	-44.437	-44.083	-44.085	-43.386	-43.731	-43.801	-44.050	-43.734	-44.502	-43.629	-43.655	-43.735	-43.659	-43.559	-43.593	-43.524	-43.695	-43.769	-43.838	15.505	-121.946	-121.904	-122.051	-122.085	-122.188	-122.258	-122.366	-121.940	-122.116	-122.361	-122.397	-122.542	-122.462	-122.598	-122.571	-122.885	-122.721	-122.296	-122.928	-122.955	-122.083	-123.026	-122.996	-122.951	-123.128	-123.135	-123.237	-123.238	-122.962	-122.825	-122.965	44.424	249.962	249.928	249.979	250.041	250.029	250.054	250.040	250.034	249.931	250.095	250.059	250.181	250.182	250.349	250.344	250.680	250.513	250.421	250.411	250.546	250.098	250.600	250.585	250.545	250.602	250.645	250.646	250.675	250.563	250.513	250.505	2016_7_15_16_27_06
F2LS39Q6GRXL____	15.610	-45.112	-45.146	-45.076	-44.975	-45.006	-44.972	-45.076	-44.902	-45.250	-44.915	-45.016	-44.850	-44.738	-44.450	-44.415	-43.683	-44.067	-44.135	-44.450	-44.030	-44.865	-43.925	-43.950	-44.100	-43.960	-43.960	-43.890	-43.820	-44.030	-44.170	-44.205	15.505	-121.969	-121.959	-122.106	-122.150	-122.244	-122.313	-122.419	-121.995	-122.168	-122.385	-122.420	-122.597	-122.489	-122.675	-122.640	-122.947	-122.770	-122.360	-122.990	-123.012	-122.135	-123.095	-123.052	-123.025	-123.165	-123.200	-123.294	-123.297	-123.025	-122.885	-123.012	44.935	249.831	249.815	249.867	249.915	249.917	249.941	249.914	249.922	249.804	249.976	249.939	250.034	250.064	250.211	250.220	250.568	250.383	250.294	250.258	250.434	249.958	250.490	250.473	250.408	250.486	250.491	250.534	250.563	250.436	250.358	250.362	2016_7_15_16_25_43
F2LS3BDVGRXL____	15.820	-44.716	-44.786	-44.711	-44.609	-44.648	-44.612	-44.719	-44.540	-44.891	-44.550	-44.651	-44.440	-44.373	-44.021	-44.056	-43.326	-43.707	-43.738	-44.020	-43.673	-44.438	-43.575	-43.591	-43.673	-43.601	-43.531	-43.534	-43.464	-43.680	-43.750	-43.813	15.505	-122.093	-122.052	-122.229	-122.259	-122.336	-122.408	-122.512	-122.089	-122.262	-122.509	-122.547	-122.687	-122.614	-122.753	-122.722	-123.035	-122.858	-122.439	-123.072	-123.107	-122.232	-123.235	-123.146	-123.101	-123.245	-123.309	-123.386	-123.387	-123.095	-123.025	-123.106	44.551	250.012	249.976	250.034	250.081	250.077	250.102	250.074	250.084	249.965	250.143	250.107	250.215	250.232	250.398	250.379	250.727	250.543	250.469	250.446	250.594	250.148	250.654	250.634	250.593	250.644	250.683	250.693	250.722	250.590	250.550	250.536	2016_7_15_16_25_47
F2LS3MG9HFM5____	15.820	-44.695	-44.675	-44.660	-44.501	-44.660	-44.501	-44.607	-44.485	-44.779	-44.485	-44.578	-44.368	-44.260	-43.960	-43.995	-43.260	-43.597	-43.661	-43.960	-43.599	-44.362	-43.505	-43.518	-43.601	-43.540	-43.465	-43.470	-43.400	-43.563	-43.680	-43.750	15.505	-122.010	-121.912	-122.115	-122.087	-122.255	-122.269	-122.376	-122.010	-122.123	-122.360	-122.406	-122.548	-122.475	-122.675	-122.640	-122.955	-122.726	-122.343	-122.990	-122.967	-122.092	-123.095	-123.040	-122.959	-123.165	-123.183	-123.305	-123.305	-122.972	-122.885	-123.025	44.551	250.008	250.001	250.038	250.100	250.059	250.127	250.099	250.095	249.990	250.148	250.116	250.224	250.258	250.412	250.392	250.743	250.570	250.487	250.458	250.604	250.158	250.662	250.648	250.602	250.658	250.691	250.707	250.736	250.620	250.559	250.550	2016_7_15_16_25_57
