SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-8.870	-9.039	-8.892	-8.813	-9.068	-9.059	-8.923	-8.950	-8.816	-8.876	-8.759	-8.896	-8.936	-8.892	-8.916	-8.654	-8.606	-8.892	-8.832	-8.751	-9.037	-9.058	-8.685	-8.559	-8.815	-8.943	-9.206	-8.924	-9.026	-9.440	-8.885	-8.924	117.240	117.641	117.793	117.784	117.393	117.387	117.407	117.035	117.718	117.738	117.108	117.305	117.060	117.816	116.829	117.238	117.523	117.321	117.033	117.312	117.597	117.400	116.775	116.757	117.193	117.190	117.684	117.199	117.351	117.298	117.880	117.137	94.418	94.485	94.408	94.370	94.508	94.504	94.437	94.464	94.374	94.402	94.368	94.428	94.456	94.407	94.455	94.313	94.279	94.425	94.407	94.357	94.485	94.503	94.344	94.284	94.392	94.455	94.564	94.445	94.489	94.692	94.401	94.448	2016_7_15_16_02_18
F2LS3EKPHFM2____	-9.206	-8.892	-9.297	-9.266	-9.150	-9.386	-9.238	-9.220	-8.855	-9.262	-9.131	-9.087	-9.319	-9.490	-8.886	-9.026	-8.880	-9.219	-9.206	-9.038	-9.312	-9.389	-9.195	-8.902	-9.151	-9.136	-9.355	-9.364	-9.597	-9.475	-9.361	-9.171	117.137	117.819	117.207	118.211	117.907	117.620	118.118	117.332	117.946	118.244	118.355	117.811	117.746	117.116	117.686	118.136	117.747	118.026	117.142	117.023	117.828	117.698	117.116	117.055	117.044	117.974	117.709	117.755	117.115	117.481	117.047	117.903	94.275	94.097	94.316	94.263	94.219	94.344	94.253	94.274	94.074	94.260	94.193	94.191	94.306	94.413	94.099	94.150	94.094	94.247	94.275	94.197	94.300	94.342	94.270	94.130	94.251	94.209	94.325	94.328	94.466	94.392	94.353	94.229	2016_7_15_16_02_39
F2LS3KLTHFM5____	-9.001	-8.645	-8.909	-9.071	-8.875	-8.935	-9.062	-8.956	-8.578	-8.813	-8.658	-8.812	-9.120	-9.154	-8.650	-8.624	-8.604	-8.833	-8.994	-8.838	-9.321	-9.003	-8.997	-8.648	-8.774	-8.721	-8.933	-8.930	-9.094	-9.206	-8.962	-9.117	118.086	118.171	117.919	118.631	118.665	117.920	118.009	117.763	119.052	118.063	118.979	118.710	118.098	118.125	117.829	118.907	118.511	117.982	118.296	117.652	117.846	117.871	117.813	117.810	118.321	118.868	118.962	118.003	118.196	118.368	118.063	117.975	94.275	94.100	94.236	94.289	94.193	94.249	94.307	94.265	94.037	94.185	94.078	94.161	94.332	94.347	94.114	94.064	94.068	94.197	94.264	94.212	94.438	94.284	94.283	94.114	94.157	94.112	94.210	94.244	94.315	94.363	94.257	94.335	2016_7_15_16_03_01
F2LS3SMLHFM5____	-9.062	-9.103	-8.957	-9.255	-8.953	-9.063	-8.921	-8.883	-8.734	-9.133	-8.887	-8.953	-9.050	-9.207	-8.770	-8.813	-8.743	-9.069	-9.179	-8.939	-9.174	-9.244	-8.800	-8.552	-8.765	-9.006	-9.156	-8.918	-9.201	-9.273	-8.952	-9.106	117.888	118.156	118.042	117.956	117.986	117.835	118.073	117.822	118.507	117.864	117.973	118.021	118.038	117.874	118.078	118.761	117.904	118.431	118.007	117.959	117.845	118.105	117.566	117.873	117.553	117.794	117.858	118.063	118.066	117.991	118.061	117.909	94.259	94.269	94.203	94.350	94.203	94.261	94.184	94.175	94.079	94.294	94.171	94.201	94.248	94.329	94.111	94.107	94.104	94.242	94.311	94.197	94.314	94.339	94.144	94.013	94.127	94.235	94.305	94.183	94.320	94.357	94.199	94.279	2016_7_15_16_03_16
F2LS38TUGRXL____	-8.848	-8.302	-8.546	-8.856	-8.609	-8.843	-8.638	-8.666	-8.453	-8.664	-8.391	-8.548	-8.972	-8.856	-8.442	-8.367	-8.471	-8.801	-8.785	-8.446	-8.893	-9.074	-8.593	-8.273	-8.446	-8.325	-8.744	-8.437	-8.997	-8.861	-8.789	-8.705	117.117	117.893	118.158	117.998	117.556	117.542	117.837	117.730	118.490	117.898	118.213	117.601	116.872	117.964	117.119	117.715	117.338	117.795	117.118	117.044	117.810	117.874	116.855	117.367	116.576	118.111	117.842	118.184	117.168	117.814	117.689	117.757	94.266	93.974	94.082	94.238	94.134	94.248	94.138	94.155	94.026	94.149	94.006	94.103	94.335	94.239	94.068	94.011	94.075	94.219	94.235	94.073	94.263	94.347	94.151	93.978	94.089	93.977	94.189	94.029	94.336	94.247	94.217	94.174	2016_7_15_16_02_25
F2LS3TKDHFM5____	-9.352	-8.858	-9.427	-9.247	-9.423	-9.351	-9.224	-9.161	-8.835	-9.039	-9.231	-9.191	-9.004	-9.555	-9.083	-9.086	-8.901	-8.981	-9.408	-9.048	-9.279	-9.357	-9.355	-8.550	-8.802	-9.313	-9.229	-9.145	-9.261	-9.674	-9.053	-9.019	117.634	118.356	117.993	117.585	118.001	117.272	117.496	117.981	117.796	117.756	117.644	117.584	118.136	117.415	117.061	117.187	117.739	117.945	117.579	117.661	117.737	117.688	116.708	117.119	117.834	116.950	117.774	117.891	117.633	117.415	117.491	117.106	94.562	94.297	94.585	94.513	94.582	94.576	94.505	94.457	94.306	94.406	94.503	94.486	94.375	94.669	94.454	94.450	94.340	94.371	94.591	94.414	94.523	94.563	94.599	94.192	94.289	94.570	94.497	94.452	94.518	94.727	94.423	94.421	2016_7_15_16_02_42
F2LS3MG9HFM5____	-8.774	-8.492	-8.783	-8.724	-8.832	-8.772	-8.878	-8.452	-8.220	-8.663	-8.722	-8.532	-8.507	-8.747	-8.346	-8.115	-8.512	-8.811	-8.898	-8.654	-8.768	-8.970	-8.640	-8.443	-8.473	-8.385	-8.730	-8.760	-8.863	-9.092	-8.679	-8.553	117.993	118.230	118.694	118.282	118.563	117.892	117.963	118.157	118.718	117.967	117.871	118.424	117.953	117.913	118.213	118.368	118.281	117.627	117.792	118.073	117.960	117.767	117.478	117.519	118.106	118.323	118.112	117.836	118.045	118.008	117.596	118.173	94.283	94.139	94.262	94.249	94.291	94.286	94.334	94.122	93.991	94.230	94.262	94.151	94.156	94.273	94.069	93.952	94.147	94.314	94.351	94.222	94.281	94.386	94.237	94.140	94.134	94.084	94.257	94.282	94.324	94.436	94.251	94.170	2016_7_15_16_03_04
F2LS3BDVGRXL____	-8.941	-8.935	-8.966	-9.085	-9.253	-8.948	-8.917	-8.938	-8.823	-8.893	-9.083	-8.967	-9.124	-9.169	-8.671	-8.903	-8.822	-9.158	-8.944	-8.588	-8.915	-9.068	-8.818	-8.753	-8.958	-8.950	-9.345	-8.988	-9.223	-9.392	-8.896	-9.121	117.457	117.270	117.607	117.798	118.001	117.153	117.901	118.058	117.596	117.361	117.330	117.532	117.664	117.374	117.074	117.715	117.275	117.520	117.332	117.321	117.815	117.560	117.318	117.065	116.834	117.756	117.286	117.693	117.319	117.794	117.826	117.476	94.338	94.341	94.344	94.395	94.469	94.352	94.310	94.314	94.276	94.318	94.411	94.348	94.419	94.452	94.220	94.310	94.287	94.441	94.344	94.171	94.312	94.395	94.283	94.261	94.369	94.331	94.540	94.352	94.480	94.543	94.302	94.424	2016_7_15_16_03_21
F2LS35BZHFM1____	-8.579	-8.587	-8.816	-8.747	-8.605	-8.917	-8.720	-8.827	-8.616	-8.740	-8.614	-8.623	-8.388	-8.822	-8.714	-8.208	-8.208	-8.932	-8.984	-8.544	-8.717	-8.795	-8.668	-8.372	-8.514	-8.613	-8.760	-8.570	-8.819	-8.877	-8.826	-8.381	118.553	117.826	117.875	118.085	118.585	117.887	117.983	117.336	118.080	118.041	118.146	118.081	118.090	118.184	117.660	118.443	117.960	118.405	117.660	118.093	118.033	117.970	117.210	117.332	117.581	118.106	117.983	118.529	118.257	118.162	117.643	117.773	94.106	94.135	94.244	94.203	94.117	94.292	94.194	94.269	94.140	94.201	94.137	94.143	94.030	94.236	94.202	93.931	93.947	94.281	94.333	94.105	94.191	94.230	94.197	94.048	94.108	94.138	94.213	94.102	94.232	94.263	94.257	94.037	2016_7_15_16_07_25
F2LS3HZVHFM5____	-9.055	-8.924	-8.911	-9.163	-9.084	-9.192	-9.129	-8.655	-9.140	-9.096	-9.030	-9.083	-9.141	-9.234	-8.845	-8.709	-8.740	-8.692	-9.210	-8.689	-9.195	-9.203	-8.948	-8.755	-8.769	-9.088	-9.222	-8.976	-9.165	-9.459	-9.019	-9.135	118.481	118.221	118.233	118.093	118.301	118.299	117.932	117.880	117.941	117.926	117.956	118.333	117.836	117.936	118.207	118.415	118.495	118.511	117.760	118.369	117.914	118.048	117.481	117.419	118.244	117.920	118.178	118.717	118.128	118.034	118.588	117.853	94.374	94.320	94.313	94.440	94.394	94.446	94.430	94.203	94.434	94.414	94.381	94.392	94.439	94.480	94.282	94.209	94.221	94.198	94.475	94.201	94.462	94.461	94.359	94.267	94.244	94.410	94.465	94.327	94.440	94.585	94.352	94.435	2016_7_15_16_02_45
