SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-25.569	-25.672	-25.783	-25.318	-25.562	-25.483	-25.392	-25.673	-25.593	-25.554	-25.326	-25.513	-25.748	-25.361	-25.314	-25.190	-25.390	-25.442	-25.719	-25.248	-26.087	-25.511	-25.124	-25.316	-25.520	-25.676	-25.336	-25.676	-25.423	-25.352	-25.508	-25.243	124.980	124.918	124.834	124.777	124.843	124.633	124.830	124.702	124.501	124.640	125.069	124.871	124.901	124.784	124.580	124.700	124.923	124.758	124.942	124.942	125.188	124.825	124.788	124.712	124.542	124.716	124.695	124.716	124.624	125.006	124.503	124.802	101.653	101.704	101.761	101.561	101.663	101.646	101.589	101.724	101.707	101.677	101.539	101.639	101.739	101.579	101.577	101.511	101.580	101.617	101.723	101.515	101.862	101.642	101.474	101.566	101.671	101.724	101.576	101.724	101.621	101.556	101.669	101.525	2016_7_15_14_01_44
F2LS3EKPHFM2____	-25.826	-25.893	-25.611	-25.612	-26.141	-25.594	-25.647	-25.617	-26.090	-25.753	-25.985	-25.846	-26.135	-25.914	-25.714	-25.703	-25.860	-25.766	-26.019	-25.602	-25.830	-25.910	-25.362	-25.526	-25.840	-25.506	-26.090	-25.510	-26.104	-25.947	-25.842	-25.644	125.275	125.258	124.961	124.945	125.133	125.016	124.962	124.934	124.790	124.859	125.237	125.126	125.122	124.695	124.871	124.922	125.117	124.921	125.173	125.037	125.094	125.029	125.105	124.944	124.718	125.210	124.796	125.083	124.749	125.268	124.852	125.073	101.429	101.461	101.363	101.365	101.581	101.351	101.379	101.368	101.590	101.435	101.503	101.452	101.579	101.521	101.417	101.408	101.459	101.435	101.523	101.353	101.448	101.489	101.241	101.328	101.486	101.295	101.589	101.308	101.600	101.483	101.475	101.368	2016_7_15_14_01_48
F2LS3KLTHFM5____	-25.966	-25.954	-25.872	-25.543	-25.973	-25.886	-25.966	-25.624	-25.630	-25.594	-25.992	-25.967	-25.968	-25.931	-25.655	-25.791	-25.956	-26.034	-26.021	-25.720	-26.145	-25.971	-25.175	-25.393	-25.730	-25.467	-25.552	-25.783	-25.630	-25.881	-25.729	-25.943	126.041	126.096	125.901	125.834	125.867	125.722	125.855	125.699	125.554	125.687	126.004	125.800	125.799	125.810	125.611	125.655	125.864	125.730	125.935	125.816	125.866	125.794	125.989	125.762	125.603	125.861	125.625	125.725	125.615	126.009	125.619	125.751	101.557	101.546	101.528	101.390	101.575	101.550	101.573	101.438	101.453	101.426	101.571	101.579	101.579	101.562	101.459	101.515	101.568	101.614	101.590	101.469	101.650	101.581	101.216	101.331	101.493	101.355	101.413	101.505	101.448	101.522	101.491	101.573	2016_7_15_14_02_35
F2LS3SMLHFM5____	-25.696	-25.684	-25.963	-25.464	-24.958	-25.663	-25.629	-25.380	-25.768	-25.525	-26.171	-25.812	-25.391	-25.609	-25.553	-25.766	-25.793	-25.144	-25.636	-25.403	-25.931	-25.703	-25.416	-25.373	-25.891	-25.953	-25.772	-25.953	-25.793	-26.288	-25.528	-26.135	125.971	126.000	125.836	125.708	125.689	125.622	125.750	125.572	125.605	125.622	125.946	125.705	125.627	125.620	125.613	125.659	125.760	125.675	125.998	125.760	125.802	125.510	125.891	125.582	125.422	125.800	125.619	125.800	125.610	126.011	125.551	125.757	101.392	101.385	101.521	101.314	101.094	101.409	101.383	101.289	101.457	101.349	101.602	101.467	101.290	101.386	101.362	101.451	101.454	101.177	101.364	101.283	101.510	101.437	101.277	101.286	101.527	101.520	101.457	101.520	101.467	101.647	101.356	101.603	2016_7_15_14_02_39
F2LS38TUGRXL____	-25.156	-25.157	-25.248	-25.137	-25.153	-25.250	-25.152	-24.954	-25.237	-24.981	-25.443	-25.473	-25.412	-25.591	-25.097	-25.083	-25.254	-24.983	-25.632	-24.910	-25.015	-25.047	-24.811	-24.796	-25.200	-24.686	-25.350	-24.686	-25.372	-25.210	-25.112	-24.955	125.217	125.166	125.019	125.054	125.178	124.967	125.020	124.819	124.845	124.851	125.231	124.965	125.091	124.898	124.800	124.852	125.036	124.886	125.287	125.192	125.211	125.202	125.158	124.863	125.170	124.989	124.850	124.989	124.799	125.315	124.781	124.928	101.305	101.310	101.363	101.311	101.307	101.368	101.321	101.251	101.374	101.260	101.430	101.467	101.429	101.525	101.316	101.305	101.364	101.258	101.508	101.199	101.243	101.258	101.159	101.178	101.329	101.118	101.423	101.118	101.438	101.320	101.324	101.242	2016_7_15_14_02_44
F2LS3TKDHFM5____	-26.056	-26.097	-26.140	-25.640	-26.184	-25.596	-25.924	-25.909	-26.264	-26.220	-25.691	-26.008	-25.935	-26.095	-26.208	-25.430	-26.024	-25.442	-26.125	-25.593	-25.534	-25.874	-25.405	-25.554	-26.126	-25.860	-26.240	-25.860	-26.139	-26.142	-26.187	-25.673	125.395	125.387	125.255	125.186	125.261	125.101	125.176	125.115	125.026	125.039	125.356	125.188	125.306	125.015	125.039	125.102	125.186	125.146	125.589	125.197	125.210	125.241	125.314	125.064	124.841	125.176	125.036	125.176	124.969	125.327	124.972	125.138	101.755	101.774	101.805	101.592	101.823	101.580	101.717	101.716	101.880	101.860	101.599	101.753	101.710	101.807	101.855	101.507	101.760	101.508	101.768	101.570	101.543	101.689	101.477	101.565	101.837	101.689	101.869	101.689	101.831	101.799	101.851	101.610	2016_7_15_14_02_47
F2LS3MG9HFM5____	-25.234	-25.467	-25.448	-25.281	-25.374	-25.186	-25.109	-25.137	-25.590	-25.345	-25.552	-25.405	-25.756	-25.425	-25.317	-25.095	-25.432	-25.238	-25.690	-25.144	-25.802	-25.192	-25.065	-25.043	-25.255	-24.856	-25.421	-24.856	-25.198	-25.604	-25.351	-25.220	125.764	125.805	125.626	125.560	125.737	125.403	125.536	125.605	125.401	125.472	125.808	125.611	125.670	125.478	125.473	125.468	125.607	125.411	125.737	125.734	125.611	125.537	125.736	125.551	125.383	125.523	125.471	125.523	125.549	125.813	125.297	125.524	101.376	101.474	101.482	101.414	101.440	101.386	101.341	101.347	101.564	101.451	101.511	101.465	101.613	101.485	101.438	101.341	101.476	101.409	101.578	101.339	101.638	101.378	101.304	101.311	101.419	101.231	101.484	101.231	101.379	101.534	101.469	101.391	2016_7_15_14_02_51
F2LS3BDVGRXL____	-25.515	-25.750	-25.734	-25.686	-25.404	-25.406	-25.749	-25.661	-25.652	-25.556	-25.285	-25.408	-25.945	-25.635	-25.612	-25.386	-25.730	-25.390	-25.642	-25.371	-25.952	-25.646	-26.237	-25.614	-25.645	-25.253	-25.587	-25.253	-25.781	-26.016	-25.759	-25.496	125.420	125.389	125.329	125.256	125.348	125.277	125.124	125.124	125.042	125.071	125.515	125.287	125.253	125.184	125.050	125.176	125.248	125.274	125.517	125.257	125.279	125.160	125.328	125.250	124.903	125.281	125.070	125.281	124.983	125.666	125.043	125.018	101.484	101.590	101.588	101.573	101.441	101.449	101.613	101.574	101.578	101.533	101.374	101.449	101.688	101.558	101.560	101.449	101.594	101.442	101.531	101.435	101.688	101.565	101.808	101.543	101.587	101.381	101.547	101.381	101.640	101.681	101.625	101.511	2016_7_15_14_02_55
F2LS35BZHFM1____	-25.258	-25.610	-25.216	-25.098	-25.509	-25.463	-25.266	-25.072	-25.500	-25.298	-25.467	-25.339	-25.783	-25.403	-25.288	-25.357	-25.468	-25.425	-25.808	-25.103	-25.248	-25.282	-25.816	-25.022	-25.143	-25.248	-25.377	-25.248	-25.522	-25.469	-25.388	-25.261	125.488	125.539	125.488	125.407	125.607	125.331	125.393	125.337	125.131	125.220	125.605	125.337	125.405	125.352	125.143	125.268	125.534	125.327	125.610	125.362	125.534	125.401	125.545	125.339	125.068	125.337	125.215	125.337	125.133	125.742	125.131	125.342	101.347	101.497	101.329	101.284	101.447	101.451	101.359	101.279	101.485	101.388	101.428	101.396	101.585	101.423	101.391	101.410	101.435	101.435	101.577	101.290	101.339	101.366	101.587	101.257	101.334	101.356	101.424	101.356	101.495	101.417	101.436	101.361	2016_7_15_14_02_59
F2LS3HZVHFM5____	-25.857	-26.337	-25.695	-25.360	-26.365	-25.804	-25.656	-25.689	-25.675	-26.070	-26.007	-25.729	-26.254	-25.805	-25.748	-25.855	-24.955	-25.791	-25.934	-25.738	-25.891	-26.046	-25.318	-25.463	-25.916	-25.708	-26.220	-25.708	-25.368	-25.994	-25.916	-25.504	126.040	126.001	125.962	125.897	125.936	125.751	125.876	125.827	125.677	125.757	125.995	125.855	125.862	125.801	125.683	125.714	125.847	125.816	125.858	125.872	125.788	125.790	125.950	125.827	125.669	125.884	125.754	125.884	125.677	125.997	125.683	125.733	101.597	101.809	101.533	101.392	101.827	101.599	101.523	101.542	101.549	101.715	101.666	101.557	101.786	101.595	101.581	101.625	101.219	101.588	101.646	101.559	101.634	101.701	101.369	101.443	101.655	101.545	101.781	101.545	101.415	101.660	101.654	101.470	2016_7_15_14_03_03
