SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-55.918	-56.065	-55.887	-55.988	-56.065	-56.032	-55.923	-55.960	-55.965	-55.966	-55.922	-56.032	-55.965	-55.993	-55.965	-55.851	-55.965	-55.965	-55.930	-55.852	-55.928	-55.927	-55.922	-55.930	-55.957	-55.819	-55.787	-55.922	-55.821	-55.928	-55.923	-55.928	141.265	141.355	141.152	141.285	141.192	141.325	141.266	141.240	141.306	141.262	141.340	141.341	141.309	141.316	141.306	141.303	141.306	141.306	141.315	141.227	141.366	141.334	141.340	141.409	141.300	141.384	141.241	141.340	141.359	141.325	141.355	141.325	111.687	111.725	111.691	111.708	111.748	111.718	111.688	111.705	111.697	111.704	111.677	111.716	111.697	111.706	111.697	111.658	111.697	111.697	111.684	111.668	111.676	111.680	111.677	111.671	111.695	111.635	111.644	111.677	111.640	111.682	111.676	111.682	2016_7_15_14_07_07
F2LS3EKPHFM2____	-56.050	-56.192	-56.013	-56.115	-56.154	-56.148	-56.000	-56.084	-56.046	-56.049	-56.005	-56.116	-56.048	-56.103	-56.046	-55.976	-56.046	-56.046	-56.058	-55.980	-56.031	-56.008	-56.005	-56.013	-56.082	-55.942	-55.909	-56.005	-55.929	-56.032	-56.006	-56.032	141.241	141.213	141.098	141.172	141.175	141.212	141.235	141.134	141.239	141.200	141.241	141.316	141.239	141.212	141.239	141.239	141.239	141.239	141.246	141.207	141.270	141.234	141.241	141.313	141.237	141.279	141.137	141.241	141.217	141.237	141.246	141.237	111.426	111.480	111.433	111.459	111.472	111.465	111.410	111.453	111.425	111.431	111.410	111.439	111.426	111.449	111.425	111.400	111.425	111.425	111.428	111.406	111.415	111.412	111.410	111.403	111.438	111.383	111.391	111.410	111.387	111.420	111.410	111.420	2016_7_15_14_07_11
F2LS3KLTHFM5____	-56.054	-56.161	-56.014	-56.124	-56.163	-56.161	-56.053	-56.099	-56.055	-56.096	-56.018	-56.125	-56.056	-56.124	-56.055	-55.983	-56.055	-56.055	-56.020	-55.984	-56.051	-56.019	-56.018	-56.020	-56.091	-55.950	-55.909	-56.018	-55.947	-56.051	-56.059	-56.051	141.257	141.291	141.121	141.223	141.186	141.221	141.255	141.223	141.293	141.259	141.292	141.324	141.293	141.259	141.293	141.295	141.293	141.293	141.293	141.224	141.322	141.326	141.292	141.393	141.293	141.332	141.160	141.292	141.262	141.286	141.293	141.286	111.560	111.593	111.565	111.589	111.608	111.603	111.560	111.581	111.555	111.575	111.543	111.576	111.556	111.584	111.555	111.530	111.555	111.555	111.543	111.540	111.550	111.538	111.543	111.529	111.568	111.513	111.523	111.543	111.522	111.555	111.557	111.555	2016_7_15_14_07_17
F2LS3SMLHFM5____	-55.746	-55.848	-55.709	-55.770	-55.853	-55.816	-55.741	-55.783	-55.702	-55.699	-55.709	-55.770	-55.746	-55.814	-55.702	-55.676	-55.702	-55.702	-55.709	-55.678	-55.708	-55.713	-55.709	-55.707	-55.778	-55.600	-55.568	-55.709	-55.599	-55.710	-55.705	-55.710	141.314	141.312	141.168	141.292	141.247	141.275	141.312	141.247	141.312	141.272	141.313	141.388	141.357	141.287	141.312	141.316	141.312	141.312	141.319	141.276	141.375	141.344	141.313	141.413	141.316	141.351	141.195	141.313	141.321	141.335	141.359	141.335	111.392	111.428	111.399	111.403	111.438	111.422	111.390	111.414	111.376	111.381	111.379	111.390	111.386	111.419	111.376	111.367	111.376	111.376	111.378	111.373	111.370	111.376	111.379	111.364	111.403	111.335	111.346	111.379	111.339	111.376	111.371	111.376	2016_7_15_14_07_21
F2LS38TUGRXL____	-55.494	-55.604	-55.467	-55.563	-55.592	-55.611	-55.495	-55.522	-55.494	-55.496	-55.465	-55.565	-55.501	-55.565	-55.494	-55.430	-55.494	-55.494	-55.465	-55.431	-55.501	-55.466	-55.465	-55.463	-55.531	-55.398	-55.364	-55.465	-55.394	-55.504	-55.451	-55.504	141.355	141.424	141.278	141.286	141.281	141.346	141.307	141.281	141.352	141.308	141.413	141.423	141.421	141.319	141.352	141.419	141.352	141.352	141.420	141.349	141.419	141.451	141.413	141.491	141.351	141.460	141.320	141.413	141.353	141.411	141.391	141.411	111.380	111.409	111.381	111.414	111.424	111.422	111.387	111.400	111.380	111.387	111.362	111.395	111.373	111.410	111.380	111.348	111.380	111.380	111.361	111.359	111.374	111.357	111.362	111.350	111.393	111.332	111.339	111.362	111.345	111.376	111.360	111.376	2016_7_15_14_07_24
F2LS3TKDHFM5____	-56.429	-56.574	-56.436	-56.542	-56.582	-56.546	-56.476	-56.508	-56.473	-56.475	-56.435	-56.500	-56.472	-56.547	-56.473	-56.402	-56.473	-56.473	-56.438	-56.402	-56.478	-56.440	-56.435	-56.437	-56.470	-56.368	-56.329	-56.435	-56.334	-56.468	-56.434	-56.468	141.243	141.289	141.105	141.214	141.174	141.205	141.206	141.134	141.245	141.203	141.242	141.315	141.245	141.209	141.245	141.250	141.245	141.245	141.247	141.213	141.272	141.267	141.242	141.374	141.275	141.283	141.143	141.242	141.246	141.235	141.245	141.235	111.794	111.839	111.816	111.838	111.857	111.841	111.816	111.837	111.809	111.816	111.797	111.809	111.809	111.840	111.809	111.784	111.809	111.809	111.797	111.789	111.807	111.795	111.797	111.779	111.804	111.767	111.773	111.797	111.761	111.809	111.796	111.809	2016_7_15_14_07_30
F2LS3MG9HFM5____	-55.495	-55.601	-55.463	-55.562	-55.603	-55.600	-55.489	-55.570	-55.494	-55.499	-55.457	-55.564	-55.536	-55.560	-55.494	-55.465	-55.494	-55.494	-55.451	-55.426	-55.491	-55.461	-55.457	-55.460	-55.530	-55.383	-55.358	-55.457	-55.386	-55.492	-55.453	-55.492	141.383	141.418	141.273	141.406	141.311	141.449	141.388	141.314	141.420	141.382	141.416	141.455	141.425	141.390	141.420	141.424	141.420	141.420	141.388	141.344	141.450	141.450	141.416	141.525	141.420	141.425	141.364	141.416	141.392	141.411	141.424	141.411	111.461	111.494	111.465	111.482	111.509	111.489	111.458	111.497	111.456	111.463	111.443	111.475	111.470	111.483	111.456	111.445	111.456	111.456	111.445	111.442	111.450	111.440	111.443	111.429	111.468	111.416	111.416	111.443	111.421	111.456	111.441	111.456	2016_7_15_14_07_37
F2LS3BDVGRXL____	-55.836	-55.950	-55.808	-55.915	-55.941	-55.959	-55.845	-55.887	-55.847	-55.841	-55.811	-55.915	-55.841	-55.917	-55.847	-55.771	-55.847	-55.847	-55.809	-55.771	-55.852	-55.811	-55.811	-55.809	-55.883	-55.741	-55.707	-55.811	-55.739	-55.853	-55.809	-55.853	141.171	141.282	141.104	141.180	141.135	141.251	141.237	141.171	141.320	141.207	141.273	141.277	141.211	141.246	141.320	141.252	141.320	141.320	141.319	141.180	141.302	141.309	141.273	141.375	141.277	141.322	141.181	141.273	141.292	141.265	141.284	141.265	111.565	111.589	111.564	111.591	111.606	111.597	111.558	111.582	111.548	111.561	111.542	111.578	111.560	111.582	111.548	111.530	111.548	111.548	111.534	111.540	111.552	111.536	111.542	111.527	111.566	111.510	111.518	111.542	111.514	111.557	111.539	111.557	2016_7_15_14_07_41
F2LS35BZHFM1____	-55.439	-55.546	-55.407	-55.553	-55.597	-55.560	-55.446	-55.521	-55.485	-55.485	-55.449	-55.551	-55.443	-55.517	-55.485	-55.373	-55.485	-55.485	-55.407	-55.373	-55.445	-55.451	-55.449	-55.408	-55.519	-55.340	-55.307	-55.449	-55.380	-55.445	-55.445	-55.445	141.405	141.438	141.301	141.371	141.374	141.407	141.404	141.333	141.442	141.405	141.439	141.443	141.438	141.407	141.442	141.439	141.442	141.442	141.437	141.370	141.470	141.473	141.439	141.538	141.442	141.473	141.335	141.439	141.409	141.433	141.411	141.433	111.375	111.408	111.378	111.420	111.434	111.417	111.378	111.414	111.386	111.391	111.374	111.409	111.372	111.402	111.386	111.347	111.386	111.386	111.359	111.356	111.368	111.370	111.374	111.346	111.398	111.331	111.338	111.374	111.354	111.373	111.376	111.373	2016_7_15_14_07_45
F2LS3HZVHFM5____	-55.704	-55.811	-55.669	-55.765	-55.802	-55.818	-55.707	-55.749	-55.709	-55.708	-55.659	-55.776	-55.701	-55.778	-55.709	-55.632	-55.709	-55.709	-55.667	-55.636	-55.710	-55.667	-55.659	-55.671	-55.741	-55.597	-55.568	-55.659	-55.602	-55.702	-55.658	-55.702	141.270	141.350	141.164	141.240	141.196	141.268	141.299	141.233	141.341	141.264	141.389	141.380	141.267	141.310	141.341	141.309	141.341	141.341	141.309	141.273	141.328	141.372	141.389	141.444	141.265	141.348	141.249	141.389	141.314	141.331	141.309	141.331	111.523	111.549	111.525	111.548	111.568	111.563	111.520	111.544	111.515	111.525	111.491	111.533	111.522	111.543	111.515	111.492	111.515	111.515	111.504	111.499	111.517	111.496	111.491	111.487	111.536	111.475	111.478	111.491	111.481	111.514	111.501	111.514	2016_7_15_14_07_48
