SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-36.271	-36.178	-36.142	-36.142	-36.142	-36.142	-36.099	-36.184	-36.021	-36.142	-36.138	-36.142	-36.020	-36.220	-36.098	-36.099	-36.100	-36.109	-36.097	-36.097	-36.144	-36.099	-36.134	-36.144	-36.144	-36.143	-36.184	-36.100	-36.144	-36.143	-36.051	-36.177	140.046	140.091	140.130	140.130	140.130	140.165	140.092	140.125	140.092	140.130	140.056	140.130	140.126	140.163	140.127	140.132	140.022	140.128	140.162	140.162	140.089	140.132	140.127	140.053	140.089	140.052	140.089	140.128	140.089	140.094	140.100	140.128	104.611	104.571	104.553	104.553	104.553	104.550	104.541	104.570	104.511	104.553	104.559	104.553	104.507	104.580	104.537	104.537	104.548	104.541	104.533	104.533	104.558	104.537	104.550	104.562	104.558	104.561	104.573	104.537	104.558	104.557	104.522	104.567	2016_7_15_14_29_36
F2LS3EKPHFM2____	-36.474	-36.367	-36.291	-36.291	-36.291	-36.375	-36.242	-36.333	-36.206	-36.291	-36.277	-36.291	-36.186	-36.413	-36.243	-36.205	-36.243	-36.302	-36.243	-36.243	-36.287	-36.205	-36.326	-36.288	-36.287	-36.287	-36.333	-36.243	-36.287	-36.288	-36.186	-36.367	140.067	140.079	140.105	140.105	140.105	140.145	140.111	140.143	140.111	140.105	140.075	140.105	140.086	140.177	140.145	140.145	140.040	140.143	140.179	140.179	140.078	140.145	140.086	140.042	140.078	140.043	140.107	140.145	140.078	140.077	140.051	140.117	104.377	104.335	104.303	104.303	104.303	104.331	104.284	104.315	104.270	104.303	104.301	104.303	104.265	104.343	104.281	104.266	104.291	104.303	104.277	104.277	104.304	104.266	104.318	104.308	104.304	104.308	104.319	104.281	104.304	104.305	104.268	104.331	2016_7_15_14_29_40
F2LS3KLTHFM5____	-36.392	-36.260	-36.261	-36.261	-36.261	-36.222	-36.176	-36.267	-36.142	-36.261	-36.213	-36.261	-36.140	-36.302	-36.177	-36.142	-36.178	-36.230	-36.178	-36.178	-36.263	-36.142	-36.213	-36.263	-36.263	-36.262	-36.266	-36.178	-36.263	-36.263	-36.131	-36.300	140.050	140.096	140.095	140.095	140.095	140.134	140.094	140.131	140.094	140.095	140.059	140.095	140.132	140.167	140.130	140.129	140.024	140.130	140.167	140.167	140.060	140.129	140.132	140.025	140.060	140.024	140.096	140.129	140.060	140.060	140.066	140.131	104.482	104.427	104.427	104.427	104.427	104.408	104.395	104.426	104.382	104.427	104.412	104.427	104.377	104.436	104.392	104.378	104.402	104.412	104.388	104.388	104.431	104.378	104.405	104.435	104.431	104.435	104.429	104.392	104.431	104.432	104.380	104.439	2016_7_15_14_29_44
F2LS3SMLHFM5____	-36.050	-35.961	-35.947	-35.947	-35.947	-35.947	-35.886	-35.988	-35.852	-35.947	-35.960	-35.947	-35.844	-35.997	-35.878	-35.852	-35.888	-35.907	-35.921	-35.921	-35.914	-35.852	-35.916	-35.920	-35.914	-35.915	-35.964	-35.879	-35.914	-35.947	-35.867	-35.947	140.163	140.238	140.192	140.192	140.192	140.231	140.197	140.186	140.198	140.192	140.165	140.192	140.198	140.262	140.193	140.231	140.127	140.187	140.265	140.265	140.156	140.231	140.194	140.122	140.156	140.119	140.190	140.191	140.156	140.157	140.154	140.156	104.287	104.246	104.245	104.245	104.245	104.241	104.221	104.261	104.208	104.245	104.253	104.245	104.205	104.257	104.218	104.205	104.229	104.230	104.228	104.228	104.236	104.205	104.233	104.241	104.236	104.240	104.251	104.219	104.236	104.248	104.218	104.248	2016_7_15_14_29_48
F2LS38TUGRXL____	-35.702	-35.617	-35.579	-35.579	-35.579	-35.579	-35.531	-35.620	-35.494	-35.579	-35.571	-35.579	-35.493	-35.654	-35.529	-35.495	-35.534	-35.546	-35.529	-35.529	-35.582	-35.495	-35.567	-35.582	-35.582	-35.580	-35.619	-35.532	-35.582	-35.581	-35.487	-35.616	140.054	140.103	140.139	140.139	140.139	140.174	140.101	140.134	140.099	140.139	140.068	140.139	140.136	140.171	140.137	140.133	140.031	140.139	140.173	140.173	140.102	140.133	140.138	140.066	140.102	140.065	140.098	140.136	140.102	140.105	140.110	140.137	104.246	104.209	104.191	104.191	104.191	104.188	104.176	104.207	104.163	104.191	104.195	104.191	104.158	104.217	104.172	104.159	104.184	104.179	104.169	104.169	104.196	104.159	104.187	104.199	104.196	104.199	104.210	104.173	104.196	104.195	104.158	104.205	2016_7_15_14_29_52
F2LS3TKDHFM5____	-36.694	-36.552	-36.562	-36.562	-36.562	-36.517	-36.469	-36.558	-36.433	-36.562	-36.546	-36.562	-36.432	-36.595	-36.513	-36.433	-36.469	-36.526	-36.513	-36.513	-36.562	-36.433	-36.549	-36.560	-36.562	-36.557	-36.558	-36.471	-36.562	-36.558	-36.418	-36.551	140.056	140.098	140.093	140.093	140.093	140.168	140.098	140.126	140.099	140.093	140.038	140.093	140.137	140.160	140.096	140.133	140.028	140.129	140.128	140.128	140.057	140.133	140.097	140.060	140.057	140.033	140.091	140.133	140.057	140.067	140.070	140.135	104.698	104.639	104.644	104.644	104.644	104.619	104.607	104.639	104.594	104.644	104.643	104.644	104.590	104.650	104.624	104.590	104.615	104.626	104.621	104.621	104.648	104.590	104.638	104.646	104.648	104.648	104.643	104.605	104.648	104.645	104.591	104.635	2016_7_15_14_29_55
F2LS3MG9HFM5____	-35.768	-35.683	-35.648	-35.648	-35.648	-35.648	-35.676	-35.683	-35.572	-35.648	-35.680	-35.648	-35.571	-35.719	-35.607	-35.605	-35.677	-35.646	-35.642	-35.642	-35.682	-35.605	-35.679	-35.683	-35.682	-35.682	-35.746	-35.608	-35.682	-35.682	-35.597	-35.719	140.154	140.230	140.233	140.233	140.233	140.268	140.231	140.262	140.197	140.233	140.165	140.233	140.233	140.297	140.232	140.232	140.127	140.233	140.267	140.267	140.199	140.232	140.233	140.163	140.199	140.164	140.198	140.231	140.199	140.199	140.200	140.272	104.347	104.307	104.293	104.293	104.293	104.290	104.304	104.304	104.267	104.293	104.312	104.293	104.264	104.314	104.278	104.277	104.315	104.292	104.288	104.288	104.309	104.277	104.305	104.313	104.309	104.313	104.334	104.278	104.309	104.309	104.277	104.317	2016_7_15_14_29_59
F2LS3BDVGRXL____	-36.230	-36.115	-36.084	-36.084	-36.084	-36.083	-36.035	-36.124	-36.002	-36.084	-36.071	-36.084	-36.001	-36.160	-36.037	-36.001	-36.038	-36.048	-36.036	-36.036	-36.079	-36.001	-36.072	-36.082	-36.079	-36.081	-36.124	-36.037	-36.079	-36.084	-35.986	-36.118	140.070	140.111	140.138	140.138	140.138	140.175	140.106	140.135	140.108	140.138	140.073	140.138	140.148	140.170	140.145	140.141	140.035	140.138	140.176	140.176	140.077	140.141	140.144	140.075	140.077	140.076	140.100	140.142	140.077	140.104	140.108	140.152	104.487	104.439	104.424	104.424	104.424	104.420	104.409	104.439	104.396	104.424	104.426	104.424	104.391	104.450	104.405	104.392	104.417	104.410	104.402	104.402	104.428	104.392	104.419	104.429	104.428	104.429	104.443	104.405	104.428	104.428	104.389	104.436	2016_7_15_14_30_05
F2LS35BZHFM1____	-35.729	-35.627	-35.592	-35.592	-35.592	-35.592	-35.545	-35.634	-35.510	-35.592	-35.583	-35.592	-35.508	-35.669	-35.545	-35.509	-35.546	-35.558	-35.546	-35.546	-35.593	-35.509	-35.582	-35.592	-35.593	-35.592	-35.633	-35.546	-35.593	-35.593	-35.497	-35.629	140.209	140.246	140.282	140.282	140.282	140.316	140.248	140.278	140.247	140.282	140.214	140.282	140.283	140.319	140.284	140.281	140.177	140.280	140.319	140.319	140.245	140.281	140.282	140.208	140.245	140.208	140.243	140.283	140.245	140.248	140.256	140.281	104.263	104.220	104.203	104.203	104.203	104.200	104.188	104.220	104.175	104.203	104.206	104.203	104.171	104.229	104.185	104.172	104.196	104.190	104.182	104.182	104.207	104.172	104.199	104.211	104.207	104.210	104.223	104.186	104.207	104.207	104.170	104.218	2016_7_15_14_30_10
F2LS3HZVHFM5____	-36.207	-36.110	-36.073	-36.073	-36.073	-36.074	-36.028	-36.118	-35.993	-36.073	-36.027	-36.073	-35.993	-36.153	-36.030	-35.993	-36.031	-36.042	-36.030	-36.030	-36.072	-35.993	-36.026	-36.072	-36.072	-36.073	-36.117	-36.031	-36.072	-36.073	-35.981	-36.111	139.992	140.043	140.078	140.078	140.078	140.113	140.044	140.071	140.043	140.078	140.004	140.078	140.080	140.107	140.117	140.078	139.975	140.073	140.110	140.110	140.041	140.078	140.075	140.005	140.041	140.006	140.073	140.080	140.041	140.042	140.048	140.113	104.504	104.462	104.444	104.444	104.444	104.441	104.430	104.462	104.417	104.444	104.434	104.444	104.413	104.472	104.424	104.414	104.438	104.433	104.424	104.424	104.448	104.414	104.426	104.451	104.448	104.451	104.462	104.428	104.448	104.448	104.412	104.455	2016_7_15_14_30_14
