SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-25.914	-25.880	-25.880	-25.811	-25.948	-25.710	-25.884	-25.911	-25.737	-25.845	-25.877	-25.805	-25.847	-25.877	-25.846	-25.843	-26.021	-25.914	-25.882	-25.848	-25.881	-25.878	-25.951	-25.848	-25.915	-25.986	-26.055	-25.882	-25.877	-25.784	-26.020	-25.915	139.145	139.145	139.145	139.079	139.147	139.052	139.144	139.047	139.106	139.188	139.124	139.106	139.106	139.124	139.178	139.083	139.179	139.145	138.973	139.046	139.076	139.054	139.115	139.107	139.144	139.083	139.246	139.178	139.000	139.214	138.973	139.151	100.641	100.627	100.627	100.604	100.654	100.566	100.629	100.647	100.573	100.610	100.627	100.600	100.617	100.627	100.611	100.617	100.681	100.641	100.641	100.622	100.633	100.633	100.658	100.617	100.641	100.674	100.689	100.625	100.637	100.584	100.696	100.641	2016_7_15_14_37_57
F2LS3EKPHFM2____	-26.225	-26.153	-26.192	-26.141	-26.281	-26.049	-26.151	-26.189	-26.051	-26.157	-26.155	-26.079	-26.121	-26.155	-26.121	-26.194	-26.298	-26.191	-26.090	-26.176	-26.156	-26.158	-26.224	-26.123	-26.188	-26.224	-26.333	-26.157	-26.152	-26.058	-26.299	-26.192	139.028	139.001	139.024	138.896	139.036	138.930	139.001	138.935	138.992	139.131	139.009	138.989	138.986	139.009	139.098	138.962	139.103	139.025	138.882	138.931	138.955	138.965	138.996	138.955	139.027	138.998	139.130	139.058	138.927	139.094	138.855	139.060	100.463	100.436	100.450	100.440	100.485	100.400	100.436	100.456	100.397	100.429	100.437	100.408	100.425	100.437	100.417	100.456	100.487	100.450	100.420	100.451	100.441	100.441	100.465	100.428	100.449	100.465	100.498	100.434	100.442	100.392	100.506	100.448	2016_7_15_14_38_01
F2LS3KLTHFM5____	-26.035	-26.002	-26.000	-25.896	-26.074	-25.825	-25.969	-25.998	-25.858	-26.002	-26.001	-25.858	-25.969	-26.001	-26.005	-25.962	-26.146	-26.037	-25.935	-25.959	-25.969	-26.004	-26.073	-25.971	-26.037	-26.070	-26.148	-26.007	-25.962	-25.903	-26.112	-26.040	139.156	139.123	139.157	139.096	139.157	139.087	139.151	139.093	139.120	139.190	139.211	139.119	139.115	139.211	139.154	139.127	139.160	139.156	138.975	139.066	139.088	139.097	139.125	139.043	139.157	139.101	139.225	139.185	139.055	139.224	138.976	139.188	100.513	100.502	100.499	100.462	100.528	100.435	100.487	100.503	100.445	100.497	100.495	100.445	100.490	100.495	100.501	100.486	100.557	100.514	100.487	100.489	100.492	100.505	100.530	100.496	100.513	100.531	100.553	100.500	100.491	100.455	100.557	100.513	2016_7_15_14_38_06
F2LS3SMLHFM5____	-25.826	-25.737	-25.791	-25.669	-25.861	-25.633	-25.738	-25.791	-25.583	-25.776	-25.741	-25.616	-25.706	-25.741	-25.740	-25.699	-25.875	-25.772	-25.673	-25.756	-25.791	-25.740	-25.809	-25.704	-25.775	-25.861	-25.931	-25.791	-25.756	-25.756	-25.882	-25.816	139.101	139.204	139.101	139.067	139.101	139.026	139.144	138.961	139.210	139.272	139.189	139.066	139.107	139.189	139.232	139.112	139.239	139.135	139.104	138.996	139.031	139.085	139.103	139.074	139.142	139.066	139.206	139.066	138.961	139.101	138.976	139.233	100.381	100.338	100.368	100.321	100.395	100.310	100.343	100.378	100.276	100.349	100.341	100.300	100.333	100.341	100.337	100.330	100.391	100.357	100.320	100.361	100.373	100.348	100.374	100.335	100.358	100.398	100.415	100.370	100.364	100.354	100.413	100.368	2016_7_15_14_38_10
F2LS38TUGRXL____	-25.517	-25.478	-25.596	-25.406	-25.585	-25.338	-25.472	-25.477	-25.435	-25.477	-25.526	-25.491	-25.446	-25.526	-25.421	-25.491	-25.614	-25.544	-25.444	-25.441	-25.478	-25.526	-25.581	-25.439	-25.547	-25.596	-25.614	-25.476	-25.443	-25.421	-25.666	-25.550	139.184	139.198	139.094	139.067	139.184	139.074	139.196	139.079	139.159	139.271	139.024	139.059	139.149	139.024	139.129	138.989	139.233	139.178	139.057	139.046	139.117	138.954	139.148	139.129	139.140	138.989	139.304	139.275	139.077	139.094	138.919	139.233	100.334	100.318	100.372	100.299	100.361	100.271	100.315	100.326	100.304	100.312	100.350	100.333	100.309	100.350	100.300	100.338	100.370	100.346	100.314	100.314	100.324	100.355	100.362	100.307	100.350	100.380	100.364	100.312	100.313	100.303	100.413	100.344	2016_7_15_14_38_13
F2LS3TKDHFM5____	-26.360	-26.323	-26.322	-26.239	-26.395	-26.187	-26.322	-26.309	-26.204	-26.321	-26.323	-26.217	-26.344	-26.323	-26.289	-26.287	-26.463	-26.356	-26.260	-26.290	-26.324	-26.324	-26.395	-26.288	-26.356	-26.449	-26.465	-26.325	-26.287	-26.219	-26.519	-26.360	139.103	139.106	139.102	138.949	139.103	138.990	139.071	138.949	138.984	139.180	139.093	139.062	138.984	139.093	139.140	139.059	139.140	139.097	138.966	138.933	139.029	139.028	139.065	139.038	139.100	138.914	139.212	139.139	139.026	139.178	138.844	139.140	100.747	100.732	100.732	100.710	100.761	100.687	100.734	100.738	100.694	100.726	100.733	100.693	100.750	100.733	100.716	100.721	100.785	100.746	100.717	100.732	100.738	100.739	100.764	100.723	100.746	100.797	100.781	100.730	100.724	100.685	100.830	100.744	2016_7_15_14_38_16
F2LS3MG9HFM5____	-25.609	-25.579	-25.580	-25.510	-25.649	-25.440	-25.580	-25.580	-25.391	-25.578	-25.580	-25.475	-25.508	-25.580	-25.541	-25.508	-25.720	-25.613	-25.478	-25.545	-25.580	-25.650	-25.651	-25.511	-25.614	-25.650	-25.720	-25.650	-25.545	-25.545	-25.720	-25.616	139.239	139.203	139.158	139.088	139.204	139.088	139.088	139.088	139.141	139.271	139.088	139.123	139.142	139.088	139.237	139.168	139.242	139.202	139.030	139.053	139.088	139.018	139.171	139.126	139.204	139.174	139.263	139.193	139.018	139.228	138.983	139.239	100.452	100.443	100.446	100.424	100.470	100.396	100.451	100.451	100.372	100.437	100.451	100.407	100.419	100.451	100.425	100.417	100.496	100.456	100.415	100.440	100.451	100.484	100.474	100.421	100.456	100.473	100.494	100.472	100.443	100.427	100.515	100.455	2016_7_15_14_38_23
F2LS3BDVGRXL____	-25.935	-25.905	-25.904	-25.834	-25.968	-25.797	-25.901	-25.901	-25.796	-25.940	-25.948	-25.795	-25.902	-25.948	-25.905	-25.843	-26.043	-25.936	-25.835	-25.866	-25.905	-25.948	-25.970	-25.867	-25.969	-25.969	-26.046	-25.939	-25.843	-25.796	-26.088	-25.900	139.121	139.119	139.090	139.024	139.121	139.020	139.089	139.024	139.091	139.189	139.021	139.084	139.051	139.021	139.159	138.986	139.158	139.089	138.979	138.994	139.018	138.951	139.056	138.989	139.091	139.093	139.196	139.121	138.951	139.159	138.916	139.124	100.544	100.533	100.535	100.512	100.558	100.497	100.533	100.538	100.492	100.541	100.557	100.492	100.537	100.557	100.530	100.518	100.585	100.547	100.515	100.527	100.540	100.562	100.563	100.527	100.560	100.560	100.583	100.546	100.520	100.487	100.621	100.531	2016_7_15_14_38_27
F2LS35BZHFM1____	-25.515	-25.478	-25.514	-25.408	-25.549	-25.340	-25.476	-25.475	-25.370	-25.512	-25.475	-25.373	-25.447	-25.475	-25.498	-25.439	-25.619	-25.512	-25.412	-25.428	-25.479	-25.479	-25.586	-25.445	-25.551	-25.603	-25.673	-25.477	-25.498	-25.370	-25.623	-25.516	139.248	139.248	139.245	139.166	139.249	139.170	139.249	139.173	139.208	139.319	139.241	139.206	139.210	139.241	139.268	139.206	139.283	139.246	139.103	139.058	139.176	139.173	139.211	139.175	139.244	139.128	139.268	139.280	139.093	139.319	139.064	139.283	100.350	100.335	100.350	100.314	100.364	100.286	100.335	100.340	100.296	100.344	100.335	100.297	100.326	100.335	100.342	100.323	100.389	100.349	100.319	100.329	100.341	100.342	100.381	100.327	100.365	100.394	100.412	100.333	100.355	100.287	100.407	100.348	2016_7_15_14_38_31
F2LS3HZVHFM5____	-25.915	-25.882	-25.882	-25.810	-25.950	-25.741	-25.880	-25.878	-25.776	-25.881	-25.880	-25.772	-25.848	-25.880	-25.883	-25.844	-26.024	-25.914	-25.815	-25.841	-25.881	-25.882	-25.948	-25.850	-25.912	-25.951	-26.026	-25.880	-25.843	-25.781	-26.023	-25.955	139.063	139.032	139.061	138.994	139.062	138.933	139.059	138.995	139.029	139.100	139.041	139.027	139.022	139.041	139.067	139.001	139.097	139.061	138.890	138.963	138.991	138.968	139.025	138.960	139.061	139.003	139.166	139.059	138.963	139.099	138.889	139.065	100.559	100.549	100.546	100.522	100.573	100.499	100.546	100.550	100.506	100.543	100.547	100.505	100.536	100.547	100.546	100.536	100.600	100.559	100.532	100.537	100.551	100.553	100.575	100.541	100.558	100.578	100.596	100.546	100.538	100.503	100.615	100.575	2016_7_15_14_38_36
