SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-50.622	-50.623	-50.694	-50.660	-50.660	-50.727	-50.511	-50.548	-50.478	-50.767	-50.692	-50.657	-50.440	-50.692	-50.624	-50.472	-50.586	-50.515	-50.551	-50.663	-50.480	-50.586	-50.622	-50.586	-50.441	-50.624	-50.367	-50.691	-50.619	-50.625	-50.548	-50.549	130.105	130.032	130.039	130.000	130.033	130.143	130.146	130.177	130.107	130.074	130.110	130.065	130.112	130.037	130.035	130.107	130.143	130.211	130.178	130.140	130.144	130.243	130.069	130.173	130.082	130.248	130.277	130.214	130.243	129.967	130.177	130.283	111.351	111.362	111.389	111.381	111.377	111.386	111.303	111.312	111.296	111.411	111.377	111.371	111.281	111.388	111.362	111.294	111.332	111.295	111.313	111.362	111.291	111.317	111.357	111.327	111.285	111.331	111.228	111.362	111.330	111.373	111.312	111.297	2016_7_15_14_44_55
F2LS38TUGRXL____	-50.212	-50.248	-50.285	-50.248	-50.285	-50.314	-50.096	-50.141	-50.069	-50.347	-50.279	-50.282	-50.026	-50.280	-50.249	-50.056	-50.210	-50.139	-50.144	-50.251	-50.071	-50.173	-50.245	-50.207	-50.027	-50.212	-49.959	-50.279	-50.242	-50.216	-50.173	-50.138	130.101	130.028	130.032	129.996	130.026	130.136	130.106	130.171	130.099	130.065	130.102	130.063	130.104	130.033	130.031	130.100	130.138	130.206	130.172	130.135	130.136	130.238	130.065	130.169	130.073	130.243	130.271	130.208	130.239	129.960	130.173	130.251	111.050	111.074	111.088	111.079	111.088	111.083	111.004	111.012	110.995	111.107	111.075	111.082	110.978	111.086	111.074	110.990	111.043	111.006	111.013	111.059	110.990	111.014	111.067	111.038	110.983	111.028	110.927	111.059	111.041	111.072	111.024	110.999	2016_7_15_14_45_00
F2LS35BZHFM1____	-50.208	-50.208	-50.218	-50.182	-50.221	-50.243	-50.033	-50.068	-50.068	-50.243	-50.208	-50.217	-49.963	-50.208	-50.147	-49.998	-50.173	-50.034	-50.068	-50.185	-50.068	-50.107	-50.143	-50.173	-49.963	-50.138	-49.893	-50.208	-50.208	-50.188	-50.138	-50.111	130.098	130.028	130.038	130.002	130.036	130.133	130.098	130.168	130.098	130.063	130.098	130.072	130.098	130.028	130.038	130.098	130.133	130.215	130.168	130.144	130.133	130.250	130.074	130.168	130.063	130.238	130.273	130.203	130.238	129.971	130.168	130.255	111.070	111.080	111.083	111.074	111.084	111.078	111.003	111.006	111.016	111.088	111.070	111.077	110.976	111.080	111.055	110.989	111.051	110.986	111.006	111.054	111.011	111.008	111.048	111.046	110.981	111.022	110.923	111.054	111.049	111.081	111.033	111.009	2016_7_15_14_45_04
F2LS3JESHFM5____	-50.953	-50.950	-51.022	-50.988	-50.988	-51.054	-50.839	-50.879	-50.807	-51.090	-51.020	-50.985	-50.771	-51.021	-50.953	-50.805	-50.916	-50.848	-50.878	-50.991	-50.811	-50.917	-50.989	-50.919	-50.771	-50.951	-50.698	-51.017	-50.952	-50.958	-50.878	-50.884	129.959	129.887	129.888	129.853	129.885	129.995	129.966	130.030	129.959	129.924	129.957	129.921	129.962	129.887	129.887	129.957	129.995	130.063	130.031	129.991	129.995	130.099	129.925	130.029	129.934	130.099	130.132	130.066	130.097	129.819	130.029	130.136	111.489	111.499	111.526	111.518	111.514	111.522	111.445	111.451	111.434	111.547	111.515	111.507	111.419	111.526	111.500	111.433	111.470	111.434	111.450	111.499	111.430	111.455	111.508	111.466	111.423	111.468	111.366	111.498	111.468	111.512	111.450	111.436	2016_7_15_14_45_08
F2LS39Q6GRXL____	-50.257	-50.256	-50.293	-50.295	-50.294	-50.362	-50.109	-50.147	-50.074	-50.359	-50.327	-50.289	-50.037	-50.327	-50.224	-50.067	-50.221	-50.112	-50.150	-50.262	-50.113	-50.183	-50.252	-50.217	-50.039	-50.222	-49.969	-50.290	-50.256	-50.260	-50.147	-50.145	130.117	130.043	130.045	130.010	130.043	130.151	130.122	130.187	130.115	130.081	130.118	130.077	130.118	130.046	130.045	130.115	130.154	130.220	130.186	130.149	130.151	130.253	130.080	130.184	130.090	130.258	130.286	130.221	130.253	129.974	130.187	130.264	110.957	110.967	110.982	110.987	110.982	110.992	110.899	110.904	110.887	111.001	110.983	110.975	110.872	110.994	110.955	110.884	110.938	110.886	110.906	110.954	110.897	110.908	110.961	110.932	110.877	110.923	110.821	110.954	110.936	110.979	110.904	110.892	2016_7_15_14_45_11
F2LS3EKPHFM2____	-50.801	-50.801	-50.835	-50.840	-50.802	-50.908	-50.692	-50.728	-50.661	-50.904	-50.833	-50.802	-50.621	-50.837	-50.805	-50.655	-50.767	-50.700	-50.737	-50.806	-50.663	-50.735	-50.804	-50.769	-50.623	-50.806	-50.515	-50.872	-50.802	-50.808	-50.730	-50.733	130.040	129.969	129.965	129.931	129.966	130.074	130.050	130.075	130.038	130.004	130.039	129.999	130.047	129.967	129.970	130.046	130.073	130.141	130.109	130.073	130.073	130.174	130.002	130.105	130.016	130.181	130.212	130.144	130.179	129.899	130.108	130.187	111.120	111.130	111.144	111.151	111.131	111.155	111.076	111.086	111.066	111.164	111.132	111.126	111.050	111.144	111.131	111.063	111.101	111.066	111.085	111.116	111.062	111.074	111.126	111.098	111.055	111.100	110.984	111.131	111.099	111.143	111.082	111.072	2016_7_15_14_45_15
F2LS3TKDHFM5____	-51.134	-51.167	-51.240	-51.229	-51.205	-51.267	-51.019	-51.096	-51.025	-51.299	-51.198	-51.203	-50.986	-51.200	-51.194	-51.025	-51.095	-51.029	-51.102	-51.169	-51.054	-51.136	-51.169	-51.174	-50.988	-51.194	-50.879	-51.264	-51.166	-51.175	-51.124	-51.100	129.904	129.831	129.832	129.779	129.829	129.940	129.903	129.975	129.904	129.849	129.902	129.864	129.901	129.833	129.814	129.893	129.941	130.010	129.972	129.937	129.919	130.042	129.867	129.975	129.872	130.024	130.059	129.989	130.039	129.767	129.954	130.048	111.503	111.526	111.554	111.558	111.541	111.548	111.459	111.478	111.461	111.574	111.528	111.535	111.447	111.539	111.539	111.463	111.482	111.447	111.480	111.511	111.470	111.483	111.522	111.507	111.452	111.508	111.382	111.540	111.495	111.539	111.491	111.468	2016_7_15_14_45_18
F2LS3HZVHFM5____	-50.515	-50.518	-50.557	-50.523	-50.522	-50.586	-50.368	-50.408	-50.337	-50.588	-50.591	-50.516	-50.296	-50.555	-50.521	-50.328	-50.481	-50.377	-50.410	-50.522	-50.340	-50.443	-50.479	-50.479	-50.297	-50.484	-50.230	-50.550	-50.517	-50.486	-50.406	-50.415	130.048	129.977	129.974	129.938	129.973	130.083	130.056	130.117	130.047	130.010	130.046	130.009	130.054	129.973	129.978	130.047	130.083	130.153	130.117	130.077	130.082	130.187	130.013	130.119	130.023	130.185	130.218	130.153	130.187	129.906	130.118	130.221	111.231	111.243	111.258	111.250	111.245	111.253	111.173	111.180	111.163	111.265	111.260	111.237	111.146	111.257	111.244	111.159	111.213	111.163	111.180	111.229	111.159	111.183	111.222	111.206	111.151	111.199	111.097	111.229	111.211	111.241	111.179	111.167	2016_7_15_14_45_21
F2LS3HFBHFM5____	-50.435	-50.439	-50.467	-50.438	-50.472	-50.501	-50.294	-50.337	-50.264	-50.505	-50.470	-50.472	-50.223	-50.470	-50.434	-50.254	-50.403	-50.302	-50.324	-50.437	-50.265	-50.371	-50.405	-50.404	-50.227	-50.401	-50.189	-50.467	-50.436	-50.407	-50.335	-50.336	130.104	130.035	130.035	130.029	130.033	130.141	130.146	130.205	130.136	130.099	130.135	130.072	130.148	130.032	130.036	130.141	130.099	130.207	130.177	130.171	130.139	130.244	130.070	130.174	130.110	130.274	130.279	130.213	130.281	129.999	130.174	130.285	111.331	111.343	111.354	111.343	111.356	111.351	111.271	111.278	111.261	111.359	111.340	111.350	111.243	111.355	111.341	111.256	111.320	111.265	111.278	111.322	111.261	111.286	111.324	111.309	111.251	111.293	111.211	111.327	111.305	111.336	111.282	111.266	2016_7_15_14_45_24
F2LS38VQGRXL____	-50.393	-50.392	-50.464	-50.431	-50.432	-50.494	-50.278	-50.320	-50.251	-50.495	-50.463	-50.426	-50.208	-50.463	-50.396	-50.241	-50.357	-50.288	-50.323	-50.432	-50.253	-50.356	-50.392	-50.357	-50.211	-50.395	-50.139	-50.461	-50.392	-50.397	-50.321	-50.325	130.116	130.046	130.046	130.010	130.045	130.154	130.126	130.188	130.118	130.083	130.116	130.081	130.126	130.045	130.048	130.155	130.153	130.222	130.189	130.182	130.152	130.258	130.082	130.187	130.094	130.257	130.290	130.224	130.258	130.009	130.189	130.294	111.151	111.161	111.188	111.181	111.176	111.184	111.105	111.112	111.096	111.194	111.177	111.169	111.078	111.188	111.162	111.087	111.131	111.095	111.113	111.156	111.092	111.115	111.155	111.126	111.084	111.131	111.028	111.161	111.129	111.168	111.112	111.098	2016_7_15_14_45_27
