SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-67.562	-67.376	-67.455	-67.376	-67.529	-67.460	-67.450	-67.491	-67.455	-67.524	-67.488	-67.519	-67.449	-67.419	-67.484	-67.451	-67.419	-67.381	-67.488	-67.485	-67.595	-67.381	-67.520	-67.424	-67.521	-67.525	-67.524	-67.445	-67.557	-67.418	-67.492	-67.455	138.696	138.718	138.574	138.718	138.687	138.613	138.719	138.719	138.722	138.677	138.578	138.796	138.760	138.655	138.683	138.690	138.695	138.723	138.811	138.746	138.699	138.733	138.647	138.653	138.710	138.643	138.724	138.735	138.742	138.768	138.716	138.752	116.063	115.997	116.047	115.997	116.053	116.042	116.022	116.035	116.023	116.053	116.057	116.032	116.015	116.022	116.039	116.026	116.015	115.998	116.019	116.029	116.073	115.996	116.057	116.024	116.047	116.059	116.046	116.017	116.054	116.003	116.036	116.018	2016_7_15_14_55_39
F2LS38TUGRXL____	-67.181	-67.036	-67.039	-67.036	-67.143	-67.073	-67.106	-67.141	-67.073	-67.105	-67.070	-67.073	-67.106	-67.033	-67.068	-67.034	-67.034	-66.994	-67.075	-67.106	-67.216	-66.995	-67.104	-67.039	-67.101	-67.101	-67.109	-67.065	-67.176	-67.071	-67.111	-67.048	138.792	138.744	138.692	138.744	138.789	138.716	138.814	138.814	138.823	138.787	138.641	138.860	138.814	138.748	138.787	138.798	138.798	138.902	138.902	138.849	138.791	138.828	138.747	138.751	138.818	138.758	138.826	138.790	138.827	138.849	138.821	138.856	115.774	115.734	115.743	115.734	115.762	115.751	115.746	115.757	115.733	115.750	115.762	115.727	115.746	115.732	115.738	115.724	115.724	115.694	115.721	115.740	115.786	115.706	115.756	115.733	115.744	115.753	115.745	115.736	115.767	115.728	115.746	115.720	2016_7_15_14_55_43
F2LS35BZHFM1____	-67.089	-66.902	-66.977	-66.902	-67.050	-67.012	-66.971	-67.012	-67.012	-67.012	-66.979	-67.010	-66.975	-66.969	-66.976	-66.973	-66.973	-66.902	-67.014	-66.976	-67.154	-66.933	-67.015	-66.978	-67.010	-67.014	-67.047	-67.002	-67.111	-67.008	-67.052	-66.987	138.789	138.817	138.683	138.817	138.825	138.751	138.864	138.820	138.814	138.830	138.727	138.855	138.823	138.792	138.831	138.835	138.835	138.908	138.898	138.855	138.790	138.874	138.748	138.792	138.857	138.759	138.820	138.828	138.870	138.918	138.859	138.849	115.765	115.698	115.745	115.698	115.747	115.746	115.714	115.735	115.735	115.733	115.739	115.728	115.722	115.725	115.721	115.719	115.719	115.683	115.723	115.717	115.787	115.699	115.747	115.728	115.728	115.745	115.746	115.730	115.760	115.718	115.742	115.722	2016_7_15_14_55_46
F2LS3JESHFM5____	-67.826	-67.653	-67.718	-67.653	-67.791	-67.723	-67.723	-67.758	-67.720	-67.758	-67.720	-67.758	-67.717	-67.683	-67.723	-67.688	-67.688	-67.653	-67.716	-67.723	-67.860	-67.653	-67.750	-67.688	-67.758	-67.755	-67.793	-67.712	-67.828	-67.688	-67.753	-67.723	138.491	138.524	138.390	138.524	138.531	138.419	138.524	138.524	138.523	138.489	138.386	138.559	138.527	138.505	138.489	138.489	138.489	138.559	138.611	138.559	138.490	138.524	138.505	138.454	138.524	138.458	138.524	138.545	138.524	138.559	138.574	138.559	116.174	116.111	116.154	116.111	116.155	116.151	116.134	116.146	116.133	116.151	116.156	116.140	116.132	116.124	116.140	116.128	116.128	116.105	116.118	116.128	116.186	116.111	116.146	116.134	116.146	116.155	116.157	116.127	116.169	116.117	116.136	116.128	2016_7_15_14_55_48
F2LS39Q6GRXL____	-67.079	-66.904	-67.044	-66.904	-67.044	-66.978	-67.044	-67.009	-66.974	-67.009	-66.980	-67.009	-67.044	-67.009	-66.974	-66.939	-66.939	-66.910	-67.044	-66.980	-67.184	-66.974	-67.009	-66.939	-67.009	-67.009	-67.044	-67.044	-67.079	-66.939	-67.009	-66.974	138.858	138.753	138.683	138.753	138.788	138.784	138.823	138.893	138.823	138.788	138.751	138.858	138.823	138.823	138.788	138.788	138.788	138.924	138.928	138.921	138.858	138.893	138.753	138.753	138.823	138.753	138.823	138.788	138.823	138.858	138.753	138.858	115.622	115.581	115.639	115.581	115.622	115.600	115.616	115.593	115.593	115.610	115.606	115.599	115.616	115.605	115.599	115.587	115.587	115.555	115.599	115.579	115.657	115.582	115.616	115.592	115.605	115.616	115.616	115.622	115.628	115.576	115.616	115.587	2016_7_15_14_55_51
F2LS3EKPHFM2____	-67.675	-67.501	-67.571	-67.501	-67.640	-67.569	-67.571	-67.606	-67.571	-67.607	-67.581	-67.616	-67.571	-67.534	-67.572	-67.535	-67.535	-67.500	-67.573	-67.570	-67.710	-67.498	-67.606	-67.546	-67.606	-67.604	-67.639	-67.570	-67.674	-67.536	-67.606	-67.572	138.646	138.680	138.546	138.680	138.648	138.576	138.684	138.681	138.679	138.647	138.476	138.721	138.685	138.611	138.647	138.650	138.650	138.718	138.715	138.715	138.645	138.681	138.611	138.546	138.677	138.613	138.681	138.649	138.678	138.724	138.683	138.718	115.799	115.735	115.780	115.735	115.787	115.775	115.758	115.770	115.758	115.776	115.795	115.767	115.758	115.757	115.764	115.751	115.751	115.728	115.753	115.752	115.810	115.734	115.781	115.772	115.771	115.780	115.781	115.763	115.793	115.739	115.770	115.753	2016_7_15_14_55_55
F2LS3TKDHFM5____	-68.134	-67.889	-68.029	-67.889	-68.099	-68.029	-68.029	-68.064	-68.029	-68.064	-68.029	-67.997	-68.029	-67.994	-68.029	-67.994	-67.994	-67.959	-67.966	-68.029	-68.169	-67.889	-68.064	-67.994	-68.064	-67.997	-68.099	-67.959	-68.134	-67.994	-68.064	-67.959	138.564	138.599	138.459	138.599	138.564	138.494	138.599	138.669	138.599	138.564	138.459	138.644	138.599	138.529	138.564	138.564	138.564	138.564	138.641	138.634	138.564	138.599	138.529	138.529	138.599	138.540	138.599	138.634	138.599	138.634	138.599	138.634	116.201	116.113	116.183	116.113	116.189	116.177	116.160	116.160	116.160	116.177	116.183	116.142	116.160	116.160	116.166	116.154	116.154	116.142	116.132	116.154	116.212	116.113	116.183	116.160	116.172	116.159	116.183	116.131	116.195	116.143	116.172	116.131	2016_7_15_14_55_57
F2LS3HZVHFM5____	-67.360	-67.179	-67.252	-67.179	-67.327	-67.254	-67.277	-67.289	-67.281	-67.290	-67.253	-67.289	-67.278	-67.218	-67.254	-67.245	-67.245	-67.183	-67.257	-67.253	-67.425	-67.180	-67.291	-67.246	-67.291	-67.288	-67.324	-67.250	-67.360	-67.219	-67.294	-67.256	138.654	138.737	138.561	138.737	138.653	138.588	138.689	138.739	138.686	138.661	138.598	138.731	138.690	138.623	138.703	138.657	138.657	138.774	138.723	138.770	138.654	138.742	138.624	138.612	138.690	138.627	138.734	138.710	138.692	138.749	138.689	138.763	115.914	115.840	115.893	115.840	115.903	115.890	115.881	115.877	115.883	115.890	115.887	115.878	115.881	115.872	115.871	115.875	115.875	115.835	115.868	115.860	115.936	115.840	115.896	115.883	115.885	115.895	115.889	115.868	115.908	115.852	115.886	115.862	2016_7_15_14_56_00
F2LS3HFBHFM5____	-67.379	-67.196	-67.268	-67.196	-67.345	-67.273	-67.266	-67.305	-67.273	-67.309	-67.271	-67.303	-67.267	-67.231	-67.272	-67.235	-67.235	-67.198	-67.279	-67.270	-67.414	-67.197	-67.308	-67.239	-67.305	-67.303	-67.339	-67.270	-67.377	-67.233	-67.314	-67.277	138.639	138.661	138.526	138.661	138.636	138.561	138.663	138.665	138.664	138.632	138.527	138.699	138.711	138.595	138.626	138.635	138.635	138.745	138.697	138.697	138.636	138.674	138.594	138.600	138.662	138.600	138.665	138.630	138.671	138.713	138.657	138.697	116.062	115.997	116.043	115.997	116.051	116.039	116.020	116.033	116.023	116.040	116.044	116.027	116.013	116.020	116.028	116.015	116.015	115.984	116.019	116.016	116.074	115.995	116.046	116.021	116.034	116.043	116.045	116.027	116.056	116.001	116.037	116.019	2016_7_15_14_56_03
F2LS38VQGRXL____	-67.278	-67.091	-67.164	-67.091	-67.245	-67.205	-67.164	-67.232	-67.201	-67.238	-67.170	-67.201	-67.164	-67.160	-67.165	-67.166	-67.166	-67.095	-67.208	-67.194	-67.313	-67.093	-67.206	-67.171	-67.204	-67.203	-67.235	-67.160	-67.341	-67.201	-67.217	-67.178	138.786	138.819	138.681	138.819	138.779	138.658	138.818	138.811	138.814	138.776	138.678	138.850	138.822	138.736	138.820	138.783	138.783	138.861	138.889	138.844	138.789	138.827	138.742	138.742	138.809	138.752	138.813	138.829	138.812	138.847	138.808	138.844	115.842	115.774	115.821	115.774	115.832	115.838	115.799	115.823	115.812	115.830	115.823	115.806	115.798	115.811	115.799	115.805	115.805	115.769	115.802	115.805	115.853	115.773	115.825	115.813	115.813	115.822	115.823	115.795	115.859	115.806	115.818	115.799	2016_7_15_14_56_05
