SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-67.576	-67.475	-67.401	-67.507	-67.544	-67.580	-67.477	-67.504	-67.440	-67.513	-67.578	-67.474	-67.364	-67.578	-67.502	-67.578	-67.475	-67.506	-67.468	-67.441	-67.474	-67.514	-67.508	-67.404	-67.443	-67.393	-67.370	-67.366	-67.336	-67.299	-67.403	-67.376	144.148	144.142	144.149	144.221	144.222	144.180	144.175	144.245	144.144	144.188	144.144	144.076	144.228	144.180	144.177	144.149	144.180	144.146	144.211	144.216	144.276	144.178	144.254	144.324	144.461	144.377	144.421	144.369	144.393	144.360	144.333	144.507	115.208	115.176	115.151	115.174	115.186	115.204	115.171	115.170	115.164	115.181	115.209	115.186	115.127	115.204	115.179	115.208	115.170	115.186	115.163	115.154	115.155	115.183	115.170	115.125	115.117	115.113	115.099	115.106	115.092	115.085	115.123	115.088	2016_7_15_15_00_15
F2LS38TUGRXL____	-67.019	-66.914	-66.841	-66.950	-66.986	-67.019	-66.913	-66.947	-66.878	-66.984	-67.017	-66.916	-66.769	-66.980	-66.910	-67.019	-66.917	-66.910	-66.912	-66.879	-66.914	-66.950	-66.951	-66.844	-66.917	-66.841	-66.811	-66.809	-66.778	-66.741	-66.843	-66.809	144.148	144.119	144.151	144.185	144.213	144.149	144.177	144.217	144.115	144.154	144.149	144.052	144.225	144.191	144.192	144.117	144.151	144.152	144.180	144.217	144.253	144.147	144.222	144.348	144.464	144.402	144.478	144.436	144.442	144.408	144.321	144.482	114.881	114.851	114.822	114.853	114.860	114.881	114.842	114.847	114.840	114.869	114.880	114.862	114.787	114.861	114.839	114.886	114.847	114.845	114.841	114.825	114.831	114.858	114.847	114.793	114.800	114.784	114.763	114.768	114.757	114.751	114.797	114.762	2016_7_15_15_00_18
F2LS35BZHFM1____	-67.111	-67.011	-66.932	-67.044	-67.080	-67.116	-67.011	-67.043	-66.977	-67.080	-67.112	-67.008	-66.900	-67.114	-67.041	-67.115	-67.010	-67.045	-67.003	-66.975	-67.008	-67.048	-67.113	-66.941	-67.017	-66.931	-66.909	-66.905	-66.875	-66.842	-66.940	-66.910	144.278	144.246	144.282	144.317	144.312	144.274	144.312	144.336	144.242	144.279	144.276	144.174	144.316	144.276	144.271	144.240	144.280	144.245	144.300	144.304	144.373	144.277	144.343	144.410	144.548	144.475	144.507	144.455	144.476	144.448	144.424	144.583	114.912	114.885	114.853	114.885	114.897	114.915	114.875	114.882	114.874	114.902	114.913	114.895	114.838	114.914	114.890	114.919	114.879	114.896	114.874	114.864	114.864	114.892	114.903	114.837	114.841	114.824	114.812	114.818	114.805	114.799	114.834	114.801	2016_7_15_15_00_21
F2LS3JESHFM5____	-67.666	-67.599	-67.526	-67.596	-67.634	-67.666	-67.599	-67.597	-67.562	-67.629	-67.664	-67.600	-67.455	-67.664	-67.595	-67.665	-67.599	-67.595	-67.565	-67.565	-67.562	-67.600	-67.597	-67.527	-67.563	-67.489	-67.457	-67.456	-67.422	-67.384	-67.527	-67.458	143.990	143.984	143.993	144.057	144.061	144.023	144.011	144.103	143.984	144.025	143.989	143.920	144.075	144.028	144.035	143.992	144.024	143.992	144.065	144.060	144.141	144.021	144.094	144.215	144.334	144.251	144.306	144.272	144.275	144.238	144.214	144.354	115.251	115.230	115.205	115.218	115.230	115.246	115.226	115.211	115.218	115.234	115.251	115.240	115.169	115.244	115.221	115.251	115.224	115.228	115.207	115.208	115.194	115.225	115.213	115.172	115.165	115.154	115.135	115.140	115.128	115.121	115.172	115.128	2016_7_15_15_00_24
F2LS39Q6GRXL____	-66.969	-66.866	-66.800	-66.935	-66.940	-66.973	-66.871	-66.903	-66.830	-66.935	-66.970	-66.866	-66.763	-66.969	-66.901	-66.970	-66.867	-66.933	-66.867	-66.837	-66.868	-66.906	-66.867	-66.797	-66.867	-66.792	-66.761	-66.761	-66.726	-66.689	-66.799	-66.762	144.216	144.220	144.225	144.258	144.288	144.249	144.245	144.322	144.214	144.253	144.213	144.151	144.297	144.254	144.252	144.215	144.253	144.217	144.288	144.287	144.361	144.249	144.330	144.432	144.541	144.474	144.512	144.473	144.475	144.443	144.432	144.616	114.747	114.712	114.690	114.729	114.726	114.743	114.710	114.709	114.701	114.730	114.747	114.723	114.667	114.741	114.719	114.747	114.708	114.735	114.703	114.693	114.692	114.721	114.696	114.658	114.664	114.650	114.634	114.640	114.628	114.621	114.658	114.619	2016_7_15_15_00_27
F2LS3EKPHFM2____	-67.565	-67.460	-67.387	-67.496	-67.531	-67.567	-67.462	-67.494	-67.426	-67.531	-67.565	-67.459	-67.352	-67.565	-67.493	-67.565	-67.461	-67.495	-67.458	-67.427	-67.461	-67.497	-67.496	-67.390	-67.464	-67.384	-67.358	-67.355	-67.323	-67.286	-67.390	-67.358	144.043	144.045	144.042	144.117	144.120	144.071	144.076	144.142	144.045	144.080	144.041	143.976	144.113	144.076	144.073	144.038	144.080	144.048	144.109	144.109	144.176	144.076	144.152	144.251	144.365	144.280	144.328	144.288	144.293	144.263	144.243	144.396	114.910	114.876	114.853	114.877	114.888	114.907	114.872	114.872	114.865	114.894	114.911	114.886	114.830	114.905	114.882	114.911	114.871	114.887	114.866	114.855	114.856	114.883	114.871	114.821	114.828	114.815	114.799	114.805	114.794	114.786	114.823	114.789	2016_7_15_15_00_30
F2LS3TKDHFM5____	-67.947	-67.844	-67.773	-67.880	-67.917	-67.949	-67.846	-67.878	-67.807	-67.912	-67.946	-67.844	-67.735	-67.946	-67.877	-67.947	-67.844	-67.876	-67.845	-67.814	-67.844	-67.882	-67.880	-67.777	-67.853	-67.769	-67.743	-67.738	-67.708	-67.672	-67.775	-67.742	143.969	143.998	144.002	144.063	144.066	144.001	144.026	144.072	143.995	144.004	143.972	143.935	144.075	144.040	144.036	144.002	144.034	144.002	144.074	144.072	144.111	144.027	144.100	144.262	144.368	144.223	144.296	144.251	144.259	144.265	144.189	144.376	115.282	115.244	115.220	115.246	115.257	115.278	115.240	115.244	115.232	115.265	115.281	115.254	115.197	115.271	115.249	115.277	115.239	115.254	115.233	115.223	115.227	115.252	115.240	115.182	115.190	115.185	115.165	115.171	115.160	115.147	115.192	115.153	2016_7_15_15_00_33
F2LS3HZVHFM5____	-67.385	-67.257	-67.145	-67.254	-67.330	-67.324	-67.259	-67.252	-67.184	-67.288	-67.320	-67.221	-67.108	-67.321	-67.249	-67.321	-67.258	-67.251	-67.217	-67.224	-67.256	-67.294	-67.255	-67.188	-67.224	-67.180	-67.157	-67.152	-67.123	-67.086	-67.187	-67.160	144.025	144.079	144.087	144.151	144.146	144.112	144.106	144.183	144.082	144.120	144.082	144.021	144.168	144.120	144.116	144.080	144.114	144.090	144.153	144.147	144.215	144.107	144.187	144.279	144.429	144.328	144.372	144.321	144.340	144.322	144.273	144.440	115.077	115.027	114.989	115.015	115.040	115.043	115.023	115.009	115.002	115.031	115.047	115.024	114.964	115.041	115.018	115.047	115.021	115.023	115.002	115.005	115.005	115.034	115.009	114.974	114.962	114.963	114.950	114.955	114.943	114.934	114.974	114.940	2016_7_15_15_00_36
F2LS3HFBHFM5____	-67.351	-67.244	-67.136	-67.282	-67.319	-67.352	-67.248	-67.243	-67.208	-67.317	-67.348	-67.246	-67.099	-67.348	-67.240	-67.349	-67.247	-67.280	-67.241	-67.212	-67.244	-67.282	-67.284	-67.175	-67.252	-67.168	-67.143	-67.139	-67.110	-67.076	-67.176	-67.145	144.039	144.073	144.066	144.138	144.138	144.098	144.099	144.169	144.069	144.103	144.071	144.002	144.142	144.108	144.103	144.067	144.105	144.072	144.133	144.134	144.203	144.099	144.173	144.274	144.410	144.306	144.369	144.314	144.336	144.313	144.260	144.429	115.202	115.162	115.128	115.165	115.177	115.194	115.159	115.147	115.151	115.182	115.197	115.174	115.105	115.191	115.156	115.197	115.158	115.174	115.152	115.143	115.143	115.171	115.160	115.109	115.114	115.102	115.084	115.091	115.079	115.071	115.112	115.076	2016_7_15_15_00_39
F2LS38VQGRXL____	-67.218	-67.114	-67.041	-67.150	-67.186	-67.221	-67.116	-67.149	-67.080	-67.184	-67.219	-67.115	-67.005	-67.219	-67.147	-67.218	-67.114	-67.149	-67.112	-67.082	-67.115	-67.152	-67.150	-67.044	-67.120	-67.035	-67.010	-67.009	-66.978	-66.941	-67.042	-67.011	144.221	144.228	144.228	144.294	144.293	144.256	144.259	144.326	144.225	144.258	144.221	144.157	144.298	144.260	144.256	144.226	144.259	144.223	144.290	144.292	144.361	144.259	144.330	144.421	144.568	144.459	144.510	144.460	144.483	144.468	144.414	144.583	114.969	114.934	114.910	114.935	114.947	114.965	114.929	114.930	114.923	114.952	114.969	114.945	114.887	114.963	114.940	114.968	114.929	114.946	114.923	114.913	114.914	114.941	114.930	114.881	114.884	114.873	114.857	114.864	114.851	114.841	114.882	114.846	2016_7_15_15_00_41
