SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-34.535	-34.965	-34.790	-34.823	-34.436	-34.727	-34.157	-34.510	-34.603	-34.876	-34.930	-34.189	-34.020	-34.521	-34.825	-34.860	-34.125	-34.475	-34.444	-34.524	-34.819	-34.412	-34.828	-34.491	-34.910	-34.317	-34.490	-34.449	-34.690	-34.782	-34.790	-34.472	-116.666	-116.795	-116.480	-116.466	-116.797	-116.678	-116.671	-116.550	-116.501	-116.706	-116.760	-116.217	-116.445	-116.307	-116.620	-116.445	-116.445	-116.608	-116.528	-116.711	-116.647	-116.743	-116.761	-116.708	-116.973	-116.437	-116.703	-116.535	-116.877	-116.884	-116.690	-116.574	253.375	253.198	253.235	253.217	253.437	253.289	253.546	253.370	253.322	253.226	253.209	253.471	253.578	253.333	253.238	253.198	253.531	253.394	253.397	253.386	253.244	253.440	253.255	253.400	253.247	253.443	253.400	253.396	253.333	253.292	253.263	253.391	2016_7_15_15_08_40
F2LS38TUGRXL____	-34.860	-35.072	-34.844	-34.685	-34.790	-34.825	-34.576	-34.650	-34.630	-35.157	-34.860	-34.658	-34.596	-34.567	-35.048	-35.350	-34.815	-34.930	-35.070	-34.877	-35.097	-35.210	-35.035	-34.838	-35.210	-34.790	-34.650	-34.809	-34.794	-35.210	-35.070	-34.645	-116.060	-116.213	-115.863	-115.920	-116.200	-116.270	-116.250	-115.850	-115.821	-116.160	-115.920	-115.870	-115.944	-115.936	-116.053	-115.955	-116.016	-116.200	-116.130	-116.185	-116.241	-116.200	-116.025	-116.407	-116.240	-116.090	-116.166	-116.014	-116.205	-116.165	-116.130	-116.164	253.146	253.071	253.126	253.206	253.197	253.190	253.300	253.213	253.218	253.025	253.127	253.212	253.250	253.262	253.060	252.910	253.160	253.133	253.060	253.155	253.063	253.007	253.062	253.203	253.012	253.182	253.255	253.163	253.196	253.002	253.060	253.257	2016_7_15_15_08_43
F2LS35BZHFM1____	-34.675	-34.943	-34.699	-34.925	-34.457	-34.538	-34.181	-34.674	-34.546	-34.935	-34.698	-34.696	-34.508	-34.491	-34.775	-34.899	-34.729	-34.744	-34.703	-34.665	-35.065	-34.621	-34.929	-34.968	-34.994	-34.591	-34.446	-34.656	-34.646	-34.737	-34.668	-34.671	-115.900	-116.075	-115.592	-115.957	-115.852	-115.984	-115.853	-115.818	-115.666	-116.005	-115.711	-115.706	-115.731	-115.662	-115.833	-115.735	-115.681	-115.982	-115.964	-116.034	-115.954	-116.103	-116.062	-116.134	-116.090	-115.875	-115.890	-115.913	-115.987	-115.938	-115.901	-116.076	253.208	253.110	253.155	253.103	253.301	253.282	253.426	253.197	253.235	253.104	253.172	253.172	253.261	253.260	253.153	253.084	253.154	253.188	253.204	253.231	253.039	253.260	253.115	253.107	253.089	253.243	253.311	253.219	253.233	253.185	253.211	253.234	2016_7_15_15_08_46
F2LS3JESHFM5____	-34.242	-34.296	-34.175	-34.163	-34.073	-33.975	-34.020	-34.109	-33.925	-34.329	-34.256	-34.084	-33.952	-34.180	-34.229	-34.449	-33.989	-34.067	-34.030	-34.097	-34.466	-34.194	-34.283	-34.008	-34.055	-34.086	-34.273	-34.045	-34.080	-34.059	-34.045	-33.996	-116.162	-116.005	-115.950	-115.772	-116.110	-116.036	-115.990	-115.891	-115.543	-116.008	-116.036	-115.830	-115.731	-116.076	-115.838	-115.938	-115.861	-115.978	-115.723	-116.033	-116.083	-115.986	-116.140	-116.194	-116.095	-116.210	-116.416	-115.732	-115.985	-115.805	-115.831	-116.006	253.442	253.396	253.444	253.425	253.511	253.546	253.520	253.466	253.503	253.382	253.419	253.469	253.516	253.458	253.404	253.318	253.517	253.497	253.479	253.490	253.329	253.440	253.420	253.552	253.518	253.519	253.462	253.474	253.492	253.477	253.487	253.533	2016_7_15_15_08_49
F2LS39Q6GRXL____	-34.705	-35.035	-34.862	-34.755	-34.784	-34.877	-34.509	-34.793	-34.633	-34.860	-34.898	-34.903	-34.783	-35.001	-35.099	-35.176	-34.941	-35.062	-35.041	-34.812	-35.225	-34.763	-34.917	-34.834	-35.105	-34.791	-34.844	-34.995	-34.796	-35.056	-35.052	-34.892	-116.255	-116.305	-115.982	-116.130	-116.331	-116.391	-116.337	-116.106	-116.064	-116.235	-116.175	-116.065	-116.079	-116.085	-116.349	-116.129	-116.151	-116.324	-116.260	-116.390	-116.417	-116.337	-116.173	-116.657	-116.515	-116.220	-116.425	-116.317	-116.387	-116.291	-116.202	-116.255	253.243	253.100	253.135	253.203	253.217	253.183	253.342	253.183	253.249	253.170	253.144	253.127	253.183	253.085	253.077	253.012	253.121	253.091	253.091	253.213	253.030	253.227	253.135	253.239	253.097	253.199	253.203	253.120	253.219	253.089	253.079	253.158	2016_7_15_15_08_52
F2LS3EKPHFM2____	-34.884	-35.068	-34.788	-34.893	-34.772	-34.550	-34.499	-34.819	-34.812	-35.206	-34.970	-34.753	-34.468	-34.809	-35.110	-35.108	-34.868	-35.139	-34.913	-34.985	-34.983	-34.901	-34.735	-35.090	-35.201	-34.892	-34.928	-34.677	-34.662	-34.987	-34.984	-35.063	-116.046	-116.283	-115.847	-116.267	-115.941	-116.180	-116.124	-115.903	-115.808	-116.154	-115.911	-115.847	-115.741	-116.000	-115.926	-115.814	-115.881	-116.187	-116.047	-116.237	-116.220	-116.129	-116.082	-116.401	-116.239	-115.909	-116.162	-116.044	-116.129	-116.082	-115.989	-116.294	253.394	253.343	253.410	253.420	253.430	253.564	253.579	253.404	253.394	253.263	253.337	253.426	253.541	253.422	253.275	253.261	253.379	253.298	253.381	253.374	253.373	253.398	253.466	253.349	253.277	253.372	253.390	253.487	253.506	253.352	253.341	253.347	2016_7_15_15_08_55
F2LS3TKDHFM5____	-34.668	-34.725	-34.623	-34.689	-34.568	-34.356	-34.359	-34.548	-34.480	-34.786	-34.681	-34.575	-34.447	-34.551	-34.712	-34.935	-34.719	-34.556	-34.528	-34.648	-34.986	-34.649	-34.647	-34.675	-34.827	-34.699	-34.375	-34.603	-34.646	-34.662	-34.660	-34.672	-116.160	-116.138	-115.759	-115.721	-115.985	-116.041	-116.256	-115.703	-115.673	-116.146	-115.722	-115.714	-115.935	-115.735	-115.846	-115.669	-116.135	-116.049	-115.970	-116.043	-116.077	-116.179	-115.889	-116.455	-116.078	-116.076	-115.899	-116.244	-116.051	-116.342	-115.915	-116.024	253.247	253.217	253.213	253.178	253.268	253.372	253.399	253.239	253.266	253.191	253.181	253.228	253.316	253.242	253.184	253.058	253.220	253.282	253.284	253.240	253.091	253.258	253.219	253.283	253.163	253.221	253.344	253.287	253.242	253.274	253.217	253.226	2016_7_15_15_08_59
F2LS3HZVHFM5____	-34.442	-34.526	-34.344	-34.374	-34.107	-34.377	-34.138	-34.353	-34.136	-34.614	-34.558	-34.353	-34.099	-34.014	-34.492	-34.611	-34.204	-34.459	-34.419	-34.429	-34.672	-34.344	-34.486	-34.477	-34.662	-34.420	-34.154	-34.484	-34.416	-34.561	-34.501	-34.327	-115.545	-115.584	-115.358	-115.631	-115.424	-115.685	-115.765	-115.344	-115.308	-115.600	-115.360	-115.549	-115.311	-115.179	-115.549	-115.580	-115.436	-115.503	-115.424	-115.547	-115.731	-115.702	-115.594	-115.917	-115.604	-115.659	-115.352	-115.442	-115.631	-115.588	-115.549	-115.532	253.266	253.233	253.286	253.309	253.403	253.315	253.435	253.280	253.374	253.196	253.188	253.308	253.391	253.412	253.244	253.194	253.360	253.253	253.261	253.273	253.187	253.332	253.253	253.301	253.174	253.292	253.372	253.233	253.290	253.218	253.240	253.317	2016_7_15_15_09_01
F2LS3HFBHFM5____	-34.528	-34.615	-34.295	-34.685	-34.303	-34.205	-34.370	-34.273	-34.227	-34.672	-34.540	-34.405	-34.243	-34.147	-34.686	-34.727	-34.519	-34.416	-34.507	-34.689	-34.805	-34.008	-34.455	-34.644	-34.703	-34.373	-34.037	-34.452	-34.312	-34.440	-34.818	-34.275	-115.273	-115.605	-115.145	-115.290	-115.239	-115.348	-115.430	-115.258	-115.157	-115.270	-115.337	-115.150	-115.103	-114.984	-115.149	-115.444	-115.577	-115.356	-115.274	-115.663	-115.515	-115.343	-115.203	-115.827	-115.727	-115.194	-115.214	-115.231	-115.409	-115.255	-115.754	-115.381	253.190	253.196	253.279	253.121	253.288	253.348	253.284	253.305	253.312	253.124	253.193	253.230	253.297	253.325	253.101	253.123	253.236	253.253	253.200	253.170	253.097	253.437	253.214	253.213	253.173	253.250	253.407	253.219	253.307	253.228	253.124	253.320	2016_7_15_15_09_04
F2LS38VQGRXL____	-34.440	-34.641	-34.650	-34.374	-34.421	-34.545	-34.370	-34.300	-34.394	-34.580	-34.412	-34.355	-34.161	-34.324	-34.425	-34.510	-34.255	-34.462	-34.232	-34.311	-34.555	-34.398	-34.379	-34.471	-34.405	-34.090	-34.415	-34.255	-34.364	-34.503	-34.563	-34.456	-115.850	-115.811	-115.640	-115.653	-115.970	-115.990	-115.920	-115.570	-115.601	-115.885	-115.646	-115.640	-115.601	-115.549	-115.823	-115.815	-115.617	-115.911	-115.832	-115.960	-115.827	-116.101	-115.698	-116.191	-116.095	-115.815	-116.007	-115.897	-115.971	-115.927	-115.841	-116.005	253.308	253.211	253.184	253.311	253.333	253.279	253.349	253.334	253.295	253.249	253.293	253.318	253.401	253.320	253.311	253.271	253.361	253.307	253.400	253.381	253.253	253.361	253.315	253.340	253.357	253.462	253.341	253.399	253.359	253.290	253.251	253.322	2016_7_15_15_09_07
