SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-29.797	-29.797	-29.760	-29.789	-29.793	-29.794	-29.746	-29.793	-29.746	-29.759	-29.759	-29.789	-29.866	-29.794	-29.794	-29.867	-29.829	-29.791	-29.745	-29.794	-29.715	-29.833	-29.829	-29.833	-29.794	-29.794	-29.783	-29.794	-29.758	-29.829	-29.837	-29.832	-142.667	-142.667	-142.669	-142.740	-142.669	-142.636	-142.636	-142.669	-142.636	-142.634	-142.608	-142.740	-142.570	-142.636	-142.636	-142.698	-142.698	-142.670	-142.599	-142.635	-142.667	-142.601	-142.679	-142.601	-142.606	-142.606	-142.577	-142.606	-142.492	-142.638	-142.570	-142.703	258.203	258.203	258.217	258.212	258.205	258.201	258.220	258.205	258.220	258.215	258.213	258.212	258.169	258.201	258.201	258.179	258.193	258.205	258.218	258.201	258.234	258.184	258.192	258.184	258.199	258.199	258.201	258.199	258.204	258.188	258.180	258.192	2016_7_15_15_12_11
F2LS38TUGRXL____	-30.008	-30.008	-29.975	-30.007	-30.008	-30.010	-29.969	-30.008	-29.969	-29.977	-29.975	-30.007	-30.083	-30.010	-30.010	-30.078	-30.040	-30.005	-29.969	-30.010	-29.936	-30.044	-30.046	-30.044	-30.008	-30.008	-30.004	-30.008	-29.969	-30.044	-30.044	-30.044	-142.743	-142.743	-142.744	-142.772	-142.743	-142.705	-142.699	-142.743	-142.699	-142.705	-142.714	-142.772	-142.636	-142.705	-142.705	-142.813	-142.771	-142.776	-142.659	-142.741	-142.740	-142.669	-142.744	-142.669	-142.715	-142.715	-142.675	-142.715	-142.600	-142.747	-142.677	-142.774	258.128	258.128	258.141	258.131	258.128	258.124	258.139	258.128	258.139	258.137	258.138	258.131	258.090	258.124	258.124	258.107	258.118	258.132	258.136	258.127	258.155	258.108	258.114	258.108	258.126	258.126	258.124	258.126	258.131	258.114	258.109	258.117	2016_7_15_15_12_17
F2LS35BZHFM1____	-30.120	-30.120	-30.090	-30.119	-30.124	-30.129	-30.080	-30.124	-30.080	-30.086	-30.091	-30.119	-30.205	-30.129	-30.129	-30.198	-30.158	-30.126	-30.080	-30.129	-30.046	-30.166	-30.160	-30.166	-30.127	-30.127	-30.115	-30.127	-30.093	-30.161	-30.172	-30.163	-142.814	-142.814	-142.777	-142.804	-142.775	-142.738	-142.733	-142.775	-142.733	-142.776	-142.709	-142.804	-142.667	-142.738	-142.738	-142.805	-142.804	-142.774	-142.694	-142.734	-142.775	-142.701	-142.777	-142.701	-142.706	-142.706	-142.670	-142.706	-142.591	-142.737	-142.709	-142.852	258.382	258.382	258.390	258.382	258.377	258.372	258.391	258.377	258.391	258.392	258.384	258.382	258.337	258.372	258.372	258.351	258.366	258.376	258.388	258.372	258.407	258.355	258.364	258.355	258.371	258.371	258.372	258.371	258.374	258.360	258.354	258.368	2016_7_15_15_27_22
F2LS3JESHFM5____	-29.267	-29.267	-29.225	-29.260	-29.262	-29.262	-29.219	-29.262	-29.219	-29.227	-29.227	-29.260	-29.342	-29.262	-29.262	-29.337	-29.297	-29.257	-29.216	-29.255	-29.186	-29.305	-29.298	-29.305	-29.312	-29.312	-29.255	-29.312	-29.228	-29.299	-29.304	-29.303	-142.892	-142.892	-142.889	-142.885	-142.899	-142.864	-142.858	-142.899	-142.858	-142.861	-142.795	-142.885	-142.759	-142.864	-142.864	-142.920	-142.924	-142.898	-142.790	-142.903	-142.888	-142.824	-142.904	-142.824	-142.832	-142.832	-142.805	-142.832	-142.721	-142.865	-142.799	-142.930	258.558	258.558	258.573	258.560	258.560	258.557	258.573	258.560	258.573	258.571	258.565	258.560	258.518	258.557	258.557	258.533	258.548	258.562	258.569	258.563	258.588	258.538	258.546	258.538	258.535	258.535	258.555	258.535	258.559	258.543	258.536	258.547	2016_7_15_15_27_26
F2LS39Q6GRXL____	-29.888	-29.888	-29.848	-29.882	-29.884	-29.886	-29.850	-29.884	-29.850	-29.850	-29.850	-29.882	-29.961	-29.886	-29.886	-29.961	-29.922	-29.884	-29.879	-29.886	-29.814	-29.925	-29.920	-29.925	-29.886	-29.886	-29.917	-29.886	-29.850	-29.921	-29.921	-29.926	-142.759	-142.759	-142.760	-142.792	-142.764	-142.731	-142.723	-142.764	-142.723	-142.731	-142.701	-142.792	-142.620	-142.731	-142.731	-142.791	-142.789	-142.765	-142.690	-142.730	-142.761	-142.689	-142.771	-142.689	-142.702	-142.702	-142.665	-142.702	-142.584	-142.733	-142.703	-142.794	258.457	258.457	258.473	258.462	258.459	258.456	258.469	258.459	258.469	258.470	258.467	258.462	258.418	258.456	258.456	258.432	258.446	258.459	258.455	258.455	258.485	258.437	258.446	258.437	258.453	258.453	258.438	258.453	258.457	258.442	258.440	258.445	2016_7_15_15_27_29
F2LS3EKPHFM2____	-29.540	-29.540	-29.504	-29.536	-29.537	-29.537	-29.496	-29.537	-29.496	-29.503	-29.502	-29.536	-29.612	-29.537	-29.537	-29.609	-29.572	-29.535	-29.495	-29.540	-29.459	-29.574	-29.573	-29.574	-29.537	-29.537	-29.530	-29.537	-29.499	-29.570	-29.572	-29.573	-142.740	-142.740	-142.741	-142.814	-142.739	-142.700	-142.703	-142.739	-142.703	-142.702	-142.666	-142.814	-142.631	-142.700	-142.700	-142.770	-142.815	-142.778	-142.660	-142.696	-142.740	-142.666	-142.738	-142.666	-142.666	-142.666	-142.633	-142.666	-142.555	-142.702	-142.630	-142.774	258.381	258.381	258.395	258.389	258.382	258.379	258.395	258.382	258.395	258.392	258.390	258.389	258.345	258.379	258.379	258.357	258.375	258.386	258.392	258.378	258.412	258.362	258.368	258.362	258.377	258.377	258.377	258.377	258.382	258.366	258.360	258.371	2016_7_15_15_27_32
F2LS3TKDHFM5____	-29.845	-29.845	-29.767	-29.840	-29.800	-29.807	-29.755	-29.800	-29.755	-29.771	-29.768	-29.840	-29.880	-29.807	-29.807	-29.878	-29.841	-29.802	-29.753	-29.806	-29.721	-29.884	-29.877	-29.884	-29.806	-29.806	-29.789	-29.806	-29.766	-29.877	-29.881	-29.842	-142.866	-142.866	-142.830	-142.860	-142.870	-142.796	-142.795	-142.870	-142.795	-142.758	-142.767	-142.860	-142.725	-142.796	-142.796	-142.860	-142.860	-142.830	-142.756	-142.793	-142.829	-142.757	-142.837	-142.757	-142.767	-142.767	-142.736	-142.767	-142.657	-142.798	-142.769	-142.867	258.351	258.351	258.378	258.353	258.369	258.360	258.380	258.369	258.380	258.371	258.373	258.353	258.326	258.360	258.360	258.338	258.352	258.365	258.378	258.360	258.396	258.327	258.336	258.327	258.358	258.358	258.362	258.358	258.365	258.333	258.329	258.352	2016_7_15_15_27_35
F2LS3HZVHFM5____	-29.791	-29.791	-29.712	-29.745	-29.748	-29.751	-29.744	-29.748	-29.744	-29.715	-29.715	-29.745	-29.866	-29.751	-29.751	-29.863	-29.823	-29.746	-29.742	-29.790	-29.713	-29.829	-29.823	-29.829	-29.750	-29.750	-29.779	-29.750	-29.755	-29.824	-29.832	-29.827	-142.737	-142.737	-142.735	-142.730	-142.739	-142.704	-142.665	-142.739	-142.665	-142.664	-142.637	-142.730	-142.596	-142.704	-142.704	-142.732	-142.768	-142.736	-142.667	-142.702	-142.736	-142.669	-142.708	-142.669	-142.641	-142.641	-142.642	-142.641	-142.524	-142.706	-142.636	-142.775	258.332	258.332	258.362	258.349	258.348	258.345	258.344	258.348	258.344	258.355	258.353	258.349	258.292	258.345	258.345	258.304	258.322	258.349	258.345	258.330	258.362	258.312	258.317	258.312	258.340	258.340	258.329	258.340	258.329	258.317	258.308	258.321	2016_7_15_15_27_38
F2LS3HFBHFM5____	-29.604	-29.604	-29.569	-29.600	-29.602	-29.604	-29.563	-29.602	-29.563	-29.569	-29.568	-29.600	-29.680	-29.604	-29.604	-29.676	-29.637	-29.600	-29.563	-29.603	-29.528	-29.642	-29.640	-29.642	-29.603	-29.603	-29.599	-29.603	-29.570	-29.641	-29.645	-29.641	-142.820	-142.820	-142.821	-142.854	-142.825	-142.790	-142.784	-142.825	-142.784	-142.789	-142.797	-142.854	-142.751	-142.790	-142.790	-142.852	-142.850	-142.856	-142.746	-142.824	-142.823	-142.787	-142.867	-142.787	-142.797	-142.797	-142.765	-142.797	-142.685	-142.829	-142.763	-142.856	258.289	258.289	258.302	258.293	258.290	258.286	258.302	258.290	258.302	258.299	258.301	258.293	258.254	258.286	258.286	258.264	258.278	258.293	258.298	258.289	258.318	258.272	258.279	258.272	258.287	258.287	258.286	258.287	258.291	258.275	258.268	258.277	2016_7_15_15_27_43
F2LS38VQGRXL____	-29.823	-29.823	-29.821	-29.852	-29.854	-29.857	-29.816	-29.854	-29.816	-29.822	-29.820	-29.852	-29.936	-29.857	-29.857	-29.927	-29.889	-29.819	-29.816	-29.857	-29.783	-29.894	-29.892	-29.894	-29.856	-29.856	-29.851	-29.856	-29.822	-29.892	-29.896	-29.891	-142.812	-142.812	-142.811	-142.841	-142.812	-142.775	-142.772	-142.812	-142.772	-142.776	-142.744	-142.841	-142.702	-142.775	-142.775	-142.844	-142.842	-142.808	-142.732	-142.772	-142.813	-142.739	-142.814	-142.739	-142.745	-142.745	-142.709	-142.745	-142.632	-142.778	-142.744	-142.849	258.205	258.205	258.205	258.196	258.193	258.189	258.204	258.193	258.204	258.202	258.200	258.196	258.152	258.189	258.189	258.167	258.181	258.206	258.201	258.188	258.220	258.171	258.178	258.171	258.186	258.186	258.185	258.186	258.190	258.175	258.171	258.182	2016_7_15_15_27_46
