SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-36.399	-36.284	-36.330	-36.330	-36.295	-36.363	-36.365	-36.365	-36.330	-36.445	-36.330	-36.330	-36.330	-36.330	-36.408	-36.330	-36.330	-36.402	-36.330	-36.365	-36.330	-36.441	-36.365	-36.330	-36.330	-36.363	-36.322	-36.321	-36.295	-36.295	-36.295	-36.322	-139.173	-139.171	-139.125	-139.125	-139.090	-139.136	-139.090	-139.090	-139.090	-139.121	-139.125	-139.125	-139.125	-139.090	-139.175	-139.125	-139.125	-139.139	-139.125	-139.090	-139.090	-139.116	-139.125	-139.125	-139.125	-139.136	-139.174	-139.174	-139.090	-139.090	-139.090	-139.174	255.343	255.387	255.365	255.365	255.375	255.353	255.348	255.348	255.362	255.320	255.365	255.365	255.365	255.362	255.340	255.365	255.365	255.339	255.365	255.348	255.362	255.321	255.352	255.365	255.365	255.353	255.373	255.373	255.375	255.375	255.375	255.373	2016_7_15_15_34_01
F2LS38TUGRXL____	-36.661	-36.523	-36.598	-36.598	-36.575	-36.635	-36.636	-36.636	-36.596	-36.698	-36.592	-36.598	-36.597	-36.594	-36.637	-36.598	-36.600	-36.634	-36.598	-36.634	-36.596	-36.661	-36.634	-36.596	-36.596	-36.635	-36.595	-36.626	-36.597	-36.575	-36.557	-36.595	-139.224	-139.224	-139.187	-139.187	-139.160	-139.188	-139.154	-139.154	-139.154	-139.119	-139.115	-139.187	-139.189	-139.156	-139.223	-139.187	-139.191	-139.189	-139.187	-139.156	-139.155	-139.117	-139.190	-139.187	-139.121	-139.188	-139.223	-139.223	-139.153	-139.160	-139.154	-139.223	255.247	255.301	255.268	255.268	255.274	255.254	255.250	255.250	255.265	255.223	255.263	255.268	255.269	255.266	255.257	255.268	255.268	255.254	255.268	255.251	255.266	255.237	255.255	255.269	255.262	255.254	255.273	255.261	255.265	255.274	255.281	255.273	2016_7_15_15_40_01
F2LS35BZHFM1____	-36.617	-36.508	-36.587	-36.587	-36.507	-36.621	-36.622	-36.622	-36.582	-36.660	-36.578	-36.587	-36.543	-36.542	-36.583	-36.587	-36.546	-36.623	-36.587	-36.577	-36.544	-36.654	-36.579	-36.587	-36.544	-36.621	-36.542	-36.623	-36.507	-36.507	-36.508	-36.542	-139.156	-139.153	-139.117	-139.117	-139.084	-139.117	-139.085	-139.085	-139.084	-139.054	-139.047	-139.117	-139.122	-139.086	-139.155	-139.117	-139.117	-139.121	-139.117	-139.082	-139.082	-139.050	-139.122	-139.120	-139.052	-139.117	-139.155	-139.155	-139.084	-139.084	-139.086	-139.155	255.258	255.299	255.265	255.265	255.293	255.252	255.248	255.248	255.264	255.231	255.262	255.265	255.283	255.279	255.271	255.265	255.281	255.252	255.265	255.265	255.278	255.233	255.269	255.266	255.275	255.252	255.286	255.255	255.293	255.293	255.292	255.286	2016_7_15_15_40_09
F2LS3JESHFM5____	-35.817	-35.665	-35.700	-35.700	-35.665	-35.831	-35.665	-35.665	-35.700	-35.840	-35.700	-35.700	-35.700	-35.630	-35.693	-35.700	-35.705	-35.665	-35.700	-35.735	-35.700	-35.700	-35.735	-35.770	-35.630	-35.831	-35.696	-35.735	-35.665	-35.665	-35.665	-35.696	-139.171	-139.160	-139.125	-139.125	-139.090	-139.134	-139.160	-139.160	-139.160	-139.125	-139.125	-139.125	-139.195	-139.160	-139.174	-139.125	-139.140	-139.195	-139.125	-139.106	-139.090	-139.125	-139.195	-139.125	-139.125	-139.134	-139.172	-139.160	-139.160	-139.090	-139.160	-139.172	255.567	255.625	255.608	255.608	255.618	255.559	255.625	255.625	255.612	255.554	255.608	255.608	255.615	255.639	255.616	255.608	255.608	255.629	255.608	255.593	255.605	255.608	255.602	255.581	255.635	255.559	255.614	255.598	255.625	255.618	255.625	255.614	2016_7_15_15_40_15
F2LS39Q6GRXL____	-36.540	-36.361	-36.403	-36.403	-36.351	-36.475	-36.431	-36.431	-36.400	-36.462	-36.390	-36.403	-36.396	-36.394	-36.437	-36.403	-36.400	-36.392	-36.403	-36.434	-36.397	-36.461	-36.431	-36.395	-36.391	-36.475	-36.395	-36.430	-36.352	-36.351	-36.357	-36.395	-139.230	-139.167	-139.132	-139.132	-139.097	-139.130	-139.099	-139.099	-139.100	-139.107	-139.104	-139.132	-139.134	-139.100	-139.169	-139.132	-139.133	-139.134	-139.132	-139.098	-139.097	-139.061	-139.133	-139.132	-139.064	-139.130	-139.169	-139.169	-139.139	-139.097	-139.141	-139.169	255.295	255.357	255.338	255.338	255.354	255.310	255.323	255.323	255.335	255.312	255.340	255.338	255.340	255.338	255.328	255.338	255.339	255.342	255.338	255.322	255.337	255.308	255.327	255.341	255.335	255.310	255.344	255.331	255.358	255.354	255.356	255.344	2016_7_15_15_40_22
F2LS3EKPHFM2____	-36.097	-36.004	-36.036	-36.036	-35.993	-36.074	-36.079	-36.079	-36.038	-36.059	-36.034	-36.036	-36.036	-36.039	-36.074	-36.036	-36.037	-36.036	-36.036	-36.068	-36.029	-36.103	-36.065	-36.043	-36.036	-36.074	-36.036	-36.029	-36.000	-35.993	-35.997	-36.036	-139.221	-139.221	-139.183	-139.183	-139.146	-139.182	-139.149	-139.149	-139.150	-139.115	-139.112	-139.183	-139.182	-139.150	-139.220	-139.183	-139.184	-139.183	-139.183	-139.146	-139.147	-139.113	-139.185	-139.184	-139.113	-139.182	-139.219	-139.219	-139.148	-139.146	-139.151	-139.219	255.464	255.500	255.484	255.484	255.497	255.469	255.464	255.464	255.480	255.468	255.478	255.484	255.484	255.480	255.473	255.484	255.484	255.484	255.484	255.468	255.483	255.451	255.473	255.482	255.477	255.469	255.488	255.491	255.495	255.497	255.496	255.488	2016_7_15_15_40_28
F2LS3TKDHFM5____	-36.408	-36.340	-36.382	-36.382	-36.341	-36.417	-36.418	-36.418	-36.381	-36.444	-36.376	-36.382	-36.374	-36.382	-36.380	-36.382	-36.373	-36.413	-36.382	-36.375	-36.338	-36.408	-36.409	-36.382	-36.381	-36.417	-36.375	-36.409	-36.344	-36.341	-36.301	-36.375	-139.168	-139.207	-139.130	-139.130	-139.096	-139.131	-139.097	-139.097	-139.096	-139.108	-139.059	-139.130	-139.131	-139.098	-139.167	-139.130	-139.170	-139.132	-139.130	-139.097	-139.096	-139.060	-139.132	-139.131	-139.063	-139.131	-139.165	-139.207	-139.095	-139.096	-139.096	-139.165	255.339	255.370	255.346	255.346	255.358	255.332	255.328	255.328	255.343	255.319	255.341	255.346	255.349	255.342	255.350	255.346	255.353	255.334	255.346	255.345	255.359	255.329	255.335	255.346	255.339	255.332	255.352	255.343	255.357	255.358	255.373	255.352	2016_7_15_15_41_22
F2LS3HFBHFM5____	-36.293	-36.190	-36.293	-36.293	-36.188	-36.398	-36.348	-36.348	-36.219	-36.341	-36.259	-36.293	-36.293	-36.223	-36.266	-36.293	-36.293	-36.259	-36.293	-36.398	-36.363	-36.433	-36.303	-36.293	-36.219	-36.398	-36.222	-36.307	-36.188	-36.188	-36.188	-36.222	-140.279	-140.282	-140.244	-140.244	-140.209	-140.314	-140.210	-140.210	-140.212	-140.178	-140.174	-140.244	-140.244	-140.215	-140.280	-140.244	-140.244	-140.247	-140.244	-140.279	-140.279	-140.244	-140.247	-140.244	-140.179	-140.314	-140.281	-140.284	-140.209	-140.209	-140.209	-140.281	255.488	255.528	255.485	255.485	255.521	255.451	255.460	255.460	255.510	255.460	255.491	255.485	255.485	255.508	255.499	255.485	255.485	255.498	255.485	255.448	255.461	255.431	255.481	255.485	255.507	255.451	255.515	255.483	255.521	255.521	255.521	255.515	2016_7_15_15_42_43
F2LS3HZVHFM5____	-36.525	-36.379	-36.500	-36.500	-36.327	-36.493	-36.452	-36.452	-36.414	-36.532	-36.411	-36.500	-36.419	-36.373	-36.501	-36.500	-36.421	-36.417	-36.500	-36.499	-36.415	-36.529	-36.450	-36.453	-36.415	-36.493	-36.368	-36.452	-36.338	-36.327	-36.379	-36.368	-140.221	-140.224	-140.183	-140.183	-140.149	-140.184	-140.153	-140.153	-140.156	-140.119	-140.118	-140.183	-140.192	-140.158	-140.223	-140.183	-140.186	-140.193	-140.183	-140.151	-140.148	-140.118	-140.187	-140.186	-140.118	-140.184	-140.176	-140.226	-140.155	-140.149	-140.155	-140.176	255.549	255.606	255.555	255.555	255.618	255.558	255.571	255.571	255.585	255.536	255.583	255.555	255.587	255.601	255.559	255.555	255.586	255.588	255.555	255.552	255.584	255.537	255.575	255.574	255.581	255.558	255.605	255.578	255.614	255.618	255.599	255.605	2016_7_15_15_42_39
F2LS38VQGRXL____	-36.643	-36.539	-36.582	-36.582	-36.532	-36.610	-36.607	-36.607	-36.574	-36.639	-36.569	-36.582	-36.574	-36.573	-36.619	-36.582	-36.578	-36.610	-36.582	-36.572	-36.581	-36.641	-36.648	-36.578	-36.576	-36.610	-36.575	-36.611	-36.537	-36.532	-36.534	-36.575	-140.270	-140.268	-140.193	-140.193	-140.199	-140.194	-140.199	-140.199	-140.200	-140.165	-140.162	-140.193	-140.233	-140.200	-140.227	-140.193	-140.236	-140.233	-140.193	-140.201	-140.160	-140.165	-140.235	-140.192	-140.167	-140.194	-140.267	-140.269	-140.199	-140.199	-140.200	-140.267	255.360	255.399	255.375	255.375	255.395	255.365	255.366	255.366	255.379	255.351	255.377	255.375	255.383	255.380	255.365	255.375	255.381	255.369	255.375	255.380	255.372	255.350	255.354	255.377	255.375	255.365	255.386	255.372	255.393	255.395	255.394	255.386	2016_7_15_15_42_47
