SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-53.673	-53.594	-53.592	-53.669	-53.627	-53.667	-53.631	-53.662	-53.630	-53.664	-53.595	-53.630	-53.598	-53.492	-53.526	-53.595	-53.595	-53.562	-53.563	-53.562	-53.527	-53.562	-53.562	-53.562	-53.595	-53.562	-53.527	-53.559	-53.562	-53.595	-53.559	-53.598	-94.678	-94.660	-94.695	-94.810	-94.734	-94.697	-94.734	-94.771	-94.805	-94.731	-94.879	-94.839	-94.806	-94.874	-94.949	-94.879	-94.879	-94.873	-94.844	-94.838	-94.873	-94.838	-94.850	-94.875	-94.877	-94.838	-94.845	-94.808	-94.850	-94.879	-94.802	-94.802	240.110	240.142	240.152	240.146	240.146	240.118	240.144	240.139	240.163	240.128	240.198	240.172	240.178	240.244	240.247	240.198	240.198	240.212	240.204	240.202	240.228	240.202	240.205	240.212	240.197	240.202	240.220	240.196	240.205	240.198	240.195	240.176	2016_7_15_15_47_22
F2LS38TUGRXL____	-53.767	-53.730	-53.729	-53.800	-53.766	-53.805	-53.766	-53.800	-53.766	-53.799	-53.729	-53.767	-53.700	-53.631	-53.666	-53.729	-53.729	-53.699	-53.698	-53.699	-53.698	-53.699	-53.698	-53.734	-53.731	-53.699	-53.666	-53.695	-53.698	-53.729	-53.695	-53.735	-94.584	-94.625	-94.661	-94.727	-94.690	-94.618	-94.691	-94.732	-94.764	-94.691	-94.794	-94.796	-94.763	-94.832	-94.867	-94.794	-94.794	-94.830	-94.758	-94.793	-94.828	-94.793	-94.765	-94.792	-94.795	-94.793	-94.759	-94.764	-94.765	-94.794	-94.759	-94.758	240.047	240.074	240.084	240.069	240.074	240.038	240.075	240.070	240.094	240.059	240.118	240.102	240.124	240.173	240.166	240.118	240.118	240.142	240.123	240.132	240.141	240.132	240.125	240.116	240.118	240.132	240.139	240.126	240.125	240.118	240.125	240.107	2016_7_15_15_47_25
F2LS35BZHFM1____	-53.629	-53.590	-53.592	-53.663	-53.627	-53.666	-53.629	-53.702	-53.627	-53.664	-53.592	-53.628	-53.559	-53.494	-53.527	-53.592	-53.592	-53.561	-53.559	-53.560	-53.527	-53.560	-53.559	-53.558	-53.592	-53.560	-53.526	-53.558	-53.559	-53.592	-53.559	-53.595	-94.529	-94.567	-94.604	-94.679	-94.640	-94.607	-94.642	-94.681	-94.715	-94.640	-94.747	-94.749	-94.713	-94.781	-94.818	-94.747	-94.747	-94.781	-94.715	-94.747	-94.779	-94.747	-94.718	-94.744	-94.747	-94.747	-94.716	-94.715	-94.718	-94.747	-94.714	-94.715	240.096	240.123	240.132	240.119	240.125	240.099	240.125	240.102	240.145	240.108	240.169	240.153	240.175	240.223	240.217	240.169	240.169	240.192	240.176	240.184	240.207	240.184	240.177	240.184	240.169	240.184	240.191	240.176	240.177	240.169	240.176	240.159	2016_7_15_15_47_29
F2LS3JESHFM5____	-53.184	-53.150	-53.112	-53.222	-53.183	-53.223	-53.185	-53.181	-53.186	-53.180	-53.108	-53.183	-53.075	-53.006	-53.039	-53.108	-53.108	-53.114	-53.114	-53.115	-53.079	-53.115	-53.114	-53.116	-53.110	-53.115	-53.079	-53.113	-53.114	-53.108	-53.112	-53.152	-94.601	-94.638	-94.670	-94.776	-94.707	-94.659	-94.705	-94.738	-94.810	-94.703	-94.809	-94.813	-94.775	-94.841	-94.876	-94.809	-94.809	-94.841	-94.776	-94.801	-94.835	-94.801	-94.779	-94.805	-94.809	-94.801	-94.776	-94.776	-94.779	-94.809	-94.774	-94.777	240.333	240.359	240.385	240.361	240.361	240.331	240.360	240.371	240.387	240.362	240.422	240.389	240.429	240.478	240.472	240.422	240.422	240.428	240.411	240.417	240.442	240.417	240.412	240.418	240.421	240.417	240.427	240.411	240.412	240.422	240.412	240.394	2016_7_15_15_47_32
F2LS39Q6GRXL____	-53.535	-53.463	-53.461	-53.534	-53.498	-53.534	-53.501	-53.531	-53.497	-53.535	-53.463	-53.498	-53.428	-53.359	-53.395	-53.463	-53.463	-53.429	-53.430	-53.429	-53.396	-53.429	-53.429	-53.428	-53.464	-53.429	-53.396	-53.426	-53.429	-53.463	-53.424	-53.465	-94.601	-94.628	-94.625	-94.739	-94.701	-94.629	-94.703	-94.696	-94.737	-94.701	-94.806	-94.805	-94.772	-94.841	-94.876	-94.806	-94.806	-94.838	-94.771	-94.803	-94.837	-94.803	-94.735	-94.764	-94.805	-94.803	-94.773	-94.773	-94.735	-94.806	-94.771	-94.771	240.161	240.202	240.201	240.197	240.204	240.169	240.203	240.188	240.214	240.187	240.247	240.231	240.255	240.304	240.297	240.247	240.247	240.271	240.253	240.262	240.286	240.262	240.245	240.253	240.247	240.262	240.270	240.256	240.245	240.247	240.256	240.237	2016_7_15_15_47_36
F2LS3EKPHFM2____	-53.338	-53.300	-53.299	-53.373	-53.336	-53.335	-53.386	-53.367	-53.384	-53.375	-53.300	-53.337	-53.265	-53.199	-53.233	-53.300	-53.300	-53.270	-53.269	-53.268	-53.234	-53.268	-53.310	-53.311	-53.259	-53.268	-53.233	-53.269	-53.310	-53.300	-53.267	-53.304	-94.616	-94.652	-94.688	-94.762	-94.727	-94.686	-94.734	-94.759	-94.849	-94.723	-94.830	-94.832	-94.794	-94.864	-94.900	-94.830	-94.830	-94.862	-94.797	-94.829	-94.860	-94.829	-94.852	-94.830	-94.830	-94.829	-94.800	-94.798	-94.852	-94.830	-94.792	-94.796	240.256	240.283	240.292	240.277	240.285	240.275	240.264	240.279	240.295	240.266	240.328	240.312	240.335	240.383	240.377	240.328	240.328	240.351	240.334	240.343	240.366	240.343	240.329	240.323	240.347	240.343	240.351	240.335	240.329	240.328	240.334	240.318	2016_7_15_15_47_39
F2LS3TKDHFM5____	-53.772	-53.735	-53.734	-53.812	-53.770	-53.814	-53.773	-53.804	-53.811	-53.807	-53.775	-53.773	-53.703	-53.634	-53.669	-53.775	-53.775	-53.702	-53.706	-53.701	-53.667	-53.701	-53.703	-53.702	-53.775	-53.701	-53.671	-53.699	-53.703	-53.775	-53.699	-53.740	-94.663	-94.665	-94.699	-94.811	-94.736	-94.740	-94.736	-94.772	-94.848	-94.736	-94.881	-94.879	-94.807	-94.878	-94.948	-94.881	-94.881	-94.875	-94.847	-94.877	-94.911	-94.877	-94.849	-94.876	-94.880	-94.877	-94.848	-94.846	-94.849	-94.881	-94.844	-94.844	240.065	240.082	240.091	240.085	240.085	240.066	240.084	240.078	240.095	240.068	240.120	240.120	240.134	240.184	240.186	240.120	240.120	240.152	240.143	240.153	240.178	240.153	240.145	240.152	240.120	240.153	240.159	240.146	240.145	240.120	240.145	240.126	2016_7_15_15_47_43
F2LS3HZVHFM5____	-53.427	-53.391	-53.394	-53.464	-53.428	-53.464	-53.430	-53.461	-53.428	-53.464	-53.393	-53.429	-53.400	-53.291	-53.325	-53.393	-53.393	-53.361	-53.360	-53.358	-53.327	-53.358	-53.360	-53.359	-53.393	-53.358	-53.362	-53.357	-53.360	-53.393	-53.358	-53.434	-94.586	-94.587	-94.658	-94.693	-94.692	-94.625	-94.695	-94.691	-94.731	-94.694	-94.799	-94.798	-94.766	-94.835	-94.832	-94.799	-94.799	-94.796	-94.763	-94.795	-94.830	-94.795	-94.731	-94.793	-94.763	-94.795	-94.764	-94.731	-94.731	-94.799	-94.762	-94.761	240.211	240.227	240.245	240.222	240.238	240.204	240.238	240.222	240.248	240.222	240.281	240.265	240.270	240.338	240.321	240.281	240.281	240.295	240.287	240.296	240.320	240.296	240.279	240.296	240.272	240.296	240.286	240.281	240.279	240.281	240.288	240.253	2016_7_15_15_47_47
F2LS3HFBHFM5____	-53.017	-53.026	-53.026	-53.056	-53.110	-53.053	-53.067	-53.093	-53.066	-53.101	-53.027	-53.114	-52.993	-52.922	-52.955	-53.027	-53.027	-52.991	-53.093	-52.991	-52.957	-52.991	-52.991	-52.990	-53.027	-52.991	-52.909	-53.037	-52.991	-53.027	-53.036	-53.075	-94.534	-94.570	-94.607	-94.676	-94.648	-94.604	-94.643	-94.678	-94.715	-94.642	-94.749	-94.796	-94.714	-94.777	-94.820	-94.749	-94.749	-94.780	-94.756	-94.747	-94.781	-94.747	-94.718	-94.745	-94.750	-94.747	-94.715	-94.716	-94.718	-94.749	-94.755	-94.759	240.393	240.399	240.408	240.412	240.380	240.395	240.399	240.395	240.418	240.382	240.444	240.416	240.451	240.500	240.496	240.444	240.444	240.469	240.416	240.460	240.484	240.460	240.453	240.460	240.445	240.460	240.490	240.431	240.453	240.444	240.442	240.425	2016_7_15_15_47_50
F2LS38VQGRXL____	-53.689	-53.656	-53.655	-53.727	-53.691	-53.728	-53.693	-53.725	-53.692	-53.691	-53.656	-53.691	-53.623	-53.555	-53.589	-53.656	-53.656	-53.623	-53.621	-53.621	-53.589	-53.621	-53.622	-53.621	-53.655	-53.621	-53.585	-53.621	-53.622	-53.656	-53.619	-53.655	-94.525	-94.562	-94.600	-94.671	-94.637	-94.601	-94.637	-94.674	-94.709	-94.636	-94.741	-94.744	-94.710	-94.778	-94.815	-94.741	-94.741	-94.775	-94.704	-94.738	-94.774	-94.738	-94.711	-94.738	-94.740	-94.738	-94.708	-94.708	-94.711	-94.741	-94.706	-94.707	240.059	240.084	240.094	240.079	240.087	240.061	240.086	240.081	240.106	240.087	240.130	240.115	240.137	240.186	240.180	240.130	240.130	240.154	240.137	240.145	240.169	240.145	240.138	240.145	240.130	240.145	240.154	240.138	240.138	240.130	240.138	240.122	2016_7_15_15_47_53
