SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-13.647	-13.684	-13.615	-13.579	-13.612	-13.613	-13.579	-13.613	-13.510	-13.609	-13.609	-13.616	-13.612	-13.609	-13.544	-13.544	-13.474	-13.613	-13.580	-13.614	-13.539	-13.544	-13.544	-13.609	-13.614	-13.544	-13.579	-13.539	-13.580	-13.404	-13.544	-13.579	-141.010	-140.987	-140.986	-140.949	-141.013	-141.014	-140.949	-140.978	-140.985	-140.915	-140.915	-140.986	-141.013	-140.949	-140.915	-140.948	-140.916	-140.978	-140.950	-140.914	-140.950	-140.885	-140.885	-140.949	-140.950	-140.948	-140.916	-140.950	-140.951	-140.950	-140.917	-140.916	264.135	264.119	264.147	264.160	264.149	264.149	264.160	264.148	264.189	264.147	264.147	264.147	264.149	264.148	264.173	264.174	264.201	264.148	264.160	264.145	264.176	264.172	264.172	264.148	264.146	264.174	264.159	264.176	264.160	264.230	264.173	264.159	2016_7_15_16_11_25
F2LS38TUGRXL____	-13.801	-13.836	-13.767	-13.730	-13.766	-13.767	-13.730	-13.766	-13.660	-13.730	-13.730	-13.765	-13.766	-13.730	-13.695	-13.695	-13.625	-13.766	-13.731	-13.766	-13.660	-13.695	-13.695	-13.730	-13.766	-13.695	-13.731	-13.660	-13.730	-13.555	-13.696	-13.731	-141.025	-141.027	-141.035	-140.994	-141.029	-141.028	-140.994	-140.997	-141.003	-140.963	-140.963	-141.034	-141.029	-140.997	-140.959	-140.993	-140.965	-140.997	-140.998	-140.962	-140.970	-140.932	-140.932	-140.997	-140.993	-140.993	-140.963	-140.970	-140.992	-140.994	-140.961	-140.963	264.748	264.734	264.762	264.775	264.762	264.762	264.775	264.761	264.804	264.774	264.774	264.763	264.762	264.775	264.788	264.789	264.816	264.761	264.775	264.760	264.802	264.787	264.787	264.775	264.761	264.789	264.774	264.802	264.775	264.845	264.788	264.774	2016_7_15_16_11_36
F2LS35BZHFM1____	-13.989	-14.022	-13.953	-13.916	-13.952	-13.954	-13.916	-13.954	-13.847	-13.919	-13.919	-13.954	-13.952	-13.948	-13.882	-13.881	-13.812	-13.954	-13.919	-13.952	-13.878	-13.881	-13.881	-13.948	-13.952	-13.881	-13.917	-13.878	-13.917	-13.744	-13.882	-13.917	-140.997	-141.055	-141.030	-140.991	-141.028	-141.002	-140.991	-140.965	-141.027	-140.928	-140.928	-141.031	-141.028	-140.994	-140.958	-140.991	-140.959	-140.965	-140.993	-140.959	-140.994	-140.927	-140.927	-140.994	-140.991	-140.991	-140.958	-140.994	-140.992	-140.993	-140.959	-140.958	264.671	264.660	264.687	264.700	264.687	264.685	264.700	264.684	264.729	264.696	264.696	264.686	264.687	264.687	264.713	264.714	264.741	264.684	264.699	264.684	264.715	264.712	264.712	264.687	264.686	264.714	264.699	264.715	264.700	264.769	264.713	264.699	2016_7_15_16_11_39
F2LS3JESHFM5____	-13.430	-13.437	-13.428	-13.360	-13.395	-13.396	-13.360	-13.427	-13.292	-13.360	-13.360	-13.393	-13.395	-13.360	-13.325	-13.325	-13.257	-13.427	-13.360	-13.395	-13.290	-13.324	-13.324	-13.360	-13.395	-13.325	-13.360	-13.290	-13.362	-13.185	-13.325	-13.360	-140.929	-140.932	-140.963	-140.897	-140.934	-140.936	-140.897	-140.923	-140.955	-140.864	-140.864	-140.960	-140.934	-140.899	-140.887	-140.896	-140.864	-140.923	-140.925	-140.890	-140.923	-140.858	-140.858	-140.899	-140.896	-140.896	-140.889	-140.923	-140.921	-140.895	-140.889	-140.889	264.219	264.217	264.222	264.246	264.234	264.233	264.246	264.221	264.276	264.245	264.245	264.235	264.234	264.246	264.260	264.260	264.287	264.221	264.247	264.232	264.275	264.259	264.259	264.246	264.232	264.260	264.246	264.275	264.247	264.317	264.260	264.246	2016_7_15_16_11_43
F2LS39Q6GRXL____	-13.867	-13.870	-13.800	-13.764	-13.799	-13.800	-13.764	-13.799	-13.694	-13.735	-13.735	-13.803	-13.799	-13.763	-13.699	-13.728	-13.659	-13.799	-13.765	-13.799	-13.693	-13.728	-13.728	-13.763	-13.832	-13.728	-13.764	-13.693	-13.764	-13.591	-13.699	-13.764	-141.010	-141.012	-141.014	-141.009	-141.013	-141.015	-141.009	-140.979	-141.011	-140.914	-140.914	-140.988	-141.013	-140.977	-140.913	-140.949	-140.916	-140.979	-140.979	-140.917	-140.977	-140.914	-140.914	-140.977	-140.949	-140.949	-140.945	-140.977	-140.950	-140.949	-140.918	-140.945	264.047	264.046	264.074	264.088	264.074	264.074	264.088	264.073	264.116	264.096	264.096	264.071	264.074	264.087	264.110	264.100	264.127	264.073	264.087	264.070	264.115	264.099	264.099	264.087	264.058	264.100	264.085	264.115	264.085	264.155	264.110	264.085	2016_7_15_16_11_47
F2LS3EKPHFM2____	-13.426	-13.461	-13.425	-13.356	-13.392	-13.391	-13.356	-13.391	-13.286	-13.356	-13.356	-13.392	-13.392	-13.356	-13.292	-13.321	-13.251	-13.391	-13.357	-13.363	-13.286	-13.320	-13.320	-13.356	-13.391	-13.321	-13.356	-13.286	-13.357	-13.181	-13.321	-13.356	-140.759	-140.761	-140.759	-140.724	-140.760	-140.762	-140.724	-140.724	-140.757	-140.689	-140.689	-140.760	-140.760	-140.724	-140.692	-140.724	-140.690	-140.724	-140.726	-140.690	-140.724	-140.657	-140.657	-140.724	-140.725	-140.724	-140.688	-140.724	-140.727	-140.724	-140.694	-140.688	264.888	264.874	264.889	264.915	264.902	264.903	264.915	264.901	264.945	264.914	264.914	264.902	264.902	264.915	264.940	264.930	264.956	264.901	264.915	264.911	264.944	264.927	264.927	264.915	264.901	264.930	264.914	264.944	264.915	264.986	264.928	264.914	2016_7_15_16_11_50
F2LS3TKDHFM5____	-13.444	-13.513	-13.412	-13.375	-13.410	-13.442	-13.375	-13.443	-13.305	-13.375	-13.375	-13.413	-13.410	-13.375	-13.340	-13.339	-13.302	-13.443	-13.377	-13.411	-13.305	-13.341	-13.341	-13.375	-13.409	-13.339	-13.376	-13.305	-13.375	-13.200	-13.340	-13.376	-140.965	-140.967	-140.936	-140.929	-140.968	-140.968	-140.929	-140.932	-140.964	-140.895	-140.895	-140.968	-140.968	-140.931	-140.893	-140.929	-140.897	-140.932	-140.931	-140.895	-140.932	-140.863	-140.863	-140.931	-140.930	-140.929	-140.896	-140.932	-140.932	-140.930	-140.896	-140.896	264.889	264.862	264.901	264.916	264.903	264.890	264.916	264.888	264.945	264.914	264.914	264.902	264.903	264.916	264.928	264.930	264.944	264.888	264.915	264.900	264.944	264.927	264.927	264.916	264.902	264.930	264.914	264.944	264.916	264.986	264.929	264.914	2016_7_15_16_11_54
F2LS3HZVHFM5____	-13.740	-13.744	-13.675	-13.638	-13.673	-13.674	-13.638	-13.673	-13.569	-13.638	-13.638	-13.674	-13.673	-13.637	-13.572	-13.602	-13.535	-13.673	-13.639	-13.673	-13.568	-13.602	-13.602	-13.637	-13.643	-13.602	-13.638	-13.568	-13.640	-13.464	-13.603	-13.638	-140.943	-140.942	-140.921	-140.883	-140.945	-140.946	-140.883	-140.911	-140.943	-140.850	-140.850	-140.922	-140.945	-140.910	-140.846	-140.881	-140.848	-140.911	-140.912	-140.848	-140.910	-140.819	-140.819	-140.910	-140.883	-140.881	-140.878	-140.910	-140.881	-140.881	-140.848	-140.878	264.769	264.767	264.794	264.808	264.796	264.796	264.808	264.795	264.838	264.806	264.806	264.795	264.796	264.809	264.833	264.822	264.848	264.795	264.809	264.792	264.837	264.820	264.820	264.809	264.806	264.822	264.808	264.837	264.807	264.878	264.820	264.808	2016_7_15_16_11_57
F2LS3HFBHFM5____	-13.656	-13.691	-13.623	-13.587	-13.622	-13.621	-13.587	-13.623	-13.517	-13.615	-13.615	-13.623	-13.622	-13.616	-13.551	-13.552	-13.482	-13.623	-13.617	-13.622	-13.546	-13.551	-13.551	-13.616	-13.621	-13.552	-13.587	-13.546	-13.587	-13.413	-13.551	-13.587	-140.788	-140.790	-140.792	-140.756	-140.818	-140.819	-140.756	-140.754	-140.788	-140.750	-140.750	-140.824	-140.818	-140.754	-140.749	-140.752	-140.720	-140.754	-140.785	-140.749	-140.755	-140.691	-140.691	-140.754	-140.756	-140.752	-140.720	-140.755	-140.785	-140.754	-140.726	-140.720	264.797	264.783	264.810	264.824	264.812	264.812	264.824	264.809	264.853	264.812	264.812	264.811	264.812	264.812	264.838	264.837	264.864	264.809	264.813	264.809	264.840	264.835	264.835	264.812	264.810	264.837	264.822	264.840	264.824	264.894	264.837	264.822	2016_7_15_16_12_00
F2LS38VQGRXL____	-13.771	-13.837	-13.736	-13.700	-13.735	-13.769	-13.700	-13.735	-13.630	-13.700	-13.700	-13.734	-13.735	-13.699	-13.664	-13.664	-13.595	-13.735	-13.700	-13.735	-13.629	-13.664	-13.664	-13.699	-13.736	-13.664	-13.700	-13.629	-13.701	-13.525	-13.665	-13.700	-141.157	-141.158	-141.139	-141.124	-141.161	-141.160	-141.124	-141.129	-141.161	-141.067	-141.067	-141.165	-141.161	-141.128	-141.088	-141.124	-141.068	-141.129	-141.130	-141.096	-141.128	-141.063	-141.063	-141.128	-141.098	-141.124	-141.095	-141.128	-141.097	-141.127	-141.090	-141.095	264.091	264.064	264.104	264.118	264.105	264.092	264.118	264.104	264.148	264.116	264.116	264.106	264.105	264.119	264.131	264.133	264.158	264.104	264.118	264.103	264.147	264.130	264.130	264.119	264.103	264.133	264.117	264.147	264.117	264.189	264.131	264.117	2016_7_15_16_12_04
