SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-23.012	-22.901	-22.945	-22.976	-23.081	-23.045	-23.009	-22.974	-23.011	-22.976	-22.979	-23.011	-22.910	-22.942	-22.905	-22.905	-22.913	-22.974	-22.908	-22.906	-23.011	-22.974	-23.011	-22.973	-22.939	-22.976	-22.977	-22.979	-22.904	-22.904	-22.904	-22.942	-137.657	-137.783	-137.799	-137.658	-137.839	-137.801	-137.792	-137.793	-137.805	-137.731	-137.705	-137.692	-137.739	-137.734	-137.703	-137.703	-137.659	-137.724	-137.704	-137.694	-137.692	-137.653	-137.692	-137.628	-137.625	-137.695	-137.734	-137.588	-137.690	-137.726	-137.657	-137.700	260.510	260.563	260.546	260.524	260.494	260.506	260.520	260.534	260.520	260.529	260.526	260.512	260.556	260.543	260.556	260.556	260.550	260.530	260.555	260.555	260.512	260.525	260.512	260.523	260.537	260.527	260.529	260.518	260.555	260.558	260.553	260.541	2016_7_15_16_16_11
F2LS38TUGRXL____	-23.076	-22.949	-23.007	-23.042	-23.158	-23.123	-23.089	-23.056	-23.109	-23.074	-23.052	-23.109	-23.039	-23.039	-23.039	-23.039	-23.019	-23.074	-23.033	-23.019	-23.109	-23.052	-23.109	-23.050	-23.010	-23.074	-23.074	-23.042	-22.955	-23.004	-23.004	-23.017	-137.763	-137.851	-137.903	-137.764	-137.904	-137.870	-137.838	-137.839	-137.897	-137.862	-137.771	-137.792	-137.862	-137.862	-137.827	-137.827	-137.728	-137.827	-137.819	-137.735	-137.792	-137.699	-137.792	-137.659	-137.730	-137.792	-137.827	-137.694	-137.733	-137.827	-137.757	-137.767	260.466	260.523	260.503	260.480	260.442	260.454	260.466	260.479	260.462	260.473	260.476	260.454	260.487	260.487	260.485	260.485	260.487	260.471	260.487	260.487	260.454	260.471	260.454	260.469	260.490	260.469	260.471	260.475	260.513	260.499	260.495	260.490	2016_7_15_16_16_15
F2LS35BZHFM1____	-23.180	-23.077	-23.132	-23.175	-23.253	-23.244	-23.242	-23.147	-23.242	-23.144	-23.207	-23.172	-23.112	-23.109	-23.102	-23.102	-23.153	-23.137	-23.111	-23.110	-23.172	-23.144	-23.172	-23.145	-23.114	-23.207	-23.148	-23.148	-23.075	-23.075	-23.070	-23.111	-137.827	-137.918	-138.000	-137.826	-138.015	-137.961	-137.950	-137.933	-138.020	-137.943	-137.950	-137.915	-137.918	-137.946	-137.950	-137.950	-137.835	-137.950	-137.883	-137.827	-137.915	-137.792	-137.915	-137.800	-137.793	-137.915	-137.877	-137.757	-137.827	-137.864	-137.849	-137.875	260.268	260.317	260.300	260.271	260.252	260.252	260.252	260.289	260.257	260.291	260.266	260.278	260.302	260.305	260.309	260.309	260.280	260.294	260.300	260.297	260.278	260.281	260.278	260.281	260.293	260.264	260.285	260.277	260.311	260.314	260.314	260.300	2016_7_15_16_16_19
F2LS3JESHFM5____	-22.345	-22.228	-22.308	-22.333	-22.408	-22.401	-22.336	-22.300	-22.337	-22.300	-22.335	-22.369	-22.266	-22.295	-22.263	-22.263	-22.296	-22.329	-22.265	-22.298	-22.369	-22.332	-22.369	-22.330	-22.294	-22.335	-22.334	-22.333	-22.232	-22.230	-22.262	-22.297	-137.929	-138.052	-138.069	-137.927	-138.111	-138.070	-138.037	-138.038	-138.045	-138.002	-137.972	-137.961	-138.011	-138.005	-137.970	-137.970	-137.928	-137.994	-137.977	-137.933	-137.961	-137.898	-137.961	-137.859	-137.894	-137.937	-137.975	-137.857	-137.933	-137.969	-137.927	-137.971	260.733	260.788	260.757	260.738	260.719	260.720	260.744	260.758	260.744	260.756	260.740	260.725	260.771	260.758	260.769	260.769	260.753	260.744	260.769	260.752	260.725	260.736	260.725	260.734	260.751	260.738	260.741	260.733	260.779	260.782	260.766	260.755	2016_7_15_16_16_23
F2LS39Q6GRXL____	-22.963	-22.859	-22.896	-22.927	-23.031	-22.993	-22.960	-22.924	-22.960	-22.923	-22.929	-22.962	-22.892	-22.889	-22.890	-22.890	-22.895	-22.924	-22.890	-22.890	-22.962	-22.924	-22.962	-22.921	-22.890	-22.928	-22.927	-22.928	-22.855	-22.854	-22.852	-22.889	-137.845	-137.969	-137.988	-137.845	-138.032	-138.016	-137.956	-137.983	-137.998	-137.960	-137.893	-137.882	-137.964	-137.927	-137.890	-137.890	-137.846	-137.917	-137.930	-137.852	-137.882	-137.817	-137.882	-137.817	-137.813	-137.858	-137.896	-137.775	-137.880	-137.917	-137.848	-137.893	260.397	260.447	260.433	260.411	260.382	260.396	260.406	260.422	260.408	260.421	260.414	260.400	260.434	260.432	260.429	260.429	260.424	260.418	260.432	260.427	260.400	260.411	260.400	260.412	260.424	260.412	260.415	260.406	260.443	260.446	260.442	260.430	2016_7_15_16_16_26
F2LS3EKPHFM2____	-22.663	-22.565	-22.596	-22.629	-22.736	-22.697	-22.661	-22.627	-22.665	-22.629	-22.634	-22.670	-22.594	-22.594	-22.563	-22.563	-22.596	-22.598	-22.561	-22.593	-22.670	-22.597	-22.670	-22.630	-22.596	-22.634	-22.632	-22.632	-22.559	-22.559	-22.557	-22.595	-137.646	-137.740	-137.788	-137.647	-137.837	-137.786	-137.753	-137.752	-137.768	-137.727	-137.686	-137.651	-137.732	-137.728	-137.684	-137.684	-137.647	-137.685	-137.698	-137.648	-137.651	-137.613	-137.651	-137.578	-137.613	-137.652	-137.698	-137.577	-137.648	-137.683	-137.614	-137.695	260.742	260.788	260.779	260.756	260.726	260.738	260.750	260.764	260.749	260.761	260.757	260.740	260.776	260.776	260.785	260.785	260.769	260.771	260.787	260.771	260.740	260.767	260.740	260.751	260.767	260.754	260.758	260.750	260.785	260.787	260.783	260.773	2016_7_15_16_16_30
F2LS3TKDHFM5____	-22.713	-22.581	-22.644	-22.649	-22.755	-22.719	-22.682	-22.645	-22.684	-22.648	-22.654	-22.721	-22.612	-22.613	-22.614	-22.614	-22.639	-22.676	-22.612	-22.575	-22.721	-22.679	-22.721	-22.656	-22.622	-22.654	-22.653	-22.651	-22.579	-22.580	-22.579	-22.614	-137.898	-137.989	-138.038	-137.898	-138.088	-138.035	-138.002	-138.002	-138.021	-137.977	-137.938	-137.900	-137.987	-137.981	-137.936	-137.936	-137.897	-137.932	-137.953	-137.900	-137.900	-137.862	-137.900	-137.829	-137.864	-137.903	-137.949	-137.830	-137.899	-137.935	-137.866	-137.947	260.557	260.616	260.594	260.583	260.553	260.564	260.577	260.592	260.577	260.589	260.584	260.554	260.604	260.603	260.599	260.599	260.587	260.574	260.602	260.613	260.554	260.568	260.554	260.576	260.592	260.581	260.585	260.578	260.611	260.613	260.609	260.600	2016_7_15_16_16_33
F2LS3HZVHFM5____	-22.758	-22.645	-22.690	-22.720	-22.906	-22.788	-22.751	-22.731	-22.752	-22.716	-22.731	-22.836	-22.696	-22.696	-22.696	-22.696	-22.709	-22.801	-22.696	-22.696	-22.836	-22.715	-22.836	-22.718	-22.683	-22.731	-22.720	-22.721	-22.661	-22.661	-22.661	-22.682	-137.826	-137.917	-137.968	-137.825	-138.016	-137.938	-137.927	-137.946	-137.938	-137.897	-137.876	-137.841	-137.911	-137.911	-137.876	-137.876	-137.825	-137.876	-137.876	-137.841	-137.841	-137.788	-137.841	-137.756	-137.791	-137.841	-137.868	-137.756	-137.841	-137.876	-137.806	-137.867	260.414	260.466	260.451	260.430	260.367	260.409	260.424	260.433	260.424	260.436	260.428	260.384	260.445	260.445	260.443	260.443	260.434	260.400	260.443	260.440	260.384	260.429	260.384	260.426	260.443	260.426	260.432	260.424	260.454	260.457	260.452	260.448	2016_7_15_16_16_36
F2LS3HFBHFM5____	-22.638	-22.529	-22.591	-22.636	-22.732	-22.666	-22.658	-22.597	-22.661	-22.595	-22.630	-22.634	-22.562	-22.560	-22.561	-22.561	-22.595	-22.596	-22.561	-22.562	-22.634	-22.596	-22.634	-22.601	-22.567	-22.599	-22.632	-22.636	-22.527	-22.527	-22.525	-22.560	-137.769	-137.893	-137.945	-137.767	-137.951	-137.937	-137.902	-137.902	-137.911	-137.872	-137.837	-137.802	-137.878	-137.873	-137.814	-137.814	-137.768	-137.814	-137.843	-137.799	-137.802	-137.763	-137.802	-137.735	-137.771	-137.804	-137.842	-137.696	-137.799	-137.813	-137.766	-137.839	260.966	261.018	260.996	260.966	260.940	260.966	260.966	260.991	260.966	260.990	260.973	260.970	261.004	261.004	261.000	261.000	260.983	260.986	261.002	260.999	260.970	260.982	260.970	260.979	260.995	260.984	260.973	260.962	261.013	261.014	261.011	261.002	2016_7_15_16_16_39
F2LS38VQGRXL____	-23.091	-22.988	-23.024	-23.054	-23.161	-23.127	-23.091	-23.058	-23.091	-23.058	-23.056	-23.090	-23.024	-23.023	-23.022	-23.022	-23.019	-23.057	-23.024	-23.023	-23.090	-23.057	-23.090	-23.053	-23.017	-23.054	-23.057	-23.055	-22.987	-22.987	-22.986	-23.022	-137.783	-137.875	-137.924	-137.783	-137.960	-137.920	-137.887	-137.885	-137.893	-137.855	-137.820	-137.784	-137.860	-137.856	-137.819	-137.819	-137.783	-137.819	-137.825	-137.781	-137.784	-137.746	-137.784	-137.714	-137.750	-137.785	-137.822	-137.712	-137.780	-137.817	-137.747	-137.822	260.486	260.534	260.523	260.501	260.470	260.481	260.493	260.507	260.494	260.505	260.503	260.487	260.519	260.519	260.516	260.516	260.515	260.502	260.516	260.514	260.487	260.497	260.487	260.497	260.514	260.501	260.503	260.496	260.528	260.530	260.526	260.517	2016_7_15_16_16_42
