SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-63.746	-63.596	-63.767	-63.812	-63.738	-63.700	-63.777	-63.770	-63.740	-63.630	-63.772	-63.598	-63.735	-63.676	-63.707	-63.775	-63.709	-63.809	-63.708	-64.330	-63.735	-63.779	-64.087	-64.087	-63.706	-63.740	-63.709	-63.741	-63.793	-64.014	-63.704	-63.702	-120.502	-120.161	-119.951	-120.020	-119.945	-120.048	-120.053	-119.910	-120.437	-120.470	-120.468	-119.917	-119.980	-120.058	-120.019	-120.505	-119.983	-119.911	-119.952	-120.304	-120.470	-120.021	-120.407	-120.369	-120.089	-120.020	-119.984	-120.018	-119.994	-120.332	-120.400	-120.442	241.784	241.773	241.667	241.664	241.677	241.711	241.684	241.658	241.773	241.821	241.768	241.724	241.685	241.723	241.703	241.774	241.695	241.644	241.689	241.528	241.782	241.677	241.639	241.631	241.717	241.691	241.695	241.691	241.666	241.651	241.779	241.789	2016_7_15_16_27_49
F2LS38TUGRXL____	-64.142	-64.015	-64.135	-64.212	-64.142	-64.073	-64.183	-64.111	-64.101	-63.995	-64.136	-64.002	-64.079	-64.043	-64.074	-64.167	-64.074	-64.215	-64.111	-64.727	-64.132	-64.180	-64.448	-64.505	-64.111	-64.140	-64.075	-64.107	-64.155	-64.380	-64.065	-64.061	-120.442	-120.155	-119.888	-119.991	-119.919	-119.988	-119.991	-119.783	-120.373	-120.405	-120.406	-119.854	-119.853	-119.997	-119.958	-120.504	-119.920	-119.849	-119.924	-120.282	-120.435	-119.991	-120.347	-120.365	-120.025	-119.989	-119.921	-119.957	-119.969	-120.273	-120.337	-120.374	242.299	242.290	242.192	242.184	242.196	242.235	242.195	242.180	242.301	242.346	242.294	242.235	242.206	242.248	242.229	242.302	242.221	242.155	242.208	242.051	242.301	242.196	242.167	242.150	242.228	242.210	242.221	242.216	242.201	242.178	242.307	242.316	2016_7_15_16_27_53
F2LS35BZHFM1____	-64.085	-63.877	-64.048	-64.085	-64.085	-63.980	-64.050	-63.980	-64.015	-63.980	-64.054	-63.945	-64.015	-63.945	-63.991	-64.048	-63.983	-64.085	-63.983	-64.607	-64.015	-64.058	-64.363	-64.357	-63.980	-64.018	-63.981	-64.015	-64.085	-64.285	-63.980	-63.976	-120.120	-119.795	-119.577	-119.665	-119.595	-119.700	-119.700	-119.490	-120.085	-120.190	-120.061	-119.560	-119.560	-119.700	-119.613	-120.173	-119.611	-119.560	-119.581	-119.927	-120.120	-119.648	-119.999	-119.992	-119.735	-119.650	-119.613	-119.665	-119.700	-119.954	-120.050	-120.069	242.257	242.270	242.163	242.166	242.152	242.212	242.186	242.171	242.276	242.310	242.257	242.198	242.171	242.225	242.191	242.281	242.194	242.145	242.188	242.025	242.283	242.173	242.130	242.130	242.219	242.188	242.195	242.192	242.173	242.150	242.282	242.287	2016_7_15_16_27_58
F2LS3JESHFM5____	-63.593	-63.444	-63.630	-63.666	-63.597	-63.553	-63.631	-63.561	-63.581	-63.474	-63.617	-63.452	-63.527	-63.527	-63.562	-63.615	-63.564	-63.666	-63.561	-64.173	-63.583	-63.631	-63.945	-63.925	-63.560	-63.595	-63.563	-63.595	-63.610	-63.824	-63.541	-63.541	-120.609	-120.293	-120.085	-120.155	-120.084	-120.183	-120.191	-119.982	-120.568	-120.599	-120.604	-120.050	-120.050	-120.194	-120.156	-120.674	-120.121	-120.050	-120.086	-120.445	-120.606	-120.156	-120.610	-120.502	-120.227	-120.155	-120.120	-120.155	-120.131	-120.467	-120.533	-120.572	241.862	241.855	241.745	241.746	241.757	241.793	241.766	241.750	241.858	241.904	241.852	241.804	241.777	241.805	241.784	241.866	241.777	241.725	241.771	241.614	241.865	241.759	241.731	241.717	241.799	241.772	241.777	241.772	241.762	241.748	241.866	241.874	2016_7_15_16_28_01
F2LS39Q6GRXL____	-63.883	-63.730	-63.907	-63.957	-63.877	-63.840	-63.910	-63.851	-63.875	-63.840	-63.980	-63.731	-63.805	-63.804	-63.842	-63.910	-63.840	-63.990	-63.841	-64.464	-63.875	-63.919	-64.213	-64.214	-63.848	-63.882	-63.838	-63.883	-63.903	-64.143	-63.840	-63.830	-120.390	-120.075	-119.869	-119.938	-119.866	-119.980	-119.971	-119.764	-120.365	-120.470	-120.400	-119.834	-119.840	-119.974	-119.937	-120.470	-119.901	-119.830	-119.869	-120.229	-120.400	-119.937	-120.327	-120.286	-120.010	-119.938	-119.900	-119.939	-119.917	-120.251	-120.330	-120.354	241.711	241.706	241.599	241.594	241.610	241.646	241.618	241.599	241.709	241.743	241.677	241.658	241.631	241.658	241.637	241.717	241.630	241.561	241.624	241.464	241.716	241.608	241.576	241.568	241.649	241.622	241.631	241.622	241.610	241.587	241.715	241.724	2016_7_15_16_28_04
F2LS3EKPHFM2____	-63.954	-63.796	-63.975	-64.023	-63.948	-63.910	-63.983	-63.917	-63.944	-63.835	-63.980	-63.807	-63.884	-63.880	-63.945	-63.975	-63.914	-64.056	-63.914	-64.534	-63.940	-63.989	-64.285	-64.290	-63.916	-63.951	-63.911	-63.949	-64.005	-64.218	-63.910	-63.902	-120.464	-120.144	-119.942	-120.014	-119.941	-120.050	-120.042	-119.840	-120.425	-120.452	-120.470	-119.910	-119.910	-120.049	-120.043	-120.524	-119.977	-119.905	-119.945	-120.297	-120.454	-120.013	-120.400	-120.362	-120.079	-120.013	-119.976	-120.013	-119.987	-120.325	-120.400	-120.424	242.373	242.369	242.262	242.259	242.272	242.308	242.279	242.263	242.369	242.415	242.365	242.319	242.290	242.319	242.294	242.377	242.292	242.225	242.286	242.125	242.376	242.271	242.238	242.228	242.311	242.285	242.293	242.286	242.260	242.248	242.377	242.385	2016_7_15_16_28_09
F2LS3TKDHFM5____	-64.151	-63.966	-64.140	-64.219	-64.110	-64.071	-64.190	-64.112	-64.137	-63.997	-64.190	-64.003	-64.081	-64.075	-64.078	-64.190	-64.077	-64.214	-64.107	-64.700	-64.143	-64.187	-64.454	-64.456	-64.120	-64.148	-64.144	-64.115	-64.164	-64.409	-64.120	-64.070	-120.582	-120.243	-120.031	-120.133	-120.026	-120.126	-120.190	-119.959	-120.542	-120.548	-120.610	-119.994	-120.028	-120.165	-120.100	-120.680	-120.063	-120.026	-120.064	-120.386	-120.552	-120.133	-120.490	-120.449	-120.225	-120.132	-120.096	-120.099	-120.109	-120.442	-120.540	-120.522	242.324	242.325	242.219	242.209	242.229	242.263	242.232	242.215	242.321	242.374	242.315	242.262	242.240	242.269	242.255	242.328	242.248	242.190	242.237	242.082	242.321	242.222	242.193	242.184	242.265	242.236	242.230	242.242	242.225	242.201	242.327	242.342	2016_7_15_16_28_13
F2LS3HZVHFM5____	-63.947	-63.791	-63.932	-64.024	-63.941	-63.898	-63.973	-63.911	-63.930	-63.827	-63.971	-63.794	-63.878	-63.869	-63.908	-63.970	-63.908	-64.015	-63.907	-64.493	-63.936	-63.988	-64.275	-64.273	-63.910	-63.951	-63.903	-63.951	-63.992	-64.174	-63.926	-63.891	-120.341	-120.026	-119.818	-119.891	-119.850	-119.950	-119.953	-119.747	-120.299	-120.362	-120.337	-119.816	-119.820	-119.955	-119.920	-120.406	-119.851	-119.816	-119.818	-120.177	-120.337	-119.890	-120.305	-120.268	-119.990	-119.889	-119.885	-119.886	-119.897	-120.201	-120.292	-120.338	242.352	242.347	242.254	242.234	242.257	242.293	242.265	242.248	242.349	242.400	242.342	242.305	242.274	242.304	242.283	242.356	242.269	242.223	242.263	242.117	242.355	242.247	242.223	242.216	242.296	242.261	242.278	242.260	242.247	242.240	242.350	242.372	2016_7_15_16_28_17
F2LS3HFBHFM5____	-63.875	-63.679	-63.853	-63.945	-63.875	-63.840	-63.910	-63.840	-63.875	-63.770	-63.910	-63.665	-63.805	-63.805	-63.821	-63.893	-63.821	-63.945	-63.840	-64.413	-63.875	-63.910	-64.194	-64.193	-63.840	-63.875	-63.819	-63.875	-63.875	-64.094	-63.823	-63.780	-120.330	-119.898	-119.681	-119.805	-119.735	-119.840	-119.840	-119.630	-120.225	-120.260	-120.260	-119.700	-119.700	-119.840	-119.780	-120.304	-119.747	-119.700	-119.735	-120.031	-120.330	-119.805	-120.169	-120.126	-119.875	-119.805	-119.746	-119.805	-119.770	-120.057	-120.122	-120.206	242.376	242.364	242.256	242.246	242.258	242.292	242.266	242.251	242.356	242.401	242.349	242.330	242.278	242.305	242.288	242.365	242.281	242.225	242.272	242.117	242.376	242.259	242.226	242.218	242.299	242.272	242.282	242.272	242.265	242.241	242.354	242.387	2016_7_15_16_28_20
F2LS38VQGRXL____	-64.012	-63.859	-64.029	-64.085	-64.015	-63.980	-64.041	-63.980	-64.015	-63.980	-64.050	-63.875	-63.945	-63.940	-63.939	-64.050	-63.975	-64.085	-63.980	-64.593	-64.015	-64.048	-64.315	-64.314	-63.980	-64.009	-63.970	-64.015	-64.023	-64.273	-63.980	-63.962	-120.523	-120.210	-119.998	-120.085	-120.015	-120.120	-120.104	-119.910	-120.505	-120.610	-120.610	-119.980	-119.980	-120.109	-120.038	-120.610	-120.036	-119.980	-120.015	-120.349	-120.540	-120.074	-120.426	-120.419	-120.155	-120.071	-120.034	-120.085	-120.049	-120.381	-120.470	-120.486	241.689	241.685	241.579	241.576	241.588	241.622	241.596	241.580	241.685	241.718	241.692	241.633	241.607	241.634	241.621	241.692	241.607	241.555	241.601	241.440	241.692	241.587	241.558	241.557	241.629	241.601	241.608	241.602	241.592	241.564	241.691	241.701	2016_7_15_16_28_24
