SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-57.971	-57.928	-57.899	-57.928	-57.898	-57.933	-57.897	-57.928	-57.937	-57.936	-57.898	-57.972	-57.864	-57.900	-57.965	-57.865	-57.827	-57.936	-57.896	-57.866	-57.973	-57.970	-57.936	-57.896	-57.828	-57.971	-57.866	-57.934	-57.899	-57.970	-58.000	-57.971	-57.961	-57.890	-57.996	-57.995	-57.925	-57.997	-57.999	-57.959	-58.068	-57.963	-57.925	-57.964	-57.996	-57.927	-58.070	-57.927	-57.997	-57.927	-58.030	-57.893	-58.032	-57.930	-58.035	-57.927	-57.890	-57.926	-57.961	-57.926	-57.961	-57.891	-57.996	-57.961	224.658	224.644	224.711	224.696	224.676	224.694	224.714	224.678	224.728	224.676	224.676	224.659	224.728	224.677	224.715	224.693	224.747	224.659	224.729	224.677	224.692	224.643	224.711	224.678	224.694	224.641	224.710	224.659	224.694	224.624	224.661	224.658	2016_7_15_15_56_30
F2LS38TUGRXL____	-58.083	-58.010	-57.981	-58.011	-58.011	-58.049	-58.011	-58.012	-58.049	-58.046	-58.011	-58.083	-57.978	-58.014	-58.048	-57.980	-57.941	-58.015	-58.011	-57.979	-58.084	-58.082	-58.049	-58.010	-57.911	-58.082	-57.981	-58.046	-58.012	-58.080	-58.083	-58.083	-57.962	-57.889	-57.997	-57.995	-57.926	-57.997	-57.997	-57.960	-58.067	-57.961	-57.926	-57.960	-57.999	-57.927	-58.069	-57.927	-57.997	-57.924	-58.031	-57.890	-58.028	-57.927	-58.034	-57.928	-57.887	-57.926	-57.963	-57.925	-57.964	-57.855	-57.996	-57.962	225.277	225.277	225.345	225.329	225.295	225.312	225.330	225.312	225.346	225.295	225.295	225.276	225.347	225.294	225.347	225.311	225.365	225.292	225.347	225.293	225.309	225.261	225.330	225.296	225.325	225.260	225.329	225.277	225.313	225.226	225.294	225.277	2016_7_15_15_56_33
F2LS35BZHFM1____	-57.892	-57.820	-57.787	-57.820	-57.820	-57.857	-57.819	-57.821	-57.853	-57.857	-57.820	-57.886	-57.786	-57.821	-57.858	-57.787	-57.749	-57.853	-57.820	-57.752	-57.889	-57.891	-57.859	-57.817	-57.715	-57.856	-57.788	-57.855	-57.822	-57.890	-57.891	-57.892	-57.919	-57.852	-57.953	-57.956	-57.886	-57.956	-57.990	-57.957	-58.022	-57.920	-57.886	-57.952	-57.956	-57.916	-58.027	-57.883	-57.952	-57.882	-57.989	-57.846	-57.985	-57.883	-57.992	-57.885	-57.844	-57.919	-57.920	-57.921	-57.922	-57.814	-57.956	-57.919	225.350	225.353	225.419	225.404	225.370	225.386	225.422	225.405	225.421	225.368	225.370	225.370	225.421	225.384	225.420	225.384	225.438	225.351	225.421	225.384	225.385	225.333	225.403	225.370	225.401	225.368	225.402	225.370	225.387	225.299	225.369	225.350	2016_7_15_15_56_37
F2LS3JESHFM5____	-57.963	-57.923	-57.890	-57.891	-57.891	-57.929	-57.891	-57.893	-57.894	-57.926	-57.891	-57.963	-57.858	-57.892	-57.927	-57.861	-57.821	-57.926	-57.921	-57.858	-57.998	-57.963	-57.928	-57.891	-57.820	-57.963	-57.859	-57.958	-57.891	-57.963	-57.964	-57.963	-57.940	-57.872	-57.977	-57.976	-57.910	-57.977	-57.982	-57.986	-58.051	-57.940	-57.910	-57.936	-57.979	-57.910	-58.048	-57.953	-57.982	-57.862	-58.011	-57.873	-58.009	-57.907	-58.013	-57.957	-57.871	-57.905	-57.945	-57.908	-57.945	-57.880	-57.977	-57.940	224.652	224.638	224.706	224.705	224.672	224.687	224.708	224.709	224.741	224.670	224.672	224.650	224.723	224.672	224.723	224.708	224.743	224.632	224.708	224.671	224.668	224.636	224.705	224.696	224.688	224.634	224.705	224.638	224.690	224.622	224.670	224.652	2016_7_15_15_56_41
F2LS39Q6GRXL____	-57.868	-57.765	-57.769	-57.765	-57.764	-57.799	-57.764	-57.764	-57.831	-57.832	-57.764	-57.832	-57.735	-57.769	-57.833	-57.735	-57.695	-57.830	-57.764	-57.736	-57.865	-57.837	-57.833	-57.764	-57.728	-57.868	-57.736	-57.799	-57.769	-57.836	-57.798	-57.868	-57.944	-57.841	-57.946	-57.943	-57.875	-57.977	-57.977	-57.908	-58.047	-57.910	-57.875	-57.942	-57.946	-57.876	-58.049	-57.874	-57.943	-57.872	-58.010	-57.839	-58.009	-57.912	-58.014	-57.908	-57.837	-57.908	-57.911	-57.906	-57.912	-57.840	-57.944	-57.944	224.700	224.701	224.751	224.751	224.718	224.751	224.768	224.734	224.770	224.701	224.718	224.718	224.767	224.716	224.770	224.732	224.786	224.684	224.785	224.714	224.734	224.700	224.752	224.735	224.717	224.683	224.750	224.716	224.734	224.665	224.735	224.700	2016_7_15_15_56_45
F2LS3EKPHFM2____	-57.765	-57.722	-57.658	-57.724	-57.723	-57.759	-57.723	-57.724	-57.727	-57.730	-57.723	-57.762	-57.625	-57.659	-57.760	-57.625	-57.623	-57.727	-57.723	-57.661	-57.796	-57.797	-57.761	-57.723	-57.623	-57.765	-57.626	-57.758	-57.658	-57.796	-57.762	-57.765	-57.901	-57.833	-57.933	-57.937	-57.869	-57.935	-57.937	-57.903	-58.004	-57.902	-57.869	-57.900	-57.934	-57.863	-58.007	-57.864	-57.935	-57.866	-57.969	-57.831	-57.970	-57.867	-57.972	-57.868	-57.827	-57.866	-57.899	-57.867	-57.899	-57.827	-57.937	-57.901	225.404	225.392	225.474	225.442	225.409	225.424	225.443	225.426	225.474	225.422	225.409	225.405	225.490	225.438	225.459	225.455	225.492	225.406	225.459	225.421	225.423	225.372	225.441	225.409	225.438	225.387	225.472	225.391	225.456	225.352	225.424	225.404	2016_7_15_15_56_48
F2LS3TKDHFM5____	-58.203	-58.097	-58.101	-58.099	-58.099	-58.135	-58.098	-58.099	-58.144	-58.168	-58.099	-58.177	-58.068	-58.100	-58.140	-58.068	-58.027	-58.140	-58.098	-58.068	-58.179	-58.171	-58.139	-58.097	-58.060	-58.172	-58.067	-58.133	-58.101	-58.171	-58.168	-58.203	-58.074	-57.973	-58.078	-58.076	-58.009	-58.078	-58.079	-58.073	-58.148	-58.075	-58.009	-58.043	-58.080	-58.008	-58.151	-58.009	-58.081	-58.006	-58.112	-57.972	-58.143	-58.041	-58.117	-58.042	-57.972	-58.040	-58.044	-58.007	-58.043	-57.969	-58.109	-58.074	225.274	225.276	225.326	225.326	225.293	225.309	225.328	225.324	225.339	225.291	225.293	225.271	225.343	225.291	225.342	225.308	225.364	225.271	225.344	225.290	225.320	225.273	225.326	225.310	225.293	225.272	225.326	225.275	225.309	225.237	225.308	225.274	2016_7_15_15_56_51
F2LS3HZVHFM5____	-57.969	-57.923	-57.895	-57.894	-57.892	-57.930	-57.894	-57.893	-57.936	-57.932	-57.892	-57.969	-57.862	-57.895	-57.931	-57.862	-57.822	-57.932	-57.925	-57.862	-57.970	-57.966	-57.932	-57.892	-57.790	-57.966	-57.862	-57.959	-57.895	-57.997	-57.964	-57.969	-57.840	-57.798	-57.907	-57.905	-57.800	-57.873	-57.906	-57.835	-57.975	-57.872	-57.800	-57.836	-57.874	-57.836	-57.979	-57.834	-57.904	-57.801	-57.939	-57.768	-57.937	-57.838	-57.944	-57.802	-57.763	-57.836	-57.836	-57.834	-57.872	-57.765	-57.871	-57.840	225.274	225.275	225.343	225.343	225.291	225.309	225.343	225.308	225.357	225.307	225.291	225.272	225.343	225.308	225.360	225.323	225.377	225.272	225.344	225.290	225.321	225.274	225.343	225.292	225.323	225.273	225.324	225.275	225.326	225.222	225.291	225.274	2016_7_15_15_56_56
F2LS3HFBHFM5____	-57.762	-57.691	-57.656	-57.723	-57.689	-57.725	-57.720	-57.722	-57.721	-57.691	-57.689	-57.754	-57.625	-57.657	-57.690	-57.624	-57.620	-57.718	-57.652	-57.659	-57.756	-57.725	-57.728	-57.689	-57.625	-57.761	-57.659	-57.687	-57.658	-57.726	-57.724	-57.762	-57.872	-57.770	-57.907	-57.906	-57.805	-57.906	-57.908	-57.870	-57.974	-57.873	-57.805	-57.871	-57.874	-57.836	-57.977	-57.802	-57.905	-57.803	-57.939	-57.768	-57.938	-57.840	-57.944	-57.837	-57.765	-57.839	-57.871	-57.837	-57.839	-57.768	-57.907	-57.872	225.392	225.376	225.461	225.428	225.395	225.427	225.430	225.410	225.462	225.427	225.395	225.395	225.461	225.426	225.479	225.425	225.478	225.379	225.479	225.391	225.427	225.394	225.444	225.411	225.407	225.376	225.442	225.411	225.427	225.358	225.428	225.392	2016_7_15_15_56_59
F2LS38VQGRXL____	-57.884	-57.811	-57.781	-57.811	-57.811	-57.847	-57.810	-57.812	-57.852	-57.849	-57.811	-57.885	-57.779	-57.815	-57.851	-57.781	-57.742	-57.850	-57.811	-57.779	-57.887	-57.884	-57.818	-57.810	-57.742	-57.884	-57.780	-57.845	-57.781	-57.883	-57.881	-57.884	-58.009	-57.907	-58.047	-58.044	-57.975	-58.044	-58.044	-57.975	-58.082	-58.009	-57.975	-58.009	-58.011	-57.943	-58.116	-57.941	-58.012	-57.941	-58.047	-57.905	-58.044	-57.976	-58.051	-57.975	-57.904	-57.974	-57.975	-57.972	-58.012	-57.905	-58.012	-58.009	224.724	224.710	224.795	224.778	224.744	224.760	224.779	224.744	224.777	224.742	224.744	224.725	224.778	224.726	224.794	224.742	224.797	224.708	224.780	224.725	224.741	224.708	224.778	224.744	224.743	224.707	224.759	224.726	224.777	224.674	224.727	224.724	2016_7_15_15_57_03
