SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.562	-0.570	-0.562	-0.567	-0.688	-0.590	-0.567	-0.689	-0.570	-0.570	-0.595	-0.570	-0.569	-0.590	-0.508	-0.504	-0.501	-0.518	-0.526	-0.595	-0.562	-0.443	-0.449	-0.503	-0.568	-0.570	-0.503	-0.590	-0.567	-0.567	-0.510	-0.539	-0.138	-0.060	-0.131	-0.184	-0.125	-0.116	-0.186	-0.195	-0.183	-0.181	-0.122	-0.180	-0.124	-0.129	-0.200	-0.186	-0.238	-0.122	-0.184	-0.071	-0.185	-0.187	-0.124	-0.178	-0.068	-0.113	-0.181	-0.113	-0.201	-0.138	-0.132	-0.186	0.110	0.109	0.113	0.119	0.167	0.247	0.190	0.173	0.115	0.199	0.125	0.198	0.115	0.125	0.095	0.092	0.096	0.093	0.101	0.121	0.189	0.065	0.062	0.091	0.110	0.115	0.091	0.121	0.119	0.125	0.090	0.107	-0.556	-0.152	0.124	2016_7_15_14_05_09
F2LS3A8AGRXL____	-0.125	-0.120	-0.229	-0.125	-0.125	-0.203	-0.007	-0.125	-0.059	-0.125	-0.120	-0.125	-0.190	-0.020	-0.053	-0.201	-0.125	-0.065	-0.125	-0.052	-0.181	-0.024	-0.237	-0.181	-0.181	-0.120	-0.120	-0.120	-0.264	-0.125	-0.234	-0.125	0.001	0.061	0.064	-0.001	0.071	0.010	-0.054	0.133	-0.053	0.061	0.010	0.071	-0.054	0.065	-0.053	0.010	0.061	0.061	0.003	-0.063	0.010	0.002	0.009	-0.057	0.065	0.004	-0.002	0.004	0.066	0.002	0.008	0.024	-0.037	0.037	0.077	-0.069	0.037	0.072	-0.009	0.037	0.014	0.136	0.037	0.109	0.071	-0.014	0.012	0.087	-0.049	0.006	0.037	0.012	0.068	-0.007	0.086	0.068	0.037	0.035	-0.092	0.035	0.093	-0.059	0.085	0.124	-0.132	0.017	0.034	2016_7_15_14_05_13
F2LS3BDVGRXL____	0.022	-0.059	-0.075	-0.083	-0.059	-0.022	-0.075	-0.075	0.037	-0.079	-0.059	-0.059	-0.059	-0.059	-0.075	-0.022	-0.091	-0.022	-0.075	-0.012	-0.059	-0.075	-0.102	-0.059	-0.087	-0.059	-0.059	-0.059	-0.083	-0.075	-0.197	-0.102	0.248	0.305	0.293	0.292	0.320	0.394	0.173	0.166	0.338	0.292	0.432	0.326	0.249	0.276	0.349	0.291	0.289	0.293	0.376	0.282	0.293	0.224	0.312	0.291	0.281	0.327	0.308	0.327	0.287	0.305	0.349	0.291	-0.124	-0.022	-0.086	-0.091	-0.216	-0.232	0.003	-0.084	-0.139	-0.084	-0.091	-0.162	-0.108	-0.091	-0.031	-0.108	-0.078	-0.124	-0.184	-0.112	-0.171	0.003	-0.078	-0.091	-0.080	-0.222	-0.162	-0.222	-0.082	-0.016	-0.037	-0.061	-0.063	0.299	-0.106	2016_7_15_14_05_22
F2LS3EKPHFM2____	-0.265	-0.091	-0.185	-0.236	-0.206	-0.185	-0.185	-0.206	-0.206	-0.141	-0.206	-0.152	-0.255	-0.236	-0.166	-0.206	-0.098	-0.320	-0.185	-0.206	-0.206	-0.317	-0.129	-0.206	-0.253	-0.077	-0.206	-0.081	-0.206	-0.160	-0.302	-0.206	-0.065	-0.006	-0.201	-0.083	-0.194	-0.120	-0.192	-0.132	-0.021	-0.130	-0.120	-0.134	-0.136	-0.126	-0.083	-0.126	-0.139	-0.120	-0.120	-0.182	-0.120	-0.161	-0.151	-0.063	-0.066	-0.083	-0.191	-0.014	-0.067	-0.062	-0.007	-0.065	0.067	-0.013	-0.059	0.130	0.137	0.042	-0.081	-0.056	0.119	0.020	0.042	0.025	0.070	0.096	0.014	0.129	0.001	0.097	0.059	-0.031	-0.026	0.100	0.016	0.042	0.063	-0.031	0.165	-0.018	0.127	0.021	0.079	-0.047	-0.196	-0.109	0.041	2016_7_15_14_05_26
F2LS3HFBHFM5____	-0.126	-0.052	0.008	-0.079	-0.094	-0.080	-0.079	-0.079	-0.052	-0.079	-0.080	-0.212	-0.094	-0.080	-0.052	-0.079	-0.079	-0.052	-0.079	0.033	-0.052	-0.080	-0.052	-0.123	-0.080	-0.080	-0.094	-0.052	-0.094	-0.079	-0.107	-0.052	0.416	0.316	0.536	0.361	0.376	0.546	0.546	0.418	0.432	0.482	0.394	0.381	0.385	0.553	0.362	0.410	0.313	0.444	0.377	0.440	0.380	0.389	0.445	0.479	0.373	0.539	0.481	0.532	0.461	0.375	0.484	0.405	0.224	0.115	0.153	0.302	0.212	0.257	0.289	0.091	0.196	0.196	0.207	0.264	0.272	0.254	0.196	0.081	0.120	0.196	0.119	0.151	0.196	0.316	0.196	0.217	0.207	0.121	0.134	0.196	0.269	0.207	0.208	0.196	-0.076	0.432	0.199	2016_7_15_14_05_30
F2LS3HFRHFM5____	-0.052	-0.177	-0.246	-0.177	-0.229	-0.177	-0.229	-0.177	-0.177	-0.177	-0.229	-0.177	-0.177	-0.229	-0.324	-0.229	-0.229	-0.177	-0.177	-0.269	-0.050	-0.229	-0.124	-0.124	-0.057	-0.064	-0.177	-0.064	-0.229	-0.282	-0.321	-0.153	-0.369	-0.591	-0.529	-0.499	-0.394	-0.581	-0.556	-0.498	-0.480	-0.350	-0.522	-0.403	-0.338	-0.580	-0.477	-0.557	-0.331	-0.559	-0.387	-0.344	-0.398	-0.330	-0.575	-0.437	-0.432	-0.566	-0.411	-0.566	-0.434	-0.335	-0.497	-0.520	0.038	0.182	0.138	-0.029	0.096	0.096	0.007	0.096	0.194	0.162	0.221	0.096	0.091	0.135	0.167	0.009	0.208	0.004	0.096	0.131	0.041	0.206	0.076	0.076	0.047	0.061	0.096	0.061	0.215	0.136	0.167	0.096	-0.185	-0.464	0.107	2016_7_15_14_05_34
F2LS3HQHHFM5____	-0.010	0.058	-0.012	0.064	-0.060	0.052	0.056	-0.009	-0.071	0.052	0.053	0.007	0.130	0.117	0.016	0.052	0.137	0.007	0.052	0.092	0.016	0.133	0.052	0.052	-0.007	0.003	0.052	0.003	0.111	0.064	-0.007	0.058	0.055	-0.061	0.053	0.060	-0.035	-0.001	0.117	0.064	-0.059	0.129	0.124	0.160	0.057	0.061	-0.002	0.060	0.208	0.118	0.119	0.190	0.053	0.064	0.064	0.120	0.057	0.059	0.124	0.059	0.063	0.114	-0.060	0.124	0.216	0.196	0.217	0.183	0.246	0.193	0.181	0.215	0.253	0.193	0.183	0.199	0.154	0.159	0.210	0.082	0.138	0.202	0.068	0.159	0.193	0.133	0.199	0.264	0.214	0.209	0.193	0.209	0.162	0.181	0.225	0.193	0.041	0.071	0.188	2016_7_15_14_05_37
F2LS3HZVHFM5____	0.071	0.023	0.071	0.071	0.023	0.023	0.071	0.012	0.071	0.071	0.071	0.071	0.023	0.008	-0.057	0.006	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.012	0.003	0.012	0.071	0.012	0.071	0.071	0.071	0.023	0.005	0.110	0.069	0.130	0.021	-0.022	0.031	0.010	0.011	0.077	-0.005	0.004	0.012	0.006	0.068	0.003	-0.010	0.104	-0.061	0.009	-0.068	0.013	0.036	0.132	0.133	0.107	0.137	0.107	0.069	0.007	0.012	0.016	-0.188	-0.073	-0.194	-0.207	-0.069	-0.064	-0.198	-0.062	-0.169	-0.073	-0.096	-0.195	-0.073	-0.060	-0.037	-0.059	-0.073	-0.096	-0.134	0.054	-0.184	0.024	-0.096	-0.073	-0.069	-0.071	0.040	-0.071	-0.073	-0.096	0.020	-0.010	0.046	0.040	-0.085	2016_7_15_14_05_41
F2LS3JESHFM5____	-0.436	-0.499	-0.433	-0.599	-0.429	-0.483	-0.436	-0.436	-0.490	-0.436	-0.499	-0.483	-0.436	-0.436	-0.598	-0.483	-0.494	-0.429	-0.492	-0.484	-0.413	-0.484	-0.602	-0.545	-0.436	-0.436	-0.436	-0.436	-0.483	-0.436	-0.558	-0.483	-0.069	0.055	0.054	-0.028	-0.017	-0.135	-0.064	-0.004	-0.069	-0.012	-0.064	-0.068	-0.011	0.005	-0.028	-0.028	-0.008	-0.007	-0.013	-0.051	-0.070	-0.068	-0.001	-0.125	-0.071	-0.011	-0.010	-0.011	-0.068	-0.007	-0.068	-0.028	0.212	0.340	0.311	0.374	0.189	0.267	0.250	0.318	0.348	0.416	0.348	0.278	0.318	0.318	0.375	0.340	0.344	0.315	0.342	0.342	0.314	0.345	0.391	0.377	0.222	0.240	0.419	0.240	0.345	0.247	0.377	0.249	-0.477	-0.034	0.316	2016_7_15_14_05_44
F2LS3KLTHFM5____	-0.259	-0.072	-0.140	-0.183	-0.290	-0.140	-0.116	-0.116	-0.116	-0.116	-0.140	-0.288	-0.116	-0.197	-0.144	-0.272	-0.160	-0.140	-0.065	-0.247	-0.178	-0.144	-0.049	-0.116	-0.144	-0.140	-0.116	-0.260	-0.116	-0.116	-0.140	-0.116	0.269	0.342	0.211	0.275	0.184	0.308	0.374	0.203	0.257	0.209	0.249	0.185	0.186	0.332	0.198	0.180	0.364	0.255	0.312	0.313	0.257	0.308	0.311	0.318	0.270	0.318	0.262	0.182	0.208	0.253	0.212	0.285	0.177	0.088	0.052	0.143	0.198	0.205	0.115	0.027	0.011	0.115	0.126	0.198	0.122	0.144	0.066	0.191	0.125	0.123	0.088	0.168	0.142	0.123	0.082	0.115	0.066	0.036	0.115	0.186	0.020	0.115	0.050	0.247	-0.155	0.262	0.118	2016_7_15_14_05_47
