SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.720	-0.727	-0.756	-0.722	-0.719	-0.722	-0.714	-0.715	-0.720	-0.716	-0.723	-0.719	-0.752	-0.752	-0.713	-0.720	-0.752	-0.751	-0.720	-0.713	-0.722	-0.715	-0.721	-0.752	-0.716	-0.713	-0.721	-0.751	-0.724	-0.713	-0.754	-0.716	-0.281	-0.241	-0.318	-0.282	-0.280	-0.279	-0.316	-0.316	-0.281	-0.317	-0.283	-0.280	-0.278	-0.279	-0.315	-0.280	-0.278	-0.279	-0.283	-0.317	-0.281	-0.316	-0.280	-0.280	-0.316	-0.316	-0.281	-0.280	-0.282	-0.316	-0.281	-0.316	0.137	0.133	0.153	0.137	0.136	0.136	0.139	0.139	0.136	0.140	0.138	0.136	0.147	0.147	0.139	0.136	0.147	0.146	0.137	0.139	0.137	0.140	0.137	0.146	0.140	0.138	0.137	0.146	0.138	0.139	0.148	0.140	-0.727	-0.291	0.140	2016_7_15_14_23_45
F2LS3A8AGRXL____	-0.164	-0.166	-0.197	-0.167	-0.168	-0.197	-0.167	-0.167	-0.168	-0.167	-0.193	-0.167	-0.162	-0.164	-0.196	-0.165	-0.164	-0.197	-0.231	-0.166	-0.169	-0.166	-0.197	-0.167	-0.197	-0.166	-0.169	-0.168	-0.196	-0.167	-0.167	-0.197	-0.007	-0.007	-0.005	-0.008	-0.008	-0.005	-0.007	-0.006	-0.008	-0.008	-0.005	-0.007	-0.008	-0.007	-0.004	-0.007	-0.007	-0.005	-0.002	-0.007	-0.008	-0.005	-0.005	-0.007	-0.004	-0.007	-0.008	-0.007	-0.003	-0.006	-0.007	-0.004	0.040	0.040	0.050	0.040	0.041	0.049	0.040	0.040	0.041	0.040	0.048	0.040	0.038	0.039	0.049	0.039	0.039	0.050	0.061	0.040	0.041	0.039	0.051	0.040	0.050	0.039	0.042	0.040	0.050	0.040	0.040	0.050	-0.177	-0.006	0.043	2016_7_15_14_23_49
F2LS3BDVGRXL____	-0.004	-0.005	-0.014	-0.004	-0.003	-0.008	-0.004	0.001	-0.002	-0.004	-0.005	-0.002	-0.047	-0.044	-0.004	-0.004	0.017	-0.047	-0.014	-0.006	-0.007	-0.005	-0.006	-0.003	-0.004	-0.001	-0.007	-0.006	-0.002	-0.005	-0.005	-0.004	-0.052	-0.052	-0.015	-0.052	-0.051	-0.011	-0.049	-0.084	-0.051	-0.053	-0.050	-0.051	-0.010	-0.010	-0.049	-0.051	-0.014	-0.012	-0.014	-0.052	-0.051	-0.050	-0.051	-0.053	-0.050	-0.050	-0.051	-0.051	-0.051	-0.051	-0.050	-0.050	-0.083	-0.083	-0.085	-0.084	-0.084	-0.088	-0.084	-0.080	-0.084	-0.083	-0.083	-0.084	-0.075	-0.077	-0.083	-0.084	-0.096	-0.075	-0.086	-0.083	-0.082	-0.084	-0.083	-0.083	-0.083	-0.084	-0.082	-0.082	-0.084	-0.083	-0.083	-0.083	-0.008	-0.044	-0.083	2016_7_15_14_23_52
F2LS3EKPHFM2____	-0.174	-0.145	-0.174	-0.178	-0.145	-0.176	-0.184	-0.181	-0.175	-0.184	-0.174	-0.173	-0.142	-0.142	-0.181	-0.107	-0.142	-0.177	-0.143	-0.155	-0.146	-0.182	-0.174	-0.146	-0.183	-0.186	-0.146	-0.178	-0.153	-0.174	-0.175	-0.174	0.017	0.008	0.013	0.052	0.012	0.013	0.047	0.048	0.014	0.049	0.014	0.014	0.009	0.010	0.048	0.006	0.011	0.015	0.010	0.047	0.010	0.048	0.013	0.010	0.049	0.046	0.010	0.013	0.048	0.013	0.014	0.015	0.002	-0.007	0.002	-0.002	-0.007	0.003	-0.000	-0.001	0.002	0.000	0.002	0.002	-0.007	-0.008	-0.000	-0.020	-0.009	0.003	-0.007	-0.009	-0.007	-0.000	0.003	-0.007	-0.000	0.001	-0.006	0.004	-0.010	0.002	0.003	0.001	-0.165	0.023	-0.002	2016_7_15_14_23_57
F2LS3HFBHFM5____	0.101	0.129	0.130	0.099	0.099	0.100	0.097	0.096	0.131	0.127	0.097	0.100	0.135	0.133	0.130	0.137	0.132	0.133	0.131	0.099	0.097	0.136	0.102	0.099	0.100	0.129	0.099	0.097	0.096	0.104	0.130	0.096	0.004	0.043	0.041	0.006	0.004	0.005	0.043	0.045	0.009	0.043	0.012	0.005	0.004	0.005	0.042	0.005	0.005	0.006	0.006	0.044	0.008	0.008	0.006	0.008	0.005	0.042	0.008	0.007	0.046	0.008	0.043	0.044	0.171	0.156	0.156	0.171	0.172	0.171	0.167	0.167	0.160	0.156	0.171	0.171	0.159	0.160	0.156	0.158	0.160	0.160	0.160	0.166	0.172	0.159	0.170	0.171	0.171	0.156	0.171	0.171	0.166	0.169	0.156	0.166	0.113	0.019	0.165	2016_7_15_14_24_01
F2LS3HFRHFM5____	0.228	0.226	0.229	0.228	0.228	0.227	0.227	0.228	0.226	0.230	0.228	0.230	0.185	0.228	0.232	0.229	0.227	0.229	0.267	0.227	0.225	0.227	0.228	0.227	0.229	0.228	0.225	0.228	0.230	0.229	0.227	0.230	0.002	0.045	0.005	0.005	0.006	0.004	0.004	0.004	0.006	0.007	0.008	0.005	0.048	0.004	0.005	0.006	0.005	0.005	-0.037	0.004	0.005	0.005	0.005	0.007	0.005	0.005	0.005	0.006	0.006	0.005	0.003	0.005	-0.094	-0.100	-0.094	-0.094	-0.094	-0.094	-0.093	-0.094	-0.094	-0.095	-0.094	-0.095	-0.086	-0.094	-0.095	-0.095	-0.094	-0.095	-0.102	-0.094	-0.094	-0.094	-0.094	-0.094	-0.095	-0.094	-0.093	-0.094	-0.095	-0.095	-0.094	-0.095	0.228	0.006	-0.094	2016_7_15_14_24_05
F2LS3HQHHFM5____	0.012	0.043	0.044	0.044	0.013	0.044	0.045	0.050	0.046	0.047	0.044	0.043	0.003	0.014	0.047	0.011	0.004	0.009	0.079	0.044	0.013	0.014	0.043	0.018	0.044	0.045	0.042	0.043	0.014	0.043	0.014	0.044	-0.004	-0.006	-0.005	-0.006	-0.003	-0.005	-0.004	-0.038	-0.005	-0.005	-0.005	-0.006	0.032	-0.002	-0.004	-0.003	0.032	-0.004	-0.009	-0.005	-0.002	-0.002	-0.007	-0.003	-0.004	-0.004	-0.005	-0.006	-0.003	-0.005	-0.003	-0.004	0.213	0.202	0.202	0.203	0.213	0.203	0.202	0.205	0.202	0.201	0.203	0.203	0.210	0.212	0.201	0.213	0.211	0.214	0.191	0.203	0.212	0.212	0.203	0.211	0.202	0.202	0.203	0.203	0.212	0.202	0.212	0.202	0.033	-0.003	0.206	2016_7_15_14_24_09
F2LS3HZVHFM5____	0.146	0.147	0.144	0.150	0.151	0.184	0.151	0.149	0.151	0.149	0.145	0.150	0.141	0.108	0.119	0.176	0.138	0.143	0.147	0.150	0.150	0.151	0.152	0.150	0.150	0.152	0.150	0.150	0.151	0.151	0.150	0.151	0.004	-0.009	-0.012	-0.050	-0.049	-0.051	-0.049	-0.049	-0.046	-0.047	-0.047	-0.049	-0.010	-0.007	-0.046	-0.015	-0.010	-0.014	-0.049	-0.050	-0.047	-0.049	-0.048	-0.049	-0.049	-0.049	-0.047	-0.048	-0.049	-0.049	-0.048	-0.048	-0.105	-0.103	-0.102	-0.099	-0.098	-0.110	-0.099	-0.099	-0.099	-0.098	-0.098	-0.099	-0.102	-0.090	-0.089	-0.112	-0.100	-0.102	-0.098	-0.098	-0.098	-0.099	-0.099	-0.098	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	0.148	-0.039	-0.100	2016_7_15_14_24_14
F2LS3JESHFM5____	-0.402	-0.407	-0.442	-0.402	-0.403	-0.409	-0.403	-0.400	-0.402	-0.403	-0.406	-0.406	-0.365	-0.403	-0.401	-0.404	-0.367	-0.405	-0.436	-0.403	-0.404	-0.403	-0.404	-0.371	-0.403	-0.403	-0.403	-0.406	-0.399	-0.403	-0.407	-0.404	-0.201	-0.159	-0.161	-0.199	-0.200	-0.161	-0.199	-0.199	-0.199	-0.198	-0.195	-0.200	-0.203	-0.200	-0.200	-0.200	-0.202	-0.200	-0.197	-0.199	-0.198	-0.198	-0.201	-0.201	-0.199	-0.200	-0.199	-0.200	-0.200	-0.199	-0.201	-0.199	0.291	0.286	0.297	0.290	0.291	0.287	0.290	0.289	0.290	0.290	0.291	0.291	0.279	0.291	0.290	0.291	0.279	0.291	0.302	0.291	0.291	0.290	0.292	0.280	0.291	0.291	0.291	0.292	0.290	0.290	0.292	0.290	-0.403	-0.196	0.290	2016_7_15_14_24_17
F2LS3KLTHFM5____	-0.085	-0.084	-0.085	-0.090	-0.085	-0.049	-0.086	-0.084	-0.086	-0.086	-0.089	-0.076	-0.121	-0.086	-0.085	-0.119	-0.089	-0.087	-0.088	-0.085	-0.083	-0.086	-0.085	-0.114	-0.084	-0.086	-0.084	-0.084	-0.113	-0.086	-0.117	-0.085	-0.008	-0.007	-0.008	0.032	-0.008	-0.007	-0.008	-0.009	-0.006	-0.005	-0.008	-0.046	-0.006	-0.009	-0.008	-0.005	-0.008	-0.009	-0.009	-0.007	-0.007	-0.008	-0.007	-0.005	-0.007	-0.007	-0.007	-0.007	-0.004	-0.008	-0.006	-0.006	0.118	0.117	0.117	0.114	0.118	0.105	0.117	0.117	0.117	0.117	0.119	0.120	0.129	0.118	0.118	0.128	0.119	0.118	0.119	0.118	0.117	0.118	0.118	0.127	0.117	0.118	0.117	0.117	0.126	0.117	0.128	0.117	-0.089	-0.007	0.119	2016_7_15_14_24_20
