SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.691	-0.651	-0.653	-0.691	-0.648	-0.694	-0.690	-0.690	-0.654	-0.689	-0.689	-0.654	-0.726	-0.652	-0.692	-0.690	-0.653	-0.693	-0.689	-0.656	-0.688	-0.655	-0.689	-0.654	-0.653	-0.692	-0.689	-0.652	-0.653	-0.689	-0.692	-0.651	-0.139	-0.168	-0.181	-0.175	-0.146	-0.292	-0.178	-0.181	-0.216	-0.105	-0.178	-0.175	-0.142	-0.172	-0.184	-0.146	-0.104	-0.052	-0.215	-0.255	-0.101	-0.175	-0.225	-0.111	-0.104	-0.139	-0.177	-0.142	-0.104	-0.063	-0.211	-0.134	0.138	0.125	0.126	0.141	0.105	0.152	0.141	0.141	0.130	0.134	0.141	0.126	0.152	0.125	0.143	0.138	0.120	0.131	0.144	0.134	0.134	0.127	0.145	0.121	0.120	0.139	0.141	0.123	0.120	0.131	0.144	0.122	-0.675	-0.159	0.133	2016_7_15_14_27_27
F2LS3A8AGRXL____	-0.084	-0.113	-0.082	-0.084	-0.081	-0.082	-0.083	-0.082	-0.081	-0.083	-0.117	-0.085	-0.081	-0.082	-0.081	-0.083	-0.081	-0.083	-0.081	-0.083	-0.073	-0.080	-0.084	-0.082	-0.081	-0.083	-0.080	-0.083	-0.081	-0.044	-0.083	-0.082	0.001	-0.157	-0.015	-0.041	-0.039	0.026	-0.037	-0.004	0.030	-0.006	-0.042	0.025	-0.006	-0.037	0.000	-0.009	-0.067	-0.006	-0.073	-0.038	-0.015	-0.000	-0.006	-0.065	-0.067	0.063	-0.070	-0.007	-0.067	0.028	-0.036	-0.068	0.016	0.041	0.017	0.020	0.018	0.013	0.019	0.016	0.013	0.017	0.033	0.014	0.016	0.018	0.016	0.017	0.021	0.016	0.021	0.019	0.001	0.015	0.017	0.021	0.021	0.011	0.021	0.016	0.021	-0.002	0.019	0.021	-0.083	-0.025	0.018	2016_7_15_14_27_30
F2LS3BDVGRXL____	-0.073	-0.064	-0.065	-0.065	-0.064	-0.064	-0.062	-0.066	-0.066	-0.064	-0.066	-0.062	-0.081	-0.065	-0.023	-0.064	-0.022	-0.063	-0.064	-0.081	-0.064	-0.064	-0.064	-0.065	-0.022	-0.081	-0.065	-0.053	-0.022	-0.064	-0.102	-0.063	-0.011	-0.044	-0.032	-0.011	-0.042	-0.042	-0.002	-0.003	-0.002	-0.035	-0.041	-0.046	-0.063	-0.034	0.053	0.000	0.057	-0.040	0.067	0.007	-0.040	-0.035	-0.046	-0.005	0.057	-0.032	0.065	-0.124	0.057	-0.033	-0.042	-0.038	-0.050	-0.063	-0.064	-0.066	-0.063	-0.064	-0.067	-0.066	-0.066	-0.064	-0.063	-0.064	-0.055	-0.064	-0.087	-0.067	-0.088	-0.064	-0.072	-0.062	-0.064	-0.064	-0.063	-0.066	-0.088	-0.044	-0.072	-0.062	-0.088	-0.065	-0.049	-0.064	-0.062	-0.015	-0.066	2016_7_15_14_27_33
F2LS3EKPHFM2____	-0.216	-0.211	-0.306	-0.250	-0.215	-0.191	-0.216	-0.216	-0.213	-0.214	-0.215	-0.214	-0.223	-0.216	-0.223	-0.272	-0.214	-0.223	-0.250	-0.261	-0.219	-0.263	-0.263	-0.216	-0.214	-0.193	-0.262	-0.272	-0.214	-0.213	-0.214	-0.215	-0.000	0.005	0.127	-0.033	0.006	0.002	0.046	0.002	0.106	0.079	-0.028	-0.003	0.087	-0.026	0.113	0.004	0.045	0.083	-0.068	-0.066	-0.068	-0.105	-0.107	0.003	0.045	-0.098	0.080	0.004	0.045	-0.032	-0.028	0.002	0.031	0.029	0.056	0.047	0.029	0.033	0.027	0.030	0.021	0.023	0.033	0.030	0.027	0.034	0.024	0.053	0.026	0.027	0.050	0.054	0.038	0.058	0.058	0.031	0.026	0.030	0.043	0.052	0.026	0.033	0.033	0.031	-0.229	0.007	0.036	2016_7_15_14_27_37
F2LS3HFBHFM5____	0.049	0.051	0.053	0.018	0.087	0.018	0.052	0.017	0.019	0.016	0.053	0.051	0.048	0.054	0.053	0.018	0.052	0.015	0.054	0.016	0.056	0.014	0.017	0.053	0.052	0.053	0.017	0.056	0.052	0.015	0.055	0.017	-0.034	0.034	-0.003	0.007	-0.069	0.068	0.066	0.005	0.138	-0.027	0.041	-0.002	0.034	0.036	0.038	0.000	0.002	-0.037	0.069	0.075	0.040	0.104	0.038	0.063	0.002	-0.047	0.065	-0.031	0.002	0.035	-0.003	-0.027	0.189	0.182	0.184	0.198	0.177	0.192	0.180	0.198	0.186	0.202	0.181	0.185	0.164	0.181	0.181	0.198	0.185	0.202	0.179	0.192	0.180	0.191	0.196	0.179	0.185	0.189	0.193	0.186	0.185	0.197	0.184	0.201	0.039	0.021	0.187	2016_7_15_14_27_41
F2LS3HFRHFM5____	-0.054	-0.052	-0.045	-0.053	-0.054	-0.053	-0.084	-0.053	-0.054	-0.053	-0.048	-0.052	-0.052	0.018	-0.043	-0.054	-0.049	-0.054	-0.047	-0.054	-0.044	-0.049	-0.045	-0.050	-0.049	-0.050	-0.046	-0.054	-0.049	-0.047	-0.049	-0.053	-0.104	-0.099	-0.126	0.075	0.001	-0.002	-0.057	-0.125	0.001	0.039	-0.022	0.004	0.002	0.067	0.024	0.003	-0.051	0.001	-0.054	-0.069	-0.022	-0.161	-0.120	-0.021	-0.051	-0.022	-0.050	-0.069	-0.051	-0.085	-0.021	0.071	0.013	0.012	0.011	-0.002	0.004	0.004	0.021	0.014	0.004	0.001	0.004	0.003	0.003	-0.030	-0.002	0.004	0.006	0.004	0.006	0.009	-0.009	0.016	0.011	0.005	0.006	0.018	0.006	0.009	0.006	0.009	0.004	-0.002	-0.049	-0.034	0.005	2016_7_15_14_27_46
F2LS3HQHHFM5____	0.040	0.046	0.037	0.039	0.041	0.000	0.038	0.038	0.040	0.039	0.037	0.037	0.002	0.039	0.043	-0.041	-0.000	0.039	0.003	0.041	0.044	0.037	0.039	0.037	-0.000	0.040	0.039	0.040	-0.000	0.038	0.038	0.041	0.048	0.088	0.091	0.011	0.082	0.054	0.051	-0.036	0.050	0.051	0.088	0.050	0.057	0.048	0.125	0.044	0.052	0.085	-0.011	0.120	0.016	0.049	0.047	0.085	0.052	0.083	-0.053	0.021	0.052	0.054	0.021	0.051	0.197	0.191	0.195	0.200	0.194	0.211	0.197	0.205	0.197	0.196	0.194	0.198	0.210	0.197	0.189	0.229	0.212	0.194	0.216	0.190	0.198	0.198	0.198	0.195	0.212	0.193	0.205	0.200	0.212	0.197	0.200	0.196	0.030	0.051	0.200	2016_7_15_14_27_49
F2LS3HZVHFM5____	0.070	0.062	0.104	0.065	0.065	0.066	0.067	0.065	0.066	0.065	0.066	0.065	0.067	0.067	0.064	0.065	0.067	0.069	0.066	0.066	0.068	0.067	0.067	0.065	0.067	0.065	0.066	0.066	0.067	0.067	0.065	0.067	0.066	0.085	-0.016	-0.011	-0.043	0.019	-0.088	-0.077	-0.075	-0.077	-0.077	-0.008	-0.011	-0.012	-0.079	-0.014	-0.045	0.056	0.056	-0.012	-0.011	-0.041	-0.042	-0.041	-0.045	-0.073	-0.009	-0.075	-0.045	0.016	-0.011	-0.045	-0.088	-0.087	-0.095	-0.080	-0.077	-0.083	-0.075	-0.075	-0.076	-0.075	-0.075	-0.080	-0.082	-0.081	-0.074	-0.081	-0.079	-0.087	-0.087	-0.081	-0.081	-0.079	-0.079	-0.078	-0.079	-0.075	-0.081	-0.075	-0.079	-0.083	-0.080	-0.078	0.067	-0.025	-0.080	2016_7_15_14_27_53
F2LS3JESHFM5____	-0.548	-0.555	-0.552	-0.552	-0.553	-0.551	-0.552	-0.552	-0.552	-0.551	-0.550	-0.552	-0.553	-0.551	-0.550	-0.587	-0.552	-0.554	-0.551	-0.549	-0.545	-0.551	-0.553	-0.554	-0.552	-0.551	-0.550	-0.549	-0.552	-0.551	-0.551	-0.550	-0.032	-0.201	-0.116	-0.079	-0.076	-0.109	-0.081	-0.045	-0.045	-0.116	-0.076	-0.078	-0.081	-0.047	-0.070	-0.117	-0.079	-0.041	-0.076	-0.042	0.048	-0.075	0.036	-0.046	-0.079	-0.072	-0.109	-0.115	-0.079	-0.113	-0.078	-0.149	0.345	0.362	0.354	0.350	0.351	0.352	0.351	0.348	0.347	0.353	0.349	0.350	0.351	0.348	0.350	0.368	0.351	0.348	0.350	0.346	0.338	0.349	0.341	0.349	0.351	0.350	0.352	0.353	0.351	0.353	0.350	0.355	-0.552	-0.076	0.351	2016_7_15_14_27_56
F2LS3KLTHFM5____	-0.069	-0.074	-0.071	-0.072	-0.073	-0.067	-0.075	-0.073	-0.074	-0.073	-0.073	-0.074	-0.071	-0.077	-0.073	-0.072	-0.073	-0.074	-0.073	-0.071	-0.074	-0.073	-0.071	-0.072	-0.073	-0.073	-0.072	-0.072	-0.073	-0.072	-0.073	-0.073	0.092	0.005	0.049	0.125	0.051	0.012	0.119	0.051	0.093	0.049	0.046	0.010	-0.090	-0.047	0.012	0.075	0.069	0.078	-0.053	0.074	0.011	0.012	0.009	0.047	0.069	0.041	-0.052	0.050	0.069	-0.024	0.042	-0.087	0.107	0.117	0.112	0.106	0.113	0.134	0.107	0.112	0.109	0.112	0.113	0.116	0.123	0.122	0.115	0.110	0.111	0.111	0.121	0.110	0.116	0.116	0.115	0.112	0.111	0.113	0.120	0.112	0.111	0.118	0.114	0.124	-0.073	0.031	0.114	2016_7_15_14_28_00
