SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.652	-0.649	-0.650	-0.647	-0.652	-0.649	-0.650	-0.651	-0.652	-0.683	-0.648	-0.649	-0.652	-0.648	-0.650	-0.651	-0.652	-0.688	-0.649	-0.680	-0.651	-0.650	-0.652	-0.651	-0.652	-0.649	-0.653	-0.684	-0.683	-0.647	-0.652	-0.651	-0.161	-0.157	-0.136	-0.161	-0.135	-0.135	-0.136	-0.135	-0.135	-0.134	-0.138	-0.162	-0.136	-0.138	-0.135	-0.137	-0.137	-0.163	-0.133	-0.165	-0.135	-0.136	-0.163	-0.132	-0.159	-0.134	-0.134	-0.131	-0.165	-0.130	-0.134	-0.133	0.125	0.124	0.123	0.124	0.123	0.122	0.123	0.123	0.124	0.135	0.122	0.125	0.124	0.122	0.123	0.123	0.124	0.140	0.122	0.137	0.123	0.123	0.126	0.123	0.126	0.123	0.123	0.135	0.138	0.121	0.123	0.123	-0.655	-0.142	0.126	2016_7_15_14_40_00
F2LS3A8AGRXL____	-0.087	-0.081	-0.083	-0.086	-0.087	-0.078	-0.117	-0.083	-0.080	-0.082	-0.084	-0.082	-0.078	-0.084	-0.082	-0.083	-0.084	-0.086	-0.080	-0.081	-0.159	-0.085	-0.081	-0.083	-0.080	-0.081	-0.086	-0.078	-0.083	-0.083	-0.082	-0.084	-0.031	-0.005	-0.030	-0.006	-0.033	0.026	-0.003	-0.028	-0.007	-0.004	-0.005	-0.032	-0.034	-0.005	-0.005	-0.006	-0.004	-0.032	-0.034	-0.003	-0.031	-0.033	-0.004	-0.003	-0.004	-0.004	-0.005	-0.036	-0.004	-0.034	-0.007	-0.033	0.020	0.016	0.018	0.018	0.021	0.012	0.030	0.019	0.016	0.016	0.017	0.018	0.017	0.017	0.016	0.016	0.017	0.020	0.017	0.016	0.049	0.019	0.016	0.016	0.016	0.016	0.017	0.017	0.017	0.018	0.016	0.019	-0.086	-0.015	0.019	2016_7_15_14_41_19
F2LS3EKPHFM2____	-0.209	-0.210	-0.211	-0.202	-0.268	-0.243	-0.207	-0.202	-0.211	-0.214	-0.214	-0.175	-0.208	-0.214	-0.214	-0.286	-0.212	-0.212	-0.211	-0.202	-0.209	-0.214	-0.213	-0.208	-0.173	-0.211	-0.282	-0.212	-0.209	-0.213	-0.210	-0.211	0.027	-0.031	0.022	-0.066	-0.031	-0.033	-0.028	-0.031	-0.004	0.032	-0.029	0.062	-0.036	-0.029	-0.003	-0.037	-0.003	0.021	-0.002	0.074	-0.037	-0.004	-0.033	0.001	0.023	-0.004	-0.008	-0.004	-0.002	-0.006	-0.036	-0.039	0.027	0.031	0.028	0.032	0.055	0.044	0.031	0.029	0.031	0.029	0.033	0.011	0.031	0.033	0.031	0.063	0.031	0.029	0.029	0.021	0.032	0.031	0.033	0.029	0.013	0.030	0.058	0.031	0.029	0.031	0.032	0.033	-0.215	-0.009	0.032	2016_7_15_14_41_23
F2LS3HFBHFM5____	0.056	0.017	0.052	0.056	0.055	0.020	0.019	0.058	0.055	0.054	0.018	0.052	-0.034	0.018	0.056	-0.040	0.051	0.017	0.015	0.059	0.057	0.015	0.053	0.016	-0.001	0.053	0.047	0.098	0.053	0.062	0.057	0.018	0.072	-0.043	-0.004	0.088	0.043	0.093	-0.002	0.100	-0.004	-0.002	-0.007	0.043	-0.117	-0.007	-0.002	-0.048	-0.004	0.040	-0.001	0.004	0.142	-0.005	-0.008	-0.047	-0.113	-0.004	0.042	-0.005	-0.006	-0.004	0.145	-0.006	0.177	0.202	0.185	0.176	0.180	0.190	0.198	0.175	0.184	0.184	0.199	0.182	0.228	0.199	0.184	0.225	0.185	0.195	0.200	0.181	0.172	0.200	0.185	0.202	0.214	0.185	0.183	0.167	0.184	0.181	0.172	0.198	0.037	0.012	0.190	2016_7_15_14_41_31
F2LS3HFRHFM5____	-0.048	-0.047	-0.048	0.016	-0.050	-0.052	-0.048	0.020	-0.044	-0.049	-0.050	-0.045	-0.045	-0.050	-0.046	-0.054	-0.009	-0.050	-0.050	-0.055	-0.048	-0.054	-0.051	-0.045	-0.051	0.017	-0.047	-0.048	0.018	-0.046	-0.044	-0.051	-0.050	-0.044	-0.051	-0.069	-0.051	-0.057	-0.047	0.017	-0.051	-0.043	-0.107	-0.053	-0.047	-0.107	-0.045	-0.069	-0.019	-0.051	-0.018	-0.056	-0.048	-0.069	-0.054	-0.047	-0.050	-0.018	-0.044	-0.044	0.014	-0.046	-0.046	-0.051	0.006	0.005	0.006	-0.018	0.007	0.007	0.006	-0.026	0.004	0.006	0.010	0.004	0.005	0.010	0.004	0.009	-0.012	0.006	0.004	0.009	0.005	0.010	0.007	0.005	0.006	-0.022	0.005	0.006	-0.025	0.005	0.005	0.007	-0.039	-0.047	0.002	2016_7_15_14_41_43
F2LS3HQHHFM5____	0.040	0.041	0.042	0.039	0.041	0.075	0.010	-0.022	0.049	0.075	0.041	-0.024	0.042	0.041	0.076	0.043	0.042	0.042	-0.027	0.038	0.011	0.043	0.040	0.045	0.043	0.006	0.009	0.043	0.009	0.037	0.010	0.043	0.057	0.085	0.058	0.060	0.059	0.095	0.060	-0.006	0.055	0.060	0.058	0.026	0.057	0.058	0.085	0.057	0.055	0.058	0.028	0.057	0.058	0.057	0.060	0.091	0.057	0.027	0.056	0.057	0.010	0.059	0.055	0.031	0.197	0.194	0.195	0.196	0.195	0.179	0.208	0.226	0.193	0.182	0.195	0.224	0.196	0.195	0.180	0.195	0.196	0.196	0.225	0.197	0.208	0.195	0.196	0.192	0.195	0.212	0.208	0.195	0.212	0.197	0.209	0.197	0.033	0.054	0.199	2016_7_15_14_41_47
F2LS3HZVHFM5____	0.062	0.025	0.062	0.058	0.062	0.057	0.060	0.061	0.026	0.058	0.026	0.027	0.026	0.026	-0.007	0.100	0.060	0.062	0.091	0.030	0.061	0.026	0.061	0.025	0.062	0.058	0.060	0.066	0.060	0.094	0.059	0.024	-0.011	-0.037	-0.012	-0.013	-0.012	-0.046	-0.011	0.012	-0.009	-0.014	-0.040	-0.011	-0.011	-0.040	-0.038	-0.010	-0.010	-0.010	-0.009	-0.013	-0.009	-0.041	-0.011	-0.073	-0.010	-0.039	-0.007	-0.043	-0.013	-0.012	-0.008	-0.076	-0.080	-0.062	-0.080	-0.078	-0.080	-0.076	-0.078	-0.080	-0.066	-0.078	-0.063	-0.066	-0.065	-0.063	-0.050	-0.094	-0.079	-0.080	-0.092	-0.067	-0.079	-0.063	-0.079	-0.060	-0.080	-0.076	-0.079	-0.078	-0.078	-0.092	-0.079	-0.060	0.051	-0.021	-0.074	2016_7_15_14_41_50
F2LS3JESHFM5____	-0.556	-0.561	-0.559	-0.665	-0.558	-0.527	-0.558	-0.484	-0.536	-0.598	-0.556	-0.623	-0.558	-0.556	-0.561	-0.551	-0.596	-0.551	-0.673	-0.529	-0.483	-0.556	-0.560	-0.522	-0.559	-0.556	-0.561	-0.520	-0.520	-0.524	-0.558	-0.562	0.020	-0.069	-0.021	-0.158	0.020	0.025	-0.072	0.094	-0.163	-0.075	-0.069	0.013	0.018	-0.069	-0.070	0.023	-0.080	0.014	-0.128	-0.028	0.022	-0.080	-0.021	-0.065	-0.019	-0.080	-0.068	0.006	-0.022	-0.069	-0.066	-0.066	0.346	0.355	0.351	0.403	0.347	0.334	0.354	0.312	0.352	0.370	0.353	0.374	0.347	0.353	0.355	0.344	0.369	0.345	0.404	0.339	0.317	0.353	0.351	0.339	0.350	0.353	0.354	0.333	0.336	0.340	0.354	0.355	-0.558	-0.041	0.351	2016_7_15_14_41_55
F2LS3KLTHFM5____	-0.073	-0.106	-0.074	-0.073	-0.075	-0.038	-0.075	-0.106	-0.072	-0.074	-0.107	-0.074	-0.076	-0.107	-0.076	-0.071	-0.074	-0.075	-0.074	-0.070	-0.075	-0.075	-0.074	-0.073	-0.076	-0.072	-0.074	-0.074	-0.070	-0.073	-0.040	-0.073	0.008	0.013	0.010	0.047	0.009	0.041	0.012	0.011	0.044	0.014	0.085	0.010	0.011	0.085	0.011	0.047	-0.024	0.010	0.019	0.019	0.015	0.045	0.011	0.016	0.010	0.011	-0.024	0.047	0.016	0.048	0.009	0.010	0.116	0.129	0.117	0.114	0.117	0.101	0.117	0.129	0.113	0.116	0.124	0.117	0.118	0.124	0.117	0.113	0.119	0.117	0.116	0.114	0.117	0.114	0.116	0.116	0.117	0.116	0.120	0.114	0.114	0.113	0.103	0.117	-0.076	0.022	0.116	2016_7_15_14_41_58
F2LS3MG9HFM5____	0.433	0.357	0.357	0.318	0.356	0.353	0.354	0.287	0.399	0.357	0.353	0.427	0.395	0.353	0.362	0.394	0.357	0.356	0.391	0.321	0.323	0.287	0.358	0.362	0.356	0.427	0.427	0.292	0.427	0.288	0.357	0.356	0.070	0.101	0.029	0.058	0.070	0.059	-0.013	0.138	0.075	0.098	-0.019	0.138	0.053	-0.019	0.074	0.113	0.117	0.071	0.073	0.050	0.031	-0.002	0.072	0.102	0.075	0.119	0.068	0.025	-0.002	0.025	0.138	0.102	-0.161	-0.122	-0.117	-0.103	-0.120	-0.118	-0.113	-0.098	-0.138	-0.123	-0.113	-0.153	-0.134	-0.113	-0.123	-0.138	-0.124	-0.120	-0.134	-0.105	-0.105	-0.088	-0.120	-0.125	-0.121	-0.152	-0.148	-0.091	-0.143	-0.090	-0.125	-0.122	0.361	0.065	-0.122	2016_7_15_14_42_01
