SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.633	-0.635	-0.637	-0.668	-0.634	-0.634	-0.634	-0.635	-0.634	-0.634	-0.635	-0.637	-0.634	-0.636	-0.638	-0.634	-0.636	-0.636	-0.636	-0.637	-0.668	-0.635	-0.638	-0.637	-0.634	-0.637	-0.632	-0.637	-0.667	-0.636	-0.639	-0.637	-0.139	-0.143	-0.142	-0.143	-0.143	-0.174	-0.144	-0.145	-0.143	-0.143	-0.143	-0.142	-0.144	-0.143	-0.144	-0.144	-0.144	-0.144	-0.144	-0.143	-0.179	-0.146	-0.144	-0.145	-0.142	-0.147	-0.176	-0.141	-0.177	-0.145	-0.144	-0.176	0.129	0.131	0.131	0.144	0.130	0.133	0.130	0.130	0.130	0.130	0.130	0.131	0.130	0.131	0.132	0.130	0.130	0.130	0.131	0.131	0.147	0.131	0.132	0.131	0.130	0.132	0.133	0.131	0.147	0.132	0.133	0.134	-0.639	-0.149	0.132	2016_7_15_14_49_35
F2LS3HFBHFM5____	0.017	0.017	0.021	0.025	0.051	0.015	0.048	0.049	0.049	0.049	0.051	0.019	0.020	0.047	0.049	0.018	0.049	0.051	0.049	0.015	0.020	0.022	0.047	0.018	0.052	0.018	0.017	0.021	0.016	0.052	0.018	0.019	0.054	0.055	0.054	0.055	0.054	0.057	0.055	0.019	0.054	0.053	0.053	0.054	0.052	0.053	0.053	0.022	0.054	0.053	0.053	0.023	0.056	0.053	0.055	0.054	0.054	0.055	0.056	0.055	0.016	0.051	0.053	0.055	0.193	0.192	0.191	0.190	0.179	0.194	0.180	0.184	0.180	0.180	0.180	0.192	0.192	0.181	0.180	0.196	0.180	0.179	0.180	0.197	0.192	0.192	0.181	0.192	0.179	0.192	0.193	0.192	0.197	0.179	0.193	0.192	0.032	0.050	0.187	2016_7_15_14_49_38
F2LS3JESHFM5____	-0.529	-0.536	-0.531	-0.483	-0.534	-0.468	-0.535	-0.502	-0.543	-0.532	-0.537	-0.535	-0.539	-0.433	-0.501	-0.533	-0.435	-0.532	-0.537	-0.533	-0.487	-0.500	-0.501	-0.540	-0.483	-0.498	-0.494	-0.500	-0.491	-0.499	-0.470	-0.469	0.009	-0.030	-0.031	0.001	-0.032	-0.051	-0.031	-0.033	-0.052	-0.032	-0.049	-0.073	-0.015	-0.015	-0.070	-0.032	-0.015	-0.032	-0.072	-0.033	0.003	-0.030	-0.029	-0.049	0.003	-0.031	-0.021	-0.071	-0.022	-0.031	-0.049	-0.052	0.345	0.350	0.350	0.326	0.350	0.325	0.350	0.337	0.357	0.350	0.354	0.354	0.351	0.307	0.340	0.350	0.308	0.349	0.355	0.350	0.328	0.336	0.337	0.355	0.326	0.335	0.332	0.340	0.332	0.335	0.326	0.325	-0.508	-0.033	0.340	2016_7_15_14_49_43
F2LS3TKDHFM5____	-0.225	-0.254	-0.227	-0.226	-0.228	-0.261	-0.229	-0.227	-0.226	-0.228	-0.227	-0.227	-0.223	-0.223	-0.225	-0.229	-0.227	-0.229	-0.226	-0.226	-0.251	-0.230	-0.225	-0.229	-0.224	-0.228	-0.256	-0.249	-0.222	-0.226	-0.225	-0.259	-0.018	-0.020	-0.020	-0.019	-0.023	-0.058	-0.022	-0.020	-0.020	-0.023	-0.053	-0.022	-0.023	-0.056	-0.022	-0.021	-0.053	-0.054	-0.022	-0.021	-0.052	-0.056	-0.054	-0.022	-0.051	-0.023	-0.020	-0.051	-0.017	-0.053	-0.022	-0.058	0.069	0.081	0.070	0.069	0.071	0.088	0.071	0.069	0.070	0.070	0.073	0.069	0.069	0.071	0.069	0.071	0.073	0.074	0.070	0.069	0.083	0.075	0.072	0.071	0.071	0.070	0.082	0.082	0.068	0.073	0.069	0.086	-0.232	-0.033	0.073	2016_7_15_14_49_46
F2LS38VQGRXL____	0.286	0.288	0.286	0.262	0.287	0.287	0.288	0.289	0.286	0.289	0.288	0.288	0.292	0.286	0.287	0.288	0.288	0.289	0.288	0.288	0.257	0.288	0.287	0.287	0.259	0.288	0.288	0.289	0.254	0.287	0.288	0.287	0.077	0.073	0.073	0.074	0.075	0.073	0.072	0.071	0.074	0.074	0.071	0.072	0.073	0.073	0.073	0.072	0.073	0.072	0.073	0.074	0.076	0.072	0.074	0.072	0.072	0.073	0.073	0.076	0.042	0.071	0.073	0.073	-0.320	-0.321	-0.321	-0.311	-0.321	-0.320	-0.321	-0.321	-0.320	-0.321	-0.321	-0.321	-0.322	-0.320	-0.321	-0.321	-0.321	-0.321	-0.321	-0.320	-0.309	-0.321	-0.321	-0.321	-0.309	-0.321	-0.321	-0.322	-0.304	-0.320	-0.321	-0.320	0.284	0.072	-0.319	2016_7_15_14_49_49
F2LS3A8AGRXL____	-0.084	-0.120	-0.118	-0.084	-0.116	-0.084	-0.114	-0.117	-0.117	-0.116	-0.116	-0.117	-0.117	-0.117	-0.119	-0.119	-0.121	-0.116	-0.117	-0.119	-0.053	-0.116	-0.117	-0.117	-0.119	-0.116	-0.118	-0.117	-0.091	-0.120	-0.119	-0.120	0.038	0.003	0.004	0.034	0.003	0.004	0.004	0.005	0.005	0.004	0.005	0.005	0.005	0.004	0.003	0.005	0.004	0.005	0.004	0.004	0.038	0.004	0.004	0.004	0.033	0.005	0.006	0.006	0.002	0.005	0.004	0.004	0.015	0.032	0.031	0.015	0.031	0.018	0.030	0.031	0.031	0.032	0.031	0.031	0.031	0.031	0.032	0.032	0.033	0.030	0.031	0.031	0.001	0.030	0.031	0.031	0.029	0.031	0.031	0.031	0.021	0.032	0.031	0.033	-0.112	0.008	0.028	2016_7_15_14_49_52
F2LS3HFRHFM5____	0.017	0.013	0.014	0.014	0.013	0.011	0.015	0.012	0.013	0.013	0.014	0.009	0.011	0.013	0.014	0.015	0.013	0.014	0.013	0.012	-0.021	0.014	0.013	0.013	0.012	0.014	-0.014	0.014	-0.014	0.012	0.012	0.013	-0.056	-0.027	-0.026	-0.054	-0.022	-0.056	-0.024	-0.021	-0.023	-0.023	-0.024	-0.024	-0.054	-0.025	-0.024	-0.024	-0.024	-0.021	-0.022	-0.054	-0.056	-0.022	-0.024	-0.023	-0.052	-0.025	-0.055	-0.055	-0.051	-0.022	-0.023	-0.023	-0.019	-0.020	-0.021	-0.017	-0.020	-0.016	-0.021	-0.020	-0.020	-0.020	-0.021	-0.018	-0.017	-0.020	-0.020	-0.020	-0.020	-0.021	-0.021	-0.017	-0.002	-0.021	-0.020	-0.020	-0.017	-0.020	-0.006	-0.018	-0.007	-0.020	-0.019	-0.020	0.010	-0.033	-0.018	2016_7_15_14_49_55
F2LS3KLTHFM5____	0.074	0.064	0.065	0.049	0.049	0.048	0.065	0.047	0.065	0.048	0.047	0.050	0.065	0.067	0.046	0.134	0.053	0.051	0.049	0.065	0.075	0.065	0.048	0.067	0.040	-0.004	0.039	0.015	0.038	0.050	0.050	0.048	0.201	0.210	0.210	0.177	0.145	0.146	0.210	0.145	0.210	0.147	0.148	0.146	0.209	0.211	0.145	0.210	0.147	0.175	0.144	0.209	0.198	0.210	0.146	0.211	0.176	0.211	0.195	0.185	0.191	0.146	0.145	0.181	0.038	0.041	0.040	0.051	0.054	0.054	0.040	0.055	0.041	0.053	0.054	0.053	0.041	0.040	0.055	0.012	0.052	0.050	0.054	0.040	0.038	0.040	0.054	0.039	0.054	0.069	0.053	0.064	0.054	0.053	0.053	0.051	0.054	0.179	0.048	2016_7_15_14_49_58
F2LS30UNGRX8____	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	2016_7_15_14_50_01
F2LS39Q6GRXL____	-0.099	-0.099	-0.098	-0.128	-0.098	-0.096	-0.098	-0.099	-0.101	-0.099	-0.100	-0.100	-0.100	-0.100	-0.101	-0.100	-0.099	-0.100	-0.132	-0.100	-0.103	-0.100	-0.102	-0.099	-0.100	-0.100	-0.100	-0.102	-0.097	-0.100	-0.101	-0.100	-0.032	-0.061	-0.061	-0.060	-0.059	-0.061	-0.061	-0.034	-0.063	-0.062	-0.060	-0.061	-0.063	-0.061	-0.061	-0.062	-0.060	-0.061	-0.033	-0.060	-0.032	-0.060	-0.063	-0.062	-0.061	-0.060	-0.032	-0.061	-0.029	-0.061	-0.061	-0.033	0.047	0.050	0.049	0.062	0.049	0.048	0.048	0.047	0.051	0.049	0.050	0.050	0.051	0.050	0.050	0.050	0.049	0.049	0.060	0.050	0.048	0.050	0.051	0.050	0.050	0.050	0.047	0.050	0.046	0.049	0.050	0.047	-0.102	-0.055	0.050	2016_7_15_14_50_05
