SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.765	-0.772	-0.768	-0.772	-0.764	-0.765	-0.769	-0.716	-0.767	-0.720	-0.772	-0.768	-0.721	-0.772	-0.766	-0.751	-0.751	-0.772	-0.750	-0.770	-0.765	-0.772	-0.717	-0.766	-0.769	-0.723	-0.767	-0.723	-0.765	-0.772	-0.751	-0.765	-0.349	-0.340	-0.349	-0.340	-0.346	-0.346	-0.395	-0.281	-0.392	-0.283	-0.340	-0.275	-0.321	-0.270	-0.349	-0.289	-0.289	-0.270	-0.289	-0.390	-0.348	-0.340	-0.282	-0.348	-0.394	-0.326	-0.346	-0.268	-0.348	-0.270	-0.291	-0.391	0.166	0.167	0.167	0.167	0.166	0.166	0.176	0.139	0.174	0.141	0.167	0.155	0.146	0.156	0.166	0.152	0.152	0.156	0.151	0.174	0.166	0.167	0.139	0.166	0.175	0.148	0.166	0.139	0.167	0.156	0.152	0.173	-0.757	-0.327	0.160	2016_7_15_14_56_44
F2LS3HFBHFM5____	0.115	0.140	0.144	0.140	0.145	0.142	0.142	0.140	0.141	0.138	0.143	0.115	0.141	0.141	0.139	0.142	0.142	0.142	0.142	0.140	0.145	0.141	0.110	0.142	0.141	0.143	0.113	0.141	0.144	0.141	0.143	0.115	0.058	0.061	0.108	0.061	0.063	0.063	0.062	0.015	0.058	0.060	0.063	0.056	0.058	0.059	0.010	0.009	0.009	0.095	0.059	0.059	0.058	0.055	0.005	0.062	0.064	0.063	0.014	0.059	0.054	0.053	0.059	0.061	0.157	0.148	0.139	0.148	0.146	0.147	0.147	0.156	0.149	0.150	0.147	0.158	0.149	0.149	0.157	0.157	0.157	0.142	0.148	0.149	0.147	0.149	0.168	0.147	0.148	0.147	0.166	0.149	0.148	0.149	0.148	0.157	0.137	0.053	0.151	2016_7_15_14_56_47
F2LS3JESHFM5____	-0.406	-0.416	-0.407	-0.416	-0.406	-0.406	-0.411	-0.409	-0.343	-0.408	-0.407	-0.409	-0.408	-0.341	-0.412	-0.411	-0.411	-0.414	-0.403	-0.412	-0.406	-0.416	-0.402	-0.409	-0.410	-0.406	-0.411	-0.404	-0.410	-0.414	-0.402	-0.409	-0.217	-0.221	-0.217	-0.221	-0.175	-0.214	-0.222	-0.267	-0.221	-0.219	-0.218	-0.218	-0.272	-0.169	-0.272	-0.223	-0.223	-0.224	-0.167	-0.266	-0.218	-0.273	-0.170	-0.217	-0.216	-0.218	-0.261	-0.220	-0.220	-0.281	-0.169	-0.217	0.297	0.301	0.297	0.301	0.290	0.297	0.300	0.307	0.277	0.298	0.298	0.298	0.307	0.268	0.308	0.300	0.300	0.301	0.288	0.307	0.298	0.310	0.288	0.299	0.299	0.297	0.306	0.297	0.299	0.310	0.288	0.298	-0.405	-0.223	0.298	2016_7_15_14_56_50
F2LS3TKDHFM5____	-0.150	-0.080	-0.150	-0.080	-0.150	-0.150	-0.150	-0.150	-0.150	-0.150	-0.150	-0.083	-0.150	-0.150	-0.150	-0.150	-0.150	-0.150	-0.087	-0.150	-0.150	-0.080	-0.150	-0.150	-0.150	-0.083	-0.150	-0.080	-0.150	-0.150	-0.150	-0.080	-0.068	-0.068	-0.068	-0.068	-0.068	-0.068	-0.068	0.072	-0.068	-0.068	-0.068	-0.058	-0.068	-0.068	-0.068	-0.068	-0.068	-0.068	-0.061	-0.068	-0.068	-0.068	-0.068	-0.068	-0.068	-0.057	-0.068	0.002	-0.068	-0.068	-0.068	-0.068	0.035	0.011	0.035	0.011	0.035	0.035	0.035	0.012	0.035	0.035	0.035	0.011	0.035	0.035	0.035	0.035	0.035	0.035	0.013	0.035	0.035	0.011	0.035	0.035	0.035	0.011	0.035	0.000	0.035	0.036	0.035	0.012	-0.133	-0.061	0.028	2016_7_15_14_56_53
F2LS38VQGRXL____	0.184	0.187	0.185	0.187	0.180	0.148	0.181	0.151	0.153	0.147	0.184	0.151	0.180	0.151	0.189	0.148	0.148	0.180	0.153	0.153	0.182	0.179	0.151	0.149	0.182	0.179	0.153	0.191	0.113	0.110	0.182	0.153	0.090	0.146	0.103	0.146	0.089	0.044	0.103	0.091	0.092	0.090	0.135	0.091	0.104	0.087	0.184	0.088	0.088	0.055	0.176	0.093	0.097	0.094	0.090	0.088	0.137	0.094	0.090	0.189	0.085	0.073	0.130	0.089	-0.271	-0.281	-0.273	-0.281	-0.269	-0.252	-0.272	-0.259	-0.261	-0.259	-0.279	-0.260	-0.272	-0.259	-0.287	-0.259	-0.259	-0.264	-0.274	-0.260	-0.271	-0.270	-0.260	-0.259	-0.278	-0.270	-0.261	-0.290	-0.246	-0.244	-0.277	-0.261	0.165	0.105	-0.267	2016_7_15_14_56_59
F2LS3A8AGRXL____	-0.186	-0.184	-0.159	-0.184	-0.158	-0.157	-0.187	-0.185	-0.153	-0.185	-0.184	-0.186	-0.186	-0.184	-0.185	-0.184	-0.184	-0.118	-0.125	-0.183	-0.157	-0.185	-0.157	-0.154	-0.183	-0.157	-0.184	-0.186	-0.155	-0.186	-0.186	-0.184	0.003	-0.010	0.001	-0.010	-0.000	0.005	-0.009	-0.002	-0.003	-0.007	-0.005	-0.004	-0.009	-0.005	-0.005	-0.005	-0.005	0.048	0.006	-0.006	0.002	-0.005	0.005	0.005	-0.003	-0.047	-0.004	-0.012	0.008	-0.012	-0.005	-0.001	0.044	0.047	0.036	0.047	0.037	0.035	0.047	0.045	0.035	0.047	0.046	0.045	0.047	0.046	0.045	0.045	0.045	0.015	0.024	0.045	0.036	0.046	0.035	0.034	0.045	0.044	0.046	0.048	0.033	0.047	0.046	0.045	-0.173	-0.003	0.042	2016_7_15_14_57_02
F2LS3HFRHFM5____	0.238	0.226	0.223	0.226	0.227	0.239	0.222	0.224	0.240	0.226	0.226	0.224	0.222	0.224	0.236	0.226	0.226	0.226	0.242	0.226	0.226	0.219	0.223	0.227	0.225	0.237	0.225	0.220	0.225	0.220	0.242	0.226	0.046	0.001	-0.060	0.001	-0.011	0.037	-0.014	-0.052	0.004	0.001	0.001	-0.011	-0.057	-0.011	-0.046	0.001	0.001	0.001	0.042	0.001	-0.012	-0.019	-0.058	-0.014	-0.005	-0.000	-0.012	-0.062	-0.010	-0.099	0.043	0.001	-0.104	-0.093	-0.082	-0.093	-0.091	-0.103	-0.089	-0.083	-0.098	-0.093	-0.093	-0.090	-0.082	-0.090	-0.088	-0.093	-0.093	-0.093	-0.105	-0.093	-0.090	-0.087	-0.082	-0.090	-0.091	-0.096	-0.090	-0.080	-0.091	-0.075	-0.105	-0.093	0.228	-0.012	-0.091	2016_7_15_14_57_05
F2LS3KLTHFM5____	-0.094	-0.113	-0.119	-0.113	-0.093	-0.098	-0.092	-0.114	-0.095	-0.095	-0.096	-0.094	-0.093	-0.097	-0.062	-0.094	-0.094	-0.081	-0.093	-0.114	-0.092	-0.094	-0.094	-0.100	-0.096	-0.095	-0.095	-0.115	-0.064	-0.117	-0.095	-0.073	-0.006	-0.061	-0.018	-0.061	-0.003	0.002	-0.002	-0.014	-0.002	0.044	0.001	-0.000	-0.001	0.009	0.008	0.000	0.000	-0.006	-0.041	-0.010	-0.045	0.005	0.000	0.045	0.044	0.005	0.043	-0.058	0.041	-0.061	-0.040	0.007	0.120	0.135	0.130	0.135	0.120	0.120	0.119	0.128	0.120	0.113	0.119	0.119	0.119	0.118	0.107	0.120	0.120	0.116	0.125	0.128	0.125	0.119	0.119	0.114	0.113	0.119	0.113	0.135	0.102	0.137	0.126	0.111	-0.096	-0.005	0.121	2016_7_15_14_57_08
F2LS30UNGRX8____	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	2016_7_15_14_57_11
F2LS39Q6GRXL____	0.076	0.125	0.055	0.125	0.125	0.121	0.055	0.125	0.125	0.125	0.119	0.125	0.055	0.055	0.125	0.125	0.125	0.119	0.055	0.119	0.055	0.055	0.076	0.125	0.125	0.125	0.078	0.055	0.076	0.195	0.125	0.125	-0.069	-0.210	-0.070	-0.210	-0.140	-0.074	-0.070	-0.070	-0.070	-0.140	-0.072	-0.140	-0.140	-0.070	-0.140	-0.070	-0.070	-0.074	-0.070	-0.077	0.000	-0.070	-0.141	-0.070	-0.140	-0.140	-0.139	-0.070	-0.082	-0.140	-0.210	-0.070	-0.012	-0.005	-0.004	-0.005	-0.016	-0.026	-0.005	-0.028	-0.028	-0.017	-0.026	-0.016	0.007	-0.004	-0.016	-0.028	-0.028	-0.025	-0.005	-0.025	-0.016	-0.004	0.000	-0.028	-0.016	-0.016	-0.001	-0.004	-0.009	-0.039	-0.005	-0.028	0.103	-0.104	-0.015	2016_7_15_14_57_13
