SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.757	-0.759	-0.783	-0.777	-0.778	-0.772	-0.761	-0.759	-0.758	-0.780	-0.779	-0.759	-0.782	-0.772	-0.782	-0.726	-0.779	-0.727	-0.783	-0.778	-0.759	-0.760	-0.728	-0.779	-0.775	-0.760	-0.773	-0.777	-0.775	-0.759	-0.778	-0.770	-0.287	-0.297	-0.273	-0.282	-0.278	-0.270	-0.321	-0.289	-0.292	-0.349	-0.275	-0.291	-0.280	-0.270	-0.306	-0.282	-0.353	-0.315	-0.270	-0.304	-0.325	-0.289	-0.285	-0.254	-0.353	-0.282	-0.268	-0.259	-0.276	-0.293	-0.250	-0.272	0.145	0.147	0.151	0.151	0.150	0.147	0.152	0.146	0.146	0.161	0.150	0.146	0.152	0.147	0.156	0.134	0.163	0.140	0.150	0.154	0.151	0.145	0.135	0.147	0.161	0.145	0.147	0.146	0.149	0.146	0.145	0.146	-0.767	-0.290	0.148	2016_7_15_15_03_48
F2LS3HFBHFM5____	0.137	0.141	0.141	0.142	0.141	0.140	0.139	0.177	0.141	0.104	0.165	0.162	0.178	0.106	0.139	0.164	0.140	0.103	0.140	0.139	0.142	0.142	0.141	0.139	0.100	0.139	0.160	0.139	0.139	0.102	0.138	0.158	0.011	0.043	0.037	0.042	0.042	0.038	0.039	0.045	0.041	0.035	0.041	0.042	0.038	0.041	0.008	0.037	0.039	0.003	0.038	0.040	0.043	0.042	0.044	0.053	0.032	0.036	0.059	0.049	0.050	0.034	0.044	0.049	0.158	0.153	0.153	0.153	0.153	0.154	0.153	0.140	0.153	0.167	0.145	0.146	0.142	0.165	0.158	0.145	0.153	0.171	0.154	0.154	0.153	0.153	0.152	0.152	0.168	0.154	0.144	0.152	0.153	0.167	0.154	0.146	0.140	0.039	0.154	2016_7_15_15_03_52
F2LS3JESHFM5____	-0.419	-0.455	-0.447	-0.381	-0.417	-0.416	-0.419	-0.416	-0.419	-0.415	-0.416	-0.455	-0.415	-0.417	-0.415	-0.417	-0.419	-0.418	-0.418	-0.451	-0.417	-0.418	-0.417	-0.454	-0.418	-0.423	-0.424	-0.420	-0.420	-0.418	-0.421	-0.423	-0.213	-0.216	-0.221	-0.177	-0.209	-0.177	-0.180	-0.179	-0.176	-0.178	-0.180	-0.179	-0.205	-0.177	-0.209	-0.181	-0.176	-0.212	-0.167	-0.220	-0.175	-0.211	-0.180	-0.198	-0.212	-0.215	-0.213	-0.184	-0.181	-0.209	-0.169	-0.209	0.295	0.308	0.306	0.278	0.295	0.289	0.290	0.289	0.290	0.289	0.290	0.302	0.293	0.289	0.294	0.291	0.290	0.296	0.289	0.308	0.289	0.295	0.290	0.305	0.295	0.297	0.297	0.292	0.291	0.294	0.290	0.296	-0.422	-0.193	0.294	2016_7_15_15_03_55
F2LS3TKDHFM5____	-0.137	-0.096	-0.098	-0.138	-0.097	-0.097	-0.098	-0.136	-0.097	-0.096	-0.137	-0.094	-0.135	-0.137	-0.136	-0.098	-0.135	-0.096	-0.137	-0.101	-0.136	-0.097	-0.099	-0.100	-0.139	-0.133	-0.136	-0.134	-0.136	-0.138	-0.097	-0.136	-0.060	-0.025	-0.026	-0.059	-0.024	-0.057	-0.029	-0.061	-0.025	-0.056	-0.057	-0.027	-0.026	-0.026	-0.027	-0.025	-0.061	-0.026	-0.060	-0.014	-0.059	-0.025	-0.026	0.025	-0.017	-0.062	-0.062	-0.058	-0.064	-0.020	-0.034	-0.062	0.028	0.009	0.010	0.028	0.009	0.015	0.010	0.028	0.009	0.014	0.027	0.009	0.023	0.023	0.023	0.010	0.028	0.010	0.028	0.009	0.028	0.010	0.010	0.003	0.022	0.027	0.027	0.027	0.028	0.022	0.011	0.028	-0.118	-0.039	0.019	2016_7_15_15_03_58
F2LS38VQGRXL____	0.169	0.170	0.167	0.170	0.170	0.172	0.172	0.169	0.170	0.170	0.169	0.168	0.168	0.169	0.168	0.172	0.169	0.170	0.167	0.169	0.169	0.171	0.170	0.169	0.169	0.169	0.172	0.170	0.171	0.172	0.172	0.171	0.082	0.084	0.086	0.083	0.082	0.088	0.088	0.087	0.086	0.082	0.087	0.087	0.087	0.085	0.088	0.085	0.083	0.084	0.088	0.088	0.087	0.087	0.084	0.086	0.087	0.087	0.084	0.084	0.086	0.087	0.089	0.085	-0.262	-0.263	-0.262	-0.263	-0.263	-0.264	-0.265	-0.263	-0.264	-0.263	-0.263	-0.263	-0.263	-0.263	-0.263	-0.264	-0.263	-0.263	-0.263	-0.264	-0.263	-0.264	-0.263	-0.264	-0.263	-0.263	-0.264	-0.263	-0.263	-0.264	-0.264	-0.264	0.170	0.086	-0.263	2016_7_15_15_04_01
F2LS3A8AGRXL____	-0.197	-0.199	-0.195	-0.193	-0.193	-0.195	-0.194	-0.194	-0.195	-0.196	-0.157	-0.200	-0.194	-0.159	-0.154	-0.155	-0.195	-0.234	-0.195	-0.194	-0.197	-0.195	-0.195	-0.198	-0.197	-0.165	-0.196	-0.197	-0.196	-0.197	-0.161	-0.195	0.002	0.007	-0.032	0.003	0.002	0.002	-0.001	0.003	-0.003	0.001	0.002	-0.005	-0.025	0.005	0.038	0.005	0.001	-0.035	0.001	-0.002	-0.009	0.001	0.000	-0.009	-0.010	0.002	-0.006	-0.037	-0.004	-0.009	0.010	-0.000	0.047	0.047	0.052	0.046	0.045	0.046	0.047	0.047	0.048	0.047	0.034	0.050	0.050	0.034	0.028	0.033	0.047	0.065	0.047	0.047	0.049	0.047	0.047	0.049	0.049	0.037	0.048	0.053	0.048	0.049	0.034	0.047	-0.190	-0.003	0.046	2016_7_15_15_04_06
F2LS3HFRHFM5____	0.223	0.242	0.243	0.242	0.306	0.228	0.307	0.281	0.244	0.280	0.223	0.243	0.202	0.226	0.221	0.224	0.243	0.223	0.241	0.241	0.242	0.306	0.244	0.243	0.243	0.246	0.230	0.225	0.245	0.245	0.241	0.296	-0.031	-0.001	0.003	0.002	0.035	-0.029	0.025	0.010	0.001	0.009	-0.031	0.002	0.003	0.001	-0.026	-0.031	0.005	-0.037	0.008	0.008	0.002	0.031	0.002	0.002	-0.000	0.009	-0.042	-0.021	0.002	-0.003	0.046	0.071	-0.085	-0.095	-0.097	-0.097	-0.122	-0.087	-0.121	-0.110	-0.097	-0.110	-0.085	-0.096	-0.083	-0.091	-0.085	-0.085	-0.097	-0.084	-0.096	-0.097	-0.097	-0.121	-0.097	-0.096	-0.096	-0.098	-0.085	-0.087	-0.097	-0.096	-0.102	-0.125	0.247	0.001	-0.097	2016_7_15_15_04_09
F2LS3KLTHFM5____	-0.093	-0.129	-0.133	-0.131	-0.131	-0.133	-0.129	-0.133	-0.130	-0.093	-0.092	-0.129	-0.134	-0.092	-0.092	-0.132	-0.129	-0.092	-0.134	-0.130	-0.131	-0.130	-0.092	-0.132	-0.134	-0.130	-0.132	-0.132	-0.132	-0.135	-0.131	-0.134	-0.004	-0.009	-0.003	-0.011	-0.012	-0.039	-0.013	-0.004	-0.042	-0.005	-0.001	-0.008	-0.002	0.000	0.001	-0.034	-0.010	0.033	-0.003	-0.008	-0.001	-0.039	-0.002	-0.006	-0.048	0.002	-0.003	-0.006	-0.004	-0.010	-0.047	-0.006	0.118	0.131	0.131	0.132	0.132	0.137	0.132	0.132	0.136	0.119	0.119	0.131	0.132	0.118	0.118	0.136	0.131	0.113	0.132	0.131	0.130	0.137	0.118	0.132	0.139	0.130	0.131	0.132	0.132	0.133	0.138	0.133	-0.123	-0.011	0.130	2016_7_15_15_04_12
F2LS30UNGRX8____	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	2016_7_15_15_04_23
F2LS39Q6GRXL____	0.117	0.117	0.111	0.083	0.115	0.117	0.115	0.079	0.115	0.117	0.115	0.115	0.077	0.080	0.113	0.114	0.116	0.082	0.113	0.113	0.113	0.113	0.150	0.111	0.116	0.113	0.117	0.113	0.117	0.117	0.113	0.115	-0.071	-0.065	-0.069	-0.101	-0.073	-0.045	-0.071	-0.080	-0.070	-0.071	-0.072	-0.073	-0.081	-0.078	-0.066	-0.075	-0.074	-0.074	-0.073	-0.071	-0.065	-0.073	-0.063	-0.072	-0.068	-0.072	-0.069	-0.071	-0.069	-0.075	-0.070	-0.036	-0.024	-0.026	-0.023	-0.009	-0.024	-0.029	-0.025	-0.011	-0.025	-0.025	-0.025	-0.024	-0.010	-0.012	-0.024	-0.023	-0.024	-0.013	-0.023	-0.023	-0.024	-0.023	-0.037	-0.022	-0.025	-0.023	-0.025	-0.023	-0.025	-0.024	-0.024	-0.029	0.110	-0.071	-0.023	2016_7_15_15_04_26
