SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	0.083	0.225	0.264	0.220	0.141	0.226	0.084	0.075	0.133	0.141	0.262	0.259	0.273	0.028	0.141	0.141	0.141	0.141	0.133	0.141	0.085	0.141	0.141	0.141	0.269	0.074	0.133	0.138	0.202	0.086	0.141	0.089	0.020	0.003	0.068	0.068	0.076	0.020	0.020	0.020	0.020	0.003	0.020	0.068	0.003	0.003	0.003	0.020	0.068	0.003	0.003	0.136	0.003	0.003	0.003	0.020	0.020	0.068	0.020	0.020	0.020	0.020	0.020	0.003	0.726	0.817	0.768	0.795	0.631	0.816	0.726	0.717	0.606	0.665	0.782	0.781	0.831	0.725	0.625	0.627	0.817	0.741	0.708	0.672	0.742	0.734	0.803	0.650	0.791	0.707	0.731	0.731	0.756	0.734	0.829	0.741	0.153	0.027	0.735	2016_7_15_15_06_51
F2LS3HFBHFM5____	-0.189	-0.121	-0.130	-0.119	-0.189	-0.214	-0.218	-0.055	-0.195	-0.130	-0.121	-0.130	-0.130	-0.189	-0.262	-0.062	-0.208	-0.279	-0.196	-0.189	-0.130	-0.189	-0.189	-0.276	-0.190	-0.189	-0.130	-0.065	-0.073	-0.276	-0.129	-0.130	0.280	0.147	0.220	0.147	0.147	0.280	0.147	0.220	0.349	0.147	0.221	0.220	0.280	0.220	0.280	0.221	0.289	0.147	0.221	0.221	0.147	0.280	0.221	0.147	0.220	0.147	0.220	0.289	0.220	0.220	0.147	0.220	0.464	0.628	0.679	0.655	0.499	0.529	0.539	0.652	0.563	0.622	0.643	0.554	0.701	0.723	0.569	0.606	0.529	0.481	0.569	0.488	0.718	0.581	0.638	0.508	0.581	0.597	0.493	0.629	0.603	0.506	0.605	0.664	-0.165	0.215	0.588	2016_7_15_15_06_55
F2LS3JESHFM5____	0.084	0.140	0.084	0.015	0.135	0.084	0.084	0.084	0.135	0.143	0.154	0.060	-0.007	0.078	0.084	0.064	0.135	0.196	0.084	0.135	0.084	0.135	0.084	0.142	0.084	0.154	0.001	0.065	0.084	0.143	0.072	0.142	0.212	0.325	0.277	0.212	0.336	0.277	0.283	0.283	0.330	0.212	0.277	0.277	0.325	0.212	0.212	0.277	0.212	0.283	0.277	0.212	0.277	0.212	0.212	0.212	0.277	0.212	0.212	0.212	0.277	0.212	0.277	0.212	0.130	0.052	-0.034	0.052	0.050	0.192	-0.047	0.052	0.056	0.072	0.200	-0.024	-0.041	0.122	0.171	0.003	0.072	0.056	-0.013	0.072	0.066	0.195	0.125	0.066	0.072	0.102	-0.003	0.007	0.117	0.072	0.044	0.066	0.099	0.253	0.066	2016_7_15_15_06_59
F2LS3TKDHFM5____	0.058	0.064	-0.060	0.141	-0.050	0.058	-0.059	0.058	-0.079	0.058	0.066	0.073	0.138	-0.019	0.073	0.007	0.123	0.035	0.148	-0.076	0.070	0.066	-0.082	0.077	0.058	0.137	0.058	0.157	0.015	0.155	0.064	0.064	0.188	0.135	0.206	0.188	0.131	0.135	0.188	0.135	0.188	0.131	0.131	0.188	0.131	0.204	0.204	0.131	0.135	0.135	0.204	0.188	0.135	0.135	0.206	0.135	0.135	0.135	0.135	0.188	0.188	0.135	0.188	0.135	0.664	0.812	0.635	0.748	0.644	0.819	0.626	0.613	0.602	0.577	0.715	0.695	0.753	0.620	0.699	0.695	0.703	0.618	0.690	0.622	0.707	0.688	0.574	0.719	0.780	0.734	0.776	0.779	0.705	0.755	0.684	0.690	0.050	0.160	0.692	2016_7_15_15_07_02
F2LS38VQGRXL____	-0.130	-0.155	-0.073	-0.130	-0.130	-0.011	-0.144	-0.067	-0.090	-0.190	-0.222	-0.181	-0.001	-0.155	-0.005	-0.090	-0.006	0.018	-0.083	-0.215	-0.207	-0.075	-0.134	-0.130	-0.130	-0.130	-0.186	-0.130	-0.130	-0.134	-0.145	-0.130	0.063	0.055	0.055	-0.013	0.063	0.056	0.056	0.063	0.055	-0.021	0.056	0.063	0.055	0.055	-0.071	-0.013	0.063	-0.013	-0.021	0.055	0.063	-0.064	-0.013	0.055	0.055	-0.064	0.055	0.055	-0.064	0.055	0.055	0.055	-0.059	-0.129	-0.022	-0.055	-0.059	-0.008	-0.094	-0.036	0.057	-0.042	-0.137	-0.055	-0.004	-0.089	0.001	-0.097	-0.038	0.055	-0.039	-0.125	-0.131	-0.033	-0.059	-0.133	-0.175	-0.059	-0.049	0.000	-0.159	-0.055	-0.085	-0.181	-0.116	0.028	-0.065	2016_7_15_15_07_05
F2LS3A8AGRXL____	-0.009	0.086	-0.013	-0.062	-0.001	0.010	-0.082	-0.001	0.072	-0.070	0.066	-0.062	-0.067	0.068	-0.001	0.060	-0.013	-0.009	-0.073	0.120	-0.062	-0.065	-0.011	-0.062	0.010	-0.013	0.073	0.012	-0.013	0.124	-0.013	-0.005	-0.122	-0.065	0.001	-0.056	-0.065	-0.122	0.001	-0.122	-0.056	-0.059	-0.122	-0.122	-0.122	-0.122	-0.122	-0.065	-0.122	-0.056	0.001	-0.065	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	0.001	-0.122	0.001	0.001	0.567	0.728	0.631	0.768	0.720	0.704	0.600	0.605	0.771	0.643	0.712	0.655	0.634	0.722	0.692	0.707	0.534	0.673	0.639	0.706	0.659	0.655	0.644	0.659	0.710	0.573	0.725	0.707	0.659	0.719	0.659	0.607	-0.000	-0.084	0.668	2016_7_15_15_07_08
F2LS3HFRHFM5____	-0.091	-0.140	-0.091	-0.007	0.002	-0.141	-0.229	-0.065	-0.091	-0.091	-0.076	-0.214	-0.077	-0.154	-0.208	-0.091	-0.068	-0.146	-0.209	-0.091	-0.083	-0.155	-0.083	-0.143	-0.091	-0.068	-0.227	-0.075	-0.091	-0.206	-0.076	-0.215	-0.133	-0.133	-0.133	-0.133	-0.133	-0.204	-0.083	-0.133	-0.133	-0.133	-0.133	-0.083	-0.214	-0.083	-0.133	-0.083	-0.083	-0.133	-0.000	-0.083	-0.083	-0.133	-0.133	-0.009	-0.204	-0.133	-0.083	-0.083	-0.133	-0.133	-0.133	-0.083	-0.656	-0.709	-0.753	-0.671	-0.638	-0.732	-0.829	-0.692	-0.581	-0.633	-0.695	-0.789	-0.701	-0.786	-0.787	-0.617	-0.684	-0.747	-0.775	-0.833	-0.586	-0.783	-0.724	-0.743	-0.604	-0.701	-0.795	-0.722	-0.601	-0.757	-0.709	-0.774	-0.118	-0.116	-0.713	2016_7_15_15_07_11
F2LS3KLTHFM5____	-0.049	-0.215	-0.147	-0.153	-0.153	-0.086	-0.153	-0.148	-0.274	-0.144	-0.044	-0.153	-0.153	-0.080	-0.147	-0.282	-0.294	-0.153	-0.153	-0.144	-0.215	-0.100	-0.215	-0.071	-0.215	-0.261	-0.153	-0.087	-0.215	-0.215	-0.078	-0.273	0.268	0.341	0.341	0.352	0.341	0.348	0.407	0.341	0.202	0.274	0.204	0.341	0.341	0.279	0.417	0.204	0.341	0.341	0.359	0.341	0.279	0.274	0.341	0.341	0.268	0.204	0.348	0.279	0.204	0.341	0.341	0.279	-0.036	-0.143	-0.093	-0.022	-0.004	-0.079	0.008	-0.094	-0.142	-0.048	-0.031	-0.231	-0.129	-0.129	-0.091	-0.191	-0.174	-0.192	-0.215	-0.093	-0.244	-0.061	-0.248	-0.026	-0.129	-0.102	-0.089	-0.055	-0.236	-0.129	-0.053	-0.131	-0.163	0.309	-0.113	2016_7_15_15_07_14
F2LS30UNGRX8____	0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	2016_7_15_15_07_19
F2LS39Q6GRXL____	-0.168	-0.185	-0.072	-0.168	-0.132	-0.213	-0.185	-0.209	-0.185	-0.178	-0.168	-0.264	-0.182	-0.140	-0.168	-0.185	-0.178	-0.185	-0.150	-0.209	-0.133	-0.178	-0.185	-0.209	-0.168	-0.185	-0.260	-0.178	-0.089	-0.185	-0.147	-0.150	0.165	0.211	0.078	0.078	0.078	0.165	0.165	0.078	0.078	0.165	0.165	0.021	0.078	0.206	0.165	0.003	0.078	0.165	0.078	0.165	0.206	0.078	0.021	0.165	0.003	0.078	0.078	0.078	0.021	0.223	0.165	0.165	-0.074	-0.174	-0.050	0.041	-0.060	-0.133	-0.074	-0.120	0.027	-0.092	-0.074	-0.128	-0.044	-0.099	-0.092	-0.001	-0.127	0.034	-0.074	-0.182	-0.074	-0.022	-0.039	-0.123	-0.024	-0.074	-0.092	0.037	-0.110	-0.175	-0.111	-0.104	-0.175	0.115	-0.075	2016_7_15_15_07_22
F2LS3BDVGRXL____	-0.328	-0.289	-0.289	-0.198	-0.289	-0.277	-0.197	-0.274	-0.347	-0.277	-0.289	-0.289	-0.289	-0.377	-0.207	-0.340	-0.289	-0.289	-0.333	-0.149	-0.277	-0.143	-0.346	-0.274	-0.265	-0.289	-0.289	-0.145	-0.143	-0.228	-0.289	-0.277	0.410	0.410	0.410	0.410	0.408	0.408	0.348	0.410	0.482	0.495	0.295	0.410	0.482	0.495	0.408	0.408	0.408	0.408	0.348	0.408	0.348	0.348	0.408	0.289	0.410	0.495	0.482	0.277	0.408	0.410	0.408	0.408	0.496	0.422	0.401	0.581	0.618	0.395	0.597	0.437	0.484	0.376	0.518	0.500	0.500	0.420	0.567	0.500	0.440	0.412	0.531	0.571	0.486	0.590	0.497	0.529	0.551	0.614	0.518	0.592	0.570	0.518	0.525	0.500	-0.268	0.405	0.508	2016_7_15_15_07_25
