SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	7.710	7.720	7.733	7.740	7.797	7.855	7.733	7.597	7.744	7.582	7.646	7.677	7.740	7.720	7.737	7.779	7.678	7.737	7.691	7.746	7.680	7.631	7.852	7.710	7.793	7.806	7.744	7.720	7.617	7.603	7.733	7.618	9.950	9.886	10.015	9.834	9.958	9.909	9.943	9.909	9.886	9.909	9.841	9.909	9.828	9.899	9.830	10.000	9.909	10.027	9.959	9.961	9.894	9.836	9.899	9.909	9.946	9.909	9.942	9.840	9.909	9.893	9.956	9.943	1.882	1.956	2.056	1.976	1.990	2.027	1.850	1.888	1.983	1.930	1.932	1.960	1.989	2.034	1.978	1.959	1.964	2.057	1.938	1.956	1.931	1.934	2.017	1.921	1.974	1.967	2.084	2.053	1.944	1.908	1.955	1.907	7.715	9.914	1.966	2016_7_15_15_10_25
F2LS3HFBHFM5____	7.503	7.390	7.477	7.450	7.441	7.538	7.443	7.525	7.331	7.443	7.442	7.584	7.398	7.588	7.460	7.450	7.391	7.522	7.450	7.441	7.441	7.460	7.511	7.405	7.441	7.515	7.441	7.519	7.460	7.541	7.450	7.442	10.634	10.537	10.455	10.568	10.494	10.494	10.431	10.494	10.494	10.624	10.494	10.431	10.461	10.518	10.494	10.494	10.537	10.396	10.397	10.427	10.459	10.537	10.537	10.494	10.494	10.460	10.494	10.537	10.518	10.537	10.375	10.518	1.764	1.773	1.789	1.675	1.679	1.785	1.697	1.839	1.757	1.734	1.722	1.832	1.758	1.791	1.650	1.731	1.807	1.810	1.776	1.671	1.663	1.764	1.725	1.773	1.776	1.800	1.852	1.746	1.731	1.757	1.695	1.757	7.465	10.495	1.752	2016_7_15_15_10_30
F2LS3JESHFM5____	7.829	7.991	7.939	7.997	7.892	7.773	7.892	7.932	7.892	7.992	7.856	7.949	7.824	7.824	7.918	7.842	8.004	7.820	7.948	7.948	7.823	7.945	7.864	7.892	7.932	7.956	7.892	8.000	7.822	7.997	7.918	7.918	9.897	9.912	9.890	9.949	9.949	9.887	9.949	9.883	9.949	10.020	10.056	9.837	9.959	9.885	9.904	9.949	9.838	10.018	9.964	9.895	9.834	10.023	9.987	9.898	9.889	9.847	9.991	9.949	9.949	9.918	9.949	9.977	2.000	2.062	2.050	2.010	1.956	1.990	1.960	2.051	1.998	2.047	1.989	2.065	2.004	2.002	2.037	2.032	2.092	1.988	2.050	2.055	1.996	2.033	2.000	2.139	2.037	2.066	1.932	2.056	1.977	2.075	2.146	2.173	7.907	9.931	2.033	2016_7_15_15_10_33
F2LS3TKDHFM5____	7.463	7.445	7.513	7.508	7.477	7.637	7.460	7.438	7.477	7.434	7.560	7.404	7.522	7.507	7.514	7.446	7.507	7.642	7.630	7.474	7.507	7.514	7.554	7.567	7.477	7.456	7.535	7.566	7.477	7.589	7.534	7.507	9.923	9.899	9.972	10.028	9.967	9.981	9.822	10.024	9.796	9.923	9.923	9.979	9.839	9.915	10.014	9.994	9.908	9.905	9.915	9.972	9.923	9.908	9.967	9.923	9.923	9.923	9.923	9.918	9.922	9.899	9.918	10.026	1.789	1.746	1.770	1.758	1.680	1.831	1.779	1.735	1.729	1.756	1.763	1.726	1.799	1.778	1.760	1.725	1.745	1.834	1.829	1.752	1.699	1.777	1.785	1.824	1.727	1.768	1.773	1.834	1.701	1.860	1.784	1.689	7.511	9.934	1.766	2016_7_15_15_10_36
F2LS38VQGRXL____	7.473	7.399	7.480	7.604	7.480	7.449	7.464	7.366	7.480	7.432	7.396	7.398	7.604	7.480	7.453	7.480	7.471	7.464	7.594	7.480	7.464	7.585	7.602	7.476	7.525	7.480	7.466	7.579	7.525	7.480	7.411	7.595	10.026	10.029	10.035	10.026	9.891	10.001	10.068	10.035	10.084	9.965	10.142	10.080	10.035	10.017	9.983	10.021	10.077	10.029	9.971	10.035	10.138	10.035	10.082	9.956	10.029	10.035	10.021	9.973	10.093	9.914	10.012	10.026	1.873	1.809	1.871	1.930	1.874	1.861	1.869	1.805	1.784	1.858	1.827	1.839	1.914	1.776	1.871	1.959	1.874	1.869	1.939	1.950	1.849	1.955	1.921	1.882	1.874	1.999	1.872	1.932	1.889	1.889	1.844	1.922	7.489	10.027	1.881	2016_7_15_15_10_39
F2LS3A8AGRXL____	7.099	7.189	7.170	7.217	7.081	7.066	7.264	7.101	7.192	7.207	7.167	7.094	7.064	7.075	7.031	7.170	7.264	7.192	7.189	7.083	7.192	7.207	7.189	7.167	7.249	7.138	7.233	7.251	7.170	7.115	7.133	7.144	9.975	9.897	9.982	9.976	9.910	9.976	10.045	10.096	9.968	9.852	10.039	9.877	9.982	10.029	9.982	10.036	9.975	10.026	9.982	9.897	9.915	9.982	9.982	9.982	9.982	9.905	9.968	9.968	10.033	10.028	9.976	9.982	1.619	1.641	1.674	1.591	1.604	1.633	1.668	1.587	1.528	1.653	1.612	1.614	1.560	1.583	1.596	1.608	1.668	1.637	1.713	1.597	1.749	1.637	1.698	1.711	1.615	1.622	1.713	1.656	1.686	1.585	1.600	1.607	7.159	9.975	1.633	2016_7_15_15_10_42
F2LS3HFRHFM5____	7.814	7.872	7.754	7.754	7.619	7.809	7.754	7.793	7.616	7.689	7.754	7.793	7.690	7.818	7.754	7.854	7.836	7.813	7.624	7.754	7.793	7.620	7.814	7.754	7.701	7.684	7.677	7.754	7.834	7.747	7.815	7.754	9.486	9.526	9.486	9.486	9.572	9.526	9.463	9.526	9.352	9.350	9.557	9.486	9.411	9.526	9.413	9.537	9.486	9.486	9.462	9.366	9.537	9.546	9.478	9.426	9.486	9.486	9.348	9.526	9.526	9.527	9.578	9.526	2.209	2.286	2.285	2.343	2.143	2.238	2.153	2.199	2.183	2.189	2.271	2.343	2.202	2.177	2.137	2.238	2.213	2.257	2.158	2.141	2.270	2.141	2.229	2.213	2.173	2.210	2.199	2.253	2.201	2.196	2.220	2.228	7.754	9.484	2.216	2016_7_15_15_10_45
F2LS3KLTHFM5____	7.427	7.476	7.462	7.403	7.366	7.472	7.462	7.439	7.472	7.384	7.392	7.552	7.476	7.577	7.339	7.378	7.472	7.367	7.462	7.413	7.525	7.462	7.585	7.446	7.417	7.462	7.462	7.446	7.462	7.577	7.418	7.345	10.049	10.241	10.164	10.036	10.087	9.997	10.120	10.109	10.169	10.106	10.120	10.120	10.120	10.109	10.087	10.164	10.106	9.982	10.245	10.087	10.188	10.106	10.120	9.981	10.226	10.216	9.975	10.106	10.109	10.120	10.227	10.087	1.799	1.791	1.707	1.790	1.764	1.940	1.863	1.748	1.806	1.803	1.803	1.846	1.811	1.856	1.793	1.756	1.932	1.782	1.865	1.740	1.811	1.888	1.836	1.815	1.766	1.707	1.690	1.750	1.905	1.778	1.767	1.805	7.450	10.115	1.804	2016_7_15_15_10_48
F2LS30UNGRX8____	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.397	7.398	7.397	7.397	7.397	7.398	7.397	7.397	7.397	7.398	9.897	9.897	9.897	9.898	9.897	9.898	9.897	9.897	9.897	9.897	9.897	9.897	9.898	9.897	9.898	9.897	9.897	9.897	9.897	9.897	9.897	9.897	9.898	9.898	9.897	9.897	9.897	9.898	9.897	9.897	9.897	9.898	2.052	2.026	2.052	2.039	2.048	2.032	2.062	2.050	2.058	2.043	2.035	2.051	2.060	2.052	2.042	2.020	2.045	2.040	2.043	2.047	2.031	2.048	2.039	2.037	2.037	2.047	2.037	2.037	2.048	2.037	2.039	2.047	7.397	9.897	2.043	2016_7_15_15_10_51
F2LS39Q6GRXL____	7.782	7.642	7.655	7.818	7.685	7.810	7.689	7.643	7.782	7.818	7.856	7.741	7.620	7.688	7.632	7.782	7.688	7.730	7.732	7.782	7.741	7.741	7.836	7.813	7.818	7.741	7.741	7.803	7.872	7.832	7.634	7.741	10.013	9.948	9.921	9.914	9.897	10.023	9.901	9.791	9.862	9.970	9.787	10.016	9.972	9.906	9.914	9.796	9.921	9.901	9.965	9.898	9.907	10.014	9.921	9.792	9.830	9.981	9.848	9.864	10.038	9.914	9.955	9.968	1.983	1.821	1.839	1.942	1.857	1.886	1.870	1.855	2.016	1.898	1.937	1.859	1.820	1.847	1.842	1.893	1.826	1.863	1.855	2.001	1.788	1.786	1.882	1.921	1.906	1.948	1.968	1.900	1.913	1.903	1.817	1.966	7.746	9.917	1.888	2016_7_15_15_10_54
F2LS3BDVGRXL____	7.543	7.532	7.696	7.470	7.487	7.562	7.562	7.590	7.654	7.649	7.527	7.522	7.555	7.458	7.559	7.533	7.608	7.562	7.458	7.504	7.555	7.593	7.472	7.636	7.572	7.661	7.562	7.555	7.572	7.663	7.496	7.685	10.022	10.018	9.907	10.107	10.039	10.104	10.039	10.158	10.010	9.973	10.049	10.081	10.158	10.049	9.906	10.022	10.049	9.989	10.039	9.950	9.970	9.913	10.049	10.049	10.006	10.049	10.161	10.039	9.987	10.167	10.049	10.039	2.200	2.191	2.286	2.156	2.176	2.199	2.282	2.207	2.252	2.245	2.185	2.184	2.194	2.181	2.216	2.225	2.200	2.205	2.136	2.191	2.083	2.233	2.139	2.184	2.205	2.221	2.112	2.147	2.282	2.226	2.204	2.257	7.564	10.036	2.200	2016_7_15_15_10_58
