SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.592	-0.592	-0.636	-0.635	-0.635	-0.637	-0.591	-0.635	-0.591	-0.638	-0.631	-0.635	-0.596	-0.637	-0.637	-0.594	-0.595	-0.628	-0.591	-0.594	-0.591	-0.591	-0.630	-0.591	-0.592	-0.592	-0.591	-0.592	-0.596	-0.595	-0.596	-0.594	-0.900	-0.900	-0.899	-0.903	-0.901	-0.861	-0.900	-0.901	-0.900	-0.860	-0.817	-0.903	-0.863	-0.861	-0.861	-0.861	-0.899	-0.847	-0.898	-0.823	-0.862	-0.859	-0.812	-0.859	-0.823	-0.823	-0.862	-0.823	-0.899	-0.898	-0.857	-0.900	-0.024	-0.024	-0.041	-0.041	-0.041	-0.044	-0.024	-0.041	-0.024	-0.045	-0.045	-0.041	-0.028	-0.044	-0.044	-0.027	-0.024	-0.042	-0.024	-0.031	-0.027	-0.027	-0.046	-0.027	-0.030	-0.030	-0.027	-0.030	-0.026	-0.025	-0.028	-0.025	-0.609	-0.870	-0.033	2016_7_15_15_28_53
F2LS3HFBHFM5____	-1.198	-1.198	-1.153	-1.230	-1.194	-1.195	-1.190	-1.194	-1.190	-1.148	-1.149	-1.230	-1.196	-1.195	-1.195	-1.197	-1.197	-1.150	-1.189	-1.193	-1.189	-1.197	-1.196	-1.197	-1.194	-1.194	-1.190	-1.194	-1.192	-1.196	-1.196	-1.196	-0.688	-0.688	-0.690	-0.727	-0.691	-0.691	-0.694	-0.691	-0.694	-0.693	-0.730	-0.727	-0.761	-0.691	-0.691	-0.691	-0.691	-0.727	-0.692	-0.729	-0.695	-0.763	-0.765	-0.763	-0.725	-0.725	-0.728	-0.725	-0.728	-0.762	-0.728	-0.688	-0.121	-0.121	-0.105	-0.131	-0.120	-0.121	-0.118	-0.120	-0.118	-0.103	-0.099	-0.131	-0.115	-0.121	-0.121	-0.120	-0.121	-0.100	-0.119	-0.117	-0.118	-0.115	-0.115	-0.115	-0.118	-0.118	-0.116	-0.118	-0.117	-0.116	-0.118	-0.121	-1.191	-0.715	-0.117	2016_7_15_15_28_57
F2LS3JESHFM5____	-0.581	-0.581	-0.581	-0.586	-0.584	-0.583	-0.586	-0.584	-0.586	-0.582	-0.583	-0.586	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583	-0.586	-0.580	-0.584	-0.581	-0.581	-0.581	-0.634	-0.634	-0.586	-0.634	-0.536	-0.581	-0.581	-0.583	-0.844	-0.844	-0.845	-0.763	-0.849	-0.842	-0.802	-0.849	-0.802	-0.843	-0.806	-0.763	-0.808	-0.842	-0.842	-0.804	-0.804	-0.805	-0.802	-0.839	-0.800	-0.844	-0.846	-0.844	-0.842	-0.842	-0.801	-0.842	-0.766	-0.805	-0.805	-0.805	0.136	0.136	0.135	0.128	0.135	0.135	0.130	0.135	0.130	0.136	0.132	0.128	0.132	0.135	0.135	0.132	0.132	0.132	0.131	0.136	0.131	0.136	0.136	0.136	0.115	0.115	0.130	0.115	0.147	0.133	0.133	0.133	-0.586	-0.820	0.132	2016_7_15_15_29_01
F2LS3TKDHFM5____	-1.107	-1.107	-1.067	-1.109	-1.066	-1.071	-1.068	-1.066	-1.068	-1.068	-1.066	-1.109	-1.067	-1.071	-1.071	-1.070	-1.072	-1.067	-1.069	-1.069	-1.066	-1.107	-1.107	-1.107	-1.071	-1.071	-1.068	-1.071	-1.068	-1.106	-1.105	-1.070	-0.784	-0.784	-0.749	-0.786	-0.786	-0.751	-0.752	-0.786	-0.752	-0.710	-0.785	-0.786	-0.785	-0.751	-0.751	-0.753	-0.750	-0.787	-0.748	-0.786	-0.751	-0.746	-0.746	-0.746	-0.787	-0.787	-0.750	-0.787	-0.753	-0.747	-0.789	-0.748	-0.052	-0.052	-0.040	-0.052	-0.036	-0.041	-0.040	-0.036	-0.040	-0.043	-0.036	-0.052	-0.037	-0.041	-0.041	-0.040	-0.041	-0.036	-0.040	-0.038	-0.039	-0.056	-0.055	-0.056	-0.038	-0.038	-0.040	-0.038	-0.040	-0.055	-0.052	-0.041	-1.080	-0.764	-0.043	2016_7_15_15_29_04
F2LS38VQGRXL____	-1.356	-1.356	-1.391	-1.391	-1.389	-1.388	-1.389	-1.389	-1.389	-1.389	-1.388	-1.391	-1.392	-1.388	-1.388	-1.387	-1.387	-1.352	-1.389	-1.387	-1.392	-1.387	-1.390	-1.387	-1.386	-1.386	-1.387	-1.386	-1.388	-1.389	-1.387	-1.387	-0.740	-0.740	-0.780	-0.782	-0.740	-0.784	-0.786	-0.740	-0.786	-0.783	-0.782	-0.782	-0.781	-0.784	-0.784	-0.785	-0.785	-0.782	-0.786	-0.786	-0.782	-0.784	-0.781	-0.784	-0.785	-0.785	-0.785	-0.785	-0.786	-0.784	-0.819	-0.782	-0.382	-0.382	-0.393	-0.392	-0.394	-0.391	-0.392	-0.394	-0.392	-0.392	-0.392	-0.392	-0.393	-0.391	-0.391	-0.390	-0.391	-0.377	-0.391	-0.391	-0.393	-0.391	-0.392	-0.391	-0.391	-0.391	-0.391	-0.391	-0.392	-0.392	-0.388	-0.390	-1.385	-0.779	-0.390	2016_7_15_15_29_07
F2LS3A8AGRXL____	-1.314	-1.314	-1.312	-1.310	-1.311	-1.310	-1.309	-1.311	-1.309	-1.312	-1.315	-1.310	-1.319	-1.310	-1.310	-1.316	-1.315	-1.310	-1.273	-1.309	-1.272	-1.317	-1.267	-1.317	-1.312	-1.312	-1.268	-1.312	-1.272	-1.266	-1.268	-1.273	-0.812	-0.812	-0.814	-0.729	-0.770	-0.729	-0.733	-0.770	-0.733	-0.729	-0.728	-0.729	-0.770	-0.729	-0.729	-0.775	-0.774	-0.729	-0.770	-0.807	-0.728	-0.773	-0.775	-0.773	-0.728	-0.728	-0.732	-0.728	-0.772	-0.775	-0.820	-0.771	-0.455	-0.455	-0.455	-0.460	-0.457	-0.461	-0.459	-0.457	-0.459	-0.461	-0.462	-0.460	-0.460	-0.461	-0.461	-0.458	-0.458	-0.460	-0.443	-0.453	-0.445	-0.459	-0.440	-0.459	-0.461	-0.461	-0.444	-0.461	-0.442	-0.439	-0.437	-0.442	-1.302	-0.759	-0.455	2016_7_15_15_29_10
F2LS3HFRHFM5____	-0.953	-0.953	-1.019	-1.019	-0.986	-1.019	-0.988	-0.986	-0.988	-1.021	-0.989	-1.019	-0.948	-1.019	-1.019	-0.984	-0.985	-1.020	-0.988	-0.987	-0.988	-0.949	-0.988	-0.949	-0.983	-0.983	-0.986	-0.983	-0.986	-0.988	-0.984	-0.986	-0.743	-0.743	-0.741	-0.741	-0.703	-0.744	-0.705	-0.703	-0.705	-0.742	-0.776	-0.741	-0.775	-0.744	-0.744	-0.743	-0.743	-0.744	-0.739	-0.703	-0.743	-0.745	-0.744	-0.745	-0.744	-0.744	-0.745	-0.744	-0.781	-0.746	-0.742	-0.781	-0.015	-0.015	-0.041	-0.042	-0.032	-0.041	-0.032	-0.032	-0.032	-0.042	-0.027	-0.042	-0.011	-0.041	-0.041	-0.027	-0.028	-0.041	-0.029	-0.031	-0.029	-0.014	-0.029	-0.014	-0.027	-0.027	-0.028	-0.027	-0.026	-0.028	-0.027	-0.025	-0.989	-0.741	-0.030	2016_7_15_15_29_14
F2LS3KLTHFM5____	-1.157	-1.157	-1.113	-1.113	-1.115	-1.113	-1.157	-1.115	-1.157	-1.112	-1.113	-1.113	-1.117	-1.113	-1.113	-1.114	-1.115	-1.112	-1.157	-1.112	-1.113	-1.117	-1.116	-1.117	-1.114	-1.114	-1.116	-1.114	-1.121	-1.114	-1.114	-1.078	-0.747	-0.747	-0.745	-0.740	-0.743	-0.750	-0.744	-0.743	-0.744	-0.746	-0.748	-0.740	-0.742	-0.750	-0.750	-0.745	-0.745	-0.746	-0.747	-0.747	-0.746	-0.744	-0.746	-0.744	-0.711	-0.711	-0.744	-0.711	-0.746	-0.745	-0.745	-0.746	-0.644	-0.644	-0.628	-0.628	-0.628	-0.627	-0.645	-0.628	-0.645	-0.627	-0.628	-0.628	-0.629	-0.627	-0.627	-0.628	-0.628	-0.627	-0.645	-0.627	-0.627	-0.629	-0.628	-0.629	-0.631	-0.631	-0.629	-0.631	-0.631	-0.628	-0.628	-0.614	-1.120	-0.742	-0.630	2016_7_15_15_29_18
F2LS30UNGRX8____	-1.196	-1.196	-1.196	-1.196	-1.196	-1.197	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.197	-1.197	-1.196	-1.196	-1.196	-1.196	-1.197	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-1.196	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.779	-0.309	-0.309	-0.308	-0.309	-0.308	-0.309	-0.309	-0.308	-0.309	-0.309	-0.309	-0.309	-0.308	-0.309	-0.309	-0.308	-0.309	-0.308	-0.309	-0.309	-0.308	-0.308	-0.308	-0.308	-0.309	-0.309	-0.309	-0.309	-0.309	-0.309	-0.308	-0.308	-1.196	-0.779	-0.309	2016_7_15_15_29_20
F2LS39Q6GRXL____	-0.913	-0.913	-0.912	-0.912	-0.911	-0.915	-0.914	-0.911	-0.914	-0.914	-0.914	-0.912	-0.915	-0.915	-0.915	-0.917	-0.914	-0.914	-0.944	-0.915	-0.912	-0.913	-0.913	-0.913	-0.915	-0.915	-0.947	-0.915	-0.911	-0.914	-0.913	-0.915	-0.779	-0.779	-0.778	-0.775	-0.738	-0.776	-0.773	-0.738	-0.773	-0.705	-0.776	-0.775	-0.736	-0.776	-0.776	-0.741	-0.775	-0.740	-0.775	-0.738	-0.780	-0.739	-0.778	-0.739	-0.737	-0.737	-0.738	-0.737	-0.739	-0.775	-0.778	-0.778	0.019	0.019	0.020	0.019	0.016	0.018	0.018	0.016	0.018	0.013	0.018	0.019	0.015	0.018	0.018	0.015	0.018	0.016	0.007	0.015	0.019	0.016	0.020	0.016	0.015	0.015	0.002	0.015	0.016	0.018	0.019	0.018	-0.916	-0.759	0.016	2016_7_15_15_29_23
