SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.766	-0.776	-0.776	-0.774	-0.773	-0.773	-0.774	-0.731	-0.773	-0.735	-0.776	-0.774	-0.775	-0.775	-0.813	-0.776	-0.776	-0.776	-0.776	-0.775	-0.776	-0.775	-0.772	-0.774	-0.775	-0.775	-0.774	-0.775	-0.772	-0.776	-0.776	-0.774	-0.779	-0.729	-0.730	-0.732	-0.734	-0.728	-0.731	-0.734	-0.731	-0.734	-0.733	-0.733	-0.730	-0.730	-0.729	-0.733	-0.733	-0.733	-0.730	-0.732	-0.733	-0.732	-0.731	-0.729	-0.733	-0.732	-0.731	-0.695	-0.731	-0.733	-0.731	-0.730	-0.475	-0.491	-0.492	-0.491	-0.490	-0.491	-0.490	-0.469	-0.491	-0.472	-0.491	-0.490	-0.491	-0.492	-0.510	-0.491	-0.491	-0.492	-0.492	-0.492	-0.491	-0.492	-0.490	-0.491	-0.490	-0.492	-0.491	-0.501	-0.490	-0.491	-0.492	-0.491	-0.773	-0.732	-0.490	2016_7_15_15_49_33
F2LS3HFBHFM5____	-0.869	-0.916	-0.962	-0.868	-0.964	-0.916	-0.966	-0.913	-0.961	-0.914	-0.915	-0.967	-0.914	-0.912	-0.911	-0.915	-0.915	-0.910	-1.014	-0.914	-0.914	-0.914	-0.913	-0.914	-0.961	-0.914	-0.863	-0.962	-0.913	-0.915	-0.963	-0.962	-0.465	-0.464	-0.469	-0.460	-0.470	-0.504	-0.467	-0.465	-0.465	-0.465	-0.465	-0.510	-0.466	-0.460	-0.464	-0.465	-0.465	-0.464	-0.507	-0.466	-0.465	-0.466	-0.466	-0.464	-0.466	-0.466	-0.465	-0.464	-0.466	-0.465	-0.507	-0.509	-0.530	-0.551	-0.572	-0.530	-0.572	-0.541	-0.573	-0.550	-0.572	-0.550	-0.551	-0.563	-0.550	-0.551	-0.549	-0.551	-0.551	-0.548	-0.586	-0.550	-0.551	-0.550	-0.550	-0.551	-0.571	-0.550	-0.527	-0.573	-0.550	-0.551	-0.562	-0.561	-0.926	-0.472	-0.554	2016_7_15_15_49_38
F2LS3JESHFM5____	-0.626	-0.624	-0.588	-0.628	-0.624	-0.629	-0.627	-0.589	-0.628	-0.587	-0.587	-0.623	-0.552	-0.589	-0.590	-0.587	-0.587	-0.626	-0.625	-0.627	-0.626	-0.627	-0.627	-0.627	-0.586	-0.627	-0.626	-0.626	-0.627	-0.587	-0.626	-0.625	-0.747	-0.748	-0.745	-0.782	-0.749	-0.737	-0.746	-0.746	-0.783	-0.744	-0.748	-0.751	-0.747	-0.747	-0.743	-0.748	-0.748	-0.747	-0.748	-0.742	-0.745	-0.742	-0.751	-0.746	-0.747	-0.742	-0.747	-0.749	-0.751	-0.748	-0.747	-0.748	-0.451	-0.449	-0.433	-0.442	-0.449	-0.453	-0.451	-0.433	-0.441	-0.433	-0.432	-0.448	-0.416	-0.433	-0.435	-0.432	-0.432	-0.451	-0.450	-0.452	-0.452	-0.452	-0.450	-0.451	-0.432	-0.452	-0.451	-0.451	-0.450	-0.432	-0.450	-0.450	-0.612	-0.749	-0.443	2016_7_15_15_49_43
F2LS3TKDHFM5____	-1.062	-1.098	-1.098	-1.064	-1.098	-1.102	-1.101	-1.098	-1.136	-1.100	-1.099	-1.100	-1.062	-1.062	-1.098	-1.099	-1.099	-1.097	-1.100	-1.096	-1.095	-1.096	-1.097	-1.096	-1.138	-1.096	-1.061	-1.097	-1.097	-1.099	-1.060	-1.061	-0.630	-0.597	-0.597	-0.596	-0.558	-0.599	-0.596	-0.598	-0.597	-0.597	-0.597	-0.597	-0.593	-0.558	-0.597	-0.597	-0.597	-0.561	-0.599	-0.596	-0.595	-0.596	-0.597	-0.599	-0.599	-0.596	-0.598	-0.632	-0.597	-0.597	-0.595	-0.596	-0.644	-0.670	-0.670	-0.654	-0.680	-0.671	-0.671	-0.670	-0.687	-0.670	-0.670	-0.671	-0.655	-0.664	-0.670	-0.670	-0.670	-0.679	-0.671	-0.670	-0.669	-0.670	-0.669	-0.669	-0.688	-0.670	-0.653	-0.660	-0.669	-0.670	-0.654	-0.654	-1.093	-0.595	-0.668	2016_7_15_15_49_47
F2LS38VQGRXL____	-1.258	-1.261	-1.262	-1.262	-1.262	-1.261	-1.264	-1.262	-1.261	-1.226	-1.263	-1.263	-1.263	-1.227	-1.264	-1.263	-1.263	-1.263	-1.261	-1.262	-1.264	-1.262	-1.263	-1.261	-1.259	-1.262	-1.260	-1.266	-1.263	-1.263	-1.265	-1.261	-0.537	-0.536	-0.537	-0.535	-0.539	-0.534	-0.573	-0.578	-0.535	-0.536	-0.538	-0.538	-0.578	-0.498	-0.540	-0.538	-0.538	-0.576	-0.536	-0.537	-0.540	-0.537	-0.538	-0.539	-0.537	-0.537	-0.540	-0.537	-0.538	-0.538	-0.494	-0.537	-0.732	-0.734	-0.734	-0.735	-0.733	-0.734	-0.726	-0.723	-0.733	-0.717	-0.735	-0.734	-0.725	-0.729	-0.735	-0.735	-0.735	-0.725	-0.734	-0.735	-0.735	-0.735	-0.734	-0.734	-0.733	-0.735	-0.733	-0.736	-0.734	-0.735	-0.747	-0.734	-1.260	-0.540	-0.733	2016_7_15_15_49_50
F2LS3A8AGRXL____	-1.252	-1.208	-1.207	-1.250	-1.250	-1.165	-1.164	-1.209	-1.164	-1.206	-1.208	-1.252	-1.254	-1.163	-1.164	-1.208	-1.208	-1.210	-1.209	-1.211	-1.247	-1.211	-1.205	-1.165	-1.165	-1.211	-1.251	-1.207	-1.205	-1.208	-1.206	-1.250	-0.499	-0.543	-0.585	-0.583	-0.543	-0.542	-0.539	-0.504	-0.542	-0.543	-0.541	-0.541	-0.543	-0.505	-0.544	-0.541	-0.541	-0.500	-0.502	-0.500	-0.543	-0.500	-0.542	-0.543	-0.543	-0.500	-0.543	-0.502	-0.542	-0.541	-0.503	-0.542	-0.643	-0.611	-0.601	-0.620	-0.631	-0.591	-0.592	-0.622	-0.591	-0.611	-0.612	-0.632	-0.632	-0.601	-0.591	-0.612	-0.612	-0.624	-0.622	-0.623	-0.630	-0.623	-0.610	-0.592	-0.591	-0.623	-0.631	-0.622	-0.610	-0.612	-0.621	-0.631	-1.209	-0.532	-0.615	2016_7_15_15_49_53
F2LS3HFRHFM5____	-0.760	-0.762	-0.762	-0.763	-0.764	-0.764	-0.765	-0.765	-0.764	-0.765	-0.764	-0.763	-0.765	-0.764	-0.765	-0.764	-0.764	-0.723	-0.721	-0.764	-0.724	-0.764	-0.763	-0.764	-0.763	-0.764	-0.761	-0.765	-0.763	-0.764	-0.762	-0.762	-0.676	-0.678	-0.678	-0.677	-0.679	-0.679	-0.679	-0.679	-0.678	-0.678	-0.717	-0.678	-0.679	-0.677	-0.678	-0.717	-0.717	-0.678	-0.676	-0.675	-0.678	-0.675	-0.675	-0.677	-0.676	-0.675	-0.677	-0.675	-0.675	-0.717	-0.677	-0.676	-0.464	-0.465	-0.465	-0.465	-0.465	-0.466	-0.467	-0.466	-0.466	-0.467	-0.456	-0.465	-0.466	-0.467	-0.466	-0.456	-0.456	-0.448	-0.447	-0.467	-0.447	-0.467	-0.467	-0.466	-0.467	-0.467	-0.465	-0.468	-0.467	-0.456	-0.466	-0.466	-0.760	-0.682	-0.463	2016_7_15_15_49_56
F2LS3KLTHFM5____	-0.982	-0.985	-0.984	-0.982	-0.981	-1.018	-0.977	-0.981	-0.982	-0.980	-1.019	-0.982	-0.981	-0.983	-0.982	-1.019	-1.019	-0.981	-0.982	-1.018	-0.985	-1.018	-0.981	-0.982	-1.018	-1.018	-0.981	-0.983	-0.981	-1.019	-0.984	-0.982	-0.533	-0.537	-0.536	-0.576	-0.577	-0.534	-0.535	-0.533	-0.533	-0.534	-0.575	-0.536	-0.535	-0.534	-0.533	-0.575	-0.575	-0.533	-0.575	-0.539	-0.533	-0.539	-0.573	-0.536	-0.537	-0.539	-0.573	-0.535	-0.573	-0.575	-0.535	-0.533	-0.576	-0.576	-0.576	-0.564	-0.563	-0.592	-0.573	-0.574	-0.575	-0.575	-0.582	-0.574	-0.574	-0.576	-0.576	-0.582	-0.582	-0.576	-0.565	-0.590	-0.577	-0.590	-0.565	-0.575	-0.590	-0.590	-0.565	-0.575	-0.565	-0.582	-0.576	-0.575	-0.992	-0.547	-0.576	2016_7_15_15_50_00
F2LS30UNGRX8____	-1.060	-1.060	-1.060	-1.060	-1.059	-1.060	-1.060	-1.060	-1.060	-1.059	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.060	-1.059	-1.060	-1.060	-1.060	-1.060	-0.678	-0.678	-0.677	-0.678	-0.678	-0.678	-0.677	-0.677	-0.677	-0.677	-0.678	-0.678	-0.678	-0.677	-0.678	-0.678	-0.678	-0.677	-0.678	-0.678	-0.678	-0.678	-0.678	-0.677	-0.678	-0.678	-0.678	-0.678	-0.678	-0.678	-0.678	-0.678	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.545	-0.545	-0.545	-0.544	-0.544	-0.545	-0.544	-0.544	-0.544	-0.544	-0.545	-0.544	-0.545	-0.544	-0.544	-0.544	-0.545	-0.544	-0.545	-0.544	-1.060	-0.678	-0.544	2016_7_15_15_50_03
F2LS39Q6GRXL____	-0.752	-0.716	-0.715	-0.717	-0.718	-0.715	-0.718	-0.719	-0.717	-0.718	-0.715	-0.715	-0.716	-0.715	-0.717	-0.715	-0.715	-0.716	-0.717	-0.715	-0.717	-0.715	-0.716	-0.714	-0.716	-0.715	-0.717	-0.715	-0.716	-0.715	-0.714	-0.717	-0.719	-0.711	-0.672	-0.713	-0.674	-0.674	-0.713	-0.672	-0.675	-0.712	-0.672	-0.671	-0.711	-0.711	-0.712	-0.672	-0.672	-0.710	-0.673	-0.672	-0.710	-0.672	-0.672	-0.636	-0.674	-0.672	-0.674	-0.710	-0.672	-0.672	-0.712	-0.674	-0.478	-0.463	-0.474	-0.464	-0.474	-0.472	-0.464	-0.474	-0.473	-0.464	-0.474	-0.474	-0.463	-0.464	-0.464	-0.474	-0.474	-0.464	-0.474	-0.474	-0.465	-0.474	-0.473	-0.482	-0.473	-0.474	-0.474	-0.463	-0.473	-0.474	-0.463	-0.474	-0.717	-0.686	-0.471	2016_7_15_15_50_06
