SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	0.321	0.293	0.293	0.293	0.293	0.293	0.293	0.293	0.293	0.293	0.293	0.294	0.293	0.293	0.293	0.294	0.292	0.293	0.294	0.293	0.294	0.293	0.293	0.293	0.293	0.294	0.293	0.294	0.292	0.292	0.294	0.293	0.059	0.056	0.059	0.061	0.060	0.059	0.061	0.059	0.057	0.061	0.061	0.064	0.060	0.057	0.058	0.059	0.058	0.059	0.059	0.059	0.059	0.058	0.058	0.057	0.060	0.059	0.059	0.059	0.061	0.058	0.056	0.059	0.801	0.790	0.789	0.790	0.790	0.790	0.790	0.790	0.789	0.790	0.790	0.790	0.790	0.790	0.790	0.790	0.790	0.790	0.790	0.790	0.791	0.790	0.790	0.790	0.790	0.790	0.790	0.791	0.789	0.790	0.791	0.790	0.294	0.059	0.790	2016_7_15_16_13_29
F2LS3HFBHFM5____	-0.192	-0.164	-0.164	-0.164	-0.164	-0.163	-0.164	-0.165	-0.163	-0.192	-0.192	-0.164	-0.164	-0.193	-0.193	-0.164	-0.163	-0.165	-0.194	-0.164	-0.193	-0.163	-0.163	-0.193	-0.164	-0.164	-0.164	-0.193	-0.164	-0.165	-0.163	-0.164	0.125	0.125	0.126	0.151	0.098	0.097	0.151	0.126	0.123	0.096	0.096	0.094	0.098	0.127	0.096	0.153	0.127	0.126	0.094	0.128	0.157	0.123	0.123	0.127	0.152	0.153	0.125	0.157	0.097	0.124	0.119	0.125	0.592	0.603	0.603	0.603	0.604	0.604	0.603	0.603	0.604	0.593	0.593	0.604	0.604	0.592	0.593	0.602	0.603	0.603	0.593	0.603	0.590	0.603	0.603	0.592	0.603	0.602	0.603	0.590	0.604	0.603	0.604	0.603	-0.172	0.123	0.600	2016_7_15_16_13_33
F2LS3JESHFM5____	0.201	0.201	0.140	0.200	0.201	0.172	0.200	0.168	0.200	0.200	0.200	0.201	0.201	0.200	0.171	0.200	0.200	0.168	0.200	0.172	0.200	0.171	0.171	0.200	0.200	0.200	0.172	0.200	0.199	0.201	0.200	0.172	0.142	0.143	0.115	0.169	0.142	0.166	0.169	0.147	0.147	0.171	0.171	0.148	0.142	0.171	0.121	0.169	0.172	0.147	0.146	0.145	0.145	0.120	0.120	0.171	0.169	0.169	0.146	0.145	0.144	0.173	0.146	0.146	0.075	0.076	0.052	0.074	0.076	0.063	0.074	0.062	0.075	0.074	0.074	0.075	0.076	0.074	0.064	0.074	0.074	0.062	0.075	0.064	0.074	0.064	0.064	0.074	0.074	0.074	0.064	0.074	0.075	0.075	0.075	0.064	0.190	0.151	0.071	2016_7_15_16_13_36
F2LS3TKDHFM5____	-0.025	-0.089	-0.024	-0.024	-0.025	-0.019	-0.024	-0.020	-0.025	-0.025	-0.025	-0.023	-0.025	-0.025	-0.057	-0.025	-0.057	-0.020	-0.024	-0.056	-0.025	-0.026	-0.026	-0.025	-0.024	-0.025	-0.024	-0.025	-0.024	-0.024	-0.025	-0.024	0.104	0.106	0.163	0.133	0.132	0.134	0.133	0.133	0.132	0.134	0.134	0.132	0.132	0.132	0.109	0.133	0.133	0.133	0.133	0.133	0.131	0.136	0.136	0.132	0.133	0.133	0.133	0.131	0.131	0.131	0.132	0.133	0.660	0.635	0.658	0.660	0.659	0.661	0.660	0.661	0.659	0.659	0.659	0.660	0.659	0.659	0.647	0.659	0.646	0.661	0.659	0.647	0.659	0.659	0.659	0.659	0.659	0.659	0.660	0.659	0.660	0.659	0.660	0.660	-0.029	0.131	0.657	2016_7_15_16_13_40
F2LS38VQGRXL____	-0.192	-0.222	-0.192	-0.192	-0.192	-0.224	-0.192	-0.192	-0.193	-0.193	-0.193	-0.191	-0.192	-0.192	-0.191	-0.191	-0.193	-0.192	-0.192	-0.192	-0.192	-0.192	-0.192	-0.192	-0.192	-0.191	-0.192	-0.192	-0.193	-0.192	-0.191	-0.192	-0.096	-0.097	-0.072	-0.095	-0.097	-0.096	-0.095	-0.098	-0.097	-0.071	-0.071	-0.073	-0.097	-0.097	-0.095	-0.096	-0.071	-0.098	-0.099	-0.099	-0.099	-0.075	-0.075	-0.097	-0.070	-0.096	-0.099	-0.099	-0.070	-0.098	-0.096	-0.099	-0.073	-0.086	-0.075	-0.074	-0.074	-0.086	-0.074	-0.074	-0.074	-0.075	-0.075	-0.074	-0.074	-0.073	-0.073	-0.073	-0.075	-0.074	-0.074	-0.073	-0.073	-0.075	-0.075	-0.073	-0.074	-0.073	-0.073	-0.073	-0.075	-0.073	-0.073	-0.073	-0.194	-0.090	-0.075	2016_7_15_16_13_44
F2LS3A8AGRXL____	-0.033	-0.038	-0.066	-0.095	-0.067	-0.037	-0.095	-0.066	-0.038	-0.067	-0.067	-0.094	-0.067	-0.067	-0.066	-0.094	-0.065	-0.066	-0.066	-0.037	-0.068	-0.095	-0.095	-0.067	-0.096	-0.094	-0.038	-0.068	-0.038	-0.066	-0.066	-0.038	0.013	0.040	-0.018	0.012	0.012	0.066	0.012	0.039	0.040	0.012	0.012	0.010	0.012	0.039	0.013	0.011	0.013	0.039	0.041	0.014	0.067	0.012	0.012	0.039	0.037	0.011	0.040	0.067	0.013	0.013	0.012	0.040	0.661	0.657	0.648	0.636	0.647	0.656	0.636	0.646	0.657	0.646	0.646	0.636	0.647	0.646	0.647	0.635	0.647	0.646	0.646	0.659	0.644	0.636	0.636	0.646	0.634	0.635	0.657	0.644	0.658	0.647	0.647	0.657	-0.066	0.025	0.646	2016_7_15_16_13_47
F2LS3HFRHFM5____	-0.073	-0.074	-0.075	-0.074	-0.075	-0.075	-0.074	-0.074	-0.074	-0.074	-0.074	-0.074	-0.075	-0.103	-0.073	-0.074	-0.074	-0.074	-0.073	-0.074	-0.043	-0.075	-0.075	-0.103	-0.073	-0.074	-0.074	-0.043	-0.075	-0.074	-0.105	-0.074	0.091	0.090	0.120	0.091	0.117	0.089	0.091	0.090	0.118	0.090	0.090	0.088	0.117	0.118	0.116	0.092	0.091	0.090	0.092	0.091	0.118	0.149	0.149	0.118	0.091	0.092	0.092	0.118	0.116	0.091	0.092	0.092	-0.708	-0.707	-0.709	-0.708	-0.709	-0.707	-0.708	-0.707	-0.708	-0.707	-0.707	-0.707	-0.709	-0.721	-0.708	-0.708	-0.708	-0.707	-0.707	-0.708	-0.696	-0.710	-0.710	-0.721	-0.707	-0.708	-0.707	-0.696	-0.709	-0.708	-0.721	-0.707	-0.075	0.103	-0.708	2016_7_15_16_13_50
F2LS3KLTHFM5____	-0.230	-0.257	-0.224	-0.227	-0.229	-0.259	-0.227	-0.258	-0.228	-0.258	-0.258	-0.229	-0.229	-0.257	-0.259	-0.229	-0.259	-0.258	-0.229	-0.229	-0.256	-0.228	-0.228	-0.257	-0.227	-0.229	-0.228	-0.256	-0.228	-0.228	-0.258	-0.228	0.172	0.147	0.116	0.146	0.149	0.170	0.146	0.147	0.149	0.174	0.174	0.148	0.149	0.149	0.148	0.198	0.174	0.147	0.150	0.178	0.149	0.152	0.152	0.149	0.147	0.198	0.149	0.149	0.175	0.148	0.150	0.149	-0.099	-0.109	-0.095	-0.097	-0.098	-0.110	-0.097	-0.109	-0.098	-0.111	-0.111	-0.099	-0.098	-0.109	-0.110	-0.100	-0.111	-0.109	-0.098	-0.099	-0.109	-0.098	-0.098	-0.109	-0.097	-0.100	-0.098	-0.109	-0.098	-0.097	-0.110	-0.098	-0.240	0.156	-0.103	2016_7_15_16_13_53
F2LS30UNGRX8____	0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	2016_7_15_16_13_57
F2LS39Q6GRXL____	-0.085	-0.051	-0.051	-0.052	-0.051	-0.051	-0.052	-0.020	-0.050	-0.023	-0.023	-0.054	-0.051	-0.050	-0.022	-0.051	-0.050	-0.020	-0.051	-0.051	-0.049	-0.050	-0.050	-0.050	-0.085	-0.051	-0.052	-0.049	-0.050	-0.052	-0.022	-0.052	0.181	0.184	0.183	0.176	0.182	0.180	0.176	0.209	0.182	0.240	0.240	0.209	0.182	0.183	0.209	0.235	0.211	0.209	0.181	0.208	0.184	0.180	0.180	0.183	0.237	0.235	0.209	0.184	0.209	0.210	0.207	0.209	-0.041	-0.027	-0.027	-0.028	-0.028	-0.027	-0.028	-0.016	-0.027	-0.019	-0.019	-0.030	-0.028	-0.027	-0.018	-0.030	-0.028	-0.016	-0.027	-0.029	-0.027	-0.027	-0.027	-0.027	-0.044	-0.030	-0.029	-0.027	-0.029	-0.029	-0.017	-0.029	-0.048	0.199	-0.027	2016_7_15_16_14_00
