SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.132	-0.165	-0.131	-0.132	-0.133	-0.129	-0.127	-0.131	-0.130	-0.130	-0.129	-0.130	-0.132	-0.129	-0.131	-0.131	-0.132	-0.130	-0.130	-0.130	-0.130	-0.131	-0.130	-0.131	-0.132	-0.130	-0.128	-0.130	-0.131	-0.132	-0.131	-0.129	-0.858	-0.858	-0.860	-0.861	-0.860	-0.838	-0.860	-0.860	-0.861	-0.860	-0.860	-0.861	-0.862	-0.861	-0.882	-0.882	-0.859	-0.861	-0.863	-0.860	-0.861	-0.860	-0.861	-0.860	-0.859	-0.861	-0.863	-0.859	-0.861	-0.862	-0.862	-0.861	0.191	0.178	0.192	0.191	0.192	0.192	0.193	0.192	0.192	0.192	0.193	0.192	0.191	0.193	0.193	0.193	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.191	0.191	0.192	0.193	0.192	0.191	0.191	0.191	0.192	-0.132	-0.861	0.192	2016_7_15_16_18_08
F2LS3HFBHFM5____	-0.638	-0.637	-0.658	-0.676	-0.637	-0.637	-0.663	-0.636	-0.667	-0.636	-0.634	-0.603	-0.634	-0.636	-0.637	-0.637	-0.667	-0.637	-0.636	-0.636	-0.603	-0.636	-0.603	-0.641	-0.641	-0.637	-0.670	-0.675	-0.635	-0.636	-0.669	-0.636	-0.663	-0.665	-0.697	-0.662	-0.630	-0.689	-0.687	-0.687	-0.655	-0.658	-0.687	-0.687	-0.657	-0.657	-0.666	-0.666	-0.662	-0.666	-0.659	-0.688	-0.687	-0.688	-0.687	-0.661	-0.698	-0.689	-0.656	-0.661	-0.688	-0.666	-0.689	-0.688	-0.017	-0.017	-0.024	-0.034	-0.019	-0.015	-0.027	-0.016	-0.030	-0.017	-0.015	-0.001	-0.016	-0.018	-0.017	-0.017	-0.030	-0.017	-0.017	-0.015	-0.001	-0.016	-0.001	-0.019	-0.017	-0.016	-0.031	-0.033	-0.015	-0.017	-0.030	-0.015	-0.641	-0.673	-0.018	2016_7_15_16_18_12
F2LS3JESHFM5____	-0.076	-0.068	-0.107	-0.107	-0.067	-0.069	-0.069	-0.069	-0.069	-0.067	-0.100	-0.100	-0.067	-0.097	-0.066	-0.066	-0.098	-0.097	-0.065	-0.099	-0.100	-0.100	-0.100	-0.102	-0.101	-0.101	-0.100	-0.099	-0.069	-0.067	-0.102	-0.098	-0.695	-0.727	-0.694	-0.693	-0.693	-0.702	-0.700	-0.701	-0.693	-0.692	-0.700	-0.726	-0.692	-0.693	-0.699	-0.699	-0.696	-0.724	-0.692	-0.700	-0.726	-0.700	-0.726	-0.695	-0.694	-0.699	-0.694	-0.733	-0.701	-0.700	-0.727	-0.692	-0.205	-0.200	-0.218	-0.217	-0.202	-0.201	-0.201	-0.202	-0.202	-0.202	-0.214	-0.213	-0.201	-0.214	-0.200	-0.200	-0.214	-0.211	-0.200	-0.214	-0.213	-0.214	-0.213	-0.216	-0.215	-0.214	-0.214	-0.212	-0.202	-0.201	-0.214	-0.214	-0.086	-0.703	-0.209	2016_7_15_16_18_15
F2LS3TKDHFM5____	-0.558	-0.539	-0.557	-0.534	-0.538	-0.539	-0.539	-0.536	-0.538	-0.538	-0.507	-0.570	-0.535	-0.538	-0.536	-0.536	-0.561	-0.563	-0.535	-0.496	-0.570	-0.566	-0.570	-0.542	-0.541	-0.538	-0.539	-0.535	-0.536	-0.537	-0.537	-0.538	-0.715	-0.680	-0.714	-0.715	-0.684	-0.681	-0.680	-0.681	-0.685	-0.683	-0.683	-0.680	-0.685	-0.683	-0.706	-0.706	-0.680	-0.677	-0.684	-0.706	-0.680	-0.680	-0.680	-0.680	-0.679	-0.707	-0.681	-0.718	-0.681	-0.680	-0.681	-0.683	-0.384	-0.380	-0.384	-0.375	-0.378	-0.379	-0.379	-0.377	-0.378	-0.378	-0.366	-0.392	-0.377	-0.379	-0.377	-0.377	-0.388	-0.390	-0.377	-0.360	-0.392	-0.391	-0.392	-0.380	-0.380	-0.377	-0.379	-0.375	-0.378	-0.379	-0.379	-0.379	-0.542	-0.689	-0.380	2016_7_15_16_18_19
F2LS38VQGRXL____	-0.889	-0.926	-0.892	-0.892	-0.890	-0.890	-0.889	-0.891	-0.890	-0.890	-0.891	-0.890	-0.890	-0.889	-0.887	-0.887	-0.889	-0.888	-0.890	-0.887	-0.890	-0.888	-0.890	-0.891	-0.890	-0.889	-0.890	-0.893	-0.889	-0.888	-0.889	-0.888	-0.687	-0.684	-0.685	-0.687	-0.680	-0.686	-0.685	-0.684	-0.679	-0.680	-0.685	-0.685	-0.682	-0.680	-0.686	-0.686	-0.686	-0.685	-0.681	-0.684	-0.685	-0.685	-0.685	-0.687	-0.687	-0.685	-0.680	-0.686	-0.684	-0.685	-0.685	-0.681	-0.474	-0.489	-0.475	-0.476	-0.474	-0.474	-0.474	-0.474	-0.474	-0.474	-0.475	-0.474	-0.475	-0.474	-0.474	-0.474	-0.475	-0.474	-0.475	-0.473	-0.474	-0.474	-0.474	-0.475	-0.475	-0.475	-0.475	-0.476	-0.474	-0.475	-0.475	-0.474	-0.891	-0.684	-0.475	2016_7_15_16_18_22
F2LS3A8AGRXL____	-0.734	-0.738	-0.706	-0.706	-0.737	-0.768	-0.739	-0.740	-0.741	-0.740	-0.708	-0.709	-0.679	-0.740	-0.738	-0.738	-0.710	-0.738	-0.707	-0.711	-0.709	-0.709	-0.709	-0.737	-0.738	-0.709	-0.740	-0.738	-0.740	-0.738	-0.740	-0.705	-0.732	-0.729	-0.732	-0.734	-0.730	-0.725	-0.726	-0.725	-0.728	-0.731	-0.725	-0.701	-0.697	-0.730	-0.725	-0.725	-0.731	-0.724	-0.729	-0.700	-0.701	-0.725	-0.701	-0.730	-0.729	-0.698	-0.732	-0.733	-0.727	-0.727	-0.697	-0.729	-0.444	-0.447	-0.433	-0.433	-0.445	-0.458	-0.447	-0.447	-0.447	-0.447	-0.434	-0.436	-0.425	-0.447	-0.447	-0.447	-0.435	-0.447	-0.433	-0.438	-0.436	-0.434	-0.436	-0.446	-0.446	-0.437	-0.447	-0.446	-0.448	-0.447	-0.450	-0.433	-0.726	-0.722	-0.442	2016_7_15_16_18_25
F2LS3HFRHFM5____	-0.448	-0.462	-0.457	-0.441	-0.453	-0.431	-0.461	-0.460	-0.376	-0.424	-0.460	-0.427	-0.433	-0.453	-0.431	-0.431	-0.461	-0.460	-0.431	-0.453	-0.427	-0.495	-0.427	-0.461	-0.458	-0.460	-0.468	-0.444	-0.494	-0.492	-0.443	-0.451	-0.788	-0.804	-0.801	-0.788	-0.783	-0.803	-0.801	-0.801	-0.772	-0.791	-0.800	-0.800	-0.804	-0.779	-0.801	-0.801	-0.801	-0.800	-0.801	-0.742	-0.800	-0.800	-0.800	-0.801	-0.834	-0.799	-0.806	-0.789	-0.800	-0.802	-0.721	-0.774	-0.420	-0.424	-0.423	-0.417	-0.422	-0.412	-0.424	-0.424	-0.391	-0.410	-0.423	-0.410	-0.412	-0.423	-0.412	-0.412	-0.424	-0.424	-0.412	-0.424	-0.410	-0.438	-0.410	-0.424	-0.421	-0.423	-0.426	-0.418	-0.438	-0.437	-0.423	-0.422	-0.449	-0.793	-0.420	2016_7_15_16_18_30
F2LS3KLTHFM5____	-0.565	-0.589	-0.564	-0.561	-0.670	-0.529	-0.583	-0.602	-0.586	-0.543	-0.543	-0.543	-0.543	-0.543	-0.543	-0.543	-0.581	-0.543	-0.565	-0.543	-0.543	-0.543	-0.543	-0.551	-0.551	-0.543	-0.543	-0.559	-0.602	-0.603	-0.602	-0.527	-0.647	-0.681	-0.650	-0.645	-0.697	-0.636	-0.684	-0.708	-0.642	-0.623	-0.693	-0.623	-0.623	-0.623	-0.693	-0.693	-0.683	-0.693	-0.651	-0.693	-0.623	-0.693	-0.623	-0.685	-0.684	-0.693	-0.623	-0.646	-0.710	-0.709	-0.708	-0.612	-0.254	-0.262	-0.254	-0.253	-0.294	-0.240	-0.260	-0.266	-0.264	-0.247	-0.243	-0.247	-0.247	-0.247	-0.243	-0.243	-0.259	-0.243	-0.255	-0.243	-0.247	-0.242	-0.247	-0.247	-0.247	-0.243	-0.247	-0.253	-0.266	-0.266	-0.266	-0.242	-0.562	-0.665	-0.252	2016_7_15_16_18_34
F2LS30UNGRX8____	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.568	-0.745	-0.744	-0.744	-0.744	-0.744	-0.744	-0.745	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.745	-0.745	-0.745	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.744	-0.745	-0.744	-0.744	-0.744	-0.744	-0.389	-0.389	-0.389	-0.389	-0.389	-0.388	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.388	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.388	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.389	-0.568	-0.744	-0.389	2016_7_15_16_18_37
F2LS39Q6GRXL____	-0.389	-0.363	-0.371	-0.361	-0.387	-0.387	-0.390	-0.359	-0.390	-0.356	-0.331	-0.329	-0.390	-0.326	-0.389	-0.389	-0.364	-0.358	-0.356	-0.360	-0.329	-0.390	-0.329	-0.383	-0.365	-0.330	-0.329	-0.361	-0.390	-0.388	-0.389	-0.346	-0.679	-0.682	-0.647	-0.681	-0.680	-0.711	-0.684	-0.710	-0.674	-0.684	-0.614	-0.708	-0.675	-0.613	-0.682	-0.682	-0.681	-0.708	-0.678	-0.653	-0.708	-0.683	-0.708	-0.684	-0.646	-0.614	-0.617	-0.680	-0.712	-0.712	-0.712	-0.635	-0.332	-0.322	-0.328	-0.321	-0.332	-0.330	-0.332	-0.318	-0.334	-0.319	-0.313	-0.306	-0.333	-0.312	-0.333	-0.333	-0.323	-0.318	-0.320	-0.322	-0.306	-0.332	-0.306	-0.330	-0.325	-0.313	-0.312	-0.321	-0.331	-0.330	-0.331	-0.318	-0.365	-0.676	-0.323	2016_7_15_16_18_41
