SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.140	-0.141	-0.170	-0.142	-0.141	-0.143	-0.140	-0.141	-0.142	-0.170	-0.141	-0.105	-0.140	-0.139	-0.176	-0.139	-0.140	-0.139	-0.142	-0.139	-0.143	-0.139	-0.171	-0.139	-0.141	-0.171	-0.140	-0.141	-0.169	-0.140	-0.140	-0.140	-0.148	-0.145	-0.148	-0.145	-0.147	-0.146	-0.111	-0.145	-0.146	-0.148	-0.147	-0.108	-0.148	-0.147	-0.146	-0.147	-0.143	-0.146	-0.145	-0.148	-0.179	-0.148	-0.146	-0.147	-0.147	-0.110	-0.149	-0.147	-0.147	-0.147	-0.144	-0.148	0.678	0.676	0.663	0.676	0.677	0.676	0.659	0.677	0.675	0.663	0.677	0.675	0.678	0.678	0.659	0.678	0.676	0.677	0.674	0.678	0.692	0.678	0.662	0.678	0.677	0.644	0.678	0.677	0.663	0.678	0.675	0.678	-0.145	-0.144	0.674	2016_7_15_15_57_56
F2LS3HFBHFM5____	-0.062	-0.063	-0.027	-0.096	-0.062	-0.063	-0.061	-0.096	-0.028	-0.027	-0.062	-0.059	0.002	0.008	-0.025	-0.027	-0.032	-0.059	-0.023	-0.061	-0.029	-0.026	-0.032	-0.029	-0.063	-0.061	-0.062	-0.022	0.001	-0.026	0.006	-0.062	0.102	0.136	0.103	0.102	0.136	0.103	0.135	0.103	0.104	0.103	0.136	0.100	0.137	0.099	0.105	0.137	0.138	0.136	0.138	0.138	0.137	0.136	0.102	0.139	0.137	0.102	0.105	0.102	0.138	0.138	0.102	0.102	0.593	0.575	0.609	0.576	0.577	0.592	0.577	0.575	0.608	0.609	0.577	0.596	0.608	0.629	0.610	0.592	0.590	0.577	0.594	0.576	0.592	0.594	0.608	0.591	0.575	0.594	0.591	0.612	0.606	0.593	0.627	0.593	-0.042	0.120	0.594	2016_7_15_15_57_59
F2LS3JESHFM5____	-0.038	-0.106	-0.072	-0.073	-0.072	-0.073	-0.037	-0.074	-0.037	-0.035	-0.072	-0.071	-0.073	-0.074	-0.071	-0.078	-0.077	-0.074	-0.065	-0.075	-0.105	-0.107	-0.074	-0.040	-0.072	-0.072	-0.074	-0.104	-0.075	-0.041	-0.074	-0.038	-0.056	-0.057	-0.058	-0.057	-0.057	-0.057	-0.023	-0.101	-0.017	-0.067	-0.057	-0.051	-0.056	-0.075	-0.018	-0.116	-0.061	-0.025	-0.018	-0.071	-0.056	-0.057	-0.057	-0.067	-0.055	-0.056	-0.071	-0.015	-0.022	-0.102	-0.057	-0.056	0.010	-0.024	-0.007	-0.008	-0.008	-0.008	-0.007	0.013	-0.010	0.016	-0.008	-0.010	-0.008	0.000	-0.026	0.018	-0.008	-0.024	-0.023	-0.002	-0.025	-0.024	-0.008	0.014	-0.008	-0.008	-0.002	-0.045	-0.026	0.030	-0.008	0.010	-0.069	-0.055	-0.007	2016_7_15_15_58_02
F2LS3TKDHFM5____	-0.186	-0.158	-0.159	-0.158	-0.159	-0.157	-0.157	-0.159	-0.158	-0.188	-0.159	-0.154	-0.159	-0.157	-0.158	-0.159	-0.157	-0.189	-0.158	-0.159	-0.158	-0.156	-0.123	-0.156	-0.190	-0.156	-0.157	-0.158	-0.159	-0.157	-0.158	-0.186	0.044	0.072	0.074	0.073	0.071	0.073	0.073	0.041	0.104	0.043	0.071	0.073	0.072	0.073	0.101	0.071	0.070	0.075	0.102	0.073	0.072	0.072	0.072	0.039	0.072	0.043	0.072	0.075	0.103	0.073	0.071	0.044	0.561	0.561	0.560	0.560	0.561	0.561	0.561	0.576	0.545	0.560	0.561	0.562	0.560	0.560	0.546	0.560	0.562	0.544	0.546	0.560	0.561	0.562	0.578	0.577	0.544	0.576	0.561	0.560	0.545	0.560	0.561	0.561	-0.161	0.070	0.560	2016_7_15_15_58_06
F2LS38VQGRXL____	-0.044	-0.013	-0.013	-0.011	-0.047	-0.011	-0.044	-0.012	-0.049	-0.046	-0.047	-0.014	-0.046	-0.047	-0.047	-0.046	-0.016	-0.047	-0.046	-0.045	-0.016	-0.046	-0.014	-0.012	-0.047	-0.044	-0.044	-0.043	-0.014	-0.045	-0.043	-0.044	-0.000	0.031	-0.036	-0.003	-0.035	-0.033	-0.002	0.032	-0.003	-0.001	-0.035	-0.000	0.001	-0.001	-0.034	0.001	0.029	-0.001	-0.004	0.002	0.032	-0.002	-0.002	-0.003	-0.001	-0.002	0.035	-0.031	-0.035	-0.000	0.032	-0.000	-0.023	-0.022	0.011	-0.004	-0.006	0.010	-0.020	-0.022	-0.022	-0.022	-0.006	-0.006	-0.023	-0.023	-0.006	-0.023	-0.021	-0.023	-0.021	-0.023	-0.023	-0.022	-0.006	-0.005	-0.023	-0.022	-0.039	-0.006	0.010	-0.022	-0.038	-0.023	-0.034	-0.002	-0.016	2016_7_15_15_58_09
F2LS3A8AGRXL____	-0.145	-0.147	-0.176	-0.177	-0.147	-0.148	-0.175	-0.148	-0.150	-0.211	-0.147	-0.149	-0.209	-0.177	-0.175	-0.147	-0.176	-0.146	-0.177	-0.180	-0.148	-0.146	-0.175	-0.175	-0.146	-0.176	-0.208	-0.112	-0.210	-0.178	-0.176	-0.145	-0.040	0.026	-0.041	-0.043	-0.043	-0.042	-0.041	-0.042	-0.005	-0.039	-0.043	-0.040	-0.040	0.030	0.027	0.032	-0.041	-0.003	-0.008	-0.008	0.030	0.026	0.025	-0.042	-0.005	-0.038	-0.041	0.027	-0.042	-0.040	-0.007	-0.040	0.622	0.589	0.607	0.608	0.622	0.623	0.607	0.622	0.603	0.589	0.622	0.620	0.590	0.572	0.574	0.586	0.607	0.603	0.591	0.589	0.586	0.589	0.575	0.608	0.604	0.606	0.591	0.605	0.591	0.606	0.591	0.622	-0.166	-0.017	0.601	2016_7_15_15_58_13
F2LS3HFRHFM5____	0.048	0.080	0.048	0.083	0.053	0.049	0.047	0.084	0.051	0.049	0.053	0.051	0.048	0.049	0.050	0.050	0.046	0.051	0.083	0.049	0.050	0.049	0.048	0.047	0.014	0.049	0.049	0.046	0.048	0.048	0.048	0.048	0.132	0.132	0.093	0.131	0.133	0.131	0.128	0.168	0.135	0.095	0.133	0.098	0.131	0.132	0.129	0.098	0.095	0.098	0.131	0.131	0.133	0.131	0.129	0.128	0.093	0.130	0.098	0.132	0.094	0.130	0.131	0.132	-0.716	-0.700	-0.697	-0.698	-0.713	-0.714	-0.714	-0.716	-0.715	-0.697	-0.713	-0.698	-0.715	-0.715	-0.714	-0.698	-0.698	-0.697	-0.699	-0.715	-0.715	-0.714	-0.714	-0.714	-0.713	-0.714	-0.698	-0.716	-0.696	-0.714	-0.715	-0.716	0.052	0.122	-0.709	2016_7_15_15_58_16
F2LS3KLTHFM5____	-0.333	-0.332	-0.332	-0.296	-0.336	-0.295	-0.370	-0.296	-0.296	-0.333	-0.336	-0.296	-0.334	-0.332	-0.331	-0.333	-0.335	-0.296	-0.295	-0.333	-0.295	-0.333	-0.332	-0.333	-0.332	-0.333	-0.332	-0.296	-0.333	-0.334	-0.294	-0.333	0.138	0.135	0.136	0.134	0.136	0.136	0.139	0.134	0.138	0.136	0.136	0.136	0.135	0.139	0.136	0.138	0.136	0.135	0.134	0.141	0.137	0.140	0.136	0.138	0.138	0.139	0.103	0.136	0.138	0.141	0.137	0.138	-0.233	-0.231	-0.231	-0.213	-0.234	-0.212	-0.251	-0.213	-0.215	-0.232	-0.234	-0.214	-0.232	-0.233	-0.230	-0.233	-0.234	-0.214	-0.213	-0.235	-0.214	-0.234	-0.232	-0.233	-0.233	-0.233	-0.215	-0.214	-0.232	-0.234	-0.213	-0.233	-0.322	0.136	-0.227	2016_7_15_15_58_19
F2LS30UNGRX8____	-0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	2016_7_15_15_58_22
F2LS39Q6GRXL____	-0.041	0.023	-0.011	0.024	0.025	-0.008	-0.009	-0.008	-0.039	-0.040	0.025	0.029	-0.012	-0.011	-0.040	-0.011	0.027	-0.039	0.024	-0.011	-0.003	-0.010	-0.040	0.023	-0.009	-0.042	-0.012	0.023	-0.011	-0.010	0.027	-0.041	0.096	0.127	0.129	0.128	0.127	0.096	0.097	0.128	0.097	0.129	0.127	0.096	0.129	0.127	0.096	0.128	0.166	0.132	0.097	0.129	0.098	0.092	0.096	0.095	0.128	0.097	0.128	0.096	0.128	0.092	0.129	0.096	-0.068	-0.051	-0.068	-0.051	-0.051	-0.052	-0.052	-0.067	-0.067	-0.084	-0.051	-0.033	-0.070	-0.068	-0.067	-0.069	-0.068	-0.084	-0.035	-0.070	-0.050	-0.051	-0.068	-0.035	-0.068	-0.068	-0.069	-0.036	-0.069	-0.051	-0.051	-0.068	-0.007	0.114	-0.060	2016_7_15_15_58_25
F2LS3BDVGRXL____	-0.273	-0.273	-0.274	-0.272	-0.274	-0.272	-0.274	-0.273	-0.273	-0.272	-0.274	-0.239	-0.273	-0.273	-0.242	-0.274	-0.306	-0.274	-0.240	-0.275	-0.238	-0.272	-0.274	-0.273	-0.271	-0.273	-0.275	-0.241	-0.273	-0.273	-0.239	-0.273	0.141	0.144	0.140	0.143	0.144	0.143	0.141	0.144	0.141	0.141	0.144	0.143	0.140	0.142	0.173	0.173	0.145	0.142	0.143	0.142	0.144	0.141	0.140	0.142	0.144	0.141	0.141	0.141	0.140	0.141	0.142	0.141	0.470	0.468	0.469	0.469	0.467	0.469	0.469	0.467	0.470	0.470	0.467	0.486	0.470	0.469	0.469	0.453	0.451	0.469	0.485	0.468	0.486	0.471	0.470	0.469	0.469	0.470	0.468	0.485	0.469	0.470	0.486	0.470	-0.268	0.144	0.471	2016_7_15_15_58_28
F2LS3HQHHFM5____	0.193	0.093	0.192	0.164	0.193	0.195	0.195	0.164	0.194	0.193	0.193	0.194	0.195	0.193	0.165	0.195	0.192	0.193	0.195	0.193	0.193	0.194	0.194	0.226	0.193	0.192	0.192	0.162	0.192	0.194	0.131	0.193	-0.016	-0.016	-0.017	-0.017	-0.016	-0.049	-0.018	-0.017	-0.018	-0.017	-0.016	-0.020	-0.047	-0.047	-0.019	-0.048	-0.017	-0.018	-0.018	-0.049	-0.021	-0.019	-0.018	-0.017	-0.049	-0.016	-0.016	-0.016	-0.016	-0.051	-0.017	-0.016	0.103	0.054	0.103	0.089	0.103	0.120	0.106	0.089	0.105	0.104	0.103	0.106	0.119	0.119	0.091	0.119	0.103	0.105	0.105	0.120	0.105	0.105	0.104	0.120	0.120	0.103	0.103	0.088	0.103	0.121	0.073	0.103	0.186	-0.024	0.104	2016_7_15_15_58_32
F2LS3MG9HFM5____	-0.189	-0.127	-0.154	-0.127	-0.154	-0.126	-0.156	-0.126	-0.187	-0.154	-0.154	-0.154	-0.188	-0.155	-0.154	-0.189	-0.187	-0.188	-0.158	-0.188	-0.186	-0.188	-0.188	-0.187	-0.126	-0.189	-0.188	-0.126	-0.187	-0.158	-0.158	-0.189	0.069	0.071	0.069	0.068	0.068	0.067	0.068	0.068	0.070	0.070	0.068	0.072	0.070	0.070	0.069	0.071	0.069	0.069	0.066	0.072	0.073	0.069	0.067	0.070	0.068	0.069	0.070	0.072	0.069	0.036	0.067	0.069	0.547	0.576	0.564	0.578	0.564	0.578	0.563	0.577	0.547	0.563	0.564	0.562	0.546	0.563	0.564	0.545	0.547	0.547	0.563	0.545	0.546	0.546	0.548	0.547	0.577	0.546	0.547	0.576	0.547	0.578	0.563	0.547	-0.165	0.068	0.558	2016_7_15_15_58_35
F2LS35BZHFM1____	-0.047	-0.015	-0.013	-0.015	-0.016	-0.016	-0.016	-0.016	-0.013	-0.048	-0.016	-0.044	-0.045	-0.046	-0.018	-0.046	-0.016	-0.047	-0.015	-0.010	-0.014	-0.047	-0.049	-0.047	0.022	-0.012	-0.046	-0.047	-0.047	-0.047	-0.017	-0.047	0.124	0.121	0.124	0.124	0.123	0.123	0.089	0.087	0.124	0.124	0.123	0.089	0.122	0.090	0.122	0.121	0.125	0.124	0.124	0.125	0.125	0.125	0.125	0.125	0.124	0.091	0.123	0.087	0.122	0.125	0.123	0.124	-0.085	-0.067	-0.067	-0.069	-0.068	-0.069	-0.051	-0.050	-0.067	-0.085	-0.068	-0.065	-0.083	-0.068	-0.070	-0.084	-0.069	-0.085	-0.068	-0.066	-0.068	-0.085	-0.085	-0.086	-0.050	-0.051	-0.084	-0.066	-0.083	-0.085	-0.069	-0.085	-0.029	0.117	-0.072	2016_7_15_15_58_38
F2LS339XHFM1____	0.068	0.070	0.102	0.068	0.099	0.038	0.070	0.035	0.068	0.039	0.099	0.102	0.067	0.039	0.069	0.035	0.068	0.069	0.069	0.069	0.104	0.040	0.039	0.036	0.068	0.069	0.035	0.041	0.038	0.041	0.070	0.068	0.082	0.086	0.085	0.084	0.085	0.082	0.085	0.080	0.118	0.082	0.085	0.085	0.082	0.084	0.084	0.082	0.086	0.081	0.083	0.082	0.085	0.085	0.083	0.085	0.084	0.084	0.082	0.083	0.082	0.118	0.083	0.082	-0.007	-0.008	0.008	-0.008	0.007	-0.022	-0.007	-0.022	-0.024	-0.021	0.007	0.008	-0.007	-0.022	-0.008	-0.023	-0.008	-0.006	-0.007	-0.006	0.009	-0.022	-0.022	-0.024	-0.007	-0.008	-0.023	-0.021	-0.022	-0.038	-0.006	-0.007	0.062	0.086	-0.012	2016_7_15_15_58_42
F2LS3EKPHFM2____	-0.115	-0.077	-0.046	-0.113	-0.116	-0.113	-0.113	-0.113	-0.117	-0.080	-0.116	-0.120	-0.049	-0.046	-0.112	-0.046	-0.051	-0.119	-0.113	-0.083	-0.152	-0.113	-0.112	-0.080	-0.081	-0.080	-0.047	-0.110	-0.045	-0.112	-0.081	-0.115	-0.006	-0.008	-0.007	-0.010	-0.012	-0.007	-0.009	-0.011	-0.006	-0.008	-0.012	-0.007	-0.008	-0.007	-0.009	-0.007	-0.006	-0.005	-0.008	-0.008	-0.010	-0.007	-0.007	-0.009	-0.007	-0.006	-0.008	-0.009	-0.006	-0.038	-0.008	-0.006	0.619	0.640	0.655	0.622	0.622	0.621	0.622	0.623	0.619	0.638	0.622	0.618	0.653	0.654	0.623	0.654	0.652	0.617	0.622	0.636	0.603	0.622	0.622	0.639	0.637	0.637	0.654	0.624	0.654	0.637	0.638	0.619	-0.093	-0.009	0.632	2016_7_15_15_58_45
F2LS3HZVHFM5____	-0.016	-0.073	-0.013	-0.011	-0.041	0.021	-0.014	-0.010	-0.012	-0.013	-0.041	0.021	-0.013	-0.011	-0.012	-0.011	-0.013	-0.045	-0.043	-0.012	0.022	0.020	0.021	-0.013	-0.009	-0.012	-0.012	-0.012	-0.012	-0.012	0.020	-0.016	0.225	0.163	0.163	0.164	0.198	0.195	0.161	0.198	0.195	0.160	0.198	0.196	0.195	0.161	0.160	0.163	0.164	0.194	0.165	0.193	0.164	0.158	0.161	0.198	0.197	0.160	0.196	0.162	0.162	0.160	0.196	0.225	0.556	0.557	0.587	0.588	0.556	0.589	0.587	0.570	0.573	0.588	0.556	0.589	0.571	0.589	0.588	0.588	0.586	0.555	0.571	0.572	0.604	0.606	0.605	0.569	0.572	0.589	0.571	0.588	0.588	0.589	0.587	0.556	-0.012	0.180	0.579	2016_7_15_15_58_48
F2LS3SMLHFM5____	0.037	0.064	0.066	0.068	0.097	0.099	0.066	0.065	0.037	0.038	0.097	0.070	0.095	0.066	0.036	0.094	0.033	0.070	0.097	0.034	0.068	0.037	0.035	0.096	0.096	0.065	0.101	0.097	0.068	0.036	0.066	0.037	0.008	-0.010	0.009	0.048	0.008	0.047	0.010	0.006	0.008	0.009	0.008	0.008	0.010	-0.029	0.008	-0.030	0.009	0.007	0.011	-0.032	0.010	-0.030	-0.030	0.009	0.006	0.008	0.016	0.007	0.010	0.007	0.048	0.008	0.014	0.036	0.029	0.010	0.044	0.026	0.027	0.029	0.014	0.014	0.044	0.031	0.042	0.046	0.014	0.062	0.012	0.031	0.043	0.033	0.029	0.033	0.033	0.044	0.044	0.029	0.043	0.043	0.028	0.014	0.009	0.014	0.067	0.006	0.030	2016_7_15_15_58_51
F2LS38TUGRXL____	-0.064	-0.065	-0.034	-0.064	-0.065	-0.066	-0.028	-0.065	-0.099	-0.063	-0.065	-0.064	-0.064	-0.066	-0.064	-0.066	-0.066	-0.070	-0.064	-0.066	-0.064	-0.065	-0.026	-0.101	-0.036	-0.065	-0.100	-0.066	-0.065	-0.064	-0.065	-0.064	0.073	0.074	0.075	0.075	0.073	0.073	0.069	0.074	0.072	0.075	0.073	0.109	0.073	0.075	0.072	0.074	0.106	0.072	0.074	0.073	0.107	0.074	0.108	0.074	0.075	0.074	0.073	0.075	0.075	0.073	0.073	0.073	0.606	0.605	0.620	0.605	0.606	0.606	0.626	0.606	0.590	0.606	0.606	0.588	0.606	0.604	0.607	0.605	0.589	0.604	0.606	0.605	0.589	0.606	0.608	0.587	0.619	0.606	0.589	0.604	0.605	0.606	0.606	0.606	-0.064	0.078	0.604	2016_7_15_15_58_55
F2LS3957GRXL____	0.399	0.353	0.469	0.349	0.350	0.348	0.432	0.349	0.383	0.427	0.350	0.394	0.467	0.431	0.382	0.468	0.404	0.395	0.350	0.429	0.395	0.467	0.427	0.377	0.341	0.427	0.401	0.350	0.431	0.428	0.350	0.399	10.873	10.874	10.875	10.875	10.875	10.874	10.874	10.874	10.872	10.875	10.875	10.874	10.874	10.874	10.868	10.874	10.909	10.871	10.875	10.873	10.873	10.873	10.872	10.883	10.883	10.873	10.875	10.875	10.874	10.871	10.875	10.873	-5.351	-5.381	-5.315	-5.373	-5.380	-5.373	-5.332	-5.375	-5.346	-5.337	-5.380	-5.354	-5.315	-5.340	-5.345	-5.322	-5.367	-5.355	-5.369	-5.344	-5.346	-5.320	-5.329	-5.371	-5.393	-5.340	-5.352	-5.379	-5.336	-5.346	-5.372	-5.351	0.397	10.875	-5.353	2016_7_15_15_58_59
