SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	0.280	0.404	0.404	0.405	0.407	0.362	0.372	0.434	0.362	0.350	0.420	0.420	0.420	0.423	0.420	0.420	0.365	0.420	0.360	0.420	0.410	0.420	0.420	0.357	0.423	0.370	0.409	0.410	0.425	0.364	0.420	0.429	-0.000	-0.075	-0.107	-0.074	-0.103	-0.075	-0.066	-0.039	-0.114	-0.070	-0.070	-0.070	-0.070	-0.021	-0.070	-0.140	-0.126	-0.070	-0.074	-0.070	-0.065	-0.070	-0.070	-0.062	-0.065	-0.060	-0.067	-0.067	-0.074	-0.066	-0.070	-0.070	0.155	0.176	0.181	0.176	0.182	0.159	0.162	0.183	0.165	0.153	0.182	0.182	0.181	0.176	0.182	0.192	0.167	0.182	0.158	0.182	0.176	0.182	0.181	0.155	0.182	0.160	0.176	0.177	0.184	0.158	0.182	0.185	0.398	-0.072	0.174	2016_7_15_16_24_22
F2LS3HFBHFM5____	0.210	0.070	0.070	0.070	0.122	-0.000	0.070	0.070	0.070	0.070	0.070	0.182	0.070	0.086	0.140	0.070	0.081	0.140	0.070	0.080	0.130	0.070	0.070	0.070	0.058	0.140	0.061	0.137	0.070	0.070	0.070	0.070	-0.000	0.070	0.070	0.067	0.077	0.070	0.070	0.000	0.070	0.070	0.070	0.073	0.070	0.070	0.070	0.070	0.007	0.140	0.000	0.071	0.069	0.070	0.000	-0.000	-0.003	0.070	0.069	0.067	0.000	0.000	0.070	0.070	0.014	0.017	0.017	0.017	0.037	-0.012	0.016	0.027	0.017	0.016	0.017	0.063	0.017	0.024	0.046	0.017	0.031	0.036	0.028	0.020	0.042	0.017	0.027	0.027	0.023	0.046	0.014	0.045	0.027	0.027	0.017	0.017	0.088	0.053	0.025	2016_7_15_16_24_27
F2LS3JESHFM5____	0.350	0.483	0.447	0.483	0.481	0.480	0.478	0.478	0.481	0.480	0.443	0.443	0.512	0.448	0.484	0.446	0.447	0.482	0.480	0.481	0.480	0.478	0.485	0.443	0.441	0.449	0.477	0.479	0.440	0.448	0.446	0.481	-0.000	-0.067	-0.065	-0.066	-0.029	-0.033	-0.033	-0.061	-0.028	-0.063	-0.065	-0.062	-0.035	-0.096	-0.062	-0.059	-0.055	-0.060	-0.027	-0.028	-0.066	-0.031	-0.079	-0.021	-0.022	-0.043	-0.064	-0.027	-0.023	-0.054	-0.059	-0.025	0.182	0.208	0.192	0.207	0.201	0.201	0.200	0.205	0.200	0.205	0.190	0.190	0.215	0.196	0.207	0.190	0.191	0.206	0.201	0.200	0.206	0.200	0.210	0.184	0.183	0.189	0.205	0.199	0.182	0.190	0.190	0.200	0.464	-0.047	0.198	2016_7_15_16_25_03
F2LS3TKDHFM5____	0.011	0.008	0.008	-0.003	-0.000	0.006	0.008	0.008	0.008	0.007	0.002	0.001	-0.000	0.002	0.073	0.005	0.008	0.011	0.047	0.009	0.009	0.001	-0.000	0.043	0.007	-0.000	0.008	0.006	0.009	0.009	-0.000	0.007	-0.000	-0.009	-0.007	-0.076	-0.010	-0.007	-0.005	-0.006	-0.041	-0.004	-0.008	-0.008	0.000	-0.040	0.008	-0.007	-0.006	-0.005	-0.007	-0.006	-0.002	-0.008	0.000	-0.005	-0.003	-0.070	-0.003	-0.003	-0.002	-0.003	-0.070	-0.004	-0.002	0.003	0.003	0.009	0.000	0.002	0.003	0.002	0.008	0.002	0.000	0.000	-0.001	0.005	0.027	0.002	0.003	0.004	0.019	0.003	0.002	0.000	-0.002	0.017	0.001	0.009	0.002	0.002	0.002	0.002	0.009	0.001	0.010	-0.013	0.004	2016_7_15_16_25_10
F2LS38VQGRXL____	-0.140	-0.285	-0.284	-0.271	-0.231	-0.337	-0.279	-0.260	-0.282	-0.280	-0.269	-0.239	-0.273	-0.267	-0.210	-0.275	-0.270	-0.204	-0.228	-0.267	-0.266	-0.280	-0.269	-0.267	-0.237	-0.210	-0.270	-0.206	-0.205	-0.275	-0.206	-0.230	-0.000	-0.012	-0.055	-0.002	0.051	-0.042	-0.044	-0.074	-0.054	0.000	-0.002	-0.010	-0.049	-0.003	0.000	-0.047	-0.007	0.003	-0.004	-0.006	0.001	0.000	0.003	-0.002	-0.013	0.000	-0.003	-0.002	-0.005	-0.002	-0.003	-0.008	-0.093	-0.115	-0.108	-0.111	-0.102	-0.131	-0.107	-0.095	-0.107	-0.114	-0.110	-0.096	-0.104	-0.109	-0.086	-0.106	-0.109	-0.083	-0.093	-0.109	-0.109	-0.115	-0.110	-0.109	-0.094	-0.086	-0.109	-0.083	-0.083	-0.112	-0.084	-0.093	-0.252	-0.012	-0.102	2016_7_15_16_25_16
F2LS3A8AGRXL____	-0.219	-0.268	-0.221	-0.183	-0.219	-0.267	-0.185	-0.183	-0.210	-0.210	-0.222	-0.255	-0.222	-0.221	-0.259	-0.280	-0.219	-0.264	-0.267	-0.134	-0.225	-0.210	-0.205	-0.254	-0.222	-0.222	-0.252	-0.218	-0.218	-0.210	-0.210	-0.228	-0.000	0.015	0.068	0.031	0.066	0.014	0.097	0.062	0.070	0.070	0.065	0.067	0.061	0.065	0.071	0.070	0.060	0.018	0.050	0.085	0.014	0.070	0.080	0.070	0.012	0.015	0.027	0.060	0.060	0.070	0.070	0.052	-0.094	-0.113	-0.101	-0.080	-0.100	-0.112	-0.091	-0.084	-0.097	-0.097	-0.101	-0.115	-0.101	-0.100	-0.117	-0.125	-0.099	-0.112	-0.118	-0.067	-0.094	-0.097	-0.096	-0.115	-0.093	-0.094	-0.108	-0.098	-0.099	-0.096	-0.097	-0.101	-0.224	0.053	-0.100	2016_7_15_16_25_21
F2LS3HQHHFM5____	0.131	0.134	0.134	0.132	0.096	0.166	0.134	0.137	0.134	0.167	0.133	0.131	0.146	0.134	0.070	0.166	0.132	0.070	0.133	0.199	0.135	0.136	0.140	0.132	0.134	0.070	0.131	0.094	0.071	0.132	0.072	0.075	-0.000	-0.046	-0.047	-0.016	-0.045	-0.018	-0.015	-0.049	-0.048	-0.015	-0.050	-0.017	-0.048	-0.051	-0.070	-0.024	-0.018	-0.000	-0.019	-0.003	-0.015	-0.050	0.000	-0.013	-0.014	0.000	-0.005	-0.011	-0.009	-0.004	-0.079	-0.044	0.063	0.064	0.064	0.058	0.047	0.072	0.059	0.065	0.064	0.073	0.063	0.058	0.069	0.065	0.040	0.073	0.058	0.030	0.060	0.084	0.060	0.065	0.059	0.058	0.058	0.030	0.056	0.041	0.032	0.057	0.042	0.039	0.125	-0.026	0.057	2016_7_15_16_25_52
F2LS3KLTHFM5____	0.128	0.163	0.165	0.132	0.132	0.133	0.132	0.166	0.139	0.128	0.090	0.090	0.096	0.126	0.070	0.210	0.198	0.069	0.140	0.068	0.070	0.129	0.140	0.096	0.160	0.160	0.088	0.098	0.071	0.070	0.070	0.070	-0.000	0.061	0.063	0.062	0.064	0.029	0.063	0.063	0.079	0.067	0.076	0.065	0.053	0.032	0.070	0.070	0.068	-0.014	0.070	0.061	0.070	0.064	0.070	0.066	0.085	0.078	0.067	0.032	0.063	0.070	0.070	0.070	0.015	0.055	0.055	0.042	0.042	0.047	0.042	0.056	0.042	0.040	0.023	0.024	0.028	0.044	0.015	0.073	0.068	0.027	0.044	0.016	0.015	0.040	0.044	0.026	0.051	0.051	0.023	0.032	0.017	0.015	0.015	0.016	0.119	0.060	0.036	2016_7_15_16_25_34
F2LS30UNGRX8____	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	0.000	2016_7_15_16_27_06
F2LS39Q6GRXL____	0.420	0.424	0.421	0.424	0.426	0.421	0.425	0.421	0.424	0.422	0.428	0.422	0.478	0.423	0.459	0.421	0.423	0.352	0.420	0.466	0.428	0.426	0.420	0.427	0.495	0.420	0.420	0.350	0.424	0.420	0.420	0.464	-0.000	-0.024	0.036	0.007	0.018	0.037	0.004	0.040	0.002	0.036	-0.026	0.004	0.007	0.004	0.024	0.051	0.043	-0.010	0.000	0.024	0.005	0.007	0.000	0.012	0.022	0.000	0.000	-0.011	0.005	0.000	0.000	0.003	0.143	0.175	0.166	0.171	0.170	0.164	0.171	0.164	0.171	0.166	0.177	0.170	0.193	0.171	0.183	0.163	0.166	0.144	0.171	0.185	0.173	0.172	0.170	0.172	0.197	0.170	0.170	0.143	0.171	0.171	0.170	0.188	0.426	0.010	0.170	2016_7_15_16_25_43
