SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.091	0.151	0.083	0.091	0.091	-0.033	0.152	0.091	0.018	0.079	0.090	0.069	0.144	0.091	0.144	0.023	0.145	0.090	0.204	0.220	0.091	0.079	0.210	0.029	0.083	0.091	0.091	0.091	0.090	0.149	0.027	0.142	-0.232	-0.043	-0.185	-0.185	-0.185	-0.185	-0.045	-0.185	-0.191	-0.185	-0.185	-0.191	-0.047	-0.310	-0.308	-0.056	-0.317	-0.185	-0.231	-0.185	-0.057	-0.185	-0.191	-0.244	-0.191	-0.185	-0.185	-0.225	-0.185	-0.185	-0.059	-0.306	-0.348	-0.299	-0.131	-0.183	-0.337	-0.212	-0.300	-0.281	-0.230	-0.260	-0.176	-0.243	-0.296	-0.172	-0.287	-0.237	-0.287	-0.172	-0.319	-0.348	-0.205	-0.249	-0.335	-0.234	-0.250	-0.185	-0.389	-0.340	-0.272	-0.310	-0.239	-0.285	0.100	-0.182	-0.263	2016_7_13_10_51_24
FLNS2009GRWF____	0.142	0.142	0.170	0.196	0.109	0.119	0.142	0.170	0.173	0.182	0.125	0.172	0.058	0.064	0.142	0.050	0.238	0.054	0.250	0.142	0.105	0.130	0.103	0.175	0.170	0.142	0.239	0.070	0.142	0.130	0.068	0.170	-0.908	-0.908	-0.877	-0.924	-0.919	-0.924	-0.877	-0.928	-0.908	-0.908	-0.877	-0.908	-0.859	-0.908	-0.908	-0.908	-0.928	-0.859	-0.908	-0.908	-1.045	-1.049	-0.908	-0.856	-0.919	-0.924	-0.856	-1.052	-0.985	-0.987	-0.797	-0.908	0.163	0.279	0.285	0.243	0.315	0.297	0.410	0.395	0.279	0.260	0.287	0.285	0.323	0.317	0.261	0.339	0.255	0.326	0.227	0.181	0.308	0.363	0.314	0.266	0.271	0.228	0.237	0.326	0.411	0.296	0.317	0.158	0.140	-0.917	0.288	2016_7_13_10_51_28
FLQS2C39GRX5____	0.128	0.128	0.137	0.128	0.098	0.140	0.128	0.098	0.096	0.098	0.087	0.128	0.197	-0.001	0.170	0.137	0.014	0.128	0.016	0.098	0.128	0.026	0.128	0.098	0.128	0.128	0.185	0.098	0.141	0.069	0.020	0.098	0.494	0.489	0.440	0.443	0.440	0.433	0.443	0.433	0.373	0.443	0.491	0.571	0.433	0.311	0.433	0.433	0.443	0.518	0.496	0.443	0.433	0.443	0.440	0.433	0.433	0.298	0.433	0.373	0.443	0.443	0.433	0.373	-0.160	-0.157	-0.258	-0.326	-0.299	-0.265	-0.325	-0.149	-0.189	-0.160	-0.229	-0.318	-0.279	-0.179	-0.232	-0.241	-0.182	-0.373	-0.195	-0.264	-0.297	-0.188	-0.346	-0.328	-0.241	-0.241	-0.259	-0.100	-0.263	-0.219	-0.181	-0.143	0.106	0.437	-0.237	2016_7_13_10_51_32
FLQS2C44GRX5____	0.154	0.286	0.291	0.153	0.291	0.340	0.352	0.260	0.215	0.286	0.250	0.291	0.260	0.291	0.266	0.282	0.291	0.254	0.173	0.266	0.374	0.370	0.172	0.334	0.283	0.286	0.282	0.282	0.227	0.282	0.266	0.282	0.436	0.514	0.514	0.447	0.528	0.385	0.441	0.447	0.358	0.447	0.514	0.528	0.447	0.514	0.421	0.514	0.514	0.421	0.514	0.514	0.528	0.514	0.447	0.575	0.568	0.528	0.528	0.447	0.514	0.514	0.514	0.433	-0.283	-0.432	-0.455	-0.277	-0.466	-0.372	-0.378	-0.344	-0.309	-0.341	-0.300	-0.349	-0.302	-0.357	-0.349	-0.433	-0.357	-0.297	-0.307	-0.357	-0.419	-0.417	-0.300	-0.375	-0.349	-0.466	-0.250	-0.409	-0.325	-0.341	-0.315	-0.344	0.272	0.485	-0.356	2016_7_13_10_51_35
FLQS2CBBGRX5____	0.341	0.254	0.208	0.220	0.220	0.220	0.220	0.153	0.254	0.277	0.220	0.097	0.208	0.220	0.084	0.344	0.196	0.101	0.103	0.220	0.220	0.277	0.085	0.254	0.220	0.153	0.254	0.291	0.272	0.254	0.277	0.218	-1.202	-1.318	-1.371	-1.245	-1.442	-1.318	-1.310	-1.318	-1.318	-1.309	-1.318	-1.439	-1.443	-1.435	-1.388	-1.318	-1.371	-1.318	-1.318	-1.318	-1.375	-1.318	-1.371	-1.318	-1.318	-1.318	-1.318	-1.310	-1.247	-1.389	-1.318	-1.318	-0.322	-0.361	-0.254	-0.344	-0.169	-0.162	-0.345	-0.235	-0.269	-0.288	-0.129	-0.195	-0.249	-0.254	-0.192	-0.326	-0.230	-0.225	-0.202	-0.346	-0.339	-0.296	-0.193	-0.365	-0.148	-0.215	-0.384	-0.330	-0.287	-0.140	-0.301	-0.267	0.217	-1.336	-0.261	2016_7_13_10_51_39
FLQS23VUGRX2____	-0.331	-0.389	-0.217	-0.276	-0.334	-0.273	-0.205	-0.340	-0.414	-0.219	-0.404	-0.274	-0.279	-0.269	-0.273	-0.273	-0.279	-0.141	-0.269	-0.269	-0.278	-0.392	-0.269	-0.219	-0.331	-0.205	-0.278	-0.216	-0.269	-0.393	-0.145	-0.148	-0.114	-0.060	-0.121	-0.114	-0.182	-0.114	-0.060	-0.054	-0.114	-0.114	-0.114	-0.180	-0.114	-0.114	-0.060	-0.114	-0.060	-0.060	-0.060	-0.114	-0.114	-0.060	0.010	-0.114	-0.060	-0.114	-0.182	-0.119	-0.114	-0.005	-0.114	-0.114	-0.031	0.002	-0.067	-0.034	-0.009	-0.047	-0.085	-0.011	0.039	-0.062	0.037	-0.038	-0.030	-0.047	-0.136	0.050	0.075	-0.118	-0.057	-0.049	-0.031	0.030	-0.130	-0.062	0.000	-0.083	-0.036	-0.068	-0.049	0.013	-0.112	-0.101	-0.277	-0.098	-0.039	2016_7_13_10_51_44
FLQS30BLGRWY____	-0.515	-0.593	-0.374	-0.585	-0.555	-0.515	-0.508	-0.515	-0.379	-0.576	-0.567	-0.501	-0.578	-0.515	-0.485	-0.440	-0.501	-0.510	-0.433	-0.429	-0.510	-0.515	-0.488	-0.510	-0.424	-0.498	-0.508	-0.579	-0.436	-0.418	-0.488	-0.585	-0.017	-0.017	-0.075	0.059	0.059	-0.017	-0.017	0.059	0.059	-0.017	-0.080	0.059	-0.017	-0.017	0.059	-0.029	-0.017	-0.017	0.059	0.059	-0.017	-0.017	0.059	0.059	0.059	0.059	0.059	-0.017	0.122	-0.017	0.059	0.059	0.664	0.602	0.491	0.600	0.581	0.565	0.643	0.562	0.482	0.586	0.585	0.545	0.602	0.672	0.527	0.521	0.550	0.624	0.506	0.508	0.562	0.662	0.550	0.550	0.510	0.536	0.545	0.572	0.513	0.486	0.525	0.600	-0.501	0.019	0.563	2016_7_13_10_51_47
FLQS30DEGRWY____	0.130	0.011	0.072	0.001	-0.058	-0.054	0.121	-0.067	0.061	-0.078	0.011	-0.049	0.057	-0.119	0.006	0.006	0.053	0.011	0.061	-0.014	0.066	-0.109	0.058	0.072	0.117	0.011	0.061	0.077	0.064	-0.095	0.047	0.134	-0.307	-0.451	-0.367	-0.545	-0.482	-0.451	-0.482	-0.451	-0.485	-0.451	-0.482	-0.430	-0.542	-0.451	-0.312	-0.451	-0.451	-0.430	-0.555	-0.485	-0.362	-0.495	-0.358	-0.482	-0.489	-0.362	-0.482	-0.451	-0.421	-0.386	-0.482	-0.363	0.010	0.065	0.041	0.082	0.118	0.111	0.010	0.119	0.050	0.125	0.186	0.101	0.055	0.143	0.070	0.082	0.061	-0.022	0.053	0.101	0.043	0.134	0.047	0.028	0.023	0.138	0.050	0.028	0.047	0.122	0.066	0.010	0.021	-0.444	0.072	2016_7_13_10_51_50
FLQS30LQGRWY____	-0.006	0.124	0.071	-0.006	-0.002	-0.124	-0.001	-0.132	-0.006	-0.006	-0.004	0.012	0.012	-0.006	-0.054	0.007	0.113	0.110	-0.057	0.007	-0.006	-0.116	-0.061	-0.113	0.110	-0.057	-0.006	-0.001	-0.112	-0.006	-0.004	0.059	-0.054	0.007	0.007	-0.066	0.055	0.113	0.007	-0.008	-0.054	-0.008	0.055	0.007	0.066	0.007	0.122	-0.054	0.007	-0.054	-0.054	0.007	-0.008	-0.008	0.007	-0.054	-0.054	-0.054	0.007	-0.054	-0.008	0.141	-0.008	0.073	-0.059	-0.018	-0.015	0.048	0.041	0.098	0.035	0.119	0.157	-0.073	-0.053	0.017	0.035	0.146	0.064	0.023	-0.005	0.002	0.057	0.035	0.143	0.099	0.079	0.108	0.001	0.082	0.149	-0.070	0.079	-0.077	0.054	0.011	-0.008	0.003	0.041	2016_7_13_10_51_54
FLQS30SPGRWY____	0.415	0.436	0.415	0.436	0.415	0.287	0.436	0.406	0.415	0.409	0.400	0.409	0.436	0.409	0.436	0.415	0.356	0.436	0.287	0.436	0.415	0.331	0.436	0.436	0.436	0.436	0.400	0.278	0.410	0.415	0.406	0.397	-0.141	-0.194	-0.141	0.004	-0.069	-0.069	-0.194	-0.069	-0.069	-0.069	-0.141	-0.141	-0.031	-0.018	-0.069	-0.212	-0.141	-0.141	-0.141	0.042	-0.015	-0.208	-0.069	-0.069	-0.227	0.023	-0.069	-0.141	-0.141	-0.019	-0.009	-0.069	-0.051	-0.156	-0.228	-0.156	-0.231	-0.079	-0.143	-0.156	-0.143	-0.138	-0.117	-0.134	-0.252	-0.031	-0.156	-0.150	-0.143	-0.156	-0.073	0.002	-0.059	-0.109	-0.156	-0.156	-0.156	-0.151	-0.019	-0.073	-0.151	-0.241	-0.223	-0.138	0.403	-0.094	-0.135	2016_7_13_10_52_00
