SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.143	0.203	0.081	-0.022	0.218	0.207	-0.014	0.090	0.137	0.023	0.137	0.093	0.041	0.201	0.051	0.137	0.093	0.199	0.085	0.059	0.093	0.146	-0.033	0.093	0.137	0.137	0.200	0.092	0.092	0.156	-0.014	0.137	0.013	0.009	0.015	-0.037	-0.117	0.013	-0.046	0.013	0.093	-0.111	-0.039	-0.104	-0.109	0.013	0.073	0.073	-0.113	-0.037	0.016	-0.037	0.085	0.013	0.077	0.078	0.013	-0.037	-0.113	-0.048	-0.037	0.012	0.011	-0.111	-0.292	-0.318	-0.266	-0.203	-0.313	-0.320	-0.218	-0.269	-0.276	-0.229	-0.276	-0.185	-0.237	-0.317	-0.257	-0.295	-0.338	-0.328	-0.267	-0.251	-0.276	-0.294	-0.220	-0.276	-0.276	-0.368	-0.306	-0.264	-0.253	-0.297	-0.223	-0.343	0.106	-0.015	-0.276	2016_7_13_10_44_37
FLNS2009GRWF____	0.368	0.339	0.280	0.251	0.339	0.216	0.339	0.236	0.368	0.283	0.374	0.339	0.339	0.324	0.339	0.451	0.339	0.463	0.339	0.324	0.374	0.339	0.324	0.294	0.324	0.339	0.339	0.324	0.400	0.324	0.221	0.415	-0.527	-0.689	-0.598	-0.664	-0.663	-0.612	-0.677	-0.535	-0.656	-0.604	-0.660	-0.677	-0.748	-0.617	-0.711	-0.646	-0.761	-0.649	-0.653	-0.648	-0.647	-0.686	-0.679	-0.708	-0.656	-0.739	-0.598	-0.739	-0.660	-0.584	-0.657	-0.595	0.207	0.151	0.251	0.269	0.214	0.281	0.167	0.264	0.214	0.250	0.214	0.337	0.240	0.355	0.238	0.180	0.238	0.175	0.160	0.113	0.214	0.214	0.238	0.255	0.347	0.320	0.138	0.320	0.204	0.294	0.283	0.191	0.333	-0.654	0.235	2016_7_13_10_44_40
FLQS2C39GRX5____	0.087	0.137	0.178	0.082	0.087	0.060	0.137	-0.043	0.087	0.087	0.060	0.087	0.087	0.087	0.082	-0.054	0.060	0.212	0.087	-0.003	0.082	0.087	0.082	0.087	0.087	0.023	0.087	0.023	0.207	0.087	0.146	0.087	0.784	0.873	0.656	0.783	0.788	0.737	0.816	0.839	0.830	0.775	0.725	0.798	0.799	0.792	0.837	0.816	0.666	0.730	0.718	0.736	0.727	0.847	0.879	0.718	0.774	0.768	0.834	0.768	0.778	0.729	0.894	0.798	-0.282	-0.410	-0.305	-0.274	-0.282	-0.274	-0.302	-0.225	-0.376	-0.395	-0.274	-0.152	-0.203	-0.371	-0.274	-0.218	-0.255	-0.327	-0.145	-0.233	-0.274	-0.282	-0.199	-0.344	-0.276	-0.247	-0.348	-0.247	-0.329	-0.178	-0.313	-0.402	0.084	0.782	-0.282	2016_7_13_10_44_43
FLQS2C44GRX5____	0.116	0.154	0.154	0.273	0.279	0.165	0.116	0.116	0.116	0.171	0.111	0.116	0.116	0.154	0.116	0.116	0.276	0.116	0.116	0.235	0.116	0.116	0.061	0.154	0.061	0.154	0.217	0.154	0.111	0.239	0.217	0.216	0.838	0.789	0.780	0.909	0.777	0.806	0.677	0.783	0.777	0.898	0.776	0.803	0.809	0.753	0.829	0.803	0.790	0.748	0.782	0.742	0.851	0.804	0.751	0.777	0.892	0.805	0.776	0.805	0.790	0.876	0.789	0.790	-0.260	-0.240	-0.312	-0.393	-0.359	-0.337	-0.312	-0.239	-0.234	-0.348	-0.310	-0.177	-0.224	-0.327	-0.424	-0.312	-0.369	-0.310	-0.312	-0.362	-0.327	-0.193	-0.298	-0.451	-0.298	-0.258	-0.357	-0.258	-0.312	-0.375	-0.358	-0.341	0.155	0.799	-0.312	2016_7_13_10_44_47
FLQS2CBBGRX5____	0.488	0.414	0.445	0.341	0.325	0.325	0.414	0.341	0.414	0.341	0.341	0.414	0.272	0.341	0.301	0.304	0.341	0.341	0.341	0.341	0.341	0.414	0.341	0.414	0.414	0.472	0.439	0.472	0.418	0.414	0.448	0.341	-0.977	-1.000	-1.108	-1.116	-1.108	-1.072	-1.196	-1.117	-1.110	-1.118	-1.183	-1.198	-1.127	-1.076	-1.108	-1.199	-1.221	-1.207	-1.053	-1.033	-1.060	-0.970	-1.079	-1.111	-1.111	-1.179	-1.055	-1.179	-1.174	-1.111	-1.054	-1.040	-0.329	-0.379	-0.297	-0.257	-0.248	-0.248	-0.257	-0.257	-0.160	-0.257	-0.257	-0.345	-0.220	-0.255	-0.257	-0.229	-0.248	-0.172	-0.257	-0.207	-0.257	-0.373	-0.257	-0.380	-0.393	-0.305	-0.300	-0.305	-0.281	-0.284	-0.304	-0.281	0.378	-1.108	-0.277	2016_7_13_10_44_50
FLQS23VUGRX2____	-0.281	-0.216	-0.220	-0.238	-0.202	-0.220	-0.222	-0.238	-0.274	-0.100	-0.238	-0.216	-0.291	-0.238	-0.286	-0.345	-0.238	-0.222	-0.169	-0.220	-0.202	-0.285	-0.173	-0.202	-0.238	-0.218	-0.218	-0.216	-0.281	-0.202	-0.222	-0.355	-0.118	0.002	-0.116	-0.123	-0.116	-0.058	-0.114	-0.122	-0.116	-0.010	-0.243	-0.111	0.005	-0.171	-0.054	-0.114	-0.051	-0.117	-0.118	-0.112	-0.186	-0.050	-0.115	-0.116	-0.115	-0.180	-0.060	-0.180	-0.113	-0.190	-0.058	-0.105	-0.043	-0.082	0.029	-0.145	-0.079	-0.196	-0.069	-0.148	-0.046	-0.132	-0.060	0.026	-0.050	-0.058	-0.047	-0.015	0.001	-0.161	-0.060	-0.070	-0.161	-0.048	-0.090	0.024	0.003	-0.157	-0.076	-0.157	-0.044	-0.158	0.044	-0.012	-0.234	-0.108	-0.070	2016_7_13_10_44_53
FLQS30BLGRWY____	-0.093	-0.165	-0.180	-0.284	-0.171	-0.180	-0.204	-0.171	-0.117	-0.204	-0.126	-0.190	-0.188	-0.184	-0.198	-0.168	-0.180	-0.180	-0.165	-0.188	-0.190	-0.180	-0.223	-0.204	-0.168	-0.223	-0.165	-0.223	-0.188	-0.180	-0.190	-0.165	-0.002	0.052	0.001	0.119	-0.013	0.115	0.000	0.113	0.058	0.111	0.047	-0.018	0.051	0.119	0.067	0.123	-0.007	0.047	0.051	0.060	0.056	-0.004	-0.002	0.054	0.056	0.127	0.116	0.127	0.113	-0.009	0.109	-0.023	0.348	0.374	0.374	0.422	0.384	0.375	0.379	0.270	0.353	0.357	0.357	0.374	0.446	0.377	0.388	0.374	0.302	0.379	0.239	0.473	0.374	0.374	0.388	0.391	0.375	0.394	0.243	0.394	0.379	0.288	0.381	0.274	-0.182	0.057	0.363	2016_7_13_10_44_56
FLQS30DEGRWY____	0.034	0.213	0.261	0.154	0.036	0.262	0.269	0.096	0.154	0.154	0.154	0.154	0.154	0.137	0.154	0.259	0.154	0.154	0.223	0.143	0.143	0.154	0.143	0.137	0.253	0.202	0.069	0.202	0.154	0.154	0.263	0.154	-0.310	-0.381	-0.367	-0.317	-0.369	-0.498	-0.437	-0.311	-0.369	-0.428	-0.280	-0.369	-0.331	-0.489	-0.303	-0.496	-0.274	-0.490	-0.272	-0.266	-0.427	-0.273	-0.434	-0.313	-0.317	-0.493	-0.425	-0.493	-0.315	-0.440	-0.369	-0.394	0.074	0.003	-0.020	-0.082	0.079	-0.009	-0.017	0.048	0.019	0.120	0.029	0.099	-0.053	0.038	0.087	-0.008	0.019	0.101	-0.011	0.168	0.136	0.081	0.038	0.029	-0.021	0.017	0.069	0.017	-0.051	0.029	-0.021	0.029	0.167	-0.377	0.032	2016_7_13_10_44_58
FLQS30LQGRWY____	0.068	0.166	0.061	0.066	0.177	0.166	0.168	0.015	0.166	0.166	0.066	0.118	0.233	0.175	0.166	0.166	0.118	0.068	0.009	0.166	0.243	0.119	0.177	0.067	0.166	0.188	0.248	0.188	0.168	0.166	0.242	0.166	0.046	-0.009	-0.007	-0.005	-0.007	-0.010	-0.010	-0.001	-0.007	-0.003	-0.004	-0.011	-0.008	-0.072	-0.018	-0.004	0.047	-0.058	-0.003	0.055	-0.007	-0.006	0.042	0.052	-0.003	-0.017	-0.005	-0.017	-0.007	-0.011	-0.004	0.017	0.008	-0.114	0.016	0.014	-0.035	-0.089	-0.031	0.036	-0.030	-0.093	0.013	-0.008	-0.059	-0.028	-0.141	0.068	-0.014	0.017	0.038	0.053	-0.064	-0.009	-0.039	0.009	-0.030	-0.038	-0.065	-0.038	-0.115	-0.084	-0.064	-0.028	0.145	-0.002	-0.029	2016_7_13_10_45_03
FLQS30SPGRWY____	0.420	0.372	0.420	0.409	0.372	0.372	0.372	0.420	0.420	0.372	0.372	0.372	0.420	0.372	0.409	0.409	0.372	0.372	0.372	0.372	0.372	0.372	0.372	0.372	0.372	0.372	0.420	0.372	0.372	0.372	0.420	0.372	0.077	0.035	0.083	0.134	0.045	0.080	0.195	0.078	0.087	0.190	0.045	-0.016	0.042	0.042	0.131	0.127	-0.011	0.080	-0.023	-0.016	0.045	0.096	0.131	0.132	0.189	0.071	0.082	0.071	0.084	0.042	0.132	0.045	-0.149	0.002	-0.149	-0.139	-0.059	-0.139	-0.139	-0.149	-0.149	-0.139	0.023	0.000	-0.149	0.009	-0.149	-0.139	0.009	-0.234	-0.015	-0.025	-0.009	-0.032	-0.139	-0.139	-0.245	-0.139	-0.149	-0.139	-0.236	-0.059	-0.149	-0.139	0.386	0.079	-0.108	2016_7_13_10_45_07
